,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:45.0,,H. Whiteside makes 2-pt hook shot from 7 ft,0,2
1,1,11:28.0,Shooting foul by J. Winslow (drawn by J. Harden),,0,2
2,1,11:28.0,J. Harden makes free throw 1 of 2,,1,2
3,1,11:28.0,J. Harden makes free throw 2 of 2,,2,2
4,1,11:21.0,,Personal foul by C. Capela (drawn by H. Whiteside),2,2
5,1,11:11.0,,D. Jones misses 3-pt jump shot from 25 ft,2,2
6,1,11:07.0,Defensive rebound by C. Paul,,2,2
7,1,10:56.0,Shooting foul by H. Whiteside (drawn by C. Capela),,2,2
8,1,10:56.0,C. Capela misses free throw 1 of 2,,2,2
9,1,10:56.0,Offensive rebound by Team,,2,2
10,1,10:56.0,C. Capela makes free throw 2 of 2,,3,2
11,1,10:41.0,,J. Richardson misses 2-pt jump shot from 10 ft,3,2
12,1,10:41.0,Defensive rebound by C. Capela,,3,2
13,1,10:32.0,L. Mbah a Moute makes 3-pt jump shot from 25 ft (assist by C. Paul),,6,2
14,1,10:17.0,,J. Winslow makes 2-pt layup from 1 ft (assist by G. Dragić),6,4
15,1,9:54.0,C. Paul misses 3-pt jump shot from 25 ft,,6,4
16,1,9:52.0,,Defensive rebound by G. Dragić,6,4
17,1,9:47.0,,G. Dragić makes 3-pt jump shot from 24 ft (assist by J. Winslow),6,7
18,1,9:26.0,J. Harden makes 2-pt jump shot from 5 ft,,8,7
19,1,9:13.0,,G. Dragić misses 3-pt jump shot from 25 ft,8,7
20,1,9:11.0,,Offensive rebound by Team,8,7
21,1,9:10.0,,Personal foul by J. Harden (drawn by J. Winslow),8,7
22,1,9:05.0,,Turnover by H. Whiteside (bad pass; steal by C. Paul),8,7
23,1,9:01.0,J. Harden makes 3-pt jump shot from 25 ft (assist by C. Paul),,11,7
24,1,8:38.0,,J. Richardson makes 2-pt jump shot from 10 ft,11,9
25,1,8:20.0,Turnover by C. Capela (lost ball; steal by J. Richardson),,11,9
26,1,8:17.0,,D. Jones misses 2-pt layup from 1 ft (block by J. Harden),11,9
27,1,8:14.0,,Offensive rebound by D. Jones,11,9
28,1,8:13.0,,Turnover by D. Jones (bad pass; steal by L. Mbah a Moute),11,9
29,1,8:06.0,J. Harden misses 3-pt jump shot from 24 ft,,11,9
30,1,8:02.0,,Defensive rebound by J. Winslow,11,9
31,1,7:51.0,,H. Whiteside makes 2-pt hook shot from 3 ft (assist by J. Winslow),11,11
32,1,7:37.0,C. Paul makes 2-pt jump shot from 6 ft,,13,11
33,1,7:16.0,,H. Whiteside misses 2-pt jump shot from 2 ft,13,11
34,1,7:15.0,,Offensive rebound by D. Jones,13,11
35,1,7:13.0,,D. Jones misses 2-pt layup at rim,13,11
36,1,7:12.0,Defensive rebound by C. Paul,,13,11
37,1,7:11.0,G. Green enters the game for C. Paul,,13,11
38,1,7:03.0,Shooting foul by D. Jones (drawn by J. Harden),,13,11
39,1,7:03.0,J. Harden makes free throw 1 of 3,,14,11
40,1,7:03.0,J. Harden makes free throw 2 of 3,,15,11
41,1,7:03.0,J. Harden makes free throw 3 of 3,,16,11
42,1,6:49.0,,J. Richardson misses 2-pt layup from 2 ft,16,11
43,1,6:45.0,,Offensive rebound by J. Richardson,16,11
44,1,6:45.0,,J. Richardson makes 2-pt layup at rim,16,13
45,1,6:34.0,G. Green misses 2-pt jump shot from 10 ft,,16,13
46,1,6:33.0,,Defensive rebound by H. Whiteside,16,13
47,1,6:22.0,,D. Jones misses 3-pt jump shot from 23 ft,16,13
48,1,6:19.0,Defensive rebound by L. Mbah a Moute,,16,13
49,1,6:11.0,Turnover by P. Tucker (step out of bounds),,16,13
50,1,6:11.0,,Miami full timeout,16,13
51,1,6:11.0,,T. Johnson enters the game for J. Richardson,16,13
52,1,6:11.0,,J. Johnson enters the game for J. Winslow,16,13
53,1,6:11.0,N. Hilário enters the game for C. Capela,,16,13
54,1,5:54.0,,J. Johnson misses 3-pt jump shot from 24 ft,16,13
55,1,5:50.0,Defensive rebound by J. Harden,,16,13
56,1,5:44.0,J. Harden makes 2-pt layup from 1 ft,,18,13
57,1,5:28.0,,D. Jones makes 3-pt jump shot from 22 ft (assist by T. Johnson),18,16
58,1,5:08.0,J. Harden misses 2-pt jump shot from 6 ft,,18,16
59,1,5:06.0,,Defensive rebound by T. Johnson,18,16
60,1,5:02.0,,Turnover by J. Johnson (bad pass; steal by N. Hilário),18,16
61,1,4:41.0,J. Harden makes 2-pt layup from 1 ft,,20,16
62,1,4:30.0,,G. Dragić makes 2-pt layup from 1 ft,20,18
63,1,4:22.0,G. Green makes 2-pt jump shot from 21 ft (assist by P. Tucker),,22,18
64,1,4:07.0,,G. Dragić misses 2-pt jump shot from 13 ft (block by G. Green),22,18
65,1,4:06.0,Defensive rebound by G. Green,,22,18
66,1,3:55.0,L. Mbah a Moute misses 3-pt jump shot from 22 ft,,22,18
67,1,3:51.0,Offensive rebound by P. Tucker,,22,18
68,1,3:50.0,P. Tucker misses 2-pt jump shot from 7 ft,,22,18
69,1,3:50.0,Offensive rebound by Team,,22,18
70,1,3:50.0,M. Brown enters the game for L. Mbah a Moute,,22,18
71,1,3:38.0,J. Harden misses 3-pt jump shot from 22 ft,,22,18
72,1,3:33.0,,Defensive rebound by H. Whiteside,22,18
73,1,3:24.0,,H. Whiteside misses 2-pt layup from 1 ft,22,18
