,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:39.0,D. Dedmon misses 2-pt hook shot from 4 ft,,0,0
1,1,11:36.0,,Defensive rebound by B. Simmons,0,0
2,1,11:20.0,,D. Šarić misses 2-pt jump shot from 19 ft,0,0
3,1,11:17.0,Defensive rebound by K. Bazemore,,0,0
4,1,11:07.0,Turnover by K. Bazemore (lost ball; steal by J. Embiid),,0,0
5,1,10:51.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Embiid),0,3
6,1,10:41.0,Personal foul by B. Simmons (drawn by D. Schröder),,0,3
7,1,10:28.0,M. Muscala misses 2-pt layup from 1 ft,,0,3
8,1,10:26.0,,Defensive rebound by D. Šarić,0,3
9,1,10:12.0,,Personal foul by T. Prince (drawn by J. Embiid),0,3
10,1,10:05.0,,B. Simmons makes 2-pt jump shot from 16 ft,0,5
11,1,9:54.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Schröder),,3,5
12,1,9:44.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by R. Covington),3,8
13,1,9:37.0,T. Prince misses 2-pt jump shot from 9 ft,,3,8
14,1,9:33.0,Offensive rebound by D. Dedmon,,3,8
15,1,9:32.0,D. Dedmon misses 2-pt layup at rim,,3,8
16,1,9:32.0,,Defensive rebound by B. Simmons,3,8
17,1,9:18.0,,D. Šarić misses 2-pt layup from 1 ft,3,8
18,1,9:13.0,,Offensive rebound by J. Embiid,3,8
19,1,9:13.0,,J. Embiid misses 2-pt layup at rim,3,8
20,1,9:11.0,Defensive rebound by T. Prince,,3,8
21,1,9:07.0,Personal foul by R. Covington (drawn by T. Prince),,3,8
22,1,8:59.0,Shooting foul by J. Redick (drawn by K. Bazemore),,3,8
23,1,8:59.0,K. Bazemore makes free throw 1 of 2,,4,8
24,1,8:59.0,K. Bazemore misses free throw 2 of 2,,4,8
25,1,8:57.0,,Defensive rebound by J. Redick,4,8
26,1,8:42.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by J. Embiid),4,11
27,1,8:29.0,D. Schröder misses 2-pt layup from 1 ft,,4,11
28,1,8:29.0,,Defensive rebound by Team,4,11
29,1,8:17.0,,J. Embiid makes 2-pt jump shot from 10 ft (assist by R. Covington),4,13
30,1,8:16.0,Atlanta full timeout,,4,13
31,1,8:05.0,Turnover by D. Schröder (bad pass; steal by J. Embiid),,4,13
32,1,8:01.0,,D. Šarić misses 2-pt layup from 3 ft (block by T. Prince),4,13
33,1,7:57.0,,Offensive rebound by D. Šarić,4,13
34,1,7:56.0,,D. Šarić misses 2-pt layup from 2 ft (block by T. Prince),4,13
35,1,7:51.0,Defensive rebound by M. Muscala,,4,13
36,1,7:45.0,,A. Johnson enters the game for J. Embiid,4,13
37,1,7:45.0,,T. McConnell enters the game for J. Redick,4,13
38,1,7:45.0,,J. Bayless enters the game for D. Šarić,4,13
39,1,7:45.0,J. Collins enters the game for D. Dedmon,,4,13
40,1,7:43.0,D. Schröder misses 2-pt jump shot from 13 ft,,4,13
41,1,7:40.0,,Defensive rebound by B. Simmons,4,13
42,1,7:32.0,,Turnover by B. Simmons (bad pass; steal by M. Muscala),4,13
43,1,7:26.0,M. Muscala misses 2-pt jump shot from 11 ft,,4,13
44,1,7:20.0,,Defensive rebound by A. Johnson,4,13
45,1,7:15.0,,R. Covington makes 2-pt jump shot from 18 ft (assist by T. McConnell),4,15
46,1,7:05.0,Personal foul by T. McConnell (drawn by D. Schröder),,4,15
47,1,7:05.0,M. Belinelli enters the game for M. Muscala,,4,15
48,1,6:53.0,T. Prince makes 2-pt jump shot from 13 ft (assist by D. Schröder),,6,15
49,1,6:43.0,,B. Simmons makes 2-pt layup from 2 ft (assist by T. McConnell),6,17
50,1,6:23.0,Turnover by D. Schröder (bad pass; steal by A. Johnson),,6,17
51,1,6:18.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),6,20
52,1,6:04.0,T. Prince makes 2-pt layup from 1 ft (assist by J. Collins),,8,20
53,1,5:42.0,,T. McConnell makes 2-pt jump shot from 23 ft (assist by J. Bayless),8,22
54,1,5:28.0,M. Belinelli misses 3-pt jump shot from 25 ft,,8,22
55,1,5:26.0,,Defensive rebound by T. McConnell,8,22
56,1,5:20.0,,J. Bayless makes 3-pt jump shot from 25 ft (assist by B. Simmons),8,25
57,1,5:15.0,Atlanta full timeout,,8,25
58,1,5:15.0,,J. Redick enters the game for B. Simmons,8,25
59,1,5:03.0,J. Collins makes 2-pt layup from 1 ft (assist by D. Schröder),,10,25
60,1,4:48.0,,A. Johnson makes 2-pt layup from 2 ft (assist by R. Covington),10,27
61,1,4:34.0,D. Schröder makes 2-pt jump shot from 18 ft,,12,27
62,1,4:21.0,,J. Bayless misses 2-pt jump shot from 9 ft (block by J. Collins),12,27
63,1,4:13.0,Defensive rebound by M. Belinelli,,12,27
64,1,4:03.0,D. Schröder makes 2-pt layup from 2 ft,,14,27
65,1,3:53.0,,Personal foul by J. Collins (drawn by A. Johnson),14,27
66,1,3:53.0,,J. Embiid enters the game for A. Johnson,14,27
67,1,3:53.0,,D. Šarić enters the game for R. Covington,14,27
