,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW YORK_ACTION,CHICAGO_SCORE,NEW YORK_SCORE
0,1,11:40.0,,M. Beasley misses 2-pt hook shot from 2 ft,0,0
1,1,11:38.0,Defensive rebound by D. Valentine,,0,0
2,1,11:22.0,J. Holiday misses 3-pt jump shot from 25 ft,,0,0
3,1,11:20.0,,Defensive rebound by M. Beasley,0,0
4,1,11:06.0,,M. Beasley makes 2-pt jump shot from 8 ft,0,2
5,1,11:06.0,,Shooting foul by P. Zipser (drawn by M. Beasley),0,2
6,1,11:06.0,,M. Beasley makes free throw 1 of 1,0,3
7,1,10:51.0,C. Felício makes 2-pt layup from 1 ft (assist by C. Payne),,2,3
8,1,10:37.0,,C. Lee misses 3-pt jump shot from 25 ft,2,3
9,1,10:35.0,Defensive rebound by P. Zipser,,2,3
10,1,10:28.0,Shooting foul by M. Beasley (drawn by P. Zipser),,2,3
11,1,10:28.0,P. Zipser makes free throw 1 of 2,,3,3
12,1,10:28.0,P. Zipser makes free throw 2 of 2,,4,3
13,1,10:11.0,,E. Freedom misses 2-pt layup from 1 ft (block by P. Zipser),4,3
14,1,10:09.0,Defensive rebound by J. Holiday,,4,3
15,1,10:03.0,C. Payne makes 2-pt layup from 1 ft,,6,3
16,1,9:47.0,,Turnover by M. Beasley (bad pass; steal by J. Holiday),6,3
17,1,9:36.0,J. Holiday misses 3-pt jump shot from 27 ft,,6,3
18,1,9:34.0,,Defensive rebound by M. Beasley,6,3
19,1,9:22.0,,C. Lee misses 2-pt jump shot from 21 ft,6,3
20,1,9:20.0,Defensive rebound by P. Zipser,,6,3
21,1,9:10.0,Turnover by P. Zipser (bad pass),,6,3
22,1,8:54.0,,E. Mudiay misses 3-pt jump shot from 25 ft,6,3
23,1,8:52.0,Defensive rebound by D. Valentine,,6,3
24,1,8:48.0,Turnover by J. Holiday (step out of bounds),,6,3
25,1,8:33.0,,Turnover by M. Beasley (bad pass),6,3
26,1,8:14.0,J. Holiday misses 2-pt jump shot from 4 ft (block by C. Lee),,6,3
27,1,8:12.0,Offensive rebound by C. Felício,,6,3
28,1,8:10.0,D. Valentine misses 2-pt jump shot from 19 ft,,6,3
29,1,8:08.0,,Defensive rebound by E. Freedom,6,3
30,1,7:51.0,,T. Hardaway misses 3-pt jump shot from 25 ft,6,3
31,1,7:49.0,Defensive rebound by C. Felício,,6,3
32,1,7:38.0,J. Holiday misses 3-pt jump shot from 25 ft,,6,3
33,1,7:36.0,,Defensive rebound by E. Mudiay,6,3
34,1,7:33.0,,Turnover by E. Mudiay (bad pass),6,3
35,1,7:23.0,P. Zipser misses 3-pt jump shot from 25 ft,,6,3
36,1,7:21.0,,Defensive rebound by E. Freedom,6,3
37,1,7:12.0,,E. Freedom makes 2-pt jump shot from 16 ft,6,5
38,1,6:47.0,Turnover by J. Holiday (lost ball; steal by M. Beasley),,6,5
39,1,6:42.0,,E. Mudiay misses 2-pt layup from 2 ft (block by C. Payne),6,5
40,1,6:40.0,,Offensive rebound by E. Freedom,6,5
41,1,6:40.0,,E. Freedom makes 2-pt layup at rim,6,7
42,1,6:23.0,P. Zipser makes 2-pt jump shot from 4 ft (assist by C. Payne),,8,7
43,1,6:10.0,,C. Lee misses 2-pt jump shot from 12 ft,8,7
44,1,6:08.0,,Offensive rebound by M. Beasley,8,7
45,1,6:08.0,,M. Beasley makes 2-pt layup at rim,8,9
46,1,5:59.0,D. Valentine misses 3-pt jump shot from 22 ft,,8,9
47,1,5:58.0,,Defensive rebound by E. Freedom,8,9
48,1,5:52.0,,T. Hardaway makes 3-pt jump shot from 25 ft (assist by E. Freedom),8,12
49,1,5:49.0,Chicago full timeout,,8,12
50,1,5:49.0,B. Portis enters the game for P. Zipser,,8,12
51,1,5:39.0,C. Payne misses 2-pt jump shot from 6 ft (block by E. Mudiay),,8,12
52,1,5:37.0,Offensive rebound by C. Payne,,8,12
53,1,5:33.0,C. Payne makes 2-pt layup at rim,,10,12
54,1,5:23.0,,Turnover by T. Hardaway (lost ball; steal by J. Holiday),10,12
55,1,5:13.0,D. Valentine misses 2-pt jump shot from 15 ft,,10,12
56,1,5:08.0,,Defensive rebound by C. Lee,10,12
57,1,5:02.0,,T. Hardaway misses 3-pt jump shot from 25 ft,10,12
58,1,5:00.0,Defensive rebound by C. Felício,,10,12
59,1,4:39.0,D. Valentine misses 3-pt jump shot from 24 ft,,10,12
60,1,4:37.0,,Defensive rebound by E. Freedom,10,12
61,1,4:30.0,,M. Beasley misses 3-pt jump shot from 26 ft,10,12
62,1,4:28.0,Defensive rebound by C. Payne,,10,12
63,1,4:22.0,Turnover by C. Payne (bad pass; steal by E. Mudiay),,10,12
64,1,4:20.0,,E. Mudiay misses 2-pt layup from 1 ft (block by C. Felício),10,12
65,1,4:19.0,,Offensive rebound by Team,10,12
66,1,4:19.0,,I. Hicks enters the game for M. Beasley,10,12
67,1,4:19.0,D. Nwaba enters the game for D. Valentine,,10,12
68,1,4:19.0,J. Grant enters the game for C. Payne,,10,12
69,1,4:19.0,,Turnover by Team (turnover),10,12
70,1,4:19.0,,F. Ntilikina enters the game for C. Lee,10,12
71,1,4:09.0,J. Holiday misses 3-pt jump shot from 25 ft,,10,12
72,1,4:07.0,,Defensive rebound by F. Ntilikina,10,12
73,1,3:57.0,,I. Hicks misses 2-pt jump shot from 16 ft,10,12
74,1,3:55.0,,Offensive rebound by E. Freedom,10,12
75,1,3:54.0,,E. Freedom misses 2-pt layup from 1 ft (block by D. Nwaba),10,12
76,1,3:53.0,,Offensive rebound by I. Hicks,10,12
77,1,3:51.0,,I. Hicks makes 2-pt layup from 1 ft,10,14
78,1,3:33.0,B. Portis misses 2-pt hook shot from 5 ft,,10,14
79,1,3:31.0,,Defensive rebound by I. Hicks,10,14
80,1,3:23.0,,F. Ntilikina misses 3-pt jump shot from 23 ft,10,14
81,1,3:20.0,,Offensive rebound by E. Freedom,10,14
82,1,3:19.0,,E. Freedom misses 2-pt layup from 1 ft,10,14
83,1,3:18.0,Defensive rebound by B. Portis,,10,14
84,1,2:57.0,B. Portis makes 2-pt jump shot from 12 ft,,12,14
85,1,2:38.0,,E. Mudiay misses 2-pt jump shot from 14 ft,12,14
86,1,2:36.0,,Offensive rebound by Team,12,14
87,1,2:36.0,,New York full timeout,12,14
88,1,2:36.0,,T. Williams enters the game for E. Freedom,12,14
89,1,2:36.0,,K. O'Quinn enters the game for E. Mudiay,12,14
90,1,2:36.0,A. Blakeney enters the game for J. Holiday,,12,14
91,1,2:24.0,,T. Hardaway misses 3-pt jump shot from 23 ft,12,14
92,1,2:22.0,Defensive rebound by Team,,12,14
93,1,2:11.0,D. Nwaba misses 2-pt layup from 1 ft,,12,14
94,1,2:10.0,Offensive rebound by Team,,12,14
95,1,2:10.0,N. Vonleh enters the game for C. Felício,,12,14
96,1,2:01.0,B. Portis misses 3-pt jump shot from 25 ft,,12,14
97,1,1:59.0,Offensive rebound by N. Vonleh,,12,14
98,1,1:54.0,Turnover by A. Blakeney (traveling),,12,14
99,1,1:41.0,,T. Hardaway misses 2-pt layup from 4 ft,12,14
100,1,1:39.0,Defensive rebound by N. Vonleh,,12,14
101,1,1:35.0,A. Blakeney makes 2-pt layup from 1 ft (assist by D. Nwaba),,14,14
102,1,1:23.0,,Personal foul by J. Grant (drawn by F. Ntilikina),14,14
103,1,1:23.0,,T. Burke enters the game for T. Hardaway,14,14
104,1,1:16.0,,I. Hicks misses 2-pt jump shot from 16 ft,14,14
105,1,1:14.0,,Offensive rebound by T. Burke,14,14
106,1,1:11.0,,T. Burke makes 2-pt jump shot from 22 ft,14,16
107,1,0:55.0,B. Portis makes 2-pt layup at rim (assist by A. Blakeney),,16,16
108,1,0:55.0,Shooting foul by I. Hicks (drawn by B. Portis),,16,16
109,1,0:55.0,B. Portis misses free throw 1 of 1,,16,16
110,1,0:55.0,,Defensive rebound by I. Hicks,16,16
111,1,0:36.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),16,19
112,1,0:30.0,Shooting foul by T. Burke (drawn by J. Grant),,16,19
113,1,0:30.0,J. Grant makes free throw 1 of 2,,17,19
114,1,0:30.0,J. Grant makes free throw 2 of 2,,18,19
115,1,0:17.0,,Def 3 sec tech foul by N. Vonleh,18,19
116,1,0:17.0,,T. Burke misses technical free throw,18,19
117,1,0:17.0,,Offensive rebound by Team,18,19
118,1,0:04.0,,Offensive foul by K. O'Quinn (drawn by A. Blakeney),18,19
119,1,0:04.0,,Turnover by K. O'Quinn (offensive foul),18,19
120,2,11:46.0,B. Portis makes 2-pt jump shot from 13 ft (assist by D. Nwaba),,20,19
121,2,11:21.0,,F. Ntilikina misses 2-pt jump shot from 21 ft,20,19
122,2,11:19.0,,Offensive rebound by I. Hicks,20,19
123,2,11:19.0,,I. Hicks misses 2-pt layup from 1 ft,20,19
124,2,11:18.0,,Offensive rebound by T. Williams,20,19
125,2,11:18.0,,Shooting foul by N. Vonleh (drawn by T. Williams),20,19
126,2,11:18.0,,T. Williams makes free throw 1 of 2,20,20
127,2,11:18.0,,T. Williams makes free throw 2 of 2,20,21
128,2,11:07.0,Personal foul by I. Hicks (drawn by J. Grant),,20,21
129,2,11:01.0,D. Nwaba misses 3-pt jump shot from 23 ft,,20,21
130,2,10:58.0,,Defensive rebound by I. Hicks,20,21
131,2,10:52.0,,K. O'Quinn misses 2-pt layup from 1 ft (block by A. Blakeney),20,21
132,2,10:51.0,,Offensive rebound by Team,20,21
133,2,10:49.0,,T. Burke makes 2-pt jump shot from 15 ft (assist by T. Williams),20,23
134,2,10:36.0,N. Vonleh misses 2-pt hook shot from 4 ft,,20,23
135,2,10:34.0,,Defensive rebound by T. Williams,20,23
136,2,10:23.0,,T. Burke misses 3-pt jump shot from 25 ft,20,23
137,2,10:21.0,Defensive rebound by N. Vonleh,,20,23
138,2,10:15.0,A. Blakeney misses 2-pt jump shot from 3 ft,,20,23
139,2,10:13.0,,Defensive rebound by K. O'Quinn,20,23
140,2,10:08.0,,F. Ntilikina makes 2-pt layup from 1 ft,20,25
141,2,9:56.0,J. Grant makes 2-pt layup from 1 ft (assist by B. Portis),,22,25
142,2,9:50.0,Offensive charge foul by T. Burke (drawn by A. Blakeney),,22,25
143,2,9:50.0,,Turnover by T. Burke (offensive foul),22,25
144,2,9:37.0,D. Nwaba misses 2-pt layup from 3 ft,,22,25
145,2,9:35.0,,Defensive rebound by K. O'Quinn,22,25
146,2,9:17.0,,T. Williams misses 2-pt hook shot from 4 ft,22,25
147,2,9:15.0,Defensive rebound by B. Portis,,22,25
148,2,9:06.0,J. Grant misses 2-pt jump shot from 10 ft,,22,25
149,2,9:04.0,Offensive rebound by B. Portis,,22,25
150,2,9:04.0,B. Portis misses 2-pt layup at rim,,22,25
151,2,9:02.0,Offensive rebound by N. Vonleh,,22,25
152,2,9:00.0,N. Vonleh makes 2-pt layup at rim,,24,25
153,2,8:50.0,,Turnover by T. Williams (bad pass; steal by J. Grant),24,25
154,2,8:45.0,A. Blakeney misses 3-pt jump shot from 23 ft,,24,25
155,2,8:43.0,Offensive rebound by D. Nwaba,,24,25
156,2,8:38.0,N. Vonleh makes 3-pt jump shot from 27 ft (assist by D. Nwaba),,27,25
157,2,8:36.0,,New York full timeout,27,25
158,2,8:36.0,,T. Hardaway enters the game for I. Hicks,27,25
159,2,8:36.0,,M. Beasley enters the game for K. O'Quinn,27,25
160,2,8:36.0,,L. Kornet enters the game for F. Ntilikina,27,25
161,2,8:24.0,,Shooting foul by N. Vonleh (drawn by M. Beasley),27,25
162,2,8:24.0,,M. Beasley makes free throw 1 of 2,27,26
163,2,8:24.0,,M. Beasley makes free throw 2 of 2,27,27
164,2,8:09.0,N. Vonleh makes 2-pt dunk at rim,,29,27
165,2,7:59.0,,T. Hardaway makes 2-pt jump shot from 20 ft (assist by T. Burke),29,29
166,2,7:47.0,J. Grant misses 2-pt jump shot from 6 ft,,29,29
167,2,7:45.0,,Defensive rebound by T. Williams,29,29
168,2,7:36.0,,M. Beasley makes 2-pt jump shot from 21 ft,29,31
169,2,7:24.0,B. Portis misses 2-pt jump shot from 11 ft,,29,31
170,2,7:22.0,,Defensive rebound by L. Kornet,29,31
171,2,7:02.0,,T. Hardaway misses 3-pt jump shot from 26 ft,29,31
172,2,7:00.0,Defensive rebound by B. Portis,,29,31
173,2,6:53.0,J. Grant misses 3-pt jump shot from 26 ft,,29,31
174,2,6:51.0,,Defensive rebound by T. Williams,29,31
175,2,6:40.0,,L. Kornet misses 3-pt jump shot from 25 ft,29,31
176,2,6:38.0,Defensive rebound by D. Nwaba,,29,31
177,2,6:33.0,B. Portis makes 2-pt layup from 1 ft (assist by D. Nwaba),,31,31
178,2,6:33.0,Shooting foul by M. Beasley (drawn by B. Portis),,31,31
179,2,6:33.0,C. Payne enters the game for J. Grant,,31,31
180,2,6:33.0,P. Zipser enters the game for D. Nwaba,,31,31
181,2,6:33.0,B. Portis makes free throw 1 of 1,,32,31
182,2,6:17.0,,T. Williams makes 2-pt layup from 1 ft (assist by L. Kornet),32,33
183,2,6:07.0,B. Portis makes 2-pt dunk from 1 ft (assist by P. Zipser),,34,33
184,2,5:51.0,,L. Kornet misses 3-pt jump shot from 25 ft,34,33
185,2,5:49.0,Defensive rebound by N. Vonleh,,34,33
186,2,5:40.0,A. Blakeney misses 3-pt jump shot from 25 ft,,34,33
187,2,5:38.0,,Defensive rebound by T. Williams,34,33
188,2,5:25.0,,L. Kornet makes 3-pt jump shot from 25 ft (assist by T. Burke),34,36
189,2,5:01.0,B. Portis makes 3-pt jump shot from 26 ft (assist by C. Payne),,37,36
190,2,4:43.0,,T. Williams makes 2-pt dunk at rim (assist by M. Beasley),37,38
191,2,4:23.0,Turnover by A. Blakeney (lost ball; steal by T. Hardaway),,37,38
192,2,4:18.0,,Turnover by T. Hardaway (bad pass; steal by P. Zipser),37,38
193,2,4:14.0,A. Blakeney misses 2-pt layup from 2 ft (block by T. Williams),,37,38
194,2,4:13.0,Offensive rebound by Team,,37,38
195,2,4:13.0,,E. Mudiay enters the game for T. Williams,37,38
196,2,4:13.0,,C. Lee enters the game for T. Burke,37,38
197,2,4:13.0,C. Felício enters the game for B. Portis,,37,38
198,2,4:13.0,D. Valentine enters the game for A. Blakeney,,37,38
199,2,4:04.0,C. Payne misses 3-pt jump shot from 23 ft,,37,38
200,2,4:02.0,,Defensive rebound by M. Beasley,37,38
201,2,3:53.0,,C. Lee misses 3-pt jump shot from 23 ft,37,38
202,2,3:51.0,Defensive rebound by P. Zipser,,37,38
203,2,3:44.0,C. Payne misses 3-pt jump shot from 27 ft,,37,38
204,2,3:42.0,,Defensive rebound by L. Kornet,37,38
205,2,3:33.0,,L. Kornet misses 3-pt jump shot from 26 ft,37,38
206,2,3:31.0,Defensive rebound by D. Valentine,,37,38
207,2,3:31.0,Chicago full timeout,,37,38
208,2,3:31.0,,E. Freedom enters the game for L. Kornet,37,38
209,2,3:31.0,D. Nwaba enters the game for N. Vonleh,,37,38
210,2,3:13.0,C. Payne misses 2-pt jump shot from 13 ft,,37,38
211,2,3:11.0,,Defensive rebound by E. Freedom,37,38
212,2,2:57.0,,E. Mudiay misses 2-pt jump shot from 11 ft,37,38
213,2,2:55.0,Defensive rebound by C. Payne,,37,38
214,2,2:47.0,Turnover by C. Felício (traveling),,37,38
215,2,2:31.0,,M. Beasley makes 2-pt jump shot from 14 ft (assist by C. Lee),37,40
216,2,2:16.0,Personal foul by C. Lee (drawn by D. Valentine),,37,40
217,2,2:10.0,P. Zipser misses 3-pt jump shot from 25 ft,,37,40
218,2,2:08.0,,Defensive rebound by T. Hardaway,37,40
219,2,1:56.0,,M. Beasley misses 2-pt jump shot from 11 ft,37,40
220,2,1:54.0,,Offensive rebound by E. Freedom,37,40
221,2,1:52.0,,E. Freedom makes 2-pt layup at rim,37,42
222,2,1:29.0,Turnover by Team (shot clock),,37,42
223,2,1:19.0,,M. Beasley makes 3-pt jump shot from 23 ft (assist by E. Mudiay),37,45
224,2,1:06.0,D. Valentine misses 3-pt jump shot from 26 ft,,37,45
225,2,1:03.0,,Defensive rebound by E. Freedom,37,45
