,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
0,1,11:45.0,J. Murray makes 2-pt jump shot from 7 ft (assist by W. Barton),,2,0
1,1,11:45.0,,Violation by A. Drummond (def goaltending),2,0
2,1,11:27.0,Personal foul by A. Drummond (drawn by W. Chandler),,2,0
3,1,11:27.0,,Turnover by A. Drummond (turnover),2,0
4,1,11:05.0,W. Barton misses 2-pt jump shot from 16 ft,,2,0
5,1,11:02.0,,Defensive rebound by A. Drummond,2,0
6,1,11:02.0,,Turnover by A. Drummond (out of bounds lost ball),2,0
7,1,10:53.0,Turnover by J. Murray (lost ball; steal by R. Bullock),,2,0
8,1,10:41.0,,A. Bradley misses 2-pt jump shot from 23 ft,2,0
9,1,10:39.0,Defensive rebound by M. Plumlee,,2,0
10,1,10:29.0,M. Plumlee misses 2-pt hook shot from 2 ft,,2,0
11,1,10:27.0,,Defensive rebound by T. Harris,2,0
12,1,10:22.0,,Turnover by T. Harris (bad pass),2,0
13,1,10:06.0,G. Harris misses 2-pt jump shot from 6 ft,,2,0
14,1,10:01.0,Offensive rebound by M. Plumlee,,2,0
15,1,9:59.0,J. Murray misses 2-pt layup from 5 ft (block by A. Drummond),,2,0
16,1,9:56.0,,Defensive rebound by A. Drummond,2,0
17,1,9:51.0,,R. Bullock misses 3-pt jump shot from 26 ft,2,0
18,1,9:48.0,,Offensive rebound by A. Drummond,2,0
19,1,9:48.0,,Shooting foul by M. Plumlee (drawn by A. Drummond),2,0
20,1,9:48.0,,A. Drummond makes free throw 1 of 2,2,1
21,1,9:48.0,,A. Drummond misses free throw 2 of 2,2,1
22,1,9:46.0,Defensive rebound by M. Plumlee,,2,1
23,1,9:30.0,M. Plumlee makes 2-pt jump shot from 15 ft,,4,1
24,1,9:13.0,,R. Jackson makes 2-pt layup from 4 ft,4,3
25,1,8:55.0,W. Chandler makes 2-pt layup from 1 ft (assist by W. Barton),,6,3
26,1,8:39.0,,T. Harris misses 3-pt jump shot from 25 ft,6,3
27,1,8:35.0,Defensive rebound by G. Harris,,6,3
28,1,8:27.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Murray),,9,3
29,1,8:08.0,,Shooting foul by G. Harris (drawn by A. Bradley),9,3
30,1,8:08.0,,A. Bradley makes free throw 1 of 2,9,4
31,1,8:08.0,,A. Bradley makes free throw 2 of 2,9,5
32,1,7:54.0,M. Plumlee makes 2-pt layup from 2 ft (assist by W. Barton),,11,5
33,1,7:36.0,Personal foul by T. Harris (drawn by J. Murray),,11,5
34,1,7:36.0,,Turnover by T. Harris (turnover),11,5
35,1,7:14.0,W. Chandler misses 2-pt jump shot from 8 ft,,11,5
36,1,7:10.0,,Defensive rebound by R. Jackson,11,5
37,1,6:58.0,,A. Bradley misses 2-pt jump shot from 20 ft,11,5
38,1,6:56.0,Defensive rebound by J. Murray,,11,5
39,1,6:54.0,,Detroit full timeout,11,5
40,1,6:48.0,W. Chandler misses 3-pt jump shot from 25 ft,,11,5
41,1,6:45.0,,Defensive rebound by A. Drummond,11,5
42,1,6:40.0,,R. Jackson misses 3-pt jump shot from 25 ft,11,5
43,1,6:38.0,Defensive rebound by W. Barton,,11,5
44,1,6:35.0,Turnover by W. Barton (bad pass; steal by R. Bullock),,11,5
45,1,6:25.0,,Turnover by A. Bradley (bad pass),11,5
46,1,6:09.0,Turnover by J. Murray (bad pass; steal by T. Harris),,11,5
47,1,6:02.0,,R. Jackson makes 3-pt jump shot from 29 ft,11,8
48,1,5:36.0,G. Harris misses 2-pt jump shot from 13 ft,,11,8
49,1,5:33.0,,Defensive rebound by R. Jackson,11,8
50,1,5:30.0,,A. Bradley misses 3-pt jump shot from 25 ft,11,8
51,1,5:26.0,,Offensive rebound by A. Drummond,11,8
52,1,5:22.0,,A. Bradley misses 2-pt layup from 4 ft,11,8
53,1,5:22.0,Defensive rebound by M. Plumlee,,11,8
54,1,5:11.0,G. Harris misses 2-pt layup from 2 ft (block by R. Jackson),,11,8
55,1,5:08.0,,Defensive rebound by T. Harris,11,8
56,1,5:04.0,,R. Jackson misses 3-pt jump shot from 25 ft,11,8
57,1,5:02.0,,Offensive rebound by Team,11,8
58,1,4:49.0,,Turnover by A. Drummond (lost ball; steal by M. Plumlee),11,8
59,1,4:44.0,J. Murray makes 2-pt layup from 1 ft (assist by W. Chandler),,13,8
60,1,4:42.0,,Turnover by T. Harris (bad pass; steal by G. Harris),13,8
