,QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
0,1,11:42.0,,M. Morris makes 2-pt jump shot from 13 ft,0,2
1,1,11:42.0,,Shooting foul by S. Ibaka (drawn by M. Morris),0,2
2,1,11:42.0,,M. Morris makes free throw 1 of 1,0,3
3,1,11:30.0,D. DeRozan makes 2-pt jump shot from 18 ft,,2,3
4,1,11:08.0,,M. Morris misses 2-pt jump shot from 12 ft,2,3
5,1,11:06.0,Defensive rebound by S. Ibaka,,2,3
6,1,11:01.0,K. Lowry misses 2-pt layup from 2 ft (block by M. Gortat),,2,3
7,1,11:01.0,,Defensive rebound by M. Morris,2,3
8,1,10:54.0,,Shooting foul by J. Valančiūnas (drawn by M. Gortat),2,3
9,1,10:54.0,,M. Gortat makes free throw 1 of 2,2,4
10,1,10:54.0,,M. Gortat makes free throw 2 of 2,2,5
11,1,10:42.0,D. DeRozan misses 2-pt layup from 3 ft,,2,5
12,1,10:36.0,Offensive rebound by J. Valančiūnas,,2,5
13,1,10:36.0,J. Valančiūnas makes 2-pt layup at rim,,4,5
14,1,10:18.0,,Turnover by M. Gortat (bad pass; steal by K. Lowry),4,5
15,1,10:15.0,D. DeRozan misses 2-pt layup from 2 ft,,4,5
16,1,10:15.0,,Defensive rebound by Team,4,5
17,1,10:05.0,,B. Beal makes 2-pt jump shot from 14 ft,4,7
18,1,9:48.0,J. Valančiūnas misses 2-pt hook shot from 11 ft,,4,7
19,1,9:46.0,,Defensive rebound by J. Wall,4,7
20,1,9:42.0,,J. Wall makes 2-pt jump shot from 16 ft,4,9
21,1,9:26.0,Turnover by K. Lowry (lost ball; steal by J. Wall),,4,9
22,1,9:21.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),4,12
23,1,9:20.0,Toronto full timeout,,4,12
24,1,9:10.0,Personal foul by K. Oubre (drawn by D. DeRozan),,4,12
25,1,8:57.0,D. DeRozan misses 3-pt jump shot from 27 ft,,4,12
26,1,8:54.0,Offensive rebound by J. Valančiūnas,,4,12
27,1,8:50.0,O. Anunoby misses 3-pt jump shot from 22 ft,,4,12
28,1,8:46.0,,Defensive rebound by M. Gortat,4,12
29,1,8:33.0,,Personal foul by K. Lowry (drawn by M. Morris),4,12
30,1,8:28.0,,B. Beal misses 2-pt jump shot from 12 ft,4,12
31,1,8:27.0,,Offensive rebound by M. Morris,4,12
32,1,8:25.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Morris),4,15
33,1,8:12.0,Personal block foul by J. Wall (drawn by O. Anunoby),,4,15
34,1,8:00.0,K. Lowry makes 2-pt layup from 2 ft,,6,15
35,1,7:54.0,,J. Wall makes 3-pt jump shot from 24 ft,6,18
36,1,7:40.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by S. Ibaka),,9,18
37,1,7:25.0,,B. Beal makes 2-pt jump shot from 18 ft,9,20
38,1,7:06.0,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by K. Lowry),,11,20
39,1,6:53.0,,M. Morris misses 3-pt jump shot from 25 ft,11,20
40,1,6:50.0,,Offensive rebound by J. Wall,11,20
41,1,6:48.0,,J. Wall misses 3-pt jump shot from 24 ft,11,20
42,1,6:45.0,,Offensive rebound by M. Morris,11,20
43,1,6:44.0,,K. Oubre misses 3-pt jump shot from 24 ft,11,20
44,1,6:41.0,Defensive rebound by J. Valančiūnas,,11,20
45,1,6:29.0,S. Ibaka misses 2-pt jump shot from 15 ft,,11,20
46,1,6:25.0,,Defensive rebound by K. Oubre,11,20
47,1,6:23.0,,Personal foul by D. DeRozan (drawn by J. Wall),11,20
48,1,6:11.0,,J. Wall misses 2-pt jump shot from 11 ft,11,20
49,1,6:08.0,,Offensive rebound by M. Gortat,11,20
50,1,6:08.0,,M. Gortat misses 2-pt layup at rim,11,20
51,1,6:08.0,Defensive rebound by Team,,11,20
52,1,5:53.0,D. DeRozan misses 3-pt jump shot from 27 ft,,11,20
53,1,5:50.0,,Defensive rebound by M. Morris,11,20
54,1,5:37.0,,K. Oubre misses 2-pt jump shot from 7 ft,11,20
55,1,5:35.0,Defensive rebound by J. Valančiūnas,,11,20
56,1,5:29.0,S. Ibaka makes 2-pt jump shot from 8 ft (assist by K. Lowry),,13,20
57,1,5:10.0,,J. Wall misses 2-pt layup from 3 ft,13,20
58,1,5:10.0,,Offensive rebound by Team,13,20
59,1,5:10.0,,M. Scott enters the game for M. Morris,13,20
60,1,5:00.0,J. Poeltl enters the game for J. Valančiūnas,,13,20
61,1,4:48.0,,M. Scott makes 2-pt jump shot from 13 ft (assist by J. Wall),13,22
62,1,4:28.0,D. DeRozan misses 2-pt jump shot from 13 ft,,13,22
63,1,4:25.0,,Defensive rebound by M. Gortat,13,22
64,1,4:10.0,,B. Beal misses 2-pt layup from 4 ft,13,22
65,1,4:08.0,Defensive rebound by D. DeRozan,,13,22
66,1,4:01.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,16,22
67,1,3:59.0,,Washington full timeout,16,22
68,1,3:59.0,,I. Mahinmi enters the game for K. Oubre,16,22
69,1,3:59.0,,T. Satoranský enters the game for M. Gortat,16,22
70,1,3:59.0,C. Miles enters the game for O. Anunoby,,16,22
71,1,3:42.0,,M. Scott misses 2-pt jump shot from 11 ft,16,22
72,1,3:39.0,Defensive rebound by K. Lowry,,16,22
73,1,3:35.0,S. Ibaka misses 2-pt hook shot from 11 ft,,16,22
74,1,3:33.0,Offensive rebound by S. Ibaka,,16,22
75,1,3:30.0,C. Miles misses 3-pt jump shot from 27 ft,,16,22
76,1,3:30.0,,Defensive rebound by M. Scott,16,22
77,1,3:22.0,,Turnover by J. Wall (bad pass),16,22
78,1,3:15.0,S. Ibaka misses 2-pt jump shot from 18 ft,,16,22
79,1,3:12.0,,Defensive rebound by M. Scott,16,22
80,1,3:06.0,,T. Satoranský misses 3-pt jump shot from 23 ft,16,22
81,1,3:05.0,,Offensive rebound by Team,16,22
82,1,3:05.0,P. Siakam enters the game for S. Ibaka,,16,22
83,1,3:05.0,,T. Lawson enters the game for B. Beal,16,22
84,1,2:51.0,,Shooting foul by J. Poeltl (drawn by I. Mahinmi),16,22
85,1,2:51.0,,I. Mahinmi makes free throw 1 of 2,16,23
86,1,2:51.0,,I. Mahinmi makes free throw 2 of 2,16,24
87,1,2:37.0,K. Lowry misses 3-pt jump shot from 27 ft,,16,24
88,1,2:33.0,,Defensive rebound by M. Scott,16,24
89,1,2:24.0,,J. Wall misses 2-pt layup from 2 ft,16,24
90,1,2:22.0,Defensive rebound by P. Siakam,,16,24
91,1,2:18.0,Personal foul by I. Mahinmi (drawn by K. Lowry),,16,24
92,1,2:18.0,D. Wright enters the game for K. Lowry,,16,24
93,1,2:14.0,D. DeRozan makes 2-pt jump shot from 15 ft,,18,24
94,1,1:52.0,,Personal foul by J. Poeltl (drawn by M. Scott),18,24
95,1,1:52.0,,M. Scott makes free throw 1 of 2,18,25
96,1,1:52.0,J. Valančiūnas enters the game for J. Poeltl,,18,25
97,1,1:52.0,,M. Scott makes free throw 2 of 2,18,26
98,1,1:39.0,J. Valančiūnas misses 2-pt jump shot from 11 ft,,18,26
99,1,1:34.0,Offensive rebound by D. Wright,,18,26
100,1,1:34.0,D. Wright misses 2-pt layup at rim,,18,26
101,1,1:32.0,,Defensive rebound by T. Lawson,18,26
102,1,1:29.0,,M. Scott makes 2-pt layup at rim (assist by J. Wall),18,28
103,1,1:12.0,P. Siakam makes 2-pt jump shot from 19 ft (assist by D. DeRozan),,20,28
104,1,0:50.0,,M. Scott makes 2-pt jump shot from 12 ft (assist by J. Wall),20,30
105,1,0:34.0,J. Valančiūnas misses 2-pt hook shot from 15 ft,,20,30
106,1,0:30.0,,Defensive rebound by T. Lawson,20,30
107,1,0:08.0,,J. Wall misses 2-pt jump shot from 14 ft,20,30
108,1,0:05.0,Defensive rebound by J. Valančiūnas,,20,30
109,1,0:01.0,D. DeRozan misses 2-pt jump shot from 7 ft,,20,30
110,1,0:01.0,Offensive rebound by Team,,20,30
111,2,11:44.0,D. Wright makes 2-pt jump shot from 8 ft,,22,30
112,2,11:26.0,,T. Lawson makes 2-pt jump shot from 15 ft,22,32
113,2,11:09.0,C. Miles misses 2-pt jump shot from 15 ft,,22,32
114,2,11:04.0,Offensive rebound by J. Valančiūnas,,22,32
115,2,11:04.0,J. Valančiūnas makes 2-pt layup at rim,,24,32
116,2,10:57.0,,I. Mahinmi misses 2-pt jump shot from 6 ft,24,32
117,2,10:54.0,Defensive rebound by J. Valančiūnas,,24,32
118,2,10:48.0,J. Valančiūnas makes 2-pt dunk from 3 ft (assist by F. VanVleet),,26,32
119,2,10:28.0,,B. Beal misses 3-pt jump shot from 25 ft,26,32
120,2,10:25.0,Defensive rebound by F. VanVleet,,26,32
121,2,10:16.0,Turnover by F. VanVleet (bad pass; steal by M. Scott),,26,32
122,2,10:16.0,Violation by P. Siakam (kicked ball),,26,32
123,2,10:04.0,,M. Scott misses 2-pt jump shot from 10 ft (block by P. Siakam),26,32
124,2,10:04.0,,Offensive rebound by Team,26,32
125,2,10:02.0,,M. Scott misses 2-pt layup from 3 ft (block by J. Valančiūnas),26,32
126,2,9:59.0,Defensive rebound by P. Siakam,,26,32
127,2,9:49.0,D. Wright misses 2-pt jump shot from 11 ft,,26,32
128,2,9:45.0,,Defensive rebound by M. Scott,26,32
129,2,9:36.0,,T. Lawson misses 3-pt jump shot from 25 ft,26,32
130,2,9:32.0,Defensive rebound by F. VanVleet,,26,32
131,2,9:29.0,C. Miles makes 2-pt dunk from 2 ft (assist by F. VanVleet),,28,32
132,2,9:28.0,,Washington full timeout,28,32
133,2,9:28.0,,M. Morris enters the game for M. Scott,28,32
134,2,9:13.0,,I. Mahinmi makes 2-pt hook shot from 7 ft (assist by B. Beal),28,34
135,2,9:00.0,F. VanVleet makes 2-pt jump shot from 16 ft,,30,34
136,2,8:35.0,,B. Beal misses 2-pt jump shot from 14 ft,30,34
137,2,8:33.0,Defensive rebound by P. Siakam,,30,34
138,2,8:16.0,P. Siakam makes 2-pt dunk from 3 ft (assist by F. VanVleet),,32,34
139,2,7:57.0,,Personal foul by F. VanVleet (drawn by T. Lawson),32,34
140,2,7:57.0,,K. Oubre enters the game for T. Lawson,32,34
141,2,7:57.0,,J. Wall enters the game for I. Mahinmi,32,34
142,2,7:57.0,,M. Gortat enters the game for T. Satoranský,32,34
143,2,7:55.0,,Turnover by B. Beal (bad pass; steal by D. Wright),32,34
144,2,7:53.0,Shooting foul by M. Morris (drawn by P. Siakam),,32,34
145,2,7:53.0,P. Siakam makes free throw 1 of 2,,33,34
146,2,7:53.0,P. Siakam misses free throw 2 of 2,,33,34
147,2,7:50.0,,Defensive rebound by K. Oubre,33,34
148,2,7:40.0,,Personal foul by P. Siakam (drawn by J. Wall),33,34
149,2,7:26.0,,J. Wall misses 3-pt jump shot from 26 ft,33,34
150,2,7:24.0,,Offensive rebound by M. Morris,33,34
151,2,7:21.0,,M. Morris makes 2-pt hook shot from 5 ft,33,36
152,2,7:02.0,Turnover by C. Miles (traveling),,33,36
153,2,6:49.0,,K. Oubre misses 3-pt jump shot from 25 ft,33,36
154,2,6:46.0,Defensive rebound by F. VanVleet,,33,36
155,2,6:42.0,F. VanVleet misses 3-pt jump shot from 26 ft,,33,36
156,2,6:38.0,,Defensive rebound by M. Gortat,33,36
157,2,6:18.0,,M. Morris makes 2-pt jump shot from 16 ft,33,38
158,2,5:56.0,Personal foul by K. Oubre (drawn by F. VanVleet),,33,38
159,2,5:56.0,K. Lowry enters the game for C. Miles,,33,38
160,2,5:56.0,D. DeRozan enters the game for D. Wright,,33,38
161,2,5:49.0,K. Lowry makes 2-pt jump shot from 13 ft,,35,38
162,2,5:29.0,,Turnover by B. Beal (bad pass),35,38
163,2,5:24.0,K. Lowry makes 2-pt jump shot from 10 ft,,37,38
164,2,5:09.0,,J. Wall makes 2-pt layup from 2 ft,37,40
165,2,5:01.0,F. VanVleet misses 2-pt jump shot from 14 ft,,37,40
166,2,4:58.0,,Defensive rebound by M. Morris,37,40
167,2,4:57.0,,Personal foul by P. Siakam (drawn by K. Oubre),37,40
168,2,4:57.0,J. Poeltl enters the game for J. Valančiūnas,,37,40
169,2,4:57.0,S. Ibaka enters the game for P. Siakam,,37,40
170,2,4:37.0,,B. Beal makes 2-pt layup from 1 ft,37,42
171,2,4:29.0,K. Lowry misses 3-pt jump shot from 28 ft,,37,42
172,2,4:25.0,,Defensive rebound by M. Morris,37,42
173,2,4:10.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),37,45
174,2,3:59.0,Toronto full timeout,,37,45
175,2,3:59.0,O. Anunoby enters the game for F. VanVleet,,37,45
176,2,3:51.0,D. DeRozan misses 2-pt jump shot from 17 ft,,37,45
177,2,3:49.0,,Defensive rebound by Team,37,45
178,2,3:28.0,,B. Beal misses 2-pt jump shot from 20 ft,37,45
179,2,3:25.0,,Offensive rebound by M. Morris,37,45
180,2,3:19.0,,J. Wall makes 2-pt jump shot from 14 ft,37,47
181,2,3:03.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,39,47
182,2,2:49.0,,Shooting foul by O. Anunoby (drawn by B. Beal),39,47
183,2,2:49.0,,B. Beal makes free throw 1 of 2,39,48
184,2,2:49.0,,B. Beal makes free throw 2 of 2,39,49
185,2,2:40.0,K. Lowry makes 3-pt jump shot from 27 ft,,42,49
186,2,2:24.0,,J. Wall makes 2-pt layup at rim,42,51
187,2,2:02.0,O. Anunoby makes 3-pt jump shot from 27 ft (assist by K. Lowry),,45,51
188,2,1:37.0,,M. Morris makes 2-pt jump shot from 7 ft,45,53
189,2,1:27.0,K. Lowry misses 2-pt layup from 5 ft,,45,53
190,2,1:27.0,,Defensive rebound by Team,45,53
191,2,1:16.0,,M. Gortat misses 2-pt layup at rim (block by S. Ibaka),45,53
192,2,1:12.0,Defensive rebound by J. Poeltl,,45,53
193,2,1:10.0,D. DeRozan makes 2-pt layup from 2 ft,,47,53
194,2,1:05.0,,Turnover by B. Beal (bad pass),47,53
195,2,1:05.0,,T. Satoranský enters the game for K. Oubre,47,53
196,2,0:50.0,K. Lowry makes 3-pt jump shot from 27 ft,,50,53
197,2,0:40.0,,B. Beal misses 3-pt jump shot from 25 ft,50,53
198,2,0:37.0,Defensive rebound by Team,,50,53
199,2,0:34.0,Personal foul by B. Beal (drawn by K. Lowry),,50,53
200,2,0:30.0,K. Lowry misses 3-pt jump shot from 28 ft (block by B. Beal),,50,53
201,2,0:27.0,,Defensive rebound by J. Wall,50,53
202,2,0:03.0,,J. Wall misses 2-pt jump shot from 19 ft,50,53
203,2,0:02.0,,Offensive rebound by M. Morris,50,53
204,2,0:01.0,,B. Beal misses 2-pt jump shot from 23 ft,50,53
205,2,0:01.0,,Offensive rebound by Team,50,53
206,3,11:47.0,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by K. Lowry),,52,53
207,3,11:30.0,,Shooting foul by K. Lowry (drawn by B. Beal),52,53
208,3,11:30.0,,B. Beal makes free throw 1 of 2,52,54
209,3,11:30.0,,B. Beal makes free throw 2 of 2,52,55
210,3,11:17.0,O. Anunoby makes 2-pt dunk from 1 ft (assist by D. DeRozan),,54,55
211,3,10:55.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),54,58
212,3,10:46.0,S. Ibaka misses 2-pt hook shot from 9 ft,,54,58
213,3,10:43.0,,Defensive rebound by M. Gortat,54,58
214,3,10:33.0,,Turnover by J. Wall (bad pass),54,58
215,3,10:21.0,Turnover by K. Lowry (step out of bounds),,54,58
216,3,10:11.0,,Personal foul by D. DeRozan (drawn by M. Morris),54,58
217,3,10:04.0,,M. Gortat misses 2-pt layup from 5 ft (block by J. Valančiūnas),54,58
218,3,10:00.0,Defensive rebound by S. Ibaka,,54,58
219,3,9:53.0,Shooting foul by B. Beal (drawn by O. Anunoby),,54,58
220,3,9:53.0,O. Anunoby makes free throw 1 of 2,,55,58
221,3,9:53.0,O. Anunoby makes free throw 2 of 2,,56,58
222,3,9:38.0,,J. Wall makes 2-pt jump shot from 19 ft,56,60
223,3,9:23.0,Shooting block foul by M. Gortat (drawn by J. Valančiūnas),,56,60
224,3,9:23.0,J. Valančiūnas makes free throw 1 of 2,,57,60
225,3,9:23.0,J. Valančiūnas makes free throw 2 of 2,,58,60
226,3,9:03.0,,J. Wall makes 2-pt layup from 1 ft (assist by M. Gortat),58,62
227,3,8:47.0,S. Ibaka misses 3-pt jump shot from 26 ft,,58,62
228,3,8:44.0,,Defensive rebound by K. Oubre,58,62
229,3,8:38.0,,K. Oubre misses 2-pt layup from 2 ft,58,62
230,3,8:35.0,Defensive rebound by K. Lowry,,58,62
231,3,8:32.0,Shooting foul by K. Oubre (drawn by K. Lowry),,58,62
232,3,8:32.0,K. Lowry makes free throw 1 of 2,,59,62
233,3,8:32.0,K. Lowry misses free throw 2 of 2,,59,62
234,3,8:29.0,Offensive rebound by Team,,59,62
235,3,8:08.0,D. DeRozan makes 2-pt jump shot from 8 ft,,61,62
236,3,7:52.0,,B. Beal misses 3-pt jump shot from 25 ft,61,62
237,3,7:48.0,,Offensive rebound by M. Morris,61,62
238,3,7:42.0,,J. Wall misses 3-pt jump shot from 26 ft,61,62
239,3,7:40.0,Defensive rebound by K. Lowry,,61,62
240,3,7:40.0,Personal take foul by M. Morris (drawn by K. Lowry),,61,62
241,3,7:22.0,S. Ibaka misses 3-pt jump shot from 24 ft,,61,62
242,3,7:18.0,,Defensive rebound by M. Morris,61,62
243,3,7:03.0,,J. Wall makes 2-pt jump shot from 17 ft,61,64
244,3,6:52.0,Toronto full timeout,,61,64
245,3,6:42.0,Shooting foul by K. Oubre (drawn by D. DeRozan),,61,64
246,3,6:42.0,D. DeRozan makes free throw 1 of 2,,62,64
247,3,6:42.0,,T. Satoranský enters the game for K. Oubre,62,64
248,3,6:42.0,D. DeRozan makes free throw 2 of 2,,63,64
249,3,6:33.0,,Offensive foul by M. Morris (drawn by S. Ibaka),63,64
250,3,6:33.0,,Turnover by M. Morris (offensive foul),63,64
251,3,6:22.0,D. DeRozan makes 2-pt dunk at rim (assist by K. Lowry),,65,64
252,3,5:56.0,,T. Satoranský misses 2-pt jump shot from 16 ft,65,64
253,3,5:53.0,Defensive rebound by J. Valančiūnas,,65,64
254,3,5:30.0,S. Ibaka misses 2-pt layup from 4 ft (block by M. Morris),,65,64
255,3,5:30.0,Offensive rebound by Team,,65,64
256,3,5:30.0,Turnover by Team (shot clock),,65,64
257,3,5:16.0,,J. Wall makes 2-pt jump shot from 17 ft,65,66
258,3,4:48.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by K. Lowry),,67,66
259,3,4:31.0,,Turnover by M. Morris (bad pass; steal by J. Valančiūnas),67,66
260,3,4:17.0,D. DeRozan misses 2-pt jump shot from 9 ft,,67,66
261,3,4:13.0,,Defensive rebound by M. Morris,67,66
262,3,4:08.0,,J. Wall misses 2-pt jump shot from 3 ft,67,66
263,3,4:08.0,Defensive rebound by O. Anunoby,,67,66
264,3,3:55.0,Offensive foul by J. Valančiūnas (drawn by J. Wall),,67,66
265,3,3:55.0,Turnover by J. Valančiūnas (offensive foul),,67,66
266,3,3:55.0,,M. Scott enters the game for M. Gortat,67,66
267,3,3:55.0,D. Wright enters the game for O. Anunoby,,67,66
268,3,3:43.0,,Turnover by J. Wall (bad pass; steal by D. Wright),67,66
269,3,3:40.0,D. Wright misses 2-pt layup from 2 ft (block by J. Wall),,67,66
270,3,3:37.0,,Defensive rebound by B. Beal,67,66
271,3,3:35.0,,B. Beal makes 3-pt jump shot from 27 ft,67,69
272,3,3:21.0,J. Valančiūnas misses 2-pt layup from 4 ft,,67,69
273,3,3:21.0,Offensive rebound by J. Valančiūnas,,67,69
274,3,3:18.0,J. Valančiūnas misses 2-pt layup from 1 ft,,67,69
275,3,3:17.0,Offensive rebound by J. Valančiūnas,,67,69
276,3,3:16.0,J. Valančiūnas misses 2-pt layup from 2 ft,,67,69
277,3,3:16.0,,Defensive rebound by J. Wall,67,69
278,3,3:15.0,,Washington full timeout,67,69
279,3,3:15.0,,T. Lawson enters the game for J. Wall,67,69
280,3,3:15.0,J. Poeltl enters the game for S. Ibaka,,67,69
281,3,3:15.0,C. Miles enters the game for J. Valančiūnas,,67,69
282,3,3:12.0,,M. Morris misses 3-pt jump shot from 26 ft,67,69
283,3,3:09.0,Defensive rebound by J. Poeltl,,67,69
284,3,3:01.0,C. Miles misses 3-pt jump shot from 25 ft,,67,69
285,3,2:55.0,,Defensive rebound by B. Beal,67,69
286,3,2:44.0,,Turnover by B. Beal (bad pass),67,69
287,3,2:30.0,C. Miles misses 2-pt jump shot from 16 ft,,67,69
288,3,2:27.0,,Defensive rebound by M. Scott,67,69
289,3,2:16.0,,Shooting foul by C. Miles (drawn by T. Lawson),67,69
290,3,2:16.0,,T. Lawson makes free throw 1 of 2,67,70
291,3,2:16.0,F. VanVleet enters the game for K. Lowry,,67,70
292,3,2:16.0,,T. Lawson makes free throw 2 of 2,67,71
293,3,1:57.0,C. Miles makes 2-pt jump shot from 9 ft,,69,71
294,3,1:41.0,,Personal foul by C. Miles (drawn by M. Scott),69,71
295,3,1:38.0,,Shooting foul by J. Poeltl (drawn by M. Morris),69,71
296,3,1:38.0,,M. Morris makes free throw 1 of 2,69,72
297,3,1:38.0,,M. Morris misses free throw 2 of 2,69,72
298,3,1:36.0,Defensive rebound by D. DeRozan,,69,72
299,3,1:23.0,D. DeRozan misses 2-pt jump shot from 12 ft,,69,72
300,3,1:16.0,Offensive rebound by J. Poeltl,,69,72
301,3,1:16.0,J. Poeltl makes 2-pt layup at rim,,71,72
302,3,1:02.0,,Shooting foul by J. Poeltl (drawn by B. Beal),71,72
303,3,1:02.0,,B. Beal makes free throw 1 of 2,71,73
304,3,1:02.0,,B. Beal makes free throw 2 of 2,71,74
305,3,0:38.0,F. VanVleet misses 3-pt jump shot from 29 ft (block by B. Beal),,71,74
306,3,0:35.0,,Defensive rebound by M. Morris,71,74
307,3,0:27.0,,B. Beal makes 2-pt jump shot from 7 ft,71,76
308,3,0:08.0,D. DeRozan makes 2-pt jump shot from 12 ft,,73,76
309,3,0:01.0,,B. Beal misses 2-pt jump shot from 12 ft,73,76
310,3,0:00.0,,Offensive rebound by T. Satoranský,73,76
311,3,0:00.0,,T. Satoranský makes 2-pt layup at rim,73,78
312,4,11:39.0,,M. Morris misses 2-pt layup from 1 ft,73,78
313,4,11:37.0,Defensive rebound by D. Wright,,73,78
314,4,11:33.0,Shooting foul by T. Satoranský (drawn by J. Poeltl),,73,78
315,4,11:33.0,J. Poeltl makes free throw 1 of 2,,74,78
316,4,11:33.0,,J. Wall enters the game for B. Beal,74,78
317,4,11:33.0,J. Poeltl makes free throw 2 of 2,,75,78
318,4,11:17.0,,M. Scott misses 2-pt jump shot from 12 ft,75,78
319,4,11:13.0,Defensive rebound by J. Poeltl,,75,78
320,4,10:56.0,,M. Gortat enters the game for M. Morris,75,78
321,4,10:52.0,J. Poeltl misses 3-pt jump shot from 25 ft,,75,78
322,4,10:49.0,,Defensive rebound by J. Wall,75,78
323,4,10:41.0,,J. Wall misses 2-pt jump shot from 16 ft,75,78
324,4,10:38.0,Defensive rebound by J. Poeltl,,75,78
325,4,10:21.0,F. VanVleet makes 3-pt jump shot from 28 ft (assist by J. Poeltl),,78,78
326,4,9:58.0,,Shooting foul by P. Siakam (drawn by J. Wall),78,78
327,4,9:58.0,,J. Wall makes free throw 1 of 2,78,79
328,4,9:58.0,,B. Beal enters the game for T. Satoranský,78,79
329,4,9:58.0,,J. Wall makes free throw 2 of 2,78,80
330,4,9:36.0,P. Siakam makes 2-pt hook shot from 12 ft,,80,80
