,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
0,1,11:43.0,,Turnover by J. Nurkić (bad pass; steal by T. Ross),0,0
1,1,11:26.0,N. Vučević misses 2-pt jump shot from 15 ft,,0,0
2,1,11:23.0,,Defensive rebound by D. Lillard,0,0
3,1,11:16.0,,Shooting foul by A. Gordon (drawn by C. Swanigan),0,0
4,1,11:16.0,,C. Swanigan misses free throw 1 of 2,0,0
5,1,11:16.0,,Offensive rebound by Team,0,0
6,1,11:16.0,,C. Swanigan misses free throw 2 of 2,0,0
7,1,11:14.0,Defensive rebound by T. Ross,,0,0
8,1,11:07.0,E. Payton makes 2-pt jump shot from 20 ft,,2,0
9,1,10:48.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by D. Lillard),2,2
10,1,10:48.0,,Shooting foul by E. Payton (drawn by J. Nurkić),2,2
11,1,10:48.0,,J. Nurkić makes free throw 1 of 1,2,3
12,1,10:35.0,A. Gordon makes 2-pt jump shot from 16 ft (assist by N. Vučević),,4,3
13,1,10:25.0,,D. Lillard misses 2-pt jump shot from 13 ft,4,3
14,1,10:22.0,,Offensive rebound by D. Lillard,4,3
15,1,10:21.0,,D. Lillard misses 2-pt jump shot from 13 ft,4,3
16,1,10:21.0,Defensive rebound by N. Vučević,,4,3
17,1,10:16.0,E. Fournier makes 2-pt layup at rim (assist by E. Payton),,6,3
18,1,10:00.0,,M. Harkless misses 2-pt jump shot from 22 ft,6,3
19,1,9:58.0,Defensive rebound by A. Gordon,,6,3
20,1,9:43.0,E. Fournier makes 2-pt jump shot from 7 ft,,8,3
21,1,9:23.0,,Turnover by C. Swanigan (lost ball; steal by T. Ross),8,3
22,1,9:14.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by T. Ross),,11,3
23,1,8:53.0,,Turnover by D. Lillard (bad pass; steal by T. Ross),11,3
24,1,8:48.0,E. Payton makes 2-pt jump shot from 12 ft,,13,3
25,1,8:47.0,,Portland full timeout,13,3
26,1,8:37.0,,Turnover by C. McCollum (turnover),13,3
27,1,8:19.0,E. Payton misses 2-pt jump shot from 8 ft,,13,3
28,1,8:17.0,,Defensive rebound by J. Nurkić,13,3
29,1,8:06.0,,C. McCollum makes 3-pt jump shot from 25 ft,13,6
30,1,7:46.0,N. Vučević makes 2-pt jump shot from 19 ft,,15,6
31,1,7:23.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by J. Nurkić),15,9
32,1,7:10.0,E. Fournier makes 2-pt layup from 2 ft,,17,9
33,1,7:02.0,,Shooting foul by T. Ross (drawn by D. Lillard),17,9
34,1,7:02.0,,D. Lillard misses free throw 1 of 2,17,9
35,1,7:02.0,,Offensive rebound by Team,17,9
36,1,7:02.0,,D. Lillard makes free throw 2 of 2,17,10
37,1,6:44.0,E. Payton makes 2-pt layup from 1 ft,,19,10
38,1,6:29.0,,J. Nurkić misses 2-pt hook shot from 6 ft,19,10
39,1,6:26.0,,Offensive rebound by Team,19,10
40,1,6:26.0,,N. Vonleh enters the game for C. Swanigan,19,10
41,1,6:21.0,,D. Lillard makes 3-pt jump shot from 24 ft,19,13
42,1,6:05.0,E. Fournier misses 3-pt jump shot from 25 ft,,19,13
43,1,6:04.0,,Defensive rebound by N. Vonleh,19,13
44,1,5:43.0,,J. Nurkić misses 3-pt jump shot from 25 ft,19,13
45,1,5:41.0,Defensive rebound by A. Gordon,,19,13
46,1,5:31.0,Turnover by N. Vučević (bad pass),,19,13
47,1,5:31.0,,E. Turner enters the game for M. Harkless,19,13
48,1,5:25.0,,D. Lillard makes 2-pt layup at rim,19,15
49,1,5:09.0,E. Payton makes 3-pt jump shot from 26 ft (assist by E. Fournier),,22,15
50,1,4:46.0,,C. McCollum misses 3-pt jump shot from 23 ft,22,15
51,1,4:45.0,Defensive rebound by N. Vučević,,22,15
52,1,4:34.0,E. Fournier misses 3-pt jump shot from 25 ft,,22,15
53,1,4:32.0,Offensive rebound by T. Ross,,22,15
54,1,4:26.0,A. Gordon misses 3-pt jump shot from 22 ft,,22,15
55,1,4:22.0,,Defensive rebound by J. Nurkić,22,15
56,1,4:13.0,,D. Lillard misses 3-pt jump shot from 30 ft,22,15
57,1,4:10.0,Defensive rebound by N. Vučević,,22,15
58,1,3:57.0,A. Gordon makes 3-pt jump shot from 26 ft (assist by N. Vučević),,25,15
59,1,3:40.0,,Shooting foul by E. Fournier (drawn by C. McCollum),25,15
60,1,3:40.0,,C. McCollum makes free throw 1 of 2,25,16
61,1,3:40.0,,E. Davis enters the game for J. Nurkić,25,16
62,1,3:40.0,J. Simmons enters the game for E. Payton,,25,16
63,1,3:40.0,S. Mack enters the game for T. Ross,,25,16
64,1,3:40.0,,C. McCollum makes free throw 2 of 2,25,17
65,1,3:25.0,N. Vučević makes 2-pt hook shot from 14 ft,,27,17
66,1,3:17.0,,D. Lillard misses 2-pt layup at rim,27,17
67,1,3:14.0,Defensive rebound by S. Mack,,27,17
68,1,3:10.0,N. Vučević makes 2-pt layup at rim (assist by A. Gordon),,29,17
69,1,2:44.0,,D. Lillard misses 2-pt layup at rim,29,17
70,1,2:43.0,,Offensive rebound by N. Vonleh,29,17
71,1,2:40.0,,N. Vonleh makes 2-pt layup at rim,29,19
72,1,2:34.0,A. Gordon misses 2-pt jump shot from 15 ft,,29,19
73,1,2:31.0,,Defensive rebound by D. Lillard,29,19
74,1,2:17.0,,N. Vonleh makes 2-pt hook shot from 7 ft,29,21
75,1,2:16.0,Orlando full timeout,,29,21
76,1,2:16.0,,P. Connaughton enters the game for C. McCollum,29,21
77,1,1:52.0,A. Gordon misses 3-pt jump shot from 25 ft,,29,21
78,1,1:52.0,,Defensive rebound by Team,29,21
79,1,1:52.0,B. Biyombo enters the game for A. Gordon,,29,21
80,1,1:52.0,M. Speights enters the game for N. Vučević,,29,21
81,1,1:33.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by P. Connaughton),29,24
82,1,1:15.0,Shooting foul by N. Vonleh (drawn by E. Fournier),,29,24
83,1,1:15.0,E. Fournier makes free throw 1 of 2,,30,24
84,1,1:15.0,E. Fournier makes free throw 2 of 2,,31,24
85,1,1:04.0,,E. Turner misses 3-pt jump shot from 24 ft,31,24
86,1,1:02.0,Defensive rebound by B. Biyombo,,31,24
87,1,0:50.0,S. Mack misses 2-pt layup from 1 ft (block by E. Davis),,31,24
88,1,0:47.0,,Defensive rebound by E. Turner,31,24
89,1,0:33.0,,P. Connaughton misses 3-pt jump shot from 27 ft,31,24
90,1,0:29.0,Defensive rebound by B. Biyombo,,31,24
91,1,0:09.0,J. Simmons makes 2-pt layup from 1 ft,,33,24
92,1,0:00.0,,P. Connaughton misses 3-pt jump shot from 22 ft,33,24
93,1,0:00.0,,Offensive rebound by Team,33,24
94,2,11:44.0,M. Speights makes 3-pt jump shot from 26 ft (assist by J. Simmons),,36,24
