,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
0,1,11:40.0,,C. Capela makes 2-pt dunk at rim (assist by J. Harden),0,2
1,1,11:19.0,C. LeVert misses 2-pt jump shot from 12 ft,,0,2
2,1,11:16.0,,Defensive rebound by T. Ariza,0,2
3,1,11:05.0,,T. Ariza misses 2-pt layup at rim (block by T. Booker),0,2
4,1,11:02.0,Defensive rebound by J. Harris,,0,2
5,1,10:58.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,0,2
6,1,10:54.0,,Defensive rebound by C. Capela,0,2
7,1,10:50.0,,C. Paul misses 3-pt jump shot from 25 ft,0,2
8,1,10:50.0,Defensive rebound by S. Dinwiddie,,0,2
9,1,10:40.0,T. Booker misses 2-pt hook shot from 3 ft,,0,2
10,1,10:40.0,,Defensive rebound by J. Harden,0,2
11,1,10:33.0,,R. Anderson misses 3-pt jump shot from 24 ft,0,2
12,1,10:33.0,Defensive rebound by J. Harris,,0,2
13,1,10:24.0,J. Harris makes 2-pt layup at rim (assist by T. Zeller),,2,2
14,1,10:14.0,,Personal foul by S. Dinwiddie (drawn by C. Capela),2,2
15,1,10:09.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by C. Capela),2,5
16,1,9:49.0,J. Harris makes 3-pt jump shot from 25 ft (assist by C. LeVert),,5,5
17,1,9:27.0,,J. Harden makes 2-pt jump shot from 16 ft,5,7
18,1,9:06.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by C. LeVert),,8,7
19,1,8:47.0,,R. Anderson makes 2-pt jump shot from 3 ft (assist by C. Paul),8,9
20,1,8:27.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,8,9
21,1,8:23.0,,Defensive rebound by J. Harden,8,9
22,1,8:17.0,,R. Anderson misses 3-pt jump shot from 22 ft,8,9
23,1,8:15.0,Defensive rebound by S. Dinwiddie,,8,9
24,1,8:09.0,J. Harris misses 3-pt jump shot from 26 ft,,8,9
25,1,8:07.0,,Defensive rebound by R. Anderson,8,9
26,1,7:59.0,,C. Capela makes 2-pt dunk from 1 ft (assist by C. Paul),8,11
27,1,7:46.0,Shooting foul by J. Harden (drawn by C. LeVert),,8,11
28,1,7:46.0,C. LeVert makes free throw 1 of 2,,9,11
29,1,7:46.0,C. LeVert misses free throw 2 of 2,,9,11
30,1,7:44.0,,Defensive rebound by J. Harden,9,11
31,1,7:29.0,,J. Harden makes 3-pt jump shot from 25 ft,9,14
32,1,7:08.0,T. Booker makes 3-pt jump shot from 23 ft (assist by C. LeVert),,12,14
33,1,6:53.0,,J. Harden makes 3-pt jump shot from 25 ft,12,17
34,1,6:37.0,Turnover by T. Booker (lost ball; steal by J. Harden),,12,17
