,QUARTER,TIME_REMAINING,ORLANDO_ACTION,HOUSTON_ACTION,ORLANDO_SCORE,HOUSTON_SCORE
0,1,11:37.0,,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),0,2
1,1,11:16.0,E. Fournier makes 2-pt layup at rim (assist by M. Hezonja),,2,2
2,1,10:58.0,,J. Harden misses 3-pt jump shot from 25 ft,2,2
3,1,10:55.0,Defensive rebound by B. Biyombo,,2,2
4,1,10:45.0,J. Simmons makes 2-pt jump shot from 13 ft (assist by B. Biyombo),,4,2
5,1,10:24.0,,C. Capela misses 2-pt hook shot from 8 ft,4,2
6,1,10:22.0,Defensive rebound by M. Hezonja,,4,2
7,1,10:18.0,M. Hezonja makes 2-pt layup from 2 ft,,6,2
8,1,10:05.0,,J. Harden makes 2-pt layup at rim,6,4
9,1,9:48.0,J. Simmons misses 3-pt jump shot from 25 ft,,6,4
10,1,9:44.0,,Defensive rebound by C. Capela,6,4
11,1,9:34.0,,L. Mbah a Moute misses 3-pt jump shot from 25 ft,6,4
12,1,9:32.0,Defensive rebound by J. Simmons,,6,4
13,1,9:24.0,J. Simmons misses 2-pt layup from 1 ft,,6,4
14,1,9:22.0,Offensive rebound by B. Biyombo,,6,4
15,1,9:20.0,B. Biyombo makes 2-pt layup from 1 ft,,8,4
16,1,9:11.0,,Turnover by R. Anderson (offensive goaltending),8,4
17,1,8:52.0,E. Fournier misses 3-pt jump shot from 26 ft,,8,4
18,1,8:50.0,,Defensive rebound by R. Anderson,8,4
19,1,8:39.0,,J. Harden makes 2-pt layup from 1 ft,8,6
20,1,8:25.0,B. Biyombo misses 2-pt layup from 1 ft,,8,6
21,1,8:23.0,,Defensive rebound by C. Capela,8,6
22,1,8:14.0,,Personal foul by M. Hezonja (drawn by J. Harden),8,6
23,1,8:03.0,,C. Capela misses 2-pt layup from 1 ft,8,6
24,1,8:01.0,Defensive rebound by B. Biyombo,,8,6
25,1,7:50.0,E. Payton misses 2-pt jump shot from 4 ft,,8,6
