,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:40.0,,Shooting foul by T. Maker (drawn by K. Porziņģis),0,0
1,1,11:40.0,,K. Porziņģis misses free throw 1 of 2,0,0
2,1,11:40.0,,Offensive rebound by Team,0,0
3,1,11:40.0,,K. Porziņģis misses free throw 2 of 2,0,0
4,1,11:38.0,Defensive rebound by G. Antetokounmpo,,0,0
5,1,11:27.0,T. Snell misses 2-pt jump shot from 20 ft,,0,0
6,1,11:24.0,,Defensive rebound by K. Porziņģis,0,0
7,1,11:13.0,,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by T. Hardaway),0,2
8,1,10:49.0,Turnover by E. Bledsoe (bad pass),,0,2
9,1,10:34.0,,Shooting foul by G. Antetokounmpo (drawn by K. Porziņģis),0,2
10,1,10:34.0,,K. Porziņģis misses free throw 1 of 2,0,2
11,1,10:34.0,,Offensive rebound by Team,0,2
12,1,10:34.0,,K. Porziņģis makes free throw 2 of 2,0,3
13,1,10:22.0,E. Bledsoe makes 2-pt jump shot from 8 ft (assist by G. Antetokounmpo),,2,3
14,1,10:22.0,Shooting foul by J. Jack (drawn by E. Bledsoe),,2,3
15,1,10:22.0,E. Bledsoe makes free throw 1 of 1,,3,3
16,1,10:10.0,,Turnover by J. Jack (bad pass; steal by T. Snell),3,3
17,1,10:06.0,K. Middleton misses 2-pt layup from 2 ft,,3,3
18,1,10:03.0,,Defensive rebound by E. Freedom,3,3
19,1,10:01.0,,Turnover by T. Hardaway (lost ball; steal by T. Maker),3,3
20,1,9:56.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,6,3
21,1,9:38.0,,E. Freedom misses 2-pt layup from 1 ft,6,3
22,1,9:36.0,,Offensive rebound by E. Freedom,6,3
23,1,9:36.0,,E. Freedom misses 2-pt layup at rim,6,3
24,1,9:34.0,Defensive rebound by K. Middleton,,6,3
25,1,9:32.0,K. Middleton misses 2-pt layup from 2 ft,,6,3
26,1,9:32.0,,Defensive rebound by T. Hardaway,6,3
27,1,9:18.0,,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by C. Lee),6,5
28,1,8:53.0,Shooting foul by E. Freedom (drawn by E. Bledsoe),,6,5
29,1,8:53.0,E. Bledsoe makes free throw 1 of 2,,7,5
30,1,8:53.0,E. Bledsoe makes free throw 2 of 2,,8,5
31,1,8:42.0,,E. Freedom makes 2-pt layup at rim (assist by J. Jack),8,7
32,1,8:34.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,8,7
33,1,8:32.0,,Defensive rebound by E. Freedom,8,7
34,1,8:19.0,,T. Hardaway misses 3-pt jump shot from 25 ft,8,7
35,1,8:17.0,,Offensive rebound by E. Freedom,8,7
36,1,8:16.0,,E. Freedom makes 2-pt layup from 1 ft,8,9
37,1,8:04.0,T. Maker makes 2-pt jump shot from 16 ft (assist by T. Snell),,10,9
38,1,7:43.0,,C. Lee misses 2-pt layup from 3 ft,10,9
39,1,7:41.0,Defensive rebound by E. Bledsoe,,10,9
40,1,7:37.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by K. Porziņģis),,10,9
41,1,7:36.0,,Defensive rebound by Team,10,9
42,1,7:28.0,,J. Jack makes 2-pt layup at rim (assist by T. Hardaway),10,11
43,1,7:20.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,10,11
44,1,7:18.0,,Defensive rebound by E. Freedom,10,11
45,1,7:13.0,,T. Hardaway misses 2-pt layup from 1 ft (block by T. Snell),10,11
46,1,7:12.0,,Offensive rebound by Team,10,11
