,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
0,1,11:47.0,Turnover by E. Freedom (turnover),,0,0
1,1,11:37.0,,K. Love makes 2-pt layup from 1 ft (assist by L. James),0,2
2,1,11:19.0,K. Porziņģis makes 2-pt jump shot from 19 ft (assist by J. Jack),,2,2
3,1,11:02.0,,K. Love misses 2-pt jump shot from 12 ft,2,2
4,1,10:59.0,Defensive rebound by E. Freedom,,2,2
5,1,10:55.0,C. Lee makes 2-pt layup from 3 ft (assist by J. Jack),,4,2
6,1,10:34.0,,D. Rose misses 3-pt jump shot from 25 ft,4,2
7,1,10:32.0,Defensive rebound by C. Lee,,4,2
8,1,10:16.0,J. Jack misses 3-pt jump shot from 27 ft,,4,2
9,1,10:12.0,,Defensive rebound by K. Love,4,2
10,1,10:07.0,,Turnover by D. Rose (lost ball; steal by J. Jack),4,2
11,1,9:59.0,K. Porziņģis misses 2-pt jump shot from 19 ft,,4,2
12,1,9:56.0,,Defensive rebound by L. James,4,2
13,1,9:42.0,,Personal foul by T. Hardaway (drawn by L. James),4,2
14,1,9:35.0,,Offensive foul by K. Love (drawn by K. Porziņģis),4,2
15,1,9:35.0,,Turnover by K. Love (offensive foul),4,2
16,1,9:23.0,Turnover by J. Jack (bad pass; steal by K. Love),,4,2
17,1,9:11.0,,Shooting foul by J. Jack (drawn by D. Rose),4,2
18,1,9:11.0,,D. Rose makes free throw 1 of 2,4,3
19,1,9:11.0,,D. Rose makes free throw 2 of 2,4,4
20,1,9:02.0,Personal foul by J. Smith (drawn by T. Hardaway),,4,4
21,1,8:53.0,K. Porziņģis makes 2-pt jump shot from 18 ft,,6,4
22,1,8:39.0,,K. Love misses 3-pt jump shot from 26 ft,6,4
23,1,8:37.0,Defensive rebound by T. Hardaway,,6,4
24,1,8:33.0,E. Freedom makes 2-pt dunk at rim (assist by T. Hardaway),,8,4
25,1,8:10.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),8,7
26,1,7:58.0,E. Freedom makes 2-pt jump shot from 14 ft (assist by J. Jack),,10,7
27,1,7:38.0,,K. Love makes 3-pt jump shot from 23 ft (assist by L. James),10,10
28,1,7:14.0,T. Hardaway misses 2-pt layup from 2 ft,,10,10
29,1,7:10.0,,Defensive rebound by K. Love,10,10
