,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:49.0,,D. Cousins misses 2-pt jump shot from 20 ft,0,0
1,1,11:42.0,,Offensive rebound by A. Davis,0,0
2,1,11:38.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),0,2
3,1,11:21.0,J. Butler makes 2-pt jump shot from 19 ft (assist by K. Towns),,2,2
4,1,11:06.0,,Shooting foul by K. Towns (drawn by A. Davis),2,2
5,1,11:06.0,,A. Davis makes free throw 1 of 2,2,3
6,1,11:06.0,,A. Davis makes free throw 2 of 2,2,4
7,1,10:56.0,J. Butler misses 3-pt jump shot from 24 ft,,2,4
8,1,10:56.0,,Defensive rebound by Team,2,4
9,1,10:40.0,,A. Davis misses 2-pt hook shot from 10 ft,2,4
10,1,10:36.0,Defensive rebound by K. Towns,,2,4
11,1,10:30.0,A. Wiggins misses 3-pt jump shot from 28 ft,,2,4
12,1,10:27.0,,Defensive rebound by A. Davis,2,4
13,1,10:18.0,,D. Cousins misses 2-pt jump shot from 3 ft,2,4
14,1,10:18.0,Defensive rebound by K. Towns,,2,4
15,1,10:11.0,K. Towns misses 2-pt layup from 6 ft,,2,4
16,1,10:11.0,,Defensive rebound by R. Rondo,2,4
17,1,10:04.0,,J. Holiday misses 3-pt jump shot from 25 ft,2,4
18,1,10:04.0,Defensive rebound by K. Towns,,2,4
19,1,9:51.0,T. Gibson misses 2-pt jump shot from 15 ft,,2,4
20,1,9:51.0,,Defensive rebound by D. Cousins,2,4
21,1,9:36.0,,D. Cousins misses 3-pt jump shot from 25 ft,2,4
22,1,9:36.0,Defensive rebound by A. Wiggins,,2,4
23,1,9:15.0,A. Wiggins misses 2-pt jump shot from 16 ft,,2,4
24,1,9:12.0,,Defensive rebound by A. Davis,2,4
25,1,9:08.0,,E. Moore makes 2-pt jump shot from 14 ft (assist by J. Holiday),2,6
26,1,8:52.0,Turnover by K. Towns (bad pass; steal by D. Cousins),,2,6
27,1,8:45.0,,D. Cousins makes 2-pt dunk at rim,2,8
28,1,8:27.0,T. Jones misses 3-pt jump shot from 26 ft,,2,8
29,1,8:26.0,,Defensive rebound by Team,2,8
30,1,8:18.0,,J. Holiday makes 2-pt layup from 1 ft,2,10
31,1,8:13.0,Minnesota full timeout,,2,10
32,1,7:59.0,K. Towns makes 2-pt jump shot from 16 ft,,4,10
33,1,7:50.0,,Personal foul by T. Gibson (drawn by D. Cousins),4,10
34,1,7:44.0,,D. Cousins misses 2-pt layup from 1 ft,4,10
35,1,7:39.0,Defensive rebound by A. Wiggins,,4,10
36,1,7:31.0,Turnover by K. Towns (bad pass),,4,10
37,1,7:21.0,,Turnover by A. Davis (lost ball; steal by T. Jones),4,10
38,1,7:19.0,Personal foul by R. Rondo (drawn by T. Jones),,4,10
39,1,7:13.0,J. Butler makes 2-pt layup from 2 ft (assist by T. Gibson),,6,10
40,1,7:01.0,,E. Moore misses 3-pt jump shot from 22 ft,6,10
41,1,6:58.0,Defensive rebound by J. Butler,,6,10
42,1,6:50.0,Turnover by J. Butler (bad pass; steal by E. Moore),,6,10
43,1,6:45.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by J. Holiday),6,13
44,1,6:24.0,K. Towns misses 2-pt hook shot from 4 ft,,6,13
45,1,6:20.0,Offensive rebound by K. Towns,,6,13
46,1,6:20.0,K. Towns makes 2-pt layup at rim,,8,13
47,1,6:10.0,,A. Davis misses 2-pt hook shot from 4 ft,8,13
48,1,6:07.0,Defensive rebound by K. Towns,,8,13
49,1,6:04.0,T. Jones makes 2-pt jump shot from 13 ft,,10,13
50,1,5:47.0,,E. Moore misses 3-pt jump shot from 23 ft,10,13
51,1,5:43.0,,Offensive rebound by D. Cousins,10,13
52,1,5:41.0,,J. Holiday misses 3-pt jump shot from 23 ft,10,13
53,1,5:33.0,,Offensive rebound by D. Cousins,10,13
54,1,5:33.0,,D. Cousins makes 2-pt layup at rim,10,15
55,1,5:18.0,J. Butler misses 2-pt jump shot from 19 ft,,10,15
56,1,5:15.0,,Defensive rebound by D. Cousins,10,15
57,1,5:08.0,,D. Cousins makes 2-pt dunk from 1 ft,10,17
58,1,4:46.0,K. Towns makes 2-pt jump shot from 15 ft (assist by T. Gibson),,12,17
59,1,4:37.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),12,19
60,1,4:15.0,A. Wiggins misses 2-pt jump shot from 14 ft,,12,19
61,1,4:15.0,Offensive rebound by A. Wiggins,,12,19
62,1,4:05.0,T. Gibson misses 2-pt layup from 6 ft (block by D. Cousins),,12,19
63,1,4:05.0,Offensive rebound by T. Jones,,12,19
64,1,3:57.0,T. Jones misses 2-pt jump shot from 7 ft,,12,19
65,1,3:57.0,Offensive rebound by A. Wiggins,,12,19
66,1,3:57.0,A. Wiggins makes 2-pt layup from 2 ft,,14,19
67,1,3:53.0,,Turnover by R. Rondo (lost ball; steal by T. Gibson),14,19
68,1,3:49.0,J. Butler makes 2-pt layup from 2 ft (assist by T. Gibson),,16,19
69,1,3:40.0,,A. Davis makes 2-pt jump shot from 8 ft,16,21
70,1,3:18.0,,J. Nelson enters the game for A. Davis,16,21
71,1,3:18.0,,D. Cunningham enters the game for R. Rondo,16,21
72,1,3:18.0,J. Crawford enters the game for K. Towns,,16,21
73,1,3:18.0,G. Dieng enters the game for J. Butler,,16,21
74,1,3:15.0,J. Crawford makes 2-pt jump shot from 16 ft,,18,21
75,1,3:01.0,,E. Moore misses 3-pt jump shot from 25 ft,18,21
