,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,P. George misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,Defensive rebound by Z. Randolph,,0,0
2,1,11:25.0,Z. Randolph misses 2-pt jump shot from 14 ft,,0,0
3,1,11:22.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:16.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),0,3
5,1,10:56.0,J. Jackson misses 3-pt jump shot from 26 ft,,0,3
6,1,10:54.0,,Defensive rebound by C. Anthony,0,3
7,1,10:47.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by P. George),0,6
8,1,10:26.0,Z. Randolph misses 2-pt jump shot from 14 ft,,0,6
9,1,10:24.0,,Defensive rebound by P. George,0,6
10,1,10:17.0,,P. George misses 2-pt layup from 2 ft,0,6
11,1,10:16.0,Defensive rebound by Z. Randolph,,0,6
12,1,10:08.0,K. Koufos makes 2-pt dunk at rim (assist by D. Fox),,2,6
13,1,9:52.0,,C. Brewer misses 3-pt jump shot from 22 ft,2,6
14,1,9:48.0,Defensive rebound by K. Koufos,,2,6
15,1,9:41.0,Z. Randolph misses 2-pt jump shot at rim,,2,6
16,1,9:41.0,,Defensive rebound by C. Brewer,2,6
17,1,9:29.0,,P. George misses 2-pt jump shot from 16 ft,2,6
18,1,9:25.0,Defensive rebound by B. Bogdanović,,2,6
19,1,9:17.0,D. Fox makes 3-pt jump shot from 26 ft,,5,6
20,1,9:02.0,,C. Anthony makes 3-pt jump shot from 24 ft,5,9
21,1,8:43.0,J. Jackson makes 2-pt layup from 1 ft (assist by D. Fox),,7,9
22,1,8:34.0,,Personal foul by D. Fox (drawn by S. Adams),7,9
23,1,8:27.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),7,11
24,1,8:07.0,J. Jackson misses 3-pt jump shot from 23 ft,,7,11
25,1,8:04.0,,Defensive rebound by P. George,7,11
26,1,7:56.0,,C. Anthony misses 3-pt jump shot from 25 ft,7,11
27,1,7:53.0,Defensive rebound by J. Jackson,,7,11
28,1,7:44.0,Def 3 sec tech foul by S. Adams,,7,11
29,1,7:44.0,B. Bogdanović misses technical free throw,,7,11
30,1,7:44.0,Offensive rebound by Team,,7,11
31,1,7:29.0,D. Fox misses 2-pt jump shot from 21 ft,,7,11
32,1,7:27.0,,Defensive rebound by C. Brewer,7,11
33,1,7:19.0,,R. Westbrook misses 2-pt jump shot from 14 ft,7,11
34,1,7:17.0,Defensive rebound by K. Koufos,,7,11
35,1,7:02.0,K. Koufos misses 2-pt hook shot from 6 ft,,7,11
36,1,7:00.0,,Defensive rebound by S. Adams,7,11
37,1,6:57.0,,Shooting foul by K. Koufos (drawn by P. George),7,11
38,1,6:57.0,,Oklahoma City full timeout,7,11
39,1,6:57.0,,P. George makes free throw 1 of 2,7,12
40,1,6:57.0,,P. George misses free throw 2 of 2,7,12
41,1,6:54.0,Defensive rebound by K. Koufos,,7,12
42,1,6:34.0,D. Fox misses 3-pt jump shot from 25 ft,,7,12
43,1,6:32.0,,Defensive rebound by Team,7,12
44,1,6:22.0,,Personal foul by K. Koufos (drawn by C. Brewer),7,12
45,1,6:22.0,W. Cauley-Stein enters the game for K. Koufos,,7,12
46,1,6:22.0,G. Temple enters the game for J. Jackson,,7,12
47,1,6:18.0,,R. Westbrook makes 2-pt dunk from 1 ft,7,14
