,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,B. Lopez misses 2-pt layup from 9 ft,0,0
1,1,11:36.0,,Offensive rebound by L. Nance,0,0
2,1,11:36.0,,L. Nance makes 2-pt layup at rim,0,2
3,1,11:25.0,K. Oubre misses 3-pt jump shot from 25 ft,,0,2
4,1,11:19.0,,Defensive rebound by L. Ball,0,2
5,1,11:06.0,,B. Lopez misses 2-pt jump shot from 14 ft,0,2
6,1,11:01.0,,Offensive rebound by L. Nance,0,2
7,1,11:01.0,,L. Nance makes 2-pt layup at rim,0,4
8,1,10:42.0,J. Wall misses 2-pt jump shot from 16 ft,,0,4
9,1,10:39.0,,Defensive rebound by B. Ingram,0,4
10,1,10:34.0,,Turnover by B. Ingram (bad pass),0,4
11,1,10:24.0,Personal foul by L. Nance (drawn by J. Wall),,0,4
12,1,10:17.0,M. Gortat misses 2-pt jump shot from 15 ft,,0,4
13,1,10:14.0,,Defensive rebound by L. Nance,0,4
14,1,10:06.0,,B. Ingram misses 2-pt hook shot from 1 ft (block by K. Oubre),0,4
15,1,10:03.0,Defensive rebound by M. Gortat,,0,4
16,1,10:00.0,Turnover by J. Wall (lost ball; steal by L. Ball),,0,4
17,1,9:54.0,,B. Ingram makes 2-pt layup from 1 ft (assist by L. Ball),0,6
18,1,9:44.0,M. Gortat misses 2-pt jump shot from 6 ft,,0,6
19,1,9:41.0,,Defensive rebound by L. Ball,0,6
20,1,9:37.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,0,6
21,1,9:33.0,Defensive rebound by B. Beal,,0,6
22,1,9:23.0,Personal foul by L. Ball (drawn by J. Wall),,0,6
23,1,9:10.0,B. Beal misses 2-pt jump shot from 18 ft,,0,6
24,1,9:06.0,,Defensive rebound by L. Ball,0,6
25,1,8:55.0,,L. Nance misses 2-pt jump shot from 15 ft,0,6
26,1,8:52.0,Defensive rebound by M. Gortat,,0,6
27,1,8:45.0,B. Beal misses 3-pt jump shot from 26 ft,,0,6
28,1,8:44.0,Offensive rebound by Team,,0,6
29,1,8:44.0,,Loose ball foul by B. Lopez (drawn by M. Gortat),0,6
30,1,8:36.0,K. Oubre misses 2-pt layup from 3 ft (block by L. Ball),,0,6
31,1,8:33.0,,Defensive rebound by L. Nance,0,6
32,1,8:19.0,,L. Ball misses 2-pt jump shot from 1 ft,0,6
33,1,8:15.0,,Offensive rebound by L. Nance,0,6
34,1,8:11.0,,B. Ingram misses 3-pt jump shot from 25 ft,0,6
35,1,8:11.0,Defensive rebound by M. Gortat,,0,6
36,1,7:59.0,J. Wall makes 2-pt layup from 2 ft,,2,6
37,1,7:36.0,,B. Ingram makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),2,8
38,1,7:21.0,O. Porter makes 2-pt jump shot from 14 ft (assist by J. Wall),,4,8
39,1,6:57.0,,B. Lopez makes 2-pt jump shot from 9 ft (assist by B. Ingram),4,10
40,1,6:46.0,,LA Lakers full timeout,4,10
41,1,6:36.0,J. Wall misses 2-pt jump shot from 15 ft,,4,10
42,1,6:33.0,,Defensive rebound by L. Nance,4,10
43,1,6:10.0,,L. Nance makes 2-pt jump shot from 21 ft (assist by B. Lopez),4,12
44,1,5:51.0,B. Beal makes 3-pt jump shot from 25 ft (assist by O. Porter),,7,12
45,1,5:28.0,,B. Ingram misses 3-pt jump shot from 23 ft,7,12
46,1,5:25.0,Defensive rebound by M. Gortat,,7,12
47,1,5:19.0,K. Oubre makes 2-pt jump shot from 22 ft (assist by B. Beal),,9,12
48,1,5:02.0,,Turnover by K. Caldwell-Pope (bad pass; steal by J. Wall),9,12
49,1,5:01.0,Shooting foul by L. Ball (drawn by B. Beal),,9,12
50,1,5:01.0,B. Beal makes free throw 1 of 2,,10,12
51,1,5:01.0,,A. Bogut enters the game for B. Lopez,10,12
52,1,5:01.0,,J. Clarkson enters the game for L. Ball,10,12
53,1,5:01.0,B. Beal makes free throw 2 of 2,,11,12
54,1,4:43.0,,Personal foul by M. Gortat (drawn by B. Ingram),11,12
55,1,4:43.0,M. Scott enters the game for O. Porter,,11,12
56,1,4:32.0,,Shooting foul by M. Scott (drawn by J. Clarkson),11,12
57,1,4:32.0,,J. Clarkson misses free throw 1 of 2,11,12
58,1,4:32.0,,Offensive rebound by Team,11,12
59,1,4:32.0,,J. Clarkson makes free throw 2 of 2,11,13
60,1,4:19.0,B. Beal makes 2-pt jump shot from 17 ft,,13,13
61,1,4:01.0,,K. Caldwell-Pope makes 2-pt jump shot from 18 ft (assist by B. Ingram),13,15
62,1,3:43.0,Shooting foul by J. Clarkson (drawn by M. Gortat),,13,15
63,1,3:43.0,M. Gortat makes free throw 1 of 2,,14,15
64,1,3:43.0,,K. Kuzma enters the game for L. Nance,14,15
65,1,3:43.0,M. Gortat misses free throw 2 of 2,,14,15
66,1,3:43.0,,Defensive rebound by B. Ingram,14,15
67,1,3:21.0,,C. Brewer enters the game for B. Ingram,14,15
68,1,3:21.0,,LA Lakers full timeout,14,15
69,1,3:18.0,,Turnover by Team (shot clock),14,15
70,1,3:17.0,,J. Clarkson misses 2-pt jump shot from 20 ft,14,15
71,1,3:17.0,,Offensive rebound by Team,14,15
72,1,2:58.0,K. Oubre misses 3-pt jump shot from 24 ft,,14,15
73,1,2:55.0,,Defensive rebound by K. Caldwell-Pope,14,15
74,1,2:49.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft,14,17
75,1,2:37.0,Turnover by J. Wall (lost ball; steal by J. Clarkson),,14,17
76,1,2:33.0,Washington full timeout,,14,17
77,1,2:33.0,,J. Randle enters the game for A. Bogut,14,17
78,1,2:33.0,I. Mahinmi enters the game for J. Wall,,14,17
79,1,2:33.0,T. Frazier enters the game for M. Gortat,,14,17
80,1,2:32.0,,J. Clarkson makes 2-pt dunk from 1 ft,14,19
81,1,2:21.0,K. Oubre makes 2-pt layup from 2 ft,,16,19
82,1,1:58.0,,Turnover by J. Clarkson (lost ball; steal by T. Frazier),16,19
83,1,1:51.0,M. Scott makes 2-pt layup from 2 ft (assist by T. Frazier),,18,19
84,1,1:51.0,Shooting block foul by J. Randle (drawn by M. Scott),,18,19
85,1,1:51.0,,J. Hart enters the game for K. Caldwell-Pope,18,19
86,1,1:51.0,M. Scott misses free throw 1 of 1,,18,19
87,1,1:38.0,,Defensive rebound by J. Randle,18,19
88,1,1:21.0,,J. Randle makes 2-pt jump shot from 13 ft,18,21
89,1,1:06.0,Turnover by I. Mahinmi (lost ball; steal by J. Hart),,18,21
90,1,1:00.0,,J. Randle makes 2-pt dunk from 1 ft (assist by C. Brewer),18,23
91,1,0:37.0,T. Frazier misses 2-pt jump shot from 21 ft,,18,23
92,1,0:33.0,,Defensive rebound by J. Hart,18,23
93,1,0:28.0,,J. Randle misses 2-pt jump shot from 17 ft,18,23
