,QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
0,1,11:42.0,J. Valančiūnas makes 2-pt jump shot from 8 ft,,2,0
1,1,11:21.0,,E. Freedom makes 2-pt dunk from 1 ft (assist by T. Hardaway),2,2
2,1,11:06.0,Personal foul by E. Freedom (drawn by J. Valančiūnas),,2,2
3,1,11:01.0,Shooting foul by K. Porziņģis (drawn by D. DeRozan),,2,2
4,1,11:01.0,D. DeRozan misses free throw 1 of 2,,2,2
5,1,11:01.0,Offensive rebound by Team,,2,2
6,1,11:01.0,D. DeRozan makes free throw 2 of 2,,3,2
7,1,10:46.0,,C. Lee makes 2-pt jump shot from 3 ft,3,4
8,1,10:30.0,D. DeRozan misses 2-pt layup from 4 ft (block by K. Porziņģis),,3,4
9,1,10:29.0,,Defensive rebound by T. Hardaway,3,4
10,1,10:25.0,,K. Porziņģis makes 2-pt dunk at rim (assist by C. Lee),3,6
11,1,10:08.0,O. Anunoby makes 3-pt jump shot from 23 ft (assist by J. Valančiūnas),,6,6
12,1,9:51.0,,T. Hardaway misses 2-pt jump shot from 13 ft,6,6
13,1,9:50.0,Defensive rebound by K. Lowry,,6,6
14,1,9:45.0,K. Lowry misses 3-pt jump shot from 26 ft,,6,6
15,1,9:44.0,,Defensive rebound by K. Porziņģis,6,6
16,1,9:36.0,,Personal foul by O. Anunoby (drawn by T. Hardaway),6,6
17,1,9:32.0,,J. Jack misses 2-pt jump shot from 10 ft,6,6
18,1,9:31.0,Defensive rebound by K. Lowry,,6,6
19,1,9:26.0,S. Ibaka misses 2-pt jump shot from 16 ft,,6,6
20,1,9:22.0,Offensive rebound by J. Valančiūnas,,6,6
21,1,9:22.0,J. Valančiūnas misses 2-pt layup from 1 ft,,6,6
22,1,9:22.0,Offensive rebound by J. Valančiūnas,,6,6
23,1,9:17.0,J. Valančiūnas makes 2-pt layup at rim,,8,6
24,1,8:59.0,,J. Jack makes 2-pt jump shot from 15 ft,8,8
25,1,8:46.0,D. DeRozan makes 2-pt dunk from 1 ft (assist by K. Lowry),,10,8
26,1,8:25.0,,E. Freedom misses 2-pt jump shot from 5 ft (block by J. Valančiūnas),10,8
27,1,8:25.0,Defensive rebound by Team,,10,8
28,1,8:05.0,D. DeRozan makes 3-pt jump shot from 25 ft,,13,8
29,1,7:42.0,,T. Hardaway makes 3-pt jump shot from 25 ft,13,11
30,1,7:31.0,D. DeRozan misses 2-pt layup from 2 ft,,13,11
31,1,7:28.0,Offensive rebound by D. DeRozan,,13,11
32,1,7:26.0,S. Ibaka misses 3-pt jump shot from 24 ft,,13,11
33,1,7:24.0,,Defensive rebound by E. Freedom,13,11
34,1,7:17.0,,E. Freedom makes 2-pt hook shot at rim (assist by C. Lee),13,13
35,1,7:02.0,D. DeRozan makes 3-pt jump shot from 26 ft (assist by K. Lowry),,16,13
36,1,6:49.0,,T. Hardaway makes 2-pt jump shot from 16 ft (assist by C. Lee),16,15
37,1,6:38.0,S. Ibaka misses 3-pt jump shot from 24 ft,,16,15
38,1,6:35.0,,Defensive rebound by C. Lee,16,15
39,1,6:28.0,,K. Porziņģis misses 2-pt jump shot from 11 ft,16,15
40,1,6:27.0,Defensive rebound by K. Lowry,,16,15
41,1,6:22.0,Shooting foul by T. Hardaway (drawn by K. Lowry),,16,15
42,1,6:22.0,,New York full timeout,16,15
43,1,6:22.0,K. Lowry makes free throw 1 of 2,,17,15
44,1,6:22.0,K. Lowry misses free throw 2 of 2,,17,15
45,1,6:20.0,,Defensive rebound by K. Porziņģis,17,15
46,1,6:02.0,,Shooting foul by S. Ibaka (drawn by K. Porziņģis),17,15
47,1,6:02.0,,K. Porziņģis makes free throw 1 of 2,17,16
48,1,6:02.0,,K. Porziņģis makes free throw 2 of 2,17,17
49,1,5:38.0,D. DeRozan misses 3-pt jump shot from 28 ft,,17,17
50,1,5:37.0,,Defensive rebound by Team,17,17
51,1,5:23.0,,T. Hardaway misses 3-pt jump shot from 23 ft,17,17
52,1,5:20.0,,Offensive rebound by K. Porziņģis,17,17
53,1,5:18.0,,C. Lee misses 3-pt jump shot from 25 ft,17,17
54,1,5:17.0,Defensive rebound by O. Anunoby,,17,17
55,1,5:07.0,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by O. Anunoby),,19,17
56,1,4:55.0,,E. Freedom misses 2-pt jump shot from 3 ft (block by J. Valančiūnas),19,17
57,1,4:55.0,Defensive rebound by K. Lowry,,19,17
58,1,4:48.0,,Offensive charge foul by J. Valančiūnas (drawn by K. Porziņģis),19,17
59,1,4:48.0,Turnover by J. Valančiūnas (offensive foul),,19,17
60,1,4:48.0,N. Powell enters the game for O. Anunoby,,19,17
61,1,4:35.0,,Shooting foul by N. Powell (drawn by T. Hardaway),19,17
62,1,4:35.0,,T. Hardaway misses free throw 1 of 2,19,17
63,1,4:35.0,,Offensive rebound by Team,19,17
64,1,4:35.0,,T. Hardaway makes free throw 2 of 2,19,18
65,1,4:25.0,Turnover by J. Valančiūnas (lost ball; steal by E. Freedom),,19,18
66,1,4:22.0,,T. Hardaway misses 2-pt layup from 5 ft (block by S. Ibaka),19,18
67,1,4:22.0,,Offensive rebound by Team,19,18
68,1,4:22.0,,K. O'Quinn enters the game for E. Freedom,19,18
69,1,4:22.0,,D. McDermott enters the game for T. Hardaway,19,18
70,1,4:18.0,,K. O'Quinn misses 2-pt jump shot from 11 ft,19,18
71,1,4:15.0,Defensive rebound by D. DeRozan,,19,18
72,1,4:09.0,D. DeRozan makes 2-pt layup from 1 ft,,21,18
73,1,3:55.0,,K. Porziņģis makes 2-pt jump shot from 11 ft,21,20
74,1,3:42.0,S. Ibaka misses 2-pt hook shot from 4 ft,,21,20
75,1,3:39.0,,Defensive rebound by K. Porziņģis,21,20
76,1,3:35.0,,J. Jack misses 3-pt jump shot from 25 ft,21,20
