,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PHILADELPHIA_ACTION,MINNESOTA_SCORE,PHILADELPHIA_SCORE
0,1,11:33.0,N. Bjelica misses 2-pt hook shot from 6 ft,,0,0
1,1,11:31.0,,Defensive rebound by B. Simmons,0,0
2,1,11:26.0,,R. Covington misses 3-pt jump shot from 26 ft,0,0
3,1,11:22.0,Defensive rebound by K. Towns,,0,0
4,1,11:09.0,K. Towns makes 3-pt jump shot from 27 ft (assist by A. Wiggins),,3,0
5,1,10:57.0,,B. Simmons misses 2-pt layup from 2 ft,3,0
6,1,10:55.0,Defensive rebound by K. Towns,,3,0
7,1,10:45.0,T. Gibson misses 2-pt hook shot from 5 ft (block by R. Covington),,3,0
8,1,10:41.0,,Defensive rebound by J. Embiid,3,0
9,1,10:32.0,,Shooting foul by K. Towns (drawn by J. Embiid),3,0
10,1,10:32.0,,J. Embiid makes free throw 1 of 2,3,1
11,1,10:32.0,,J. Embiid makes free throw 2 of 2,3,2
12,1,10:17.0,K. Towns misses 2-pt layup from 3 ft,,3,2
13,1,10:15.0,,Defensive rebound by R. Covington,3,2
14,1,10:10.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),3,5
15,1,9:53.0,K. Towns misses 2-pt layup from 3 ft,,3,5
16,1,9:50.0,Offensive rebound by T. Gibson,,3,5
17,1,9:49.0,T. Gibson makes 2-pt layup at rim,,5,5
18,1,9:36.0,,J. Embiid misses 3-pt jump shot from 26 ft,5,5
19,1,9:33.0,Defensive rebound by A. Wiggins,,5,5
20,1,9:28.0,K. Towns makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,8,5
21,1,9:19.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),8,8
22,1,9:05.0,T. Gibson misses 2-pt hook shot from 6 ft,,8,8
23,1,9:03.0,,Defensive rebound by J. Embiid,8,8
24,1,8:52.0,,J. Embiid misses 2-pt jump shot from 13 ft,8,8
25,1,8:50.0,Defensive rebound by N. Bjelica,,8,8
26,1,8:36.0,K. Towns misses 3-pt jump shot from 25 ft,,8,8
27,1,8:32.0,Offensive rebound by T. Gibson,,8,8
28,1,8:30.0,K. Towns misses 3-pt jump shot from 27 ft,,8,8
29,1,8:27.0,,Defensive rebound by R. Covington,8,8
30,1,8:21.0,,D. Šarić makes 2-pt layup from 2 ft (assist by B. Simmons),8,10
31,1,8:04.0,N. Bjelica makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,11,10
32,1,8:03.0,,Philadelphia full timeout,11,10
33,1,7:53.0,,J. Redick misses 2-pt jump shot from 23 ft,11,10
34,1,7:50.0,Defensive rebound by K. Towns,,11,10
35,1,7:49.0,Turnover by K. Towns (lost ball; steal by B. Simmons),,11,10
36,1,7:45.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),11,13
37,1,7:27.0,Turnover by J. Teague (bad pass; steal by R. Covington),,11,13
38,1,7:25.0,,Turnover by R. Covington (traveling),11,13
39,1,7:25.0,,M. Belinelli enters the game for J. Redick,11,13
40,1,7:06.0,A. Wiggins misses 3-pt jump shot from 25 ft,,11,13
41,1,7:03.0,,Defensive rebound by J. Embiid,11,13
42,1,6:58.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by R. Covington),11,16
43,1,6:46.0,Personal foul by R. Covington (drawn by J. Teague),,11,16
44,1,6:46.0,,A. Johnson enters the game for J. Embiid,11,16
45,1,6:30.0,K. Towns misses 2-pt hook shot from 6 ft,,11,16
46,1,6:29.0,Offensive rebound by T. Gibson,,11,16
47,1,6:27.0,T. Gibson makes 2-pt layup from 2 ft,,13,16
48,1,6:17.0,,D. Šarić misses 3-pt jump shot from 26 ft,13,16
49,1,6:14.0,Defensive rebound by A. Wiggins,,13,16
50,1,6:01.0,A. Wiggins makes 2-pt layup from 1 ft,,15,16
51,1,5:55.0,,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),15,18
52,1,5:44.0,J. Teague misses 2-pt jump shot from 9 ft,,15,18
53,1,5:40.0,,Defensive rebound by B. Simmons,15,18
54,1,5:28.0,,Offensive foul by B. Simmons (drawn by J. Teague),15,18
55,1,5:28.0,,Turnover by B. Simmons (offensive foul),15,18
56,1,5:28.0,J. Crawford enters the game for N. Bjelica,,15,18
57,1,5:28.0,G. Dieng enters the game for K. Towns,,15,18
58,1,5:16.0,A. Wiggins misses 2-pt layup from 3 ft (block by A. Johnson),,15,18
59,1,5:15.0,Offensive rebound by Team,,15,18
60,1,5:15.0,Technical foul by T. Gibson,,15,18
61,1,5:15.0,,M. Belinelli makes technical free throw,15,19
62,1,5:05.0,J. Teague misses 3-pt jump shot from 25 ft,,15,19
63,1,5:02.0,,Defensive rebound by B. Simmons,15,19
64,1,4:55.0,,R. Covington misses 3-pt jump shot from 24 ft,15,19
65,1,4:54.0,Defensive rebound by Team,,15,19
66,1,4:54.0,,Loose ball foul by D. Šarić (drawn by T. Gibson),15,19
67,1,4:48.0,Shooting foul by R. Covington (drawn by J. Teague),,15,19
68,1,4:48.0,J. Teague misses free throw 1 of 2,,15,19
69,1,4:48.0,Offensive rebound by Team,,15,19
70,1,4:48.0,,E. İlyasova enters the game for D. Šarić,15,19
71,1,4:48.0,,J. Anderson enters the game for R. Covington,15,19
72,1,4:48.0,J. Teague makes free throw 2 of 2,,16,19
73,1,4:38.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by J. Anderson),16,22
74,1,4:25.0,J. Teague misses 2-pt layup from 3 ft (block by A. Johnson),,16,22
75,1,4:21.0,,Defensive rebound by M. Belinelli,16,22
76,1,4:17.0,,J. Anderson misses 3-pt jump shot from 24 ft,16,22
77,1,4:14.0,Defensive rebound by T. Gibson,,16,22
78,1,4:06.0,J. Crawford misses 3-pt jump shot from 27 ft,,16,22
79,1,4:03.0,,Defensive rebound by B. Simmons,16,22
80,1,4:01.0,,M. Belinelli makes 3-pt jump shot from 25 ft (assist by B. Simmons),16,25
81,1,3:36.0,Shooting foul by A. Johnson (drawn by A. Wiggins),,16,25
82,1,3:36.0,A. Wiggins misses free throw 1 of 2,,16,25
83,1,3:36.0,Offensive rebound by Team,,16,25
84,1,3:36.0,,J. Embiid enters the game for A. Johnson,16,25
85,1,3:36.0,,T. McConnell enters the game for B. Simmons,16,25
86,1,3:36.0,T. Jones enters the game for J. Teague,,16,25
87,1,3:36.0,A. Wiggins misses free throw 2 of 2,,16,25
88,1,3:33.0,Offensive rebound by G. Dieng,,16,25
89,1,3:31.0,G. Dieng makes 2-pt dunk at rim,,18,25
90,1,3:18.0,K. Towns enters the game for T. Gibson,,18,25
91,1,3:10.0,,J. Anderson misses 2-pt layup from 2 ft,18,25
92,1,3:08.0,Defensive rebound by G. Dieng,,18,25
93,1,2:57.0,G. Dieng misses 2-pt layup from 3 ft,,18,25
94,1,2:54.0,,Defensive rebound by T. McConnell,18,25
95,1,2:51.0,,J. Anderson makes 2-pt layup from 2 ft (assist by E. İlyasova),18,27
96,1,2:25.0,K. Towns misses 2-pt hook shot from 6 ft,,18,27
97,1,2:23.0,Offensive rebound by K. Towns,,18,27
98,1,2:23.0,Personal foul by J. Embiid (drawn by K. Towns),,18,27
99,1,2:23.0,Minnesota full timeout,,18,27
100,1,2:23.0,,J. Redick enters the game for M. Belinelli,18,27
101,1,2:23.0,K. Towns makes free throw 1 of 2,,19,27
102,1,2:23.0,K. Towns makes free throw 2 of 2,,20,27
103,1,2:07.0,,J. Redick misses 2-pt jump shot from 21 ft,20,27
104,1,2:04.0,Defensive rebound by K. Towns,,20,27
105,1,2:00.0,,Offensive charge foul by A. Wiggins (drawn by E. İlyasova),20,27
106,1,2:00.0,Turnover by A. Wiggins (offensive foul),,20,27
107,1,1:49.0,,J. Redick misses 3-pt jump shot from 26 ft,20,27
108,1,1:46.0,Defensive rebound by G. Dieng,,20,27
109,1,1:31.0,K. Towns misses 2-pt jump shot from 17 ft,,20,27
110,1,1:27.0,,Defensive rebound by J. Anderson,20,27
111,1,1:23.0,,Personal foul by K. Towns (drawn by E. İlyasova),20,27
112,1,1:23.0,T. Gibson enters the game for K. Towns,,20,27
113,1,1:19.0,,Offensive foul by J. Redick (drawn by T. Gibson),20,27
