,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,,B. Simmons makes 2-pt hook shot from 9 ft,0,2
1,1,11:25.0,Shooting foul by R. Covington (drawn by T. Hardaway),,0,2
2,1,11:25.0,T. Hardaway misses free throw 1 of 2,,0,2
3,1,11:25.0,Offensive rebound by Team,,0,2
4,1,11:25.0,T. Hardaway makes free throw 2 of 2,,1,2
5,1,11:13.0,,Shooting foul by E. Freedom (drawn by J. Embiid),1,2
6,1,11:13.0,,J. Embiid makes free throw 1 of 2,1,3
7,1,11:13.0,,J. Embiid misses free throw 2 of 2,1,3
8,1,11:10.0,Defensive rebound by T. Hardaway,,1,3
9,1,10:56.0,M. Beasley makes 2-pt layup from 1 ft,,3,3
10,1,10:46.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),3,6
11,1,10:32.0,T. Hardaway misses 2-pt jump shot from 16 ft,,3,6
12,1,10:29.0,,Defensive rebound by J. Embiid,3,6
13,1,10:19.0,,Turnover by J. Embiid (bad pass; steal by T. Hardaway),3,6
14,1,10:15.0,Turnover by T. Hardaway (bad pass; steal by B. Simmons),,3,6
15,1,10:09.0,,Personal foul by T. Hardaway (drawn by J. Redick),3,6
16,1,10:01.0,,B. Simmons makes 2-pt dunk from 1 ft (assist by R. Covington),3,8
17,1,9:42.0,M. Beasley misses 2-pt jump shot from 7 ft (block by B. Simmons),,3,8
18,1,9:42.0,Offensive rebound by Team,,3,8
19,1,9:37.0,Turnover by J. Jack (lost ball; steal by J. Embiid),,3,8
20,1,9:33.0,,Shooting foul by E. Freedom (drawn by D. Šarić),3,8
21,1,9:33.0,K. O'Quinn enters the game for E. Freedom,,3,8
22,1,9:33.0,,D. Šarić misses free throw 1 of 2,3,8
23,1,9:33.0,,Offensive rebound by Team,3,8
24,1,9:33.0,,D. Šarić makes free throw 2 of 2,3,9
25,1,9:21.0,M. Beasley makes 2-pt jump shot from 14 ft,,5,9
26,1,9:12.0,,Turnover by B. Simmons (lost ball; steal by K. O'Quinn),5,9
27,1,9:05.0,M. Beasley misses 2-pt jump shot from 8 ft,,5,9
28,1,9:05.0,Offensive rebound by M. Beasley,,5,9
29,1,8:48.0,K. O'Quinn makes 2-pt layup from 4 ft,,7,9
30,1,8:41.0,,J. Embiid misses 3-pt jump shot from 26 ft,7,9
31,1,8:35.0,,Offensive rebound by B. Simmons,7,9
32,1,8:30.0,Offensive charge foul by J. Embiid (drawn by T. Hardaway),,7,9
33,1,8:30.0,,Turnover by J. Embiid (offensive foul),7,9
34,1,8:17.0,J. Jack makes 2-pt jump shot from 8 ft,,9,9
35,1,8:17.0,,Philadelphia full timeout,9,9
36,1,7:52.0,,J. Embiid makes 2-pt hook shot from 5 ft,9,11
37,1,7:28.0,T. Hardaway misses 3-pt jump shot from 26 ft,,9,11
38,1,7:25.0,,Defensive rebound by B. Simmons,9,11
39,1,7:11.0,,J. Redick misses 3-pt jump shot from 26 ft,9,11
40,1,7:07.0,Defensive rebound by J. Jack,,9,11
41,1,7:03.0,Turnover by K. O'Quinn (lost ball; steal by B. Simmons),,9,11
42,1,6:57.0,,D. Šarić makes 2-pt dunk from 1 ft (assist by B. Simmons),9,13
43,1,6:42.0,Offensive foul by K. O'Quinn (drawn by J. Redick),,9,13
44,1,6:42.0,Turnover by K. O'Quinn (offensive foul),,9,13
45,1,6:42.0,,T. McConnell enters the game for J. Embiid,9,13
46,1,6:42.0,,A. Johnson enters the game for J. Redick,9,13
47,1,6:42.0,E. Mudiay enters the game for L. Thomas,,9,13
48,1,6:42.0,C. Lee enters the game for J. Jack,,9,13
49,1,6:33.0,,D. Šarić misses 2-pt layup from 4 ft,9,13
50,1,6:31.0,Defensive rebound by M. Beasley,,9,13
51,1,6:19.0,Turnover by C. Lee (turnover; steal by B. Simmons),,9,13
52,1,6:14.0,,T. McConnell misses 2-pt jump shot from 11 ft (block by K. O'Quinn),9,13
53,1,6:11.0,Defensive rebound by E. Mudiay,,9,13
54,1,6:08.0,T. Hardaway misses 3-pt jump shot from 27 ft,,9,13
55,1,6:04.0,,Defensive rebound by R. Covington,9,13
56,1,5:54.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by B. Simmons),9,16
57,1,5:41.0,K. O'Quinn misses 2-pt jump shot from 11 ft,,9,16
58,1,5:39.0,,Defensive rebound by R. Covington,9,16
59,1,5:28.0,,D. Šarić makes 2-pt layup from 3 ft (assist by T. McConnell),9,18
60,1,5:27.0,New York full timeout,,9,18
61,1,5:27.0,F. Ntilikina enters the game for T. Hardaway,,9,18
62,1,5:09.0,E. Mudiay makes 2-pt layup from 2 ft (assist by K. O'Quinn),,11,18
63,1,4:58.0,,D. Šarić misses 3-pt jump shot from 26 ft,11,18
64,1,4:55.0,Defensive rebound by E. Mudiay,,11,18
65,1,4:52.0,K. O'Quinn makes 2-pt layup from 2 ft (assist by E. Mudiay),,13,18
66,1,4:40.0,,Turnover by A. Johnson (bad pass),13,18
67,1,4:29.0,Personal foul by T. McConnell (drawn by E. Mudiay),,13,18
68,1,4:29.0,,J. Anderson enters the game for R. Covington,13,18
69,1,4:21.0,M. Beasley misses 3-pt jump shot from 25 ft,,13,18
70,1,4:16.0,,Defensive rebound by T. McConnell,13,18
71,1,4:05.0,,T. Booker enters the game for D. Šarić,13,18
72,1,4:03.0,,J. Anderson misses 2-pt jump shot from 10 ft,13,18
73,1,4:00.0,Defensive rebound by K. O'Quinn,,13,18
74,1,3:49.0,F. Ntilikina misses 2-pt jump shot from 18 ft,,13,18
75,1,3:46.0,,Defensive rebound by B. Simmons,13,18
76,1,3:30.0,,T. McConnell misses 2-pt jump shot from 10 ft,13,18
77,1,3:27.0,Defensive rebound by K. O'Quinn,,13,18
78,1,3:23.0,Turnover by F. Ntilikina (bad pass; steal by T. McConnell),,13,18
79,1,3:18.0,,J. Anderson makes 2-pt dunk at rim (assist by T. McConnell),13,20
80,1,2:58.0,K. O'Quinn misses 2-pt layup from 4 ft,,13,20
81,1,2:56.0,,Defensive rebound by T. Booker,13,20
82,1,2:52.0,,T. Booker makes 2-pt layup from 4 ft (assist by B. Simmons),13,22
83,1,2:36.0,C. Lee misses 2-pt jump shot from 16 ft,,13,22
84,1,2:34.0,,Defensive rebound by T. McConnell,13,22
85,1,2:18.0,,T. McConnell makes 2-pt jump shot from 15 ft (assist by T. Booker),13,24
86,1,1:54.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,16,24
87,1,1:41.0,,Shooting foul by C. Lee (drawn by J. Anderson),16,24
88,1,1:41.0,,J. Anderson misses free throw 1 of 2,16,24
89,1,1:41.0,,Offensive rebound by Team,16,24
90,1,1:41.0,,J. Embiid enters the game for A. Johnson,16,24
91,1,1:41.0,,J. Redick enters the game for B. Simmons,16,24
92,1,1:41.0,E. Freedom enters the game for K. O'Quinn,,16,24
93,1,1:41.0,,J. Anderson makes free throw 2 of 2,16,25
94,1,1:23.0,C. Lee makes 3-pt jump shot from 23 ft (assist by M. Beasley),,19,25
95,1,1:11.0,,Personal foul by F. Ntilikina (drawn by J. Embiid),19,25
96,1,1:11.0,,J. Embiid makes free throw 1 of 2,19,26
97,1,1:11.0,,J. Embiid makes free throw 2 of 2,19,27
98,1,0:54.0,E. Freedom makes 2-pt hook shot from 2 ft,,21,27
99,1,0:46.0,,J. Redick makes 2-pt jump shot from 16 ft (assist by J. Embiid),21,29
100,1,0:37.0,E. Mudiay misses 3-pt jump shot from 26 ft,,21,29
101,1,0:34.0,,Defensive rebound by T. McConnell,21,29
102,1,0:20.0,,Personal foul by E. Mudiay (drawn by J. Redick),21,29
103,1,0:20.0,,J. Redick makes free throw 1 of 2,21,30
104,1,0:20.0,,J. Redick makes free throw 2 of 2,21,31
105,1,0:01.0,F. Ntilikina misses 3-pt jump shot from 26 ft,,21,31
106,1,0:01.0,Offensive rebound by Team,,21,31
107,2,11:51.0,Turnover by E. Mudiay (bad pass),,21,31
108,2,11:39.0,,Shooting foul by I. Hicks (drawn by J. Embiid),21,31
109,2,11:39.0,,J. Embiid makes free throw 1 of 2,21,32
110,2,11:39.0,,J. Embiid misses free throw 2 of 2,21,32
111,2,11:37.0,Defensive rebound by I. Hicks,,21,32
112,2,11:21.0,,Violation by T. Booker (kicked ball),21,32
113,2,11:09.0,E. Freedom makes 2-pt jump shot from 8 ft,,23,32
114,2,11:01.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Embiid),23,35
115,2,10:44.0,C. Lee makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,26,35
116,2,10:18.0,,R. Covington misses 2-pt jump shot from 8 ft,26,35
117,2,10:15.0,Defensive rebound by E. Freedom,,26,35
118,2,10:11.0,Offensive foul by I. Hicks (drawn by R. Covington),,26,35
119,2,10:11.0,Turnover by I. Hicks (offensive foul),,26,35
120,2,10:11.0,,D. Šarić enters the game for T. Booker,26,35
121,2,9:53.0,,Turnover by J. Redick (bad pass),26,35
122,2,9:35.0,Shooting foul by J. Embiid (drawn by E. Freedom),,26,35
123,2,9:35.0,E. Freedom makes free throw 1 of 2,,27,35
124,2,9:35.0,E. Freedom makes free throw 2 of 2,,28,35
125,2,9:23.0,,J. Embiid misses 2-pt layup from 2 ft,28,35
126,2,9:20.0,Defensive rebound by E. Mudiay,,28,35
127,2,9:15.0,C. Lee makes 3-pt jump shot from 23 ft (assist by I. Hicks),,31,35
128,2,9:04.0,,D. Šarić makes 2-pt layup from 6 ft,31,37
129,2,9:04.0,,Shooting foul by I. Hicks (drawn by D. Šarić),31,37
130,2,9:04.0,,D. Šarić makes free throw 1 of 1,31,38
131,2,8:51.0,E. Mudiay makes 2-pt layup from 8 ft,,33,38
132,2,8:36.0,,Turnover by J. Embiid (out of bounds lost ball),33,38
133,2,8:36.0,,A. Johnson enters the game for J. Embiid,33,38
134,2,8:16.0,T. Hardaway makes 2-pt jump shot from 17 ft (assist by E. Freedom),,35,38
135,2,8:03.0,,J. Redick makes 2-pt jump shot from 20 ft (assist by T. McConnell),35,40
136,2,7:48.0,E. Mudiay misses 2-pt layup from 3 ft,,35,40
137,2,7:46.0,,Defensive rebound by R. Covington,35,40
138,2,7:44.0,,Turnover by J. Redick (bad pass; steal by E. Mudiay),35,40
139,2,7:39.0,E. Mudiay makes 2-pt layup from 4 ft,,37,40
140,2,7:31.0,,D. Šarić makes 3-pt jump shot from 29 ft (assist by T. McConnell),37,43
