,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BROOKLYN_ACTION,WASHINGTON_SCORE,BROOKLYN_SCORE
0,1,11:48.0,J. Wall misses 2-pt jump shot from 19 ft,,0,0
1,1,11:45.0,,Defensive rebound by R. Hollis-Jefferson,0,0
2,1,11:22.0,,Turnover by Team (shot clock),0,0
3,1,11:11.0,M. Gortat misses 2-pt jump shot from 9 ft,,0,0
4,1,11:08.0,,Defensive rebound by R. Hollis-Jefferson,0,0
5,1,11:02.0,,D. Carroll makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),0,2
6,1,10:49.0,B. Beal misses 2-pt jump shot from 10 ft,,0,2
7,1,10:47.0,,Defensive rebound by R. Hollis-Jefferson,0,2
8,1,10:43.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by R. Hollis-Jefferson),0,5
9,1,10:22.0,M. Morris makes 2-pt layup from 8 ft,,2,5
10,1,10:10.0,,A. Crabbe makes 2-pt layup from 3 ft (assist by D. Carroll),2,7
11,1,9:55.0,M. Morris misses 2-pt jump shot from 10 ft,,2,7
12,1,9:52.0,,Defensive rebound by S. Dinwiddie,2,7
13,1,9:46.0,,A. Crabbe misses 3-pt jump shot from 26 ft,2,7
14,1,9:42.0,Defensive rebound by M. Gortat,,2,7
15,1,9:30.0,J. Wall makes 2-pt jump shot from 16 ft,,4,7
16,1,9:06.0,,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by S. Dinwiddie),4,9
17,1,8:39.0,B. Beal misses 2-pt layup from 6 ft,,4,9
18,1,8:33.0,Offensive rebound by M. Morris,,4,9
19,1,8:33.0,M. Morris misses 2-pt layup at rim,,4,9
20,1,8:32.0,,Defensive rebound by R. Hollis-Jefferson,4,9
21,1,8:32.0,,Turnover by R. Hollis-Jefferson (out of bounds lost ball),4,9
22,1,8:14.0,M. Morris misses 2-pt jump shot from 13 ft,,4,9
23,1,8:11.0,,Defensive rebound by T. Zeller,4,9
24,1,8:07.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Morris),4,9
25,1,8:03.0,Turnover by B. Beal (turnover; steal by S. Dinwiddie),,4,9
26,1,7:48.0,,R. Hollis-Jefferson makes 2-pt jump shot from 12 ft,4,11
27,1,7:33.0,J. Wall makes 2-pt layup from 8 ft,,6,11
28,1,7:26.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),6,14
29,1,7:09.0,Turnover by O. Porter (bad pass; steal by D. Carroll),,6,14
30,1,7:04.0,,A. Crabbe misses 3-pt jump shot from 22 ft,6,14
31,1,7:01.0,,Offensive rebound by T. Zeller,6,14
32,1,6:59.0,,T. Zeller misses 2-pt hook shot from 10 ft,6,14
33,1,6:59.0,,Offensive rebound by R. Hollis-Jefferson,6,14
34,1,6:56.0,,R. Hollis-Jefferson misses 2-pt layup at rim,6,14
35,1,6:54.0,Defensive rebound by M. Morris,,6,14
36,1,6:50.0,J. Wall misses 2-pt jump shot from 17 ft (block by S. Dinwiddie),,6,14
37,1,6:41.0,Offensive rebound by J. Wall,,6,14
38,1,6:38.0,J. Wall makes 3-pt jump shot from 25 ft,,9,14
39,1,6:26.0,,D. Carroll misses 3-pt jump shot from 25 ft,9,14
40,1,6:26.0,Defensive rebound by M. Gortat,,9,14
41,1,6:15.0,J. Wall misses 2-pt jump shot from 19 ft,,9,14
42,1,6:11.0,,Defensive rebound by A. Crabbe,9,14
43,1,6:07.0,,R. Hollis-Jefferson misses 2-pt jump shot from 18 ft,9,14
44,1,6:04.0,Defensive rebound by O. Porter,,9,14
45,1,5:45.0,B. Beal misses 2-pt jump shot from 14 ft,,9,14
46,1,5:44.0,,Defensive rebound by S. Dinwiddie,9,14
47,1,5:40.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),9,17
48,1,5:39.0,Washington full timeout,,9,17
49,1,5:39.0,,J. Allen enters the game for T. Zeller,9,17
50,1,5:39.0,,J. Harris enters the game for A. Crabbe,9,17
51,1,5:39.0,,C. LeVert enters the game for S. Dinwiddie,9,17
52,1,5:39.0,K. Oubre enters the game for O. Porter,,9,17
53,1,5:25.0,B. Beal misses 3-pt jump shot from 25 ft,,9,17
54,1,5:22.0,,Defensive rebound by R. Hollis-Jefferson,9,17
55,1,5:09.0,,Shooting foul by B. Beal (drawn by R. Hollis-Jefferson),9,17
56,1,5:09.0,,R. Hollis-Jefferson makes free throw 1 of 2,9,18
57,1,5:09.0,,R. Hollis-Jefferson makes free throw 2 of 2,9,19
58,1,4:47.0,M. Gortat makes 2-pt hook shot from 9 ft (assist by B. Beal),,11,19
59,1,4:34.0,,D. Carroll misses 3-pt jump shot from 22 ft,11,19
60,1,4:30.0,Defensive rebound by M. Gortat,,11,19
61,1,4:27.0,M. Morris makes 2-pt dunk from 1 ft (assist by J. Wall),,13,19
62,1,4:27.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Morris),,13,19
63,1,4:27.0,,Q. Acy enters the game for D. Carroll,13,19
64,1,4:27.0,,N. Stauskas enters the game for R. Hollis-Jefferson,13,19
65,1,4:27.0,T. Satoranský enters the game for J. Wall,,13,19
66,1,4:27.0,M. Morris makes free throw 1 of 1,,14,19
67,1,4:05.0,,C. LeVert makes 2-pt jump shot from 20 ft,14,21
68,1,3:55.0,Personal foul by C. LeVert (drawn by B. Beal),,14,21
69,1,3:48.0,M. Gortat misses 2-pt hook shot from 5 ft,,14,21
70,1,3:46.0,,Defensive rebound by Q. Acy,14,21
71,1,3:34.0,,Turnover by N. Stauskas (lost ball; steal by K. Oubre),14,21
72,1,3:29.0,K. Oubre makes 2-pt layup from 4 ft,,16,21
73,1,3:08.0,,Q. Acy misses 3-pt jump shot from 26 ft,16,21
74,1,3:06.0,Defensive rebound by M. Gortat,,16,21
75,1,3:02.0,K. Oubre misses 2-pt dunk from 1 ft (block by Q. Acy),,16,21
76,1,2:59.0,,Defensive rebound by J. Harris,16,21
77,1,2:54.0,,N. Stauskas misses 3-pt jump shot from 24 ft,16,21
78,1,2:50.0,Defensive rebound by T. Satoranský,,16,21
79,1,2:43.0,,Personal foul by M. Gortat (drawn by J. Harris),16,21
80,1,2:43.0,Turnover by M. Gortat (turnover),,16,21
81,1,2:43.0,,Brooklyn full timeout,16,21
82,1,2:43.0,I. Mahinmi enters the game for M. Morris,,16,21
83,1,2:43.0,M. Scott enters the game for M. Gortat,,16,21
84,1,2:30.0,,C. LeVert makes 2-pt layup from 5 ft,16,23
85,1,2:10.0,M. Scott misses 3-pt jump shot from 25 ft,,16,23
86,1,2:06.0,,Defensive rebound by J. Allen,16,23
87,1,2:02.0,Personal foul by J. Allen (drawn by T. Satoranský),,16,23
88,1,2:02.0,,Turnover by J. Allen (turnover),16,23
89,1,1:49.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by B. Beal),,19,23
90,1,1:24.0,,J. Harris misses 3-pt jump shot from 24 ft (block by K. Oubre),19,23
91,1,1:24.0,Defensive rebound by B. Beal,,19,23
92,1,1:13.0,B. Beal makes 2-pt jump shot from 17 ft,,21,23
93,1,0:54.0,,N. Stauskas misses 3-pt jump shot from 25 ft,21,23
94,1,0:51.0,Defensive rebound by I. Mahinmi,,21,23
95,1,0:39.0,J. Meeks enters the game for B. Beal,,21,23
96,1,0:32.0,T. Satoranský makes 2-pt jump shot from 17 ft,,23,23
97,1,0:21.0,,C. LeVert makes 3-pt jump shot from 26 ft,23,26
98,1,0:00.0,M. Scott misses 2-pt layup from 6 ft,,23,26
99,1,0:00.0,Offensive rebound by I. Mahinmi,,23,26
100,1,0:00.0,I. Mahinmi misses 2-pt layup at rim,,23,26
101,1,0:00.0,Offensive rebound by Team,,23,26
102,2,11:45.0,,J. Allen makes 2-pt dunk from 4 ft (assist by C. LeVert),23,28
103,2,11:28.0,T. Satoranský misses 2-pt jump shot from 13 ft,,23,28
104,2,11:24.0,,Defensive rebound by J. Allen,23,28
105,2,11:18.0,,D. Carroll misses 2-pt layup from 4 ft,23,28
106,2,11:16.0,Defensive rebound by M. Scott,,23,28
107,2,11:10.0,J. Meeks misses 3-pt jump shot from 25 ft,,23,28
108,2,10:59.0,,Defensive rebound by C. LeVert,23,28
109,2,10:59.0,,C. LeVert misses 2-pt layup from 8 ft,23,28
110,2,10:59.0,,Offensive rebound by J. Allen,23,28
111,2,10:52.0,,J. Allen makes 2-pt layup at rim,23,30
112,2,10:42.0,J. Meeks makes 2-pt jump shot from 17 ft (assist by T. Satoranský),,25,30
113,2,10:15.0,,J. Allen misses 2-pt jump shot from 19 ft,25,30
