,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,WASHINGTON_ACTION,MILWAUKEE_SCORE,WASHINGTON_SCORE
0,1,11:36.0,,J. Wall misses 2-pt jump shot from 15 ft,0,0
1,1,11:32.0,Defensive rebound by M. Brogdon,,0,0
2,1,11:27.0,J. Henson misses 2-pt layup from 5 ft (block by M. Gortat),,0,0
3,1,11:27.0,,Defensive rebound by M. Morris,0,0
4,1,11:14.0,,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Wall),0,2
5,1,11:01.0,M. Brogdon misses 2-pt jump shot from 4 ft (block by B. Beal),,0,2
6,1,11:01.0,,Defensive rebound by B. Beal,0,2
7,1,10:54.0,,K. Oubre makes 3-pt jump shot from 23 ft (assist by J. Wall),0,5
8,1,10:37.0,M. Brogdon misses 3-pt jump shot from 23 ft,,0,5
9,1,10:34.0,,Defensive rebound by J. Wall,0,5
10,1,10:24.0,,B. Beal misses 3-pt jump shot from 23 ft,0,5
11,1,10:20.0,,Offensive rebound by M. Morris,0,5
12,1,10:20.0,,M. Morris makes 2-pt layup at rim,0,7
13,1,9:58.0,J. Henson makes 2-pt jump shot from 20 ft (assist by G. Antetokounmpo),,2,7
14,1,9:37.0,,Turnover by B. Beal (out of bounds lost ball),2,7
15,1,9:31.0,E. Bledsoe misses 2-pt layup from 3 ft,,2,7
16,1,9:29.0,,Defensive rebound by M. Gortat,2,7
17,1,9:15.0,,M. Gortat makes 2-pt hook shot from 10 ft,2,9
18,1,9:02.0,M. Brogdon misses 3-pt jump shot from 24 ft,,2,9
19,1,9:00.0,,Defensive rebound by M. Gortat,2,9
20,1,8:51.0,,J. Wall makes 3-pt jump shot from 25 ft (assist by K. Oubre),2,12
21,1,8:49.0,Milwaukee full timeout,,2,12
22,1,8:31.0,K. Middleton makes 2-pt jump shot from 13 ft,,4,12
23,1,8:20.0,,Personal foul by M. Brogdon (drawn by B. Beal),4,12
24,1,8:06.0,,M. Morris misses 2-pt jump shot from 13 ft,4,12
25,1,8:03.0,Defensive rebound by G. Antetokounmpo,,4,12
26,1,7:58.0,M. Brogdon misses 3-pt jump shot from 24 ft,,4,12
27,1,7:54.0,,Defensive rebound by M. Gortat,4,12
28,1,7:43.0,,J. Wall misses 2-pt jump shot from 12 ft,4,12
29,1,7:41.0,Defensive rebound by J. Henson,,4,12
30,1,7:33.0,G. Antetokounmpo misses 2-pt jump shot from 17 ft,,4,12
31,1,7:29.0,,Defensive rebound by J. Wall,4,12
32,1,7:11.0,,Turnover by B. Beal (bad pass; steal by E. Bledsoe),4,12
33,1,7:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,6,12
34,1,6:48.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),6,15
35,1,6:30.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,9,15
36,1,6:02.0,,M. Gortat makes 2-pt jump shot from 15 ft (assist by J. Wall),9,17
37,1,5:51.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,11,17
38,1,5:51.0,Shooting foul by M. Morris (drawn by G. Antetokounmpo),,11,17
39,1,5:51.0,G. Antetokounmpo makes free throw 1 of 1,,12,17
