,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,S. Labissière misses 2-pt jump shot from 7 ft,0,0
1,1,11:43.0,Defensive rebound by L. Ball,,0,0
2,1,11:31.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,0,0
3,1,11:28.0,,Defensive rebound by S. Labissière,0,0
4,1,11:16.0,,D. Fox misses 2-pt jump shot from 22 ft,0,0
5,1,11:14.0,Defensive rebound by L. Ball,,0,0
6,1,11:08.0,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by B. Ingram),,3,0
7,1,10:47.0,,Z. Randolph misses 2-pt jump shot from 18 ft,3,0
8,1,10:45.0,Defensive rebound by K. Caldwell-Pope,,3,0
9,1,10:38.0,L. Ball misses 3-pt jump shot from 23 ft,,3,0
10,1,10:34.0,,Defensive rebound by S. Labissière,3,0
11,1,10:19.0,,Z. Randolph makes 2-pt layup from 3 ft,3,2
12,1,10:05.0,Personal foul by Z. Randolph (drawn by B. Lopez),,3,2
13,1,10:02.0,Personal foul by G. Temple (drawn by B. Ingram),,3,2
14,1,9:48.0,Turnover by K. Caldwell-Pope (bad pass; steal by Z. Randolph),,3,2
15,1,9:43.0,,G. Temple misses 3-pt jump shot from 23 ft,3,2
16,1,9:39.0,,Offensive rebound by D. Fox,3,2
17,1,9:30.0,,S. Labissière misses 2-pt hook shot from 6 ft,3,2
18,1,9:25.0,,Offensive rebound by S. Labissière,3,2
19,1,9:25.0,,S. Labissière misses 2-pt layup at rim,3,2
20,1,9:23.0,Defensive rebound by B. Lopez,,3,2
21,1,9:20.0,B. Lopez misses 3-pt jump shot from 25 ft,,3,2
22,1,9:15.0,,Defensive rebound by S. Labissière,3,2
23,1,9:03.0,,Z. Randolph makes 2-pt jump shot from 15 ft,3,4
24,1,8:48.0,B. Ingram makes 2-pt layup from 1 ft,,5,4
25,1,8:32.0,,G. Temple misses 2-pt layup from 4 ft,5,4
26,1,8:29.0,Defensive rebound by B. Ingram,,5,4
27,1,8:26.0,K. Kuzma makes 3-pt jump shot from 24 ft (assist by B. Ingram),,8,4
28,1,8:05.0,,G. Hill misses 3-pt jump shot from 24 ft,8,4
29,1,8:01.0,Defensive rebound by L. Ball,,8,4
30,1,8:00.0,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by G. Temple),,8,4
31,1,8:00.0,Offensive rebound by Team,,8,4
32,1,7:57.0,B. Lopez misses 2-pt hook shot from 10 ft,,8,4
33,1,7:54.0,,Defensive rebound by D. Fox,8,4
34,1,7:52.0,,Personal foul by K. Caldwell-Pope (drawn by G. Hill),8,4
35,1,7:39.0,,Z. Randolph makes 2-pt jump shot from 17 ft (assist by D. Fox),8,6
36,1,7:24.0,K. Kuzma misses 2-pt jump shot from 5 ft (block by S. Labissière),,8,6
37,1,7:24.0,Offensive rebound by Team,,8,6
38,1,7:21.0,B. Lopez misses 3-pt jump shot from 22 ft,,8,6
39,1,7:18.0,,Defensive rebound by G. Temple,8,6
40,1,7:12.0,,D. Fox makes 2-pt layup from 2 ft (assist by Z. Randolph),8,8
41,1,7:12.0,LA Lakers full timeout,,8,8
42,1,6:50.0,L. Ball misses 2-pt jump shot from 7 ft,,8,8
43,1,6:47.0,,Defensive rebound by Z. Randolph,8,8
44,1,6:27.0,,D. Fox misses 2-pt jump shot from 15 ft,8,8
45,1,6:24.0,Defensive rebound by K. Kuzma,,8,8
46,1,6:10.0,K. Kuzma makes 2-pt layup from 3 ft,,10,8
47,1,5:44.0,,G. Hill misses 2-pt layup at rim,10,8
48,1,5:37.0,,Offensive rebound by S. Labissière,10,8
49,1,5:37.0,,S. Labissière makes 2-pt dunk at rim,10,10
50,1,5:31.0,Turnover by L. Ball (bad pass; steal by Z. Randolph),,10,10
51,1,5:31.0,,Personal foul by L. Ball (drawn by G. Hill),10,10
52,1,5:31.0,,B. Bogdanović enters the game for G. Temple,10,10
53,1,5:31.0,J. Clarkson enters the game for L. Ball,,10,10
54,1,5:18.0,,D. Fox misses 2-pt jump shot from 19 ft,10,10
55,1,5:17.0,,Offensive rebound by Team,10,10
56,1,5:17.0,Loose ball foul by J. Clarkson (drawn by S. Labissière),,10,10
57,1,5:17.0,,F. Mason enters the game for D. Fox,10,10
58,1,5:04.0,,Z. Randolph makes 2-pt layup from 2 ft,10,12
59,1,4:53.0,Personal foul by F. Mason (drawn by J. Clarkson),,10,12
60,1,4:47.0,Turnover by B. Lopez (bad pass; steal by B. Bogdanović),,10,12
61,1,4:40.0,,Z. Randolph makes 3-pt jump shot from 25 ft (assist by F. Mason),10,15
62,1,4:19.0,K. Kuzma makes 2-pt jump shot from 4 ft,,12,15
63,1,4:04.0,,Turnover by B. Bogdanović (out of bounds lost ball),12,15
64,1,4:04.0,,W. Cauley-Stein enters the game for S. Labissière,12,15
65,1,4:04.0,J. Randle enters the game for B. Lopez,,12,15
66,1,3:50.0,Turnover by J. Randle (lost ball; steal by B. Bogdanović),,12,15
67,1,3:44.0,,Z. Randolph misses 3-pt jump shot from 25 ft,12,15
68,1,3:40.0,Defensive rebound by B. Ingram,,12,15
69,1,3:23.0,J. Randle makes 2-pt hook shot from 6 ft,,14,15
70,1,3:15.0,,Personal foul by J. Randle (drawn by Z. Randolph),14,15
71,1,3:15.0,,Sacramento full timeout,14,15
72,1,3:15.0,,B. Hield enters the game for G. Hill,14,15
73,1,3:05.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by F. Mason),14,18
74,1,2:51.0,J. Randle makes 2-pt layup from 2 ft (assist by B. Ingram),,16,18
75,1,2:36.0,,B. Hield makes 2-pt jump shot from 19 ft (assist by F. Mason),16,20
76,1,2:14.0,Turnover by J. Randle (bad pass; steal by Z. Randolph),,16,20
77,1,2:09.0,,F. Mason makes 2-pt layup from 3 ft,16,22
78,1,2:09.0,,Shooting foul by K. Kuzma (drawn by F. Mason),16,22
79,1,2:09.0,,K. Koufos enters the game for Z. Randolph,16,22
80,1,2:09.0,L. Ball enters the game for K. Caldwell-Pope,,16,22
81,1,2:09.0,,F. Mason makes free throw 1 of 1,16,23
82,1,1:58.0,J. Clarkson misses 2-pt jump shot from 17 ft,,16,23
83,1,1:52.0,,Defensive rebound by B. Hield,16,23
