,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA CLIPPERS_ACTION,BOSTON_SCORE,LA CLIPPERS_SCORE
0,1,11:46.0,,B. Griffin misses 2-pt jump shot from 5 ft,0,0
1,1,11:44.0,Defensive rebound by A. Baynes,,0,0
2,1,11:29.0,M. Morris misses 3-pt jump shot from 23 ft,,0,0
3,1,11:26.0,,Defensive rebound by D. Jordan,0,0
4,1,11:18.0,,Personal foul by M. Morris (drawn by B. Griffin),0,0
5,1,11:08.0,,B. Griffin misses 2-pt layup from 2 ft,0,0
6,1,11:04.0,,Offensive rebound by M. Teodosić,0,0
7,1,11:04.0,,M. Teodosić makes 2-pt layup at rim,0,2
8,1,10:52.0,K. Irving makes 3-pt jump shot from 26 ft,,3,2
9,1,10:24.0,,B. Griffin misses 2-pt jump shot from 22 ft,3,2
10,1,10:19.0,Defensive rebound by A. Baynes,,3,2
11,1,10:09.0,J. Brown misses 2-pt layup from 4 ft (block by W. Johnson),,3,2
12,1,10:06.0,,Defensive rebound by W. Johnson,3,2
13,1,9:51.0,,T. Wallace makes 2-pt hook shot from 6 ft (assist by B. Griffin),3,4
14,1,9:34.0,Turnover by K. Irving (bad pass; steal by T. Wallace),,3,4
15,1,9:30.0,,T. Wallace misses 2-pt layup from 1 ft,3,4
16,1,9:26.0,Defensive rebound by J. Brown,,3,4
17,1,9:23.0,Turnover by M. Morris (lost ball; steal by B. Griffin),,3,4
18,1,9:20.0,,B. Griffin makes 2-pt layup from 1 ft,3,6
19,1,9:20.0,,Shooting foul by J. Tatum (drawn by B. Griffin),3,6
20,1,9:20.0,,B. Griffin makes free throw 1 of 1,3,7
21,1,9:09.0,J. Tatum makes 2-pt jump shot from 20 ft (assist by M. Morris),,5,7
22,1,8:55.0,,Turnover by D. Jordan (turnover),5,7
23,1,8:38.0,M. Morris misses 3-pt jump shot from 26 ft,,5,7
24,1,8:34.0,Offensive rebound by J. Brown,,5,7
25,1,8:32.0,Shooting block foul by D. Jordan (drawn by J. Brown),,5,7
26,1,8:32.0,J. Brown makes free throw 1 of 2,,6,7
27,1,8:32.0,J. Brown makes free throw 2 of 2,,7,7
28,1,8:14.0,,B. Griffin misses 3-pt jump shot from 26 ft,7,7
29,1,8:10.0,Defensive rebound by K. Irving,,7,7
30,1,7:53.0,A. Baynes makes 2-pt jump shot from 12 ft (assist by J. Tatum),,9,7
31,1,7:46.0,,M. Teodosić misses 2-pt jump shot from 19 ft,9,7
32,1,7:44.0,,Offensive rebound by Team,9,7
33,1,7:31.0,Violation by A. Baynes (kicked ball),,9,7
34,1,7:19.0,,T. Wallace makes 2-pt jump shot from 11 ft,9,9
35,1,7:01.0,A. Baynes misses 2-pt layup from 2 ft,,9,9
36,1,6:59.0,,Defensive rebound by T. Wallace,9,9
37,1,6:58.0,,B. Griffin makes 2-pt layup at rim (assist by M. Teodosić),9,11
38,1,6:34.0,J. Tatum misses 3-pt jump shot from 29 ft,,9,11
39,1,6:34.0,Offensive rebound by Team,,9,11
40,1,6:34.0,,LA Clippers full timeout,9,11
41,1,6:29.0,K. Irving makes 2-pt jump shot from 14 ft (assist by J. Tatum),,11,11
42,1,6:13.0,,W. Johnson makes 2-pt jump shot from 21 ft (assist by M. Teodosić),11,13
43,1,5:48.0,J. Tatum misses 2-pt layup from 2 ft (block by W. Johnson),,11,13
44,1,5:43.0,Offensive rebound by M. Morris,,11,13
45,1,5:42.0,M. Morris makes 3-pt jump shot from 26 ft,,14,13
