,QUARTER,TIME_REMAINING,NEW YORK_ACTION,BOSTON_ACTION,NEW YORK_SCORE,BOSTON_SCORE
0,1,11:37.0,E. Freedom misses 2-pt hook shot from 5 ft,,0,0
1,1,11:35.0,,Defensive rebound by A. Horford,0,0
2,1,11:29.0,,A. Horford misses 2-pt hook shot from 4 ft,0,0
3,1,11:26.0,Defensive rebound by J. Jack,,0,0
4,1,11:21.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,3,0
5,1,11:01.0,,A. Horford misses 2-pt jump shot from 9 ft,3,0
6,1,10:59.0,Defensive rebound by E. Freedom,,3,0
7,1,10:45.0,Shooting foul by T. Rozier (drawn by E. Freedom),,3,0
8,1,10:45.0,E. Freedom makes free throw 1 of 2,,4,0
9,1,10:45.0,E. Freedom makes free throw 2 of 2,,5,0
10,1,10:33.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by A. Baynes),5,3
11,1,10:16.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by C. Lee),,7,3
12,1,10:03.0,,Turnover by A. Horford (bad pass; steal by C. Lee),7,3
13,1,9:56.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,7,3
14,1,9:54.0,,Defensive rebound by A. Horford,7,3
15,1,9:50.0,,J. Brown makes 3-pt jump shot from 24 ft (assist by A. Horford),7,6
16,1,9:32.0,Turnover by J. Jack (bad pass; steal by A. Horford),,7,6
17,1,9:26.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Horford),7,8
18,1,9:10.0,C. Lee makes 2-pt jump shot from 19 ft,,9,8
19,1,8:54.0,,J. Brown makes 2-pt dunk from 1 ft (assist by A. Baynes),9,10
20,1,8:36.0,T. Hardaway misses 2-pt jump shot from 7 ft,,9,10
21,1,8:35.0,Offensive rebound by Team,,9,10
22,1,8:29.0,C. Lee misses 2-pt jump shot from 18 ft,,9,10
23,1,8:27.0,Offensive rebound by Team,,9,10
24,1,8:20.0,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),,11,10
25,1,8:02.0,,T. Rozier makes 3-pt jump shot from 24 ft,11,13
26,1,7:47.0,K. Porziņģis makes 2-pt hook shot from 11 ft,,13,13
27,1,7:25.0,,J. Brown misses 3-pt jump shot from 25 ft,13,13
28,1,7:23.0,Defensive rebound by E. Freedom,,13,13
29,1,7:15.0,J. Jack misses 2-pt jump shot from 21 ft,,13,13
30,1,7:13.0,,Defensive rebound by A. Horford,13,13
31,1,7:02.0,,T. Rozier makes 3-pt jump shot from 22 ft (assist by A. Horford),13,16
32,1,6:54.0,New York full timeout,,13,16
33,1,6:38.0,E. Freedom misses 2-pt jump shot from 9 ft,,13,16
34,1,6:37.0,,Defensive rebound by J. Brown,13,16
35,1,6:20.0,,T. Rozier makes 2-pt layup at rim (assist by A. Horford),13,18
36,1,6:05.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,13,18
37,1,6:02.0,,Defensive rebound by T. Rozier,13,18
38,1,5:59.0,,T. Rozier misses 2-pt layup at rim,13,18
39,1,5:59.0,Defensive rebound by E. Freedom,,13,18
40,1,5:49.0,C. Lee misses 3-pt jump shot from 25 ft,,13,18
41,1,5:47.0,Offensive rebound by Team,,13,18
42,1,5:47.0,,A. Nader enters the game for A. Baynes,13,18
43,1,5:47.0,,S. Ojeleye enters the game for J. Brown,13,18
44,1,5:47.0,,M. Morris enters the game for T. Rozier,13,18
45,1,5:47.0,F. Ntilikina enters the game for T. Hardaway,,13,18
46,1,5:47.0,L. Thomas enters the game for J. Jack,,13,18
47,1,5:41.0,L. Thomas misses 2-pt hook shot from 6 ft,,13,18
48,1,5:40.0,Offensive rebound by E. Freedom,,13,18
49,1,5:32.0,E. Freedom makes 2-pt layup at rim,,15,18
50,1,5:24.0,,J. Tatum misses 3-pt jump shot from 23 ft,15,18
51,1,5:24.0,Defensive rebound by C. Lee,,15,18
52,1,5:15.0,F. Ntilikina misses 2-pt jump shot from 15 ft,,15,18
