,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHICAGO_ACTION,SACRAMENTO_SCORE,CHICAGO_SCORE
0,1,11:47.0,D. Fox makes 2-pt layup from 1 ft (assist by S. Labissière),,2,0
1,1,11:26.0,,D. Valentine makes 2-pt jump shot from 20 ft (assist by K. Dunn),2,2
2,1,11:10.0,Z. Randolph makes 2-pt jump shot from 21 ft (assist by G. Hill),,4,2
3,1,10:43.0,,D. Valentine misses 2-pt jump shot from 12 ft,4,2
4,1,10:43.0,Defensive rebound by Z. Randolph,,4,2
5,1,10:28.0,S. Labissière misses 2-pt jump shot from 12 ft,,4,2
6,1,10:24.0,,Defensive rebound by L. Markkanen,4,2
7,1,10:18.0,,K. Dunn misses 2-pt layup from 3 ft,4,2
8,1,10:18.0,Defensive rebound by Z. Randolph,,4,2
9,1,10:06.0,Z. Randolph misses 2-pt hook shot from 6 ft,,4,2
10,1,10:02.0,Offensive rebound by Z. Randolph,,4,2
11,1,9:57.0,Z. Randolph makes 2-pt layup at rim,,6,2
12,1,9:51.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by K. Dunn),6,4
13,1,9:35.0,Z. Randolph misses 2-pt jump shot from 17 ft,,6,4
14,1,9:31.0,Offensive rebound by S. Labissière,,6,4
15,1,9:22.0,D. Fox misses 3-pt jump shot from 23 ft,,6,4
16,1,9:20.0,,Defensive rebound by D. Valentine,6,4
17,1,9:11.0,,K. Dunn makes 3-pt jump shot from 22 ft (assist by J. Holiday),6,7
18,1,8:47.0,Z. Randolph makes 2-pt hook shot from 2 ft (assist by G. Hill),,8,7
19,1,8:38.0,,K. Dunn misses 2-pt layup from 2 ft (block by D. Fox),8,7
20,1,8:38.0,,Offensive rebound by Team,8,7
21,1,8:35.0,,Personal foul by S. Labissière (drawn by L. Markkanen),8,7
22,1,8:29.0,,L. Markkanen misses 3-pt jump shot from 25 ft,8,7
23,1,8:26.0,Defensive rebound by Z. Randolph,,8,7
24,1,8:19.0,G. Hill makes 2-pt layup from 1 ft (assist by S. Labissière),,10,7
25,1,7:56.0,,J. Holiday makes 2-pt jump shot from 14 ft (assist by R. Lopez),10,9
26,1,7:44.0,Personal foul by D. Valentine (drawn by Z. Randolph),,10,9
27,1,7:30.0,S. Labissière makes 2-pt hook shot from 6 ft,,12,9
28,1,7:13.0,,R. Lopez makes 2-pt hook shot from 3 ft (assist by K. Dunn),12,11
29,1,7:00.0,Turnover by S. Labissière (lost ball; steal by R. Lopez),,12,11
30,1,6:56.0,,D. Valentine makes 3-pt jump shot from 25 ft (assist by K. Dunn),12,14
31,1,6:43.0,Turnover by S. Labissière (bad pass; steal by J. Holiday),,12,14
32,1,6:39.0,,Turnover by L. Markkanen (lost ball; steal by G. Hill),12,14
33,1,6:33.0,G. Temple makes 2-pt layup from 1 ft (assist by G. Hill),,14,14
34,1,6:17.0,,D. Valentine misses 3-pt jump shot from 23 ft,14,14
35,1,6:14.0,Defensive rebound by G. Hill,,14,14
36,1,6:05.0,Z. Randolph misses 3-pt jump shot from 26 ft,,14,14
37,1,6:02.0,,Defensive rebound by D. Valentine,14,14
38,1,5:47.0,,R. Lopez makes 2-pt hook shot from 6 ft,14,16
39,1,5:21.0,S. Labissière misses 2-pt jump shot from 20 ft,,14,16
40,1,5:21.0,,Defensive rebound by J. Holiday,14,16
41,1,5:09.0,,Turnover by K. Dunn (bad pass; steal by G. Hill),14,16
42,1,5:05.0,G. Hill makes 2-pt layup at rim,,16,16
43,1,5:05.0,,Chicago full timeout,16,16
44,1,5:05.0,W. Cauley-Stein enters the game for S. Labissière,,16,16
45,1,5:04.0,G. Temple misses 2-pt layup from 1 ft,,16,16
46,1,5:04.0,Offensive rebound by G. Hill,,16,16
47,1,4:50.0,,L. Markkanen makes 3-pt jump shot from 22 ft (assist by K. Dunn),16,19
48,1,4:39.0,Turnover by D. Fox (lost ball; steal by K. Dunn),,16,19
49,1,4:35.0,,L. Markkanen makes 2-pt dunk at rim (assist by K. Dunn),16,21
50,1,4:23.0,D. Fox makes 2-pt jump shot from 18 ft,,18,21
51,1,4:12.0,,Personal foul by D. Fox (drawn by K. Dunn),18,21
52,1,4:12.0,,P. Zipser enters the game for D. Valentine,18,21
53,1,3:58.0,,K. Dunn misses 3-pt jump shot from 25 ft (block by D. Fox),18,21
54,1,3:53.0,Defensive rebound by Z. Randolph,,18,21
55,1,3:34.0,Z. Randolph makes 2-pt jump shot from 9 ft (assist by G. Temple),,20,21
56,1,3:34.0,Shooting foul by L. Markkanen (drawn by Z. Randolph),,20,21
57,1,3:34.0,,D. Nwaba enters the game for L. Markkanen,20,21
58,1,3:34.0,F. Mason enters the game for D. Fox,,20,21
59,1,3:34.0,Z. Randolph makes free throw 1 of 1,,21,21
60,1,3:19.0,,Turnover by P. Zipser (traveling),21,21
61,1,3:19.0,,J. Grant enters the game for K. Dunn,21,21
62,1,3:04.0,Z. Randolph makes 2-pt jump shot from 21 ft (assist by W. Cauley-Stein),,23,21
63,1,2:51.0,,Personal foul by Z. Randolph (drawn by R. Lopez),23,21
64,1,2:51.0,Sacramento full timeout,,23,21
65,1,2:51.0,B. Hield enters the game for G. Temple,,23,21
66,1,2:44.0,,P. Zipser misses 3-pt jump shot from 22 ft,23,21
67,1,2:41.0,,Offensive rebound by R. Lopez,23,21
68,1,2:36.0,,D. Nwaba makes 2-pt layup from 2 ft,23,23
69,1,2:20.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by Z. Randolph),,25,23
70,1,2:06.0,,J. Grant misses 3-pt jump shot from 25 ft,25,23
71,1,2:04.0,,Offensive rebound by P. Zipser,25,23
72,1,2:03.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by D. Nwaba),25,26
73,1,1:49.0,W. Cauley-Stein misses 2-pt layup from 2 ft,,25,26
74,1,1:44.0,Offensive rebound by W. Cauley-Stein,,25,26
75,1,1:44.0,W. Cauley-Stein makes 2-pt layup at rim,,27,26
76,1,1:27.0,,P. Zipser makes 2-pt jump shot from 12 ft (assist by J. Holiday),27,28
77,1,1:14.0,Shooting foul by P. Zipser (drawn by F. Mason),,27,28
78,1,1:14.0,F. Mason makes free throw 1 of 2,,28,28
79,1,1:14.0,B. Bogdanović enters the game for G. Hill,,28,28
80,1,1:14.0,K. Koufos enters the game for Z. Randolph,,28,28
81,1,1:14.0,F. Mason makes free throw 2 of 2,,29,28
82,1,1:06.0,,Personal foul by W. Cauley-Stein (drawn by P. Zipser),29,28
83,1,0:52.0,,D. Nwaba misses 2-pt layup from 2 ft (block by W. Cauley-Stein),29,28
84,1,0:51.0,Defensive rebound by B. Bogdanović,,29,28
85,1,0:51.0,Turnover by B. Bogdanović (bad pass),,29,28
86,1,0:51.0,,C. Felício enters the game for R. Lopez,29,28
87,1,0:38.0,,C. Felício makes 2-pt layup at rim (assist by J. Holiday),29,30
88,1,0:24.0,B. Hield misses 2-pt jump shot from 6 ft,,29,30
89,1,0:21.0,,Defensive rebound by D. Nwaba,29,30
90,1,0:19.0,,Shooting foul by F. Mason (drawn by D. Nwaba),29,30
91,1,0:19.0,,D. Nwaba makes free throw 1 of 2,29,31
92,1,0:19.0,,D. Nwaba misses free throw 2 of 2,29,31
93,1,0:17.0,Defensive rebound by K. Koufos,,29,31
94,1,0:06.0,F. Mason misses 2-pt layup from 2 ft,,29,31
95,1,0:04.0,,Defensive rebound by P. Zipser,29,31
96,1,0:00.0,,J. Grant misses 2-pt layup from 1 ft (block by W. Cauley-Stein),29,31
97,1,0:00.0,,Offensive rebound by Team,29,31
98,2,11:38.0,,P. Zipser makes 2-pt jump shot from 21 ft,29,33
99,2,11:12.0,W. Cauley-Stein makes 2-pt layup from 2 ft,,31,33
100,2,10:55.0,,Shooting foul by W. Cauley-Stein (drawn by C. Felício),31,33
101,2,10:55.0,,C. Felício makes free throw 1 of 2,31,34
102,2,10:55.0,,C. Felício makes free throw 2 of 2,31,35
103,2,10:40.0,B. Hield misses 2-pt jump shot from 18 ft,,31,35
104,2,10:36.0,,Defensive rebound by D. Nwaba,31,35
105,2,10:28.0,,Turnover by A. Blakeney (bad pass; steal by B. Hield),31,35
106,2,10:21.0,Turnover by B. Hield (bad pass; steal by J. Grant),,31,35
107,2,10:21.0,,A. Blakeney makes 3-pt jump shot from 22 ft (assist by D. Nwaba),31,38
108,2,10:21.0,Sacramento full timeout,,31,38
109,2,10:06.0,W. Cauley-Stein misses 2-pt jump shot from 16 ft,,31,38
110,2,10:05.0,Offensive rebound by Team,,31,38
111,2,10:01.0,F. Mason misses 2-pt jump shot from 7 ft,,31,38
112,2,10:00.0,Offensive rebound by Team,,31,38
113,2,10:00.0,,Loose ball foul by J. Grant (drawn by K. Koufos),31,38
114,2,9:47.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by K. Koufos),,33,38
115,2,9:35.0,,Turnover by A. Blakeney (lost ball; steal by B. Bogdanović),33,38
116,2,9:29.0,B. Bogdanović misses 2-pt layup from 1 ft,,33,38
117,2,9:29.0,Offensive rebound by W. Cauley-Stein,,33,38
118,2,9:22.0,W. Cauley-Stein makes 2-pt layup at rim,,35,38
119,2,9:15.0,,D. Nwaba misses 2-pt layup from 1 ft,35,38
120,2,9:11.0,,Offensive rebound by D. Nwaba,35,38
121,2,9:10.0,,D. Nwaba makes 2-pt jump shot from 7 ft,35,40
122,2,8:58.0,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by F. Mason),,37,40
123,2,8:46.0,,C. Felício makes 2-pt jump shot from 2 ft (assist by J. Grant),37,42
124,2,8:25.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),,39,42
125,2,8:16.0,,A. Blakeney misses 3-pt jump shot from 25 ft,39,42
126,2,8:12.0,Defensive rebound by W. Cauley-Stein,,39,42
127,2,8:03.0,K. Koufos misses 2-pt hook shot from 5 ft,,39,42
128,2,7:59.0,,Defensive rebound by D. Nwaba,39,42
129,2,7:54.0,,P. Zipser makes 3-pt jump shot from 25 ft (assist by D. Nwaba),39,45
130,2,7:38.0,K. Koufos makes 2-pt jump shot from 12 ft (assist by W. Cauley-Stein),,41,45
131,2,7:24.0,Sacramento full timeout,,41,45
132,2,7:24.0,,D. Valentine enters the game for A. Blakeney,41,45
133,2,7:24.0,V. Carter enters the game for W. Cauley-Stein,,41,45
134,2,7:24.0,G. Temple enters the game for B. Hield,,41,45
135,2,7:23.0,,J. Grant makes 2-pt jump shot from 2 ft,41,47
136,2,7:08.0,G. Temple misses 3-pt jump shot from 25 ft,,41,47
137,2,7:08.0,,Defensive rebound by C. Felício,41,47
138,2,6:57.0,,J. Grant makes 2-pt jump shot from 15 ft,41,49
139,2,6:47.0,V. Carter makes 3-pt jump shot from 22 ft (assist by F. Mason),,44,49
140,2,6:26.0,,P. Zipser makes 2-pt jump shot from 7 ft,44,51
141,2,6:08.0,F. Mason misses 3-pt jump shot from 23 ft,,44,51
142,2,6:02.0,,Defensive rebound by D. Valentine,44,51
143,2,6:02.0,,Shooting foul by V. Carter (drawn by D. Valentine),44,51
144,2,6:02.0,,D. Valentine misses free throw 1 of 2,44,51
145,2,6:02.0,,Offensive rebound by Team,44,51
146,2,6:02.0,,J. Holiday enters the game for D. Nwaba,44,51
147,2,6:02.0,Z. Randolph enters the game for K. Koufos,,44,51
148,2,6:02.0,,D. Valentine makes free throw 2 of 2,44,52
149,2,5:50.0,Turnover by Z. Randolph (bad pass),,44,52
150,2,5:50.0,D. Fox enters the game for F. Mason,,44,52
151,2,5:37.0,,Turnover by J. Grant (bad pass),44,52
152,2,5:19.0,D. Fox makes 2-pt layup from 1 ft (assist by B. Bogdanović),,46,52
153,2,4:59.0,,P. Zipser misses 2-pt layup at rim,46,52
154,2,4:57.0,Defensive rebound by Z. Randolph,,46,52
155,2,4:53.0,D. Fox misses 2-pt layup from 3 ft,,46,52
156,2,4:51.0,,Defensive rebound by P. Zipser,46,52
157,2,4:48.0,,C. Felício makes 2-pt layup from 1 ft (assist by D. Valentine),46,54
158,2,4:48.0,,Shooting foul by V. Carter (drawn by C. Felício),46,54
159,2,4:48.0,,K. Dunn enters the game for J. Grant,46,54
160,2,4:48.0,,L. Markkanen enters the game for P. Zipser,46,54
161,2,4:48.0,,C. Felício misses free throw 1 of 1,46,54
162,2,4:31.0,Shooting foul by C. Felício (drawn by B. Bogdanović),,46,54
163,2,4:31.0,B. Bogdanović makes free throw 1 of 2,,47,54
164,2,4:31.0,B. Bogdanović makes free throw 2 of 2,,48,54
165,2,4:16.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by K. Dunn),48,57
166,2,3:54.0,Z. Randolph makes 2-pt jump shot from 14 ft (assist by G. Temple),,50,57
167,2,3:30.0,,K. Dunn misses 2-pt jump shot from 20 ft,50,57
168,2,3:30.0,Defensive rebound by D. Fox,,50,57
