,QUARTER,TIME_REMAINING,DALLAS_ACTION,UTAH_ACTION,DALLAS_SCORE,UTAH_SCORE
0,1,11:47.0,,R. Gobert makes 2-pt jump shot from 17 ft (assist by J. Ingles),0,2
1,1,11:29.0,D. Smith misses 2-pt jump shot from 11 ft,,0,2
2,1,11:26.0,Offensive rebound by N. Noel,,0,2
3,1,11:15.0,Personal foul by R. Hood (drawn by D. Nowitzki),,0,2
4,1,11:09.0,Turnover by D. Smith (bad pass; steal by R. Gobert),,0,2
5,1,11:01.0,,D. Favors makes 3-pt jump shot from 22 ft (assist by R. Hood),0,5
6,1,10:48.0,D. Smith misses 2-pt layup from 2 ft (block by R. Gobert),,0,5
7,1,10:48.0,Offensive rebound by Team,,0,5
8,1,10:40.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,0,5
9,1,10:38.0,,Defensive rebound by R. Gobert,0,5
10,1,10:28.0,,R. Hood misses 3-pt jump shot from 25 ft,0,5
11,1,10:24.0,Defensive rebound by D. Smith,,0,5
12,1,10:15.0,N. Noel makes 2-pt jump shot from 14 ft (assist by D. Smith),,2,5
13,1,9:55.0,,Personal foul by N. Noel (drawn by R. Gobert),2,5
14,1,9:50.0,,Shooting foul by D. Nowitzki (drawn by R. Gobert),2,5
15,1,9:50.0,,R. Gobert makes free throw 1 of 2,2,6
16,1,9:50.0,,R. Gobert makes free throw 2 of 2,2,7
17,1,9:36.0,W. Matthews makes 3-pt jump shot from 24 ft (assist by H. Barnes),,5,7
18,1,9:20.0,,R. Gobert makes 2-pt layup from 1 ft (assist by J. Ingles),5,9
19,1,8:56.0,Turnover by D. Smith (lost ball; steal by R. Rubio),,5,9
20,1,8:52.0,,J. Ingles makes 3-pt jump shot from 25 ft (assist by R. Rubio),5,12
21,1,8:45.0,Dallas full timeout,,5,12
22,1,8:45.0,D. Powell enters the game for N. Noel,,5,12
23,1,8:45.0,Y. Ferrell enters the game for D. Smith,,5,12
24,1,8:38.0,Personal foul by R. Hood (drawn by D. Nowitzki),,5,12
25,1,8:38.0,,D. Mitchell enters the game for R. Hood,5,12
26,1,8:26.0,H. Barnes misses 2-pt jump shot from 9 ft,,5,12
27,1,8:24.0,,Defensive rebound by R. Rubio,5,12
28,1,8:17.0,,J. Ingles misses 3-pt jump shot from 24 ft,5,12
29,1,8:13.0,,Offensive rebound by D. Favors,5,12
30,1,8:08.0,,D. Favors misses 2-pt jump shot from 14 ft,5,12
31,1,8:05.0,Defensive rebound by H. Barnes,,5,12
32,1,7:53.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by W. Matthews),,8,12
33,1,7:26.0,,D. Favors misses 3-pt jump shot from 23 ft,8,12
34,1,7:22.0,Defensive rebound by H. Barnes,,8,12
35,1,7:11.0,Turnover by H. Barnes (bad pass; steal by D. Favors),,8,12
36,1,7:04.0,,D. Favors misses 2-pt jump shot from 17 ft,8,12
37,1,6:59.0,,Offensive rebound by R. Gobert,8,12
38,1,6:51.0,,D. Favors makes 2-pt dunk from 1 ft (assist by R. Gobert),8,14
39,1,6:34.0,Turnover by Y. Ferrell (bad pass; steal by D. Mitchell),,8,14
40,1,6:31.0,,D. Mitchell makes 2-pt layup from 1 ft,8,16
41,1,6:18.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,11,16
42,1,5:51.0,,J. Ingles misses 3-pt jump shot from 27 ft,11,16
43,1,5:49.0,Defensive rebound by Team,,11,16
44,1,5:49.0,,J. Johnson enters the game for D. Favors,11,16
45,1,5:49.0,D. Harris enters the game for W. Matthews,,11,16
46,1,5:49.0,J. Barea enters the game for D. Nowitzki,,11,16
47,1,5:39.0,,A. Burks enters the game for R. Rubio,11,16
48,1,5:32.0,J. Barea makes 2-pt jump shot from 19 ft,,13,16
49,1,5:10.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. Gobert),13,19
50,1,4:57.0,H. Barnes misses 3-pt jump shot from 24 ft,,13,19
51,1,4:55.0,,Defensive rebound by J. Ingles,13,19
52,1,4:46.0,,Turnover by A. Burks (step out of bounds),13,19
53,1,4:29.0,H. Barnes misses 2-pt jump shot from 15 ft,,13,19
54,1,4:25.0,Offensive rebound by D. Powell,,13,19
55,1,4:19.0,J. Barea makes 2-pt jump shot from 22 ft (assist by D. Powell),,15,19
56,1,3:58.0,,Personal foul by D. Harris (drawn by R. Gobert),15,19
57,1,3:58.0,,T. Sefolosha enters the game for J. Ingles,15,19
58,1,3:58.0,S. Mejri enters the game for H. Barnes,,15,19
59,1,3:47.0,,A. Burks misses 2-pt jump shot from 13 ft,15,19
60,1,3:44.0,Defensive rebound by D. Powell,,15,19
61,1,3:34.0,D. Powell misses 2-pt dunk from 1 ft,,15,19
62,1,3:30.0,,Defensive rebound by J. Johnson,15,19
63,1,3:26.0,,D. Mitchell misses 3-pt jump shot from 25 ft,15,19
