,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
0,1,11:41.0,D. Howard makes 2-pt hook shot from 8 ft,,2,0
1,1,11:22.0,,E. İlyasova misses 2-pt jump shot from 22 ft,2,0
2,1,11:20.0,Defensive rebound by K. Walker,,2,0
3,1,11:14.0,F. Kaminsky misses 2-pt jump shot from 17 ft,,2,0
4,1,11:10.0,,Defensive rebound by K. Bazemore,2,0
5,1,10:48.0,,M. Plumlee misses 2-pt hook shot from 10 ft,2,0
6,1,10:48.0,,Offensive rebound by Team,2,0
7,1,10:48.0,,Turnover by Team (shot clock),2,0
8,1,10:35.0,D. Howard makes 2-pt layup at rim (assist by N. Batum),,4,0
9,1,10:19.0,,D. Schröder makes 2-pt jump shot from 12 ft,4,2
10,1,10:00.0,M. Kidd-Gilchrist makes 2-pt jump shot from 14 ft,,6,2
11,1,9:45.0,,D. Schröder misses 3-pt jump shot from 24 ft,6,2
12,1,9:43.0,Defensive rebound by D. Howard,,6,2
13,1,9:30.0,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,,6,2
14,1,9:27.0,,Defensive rebound by E. İlyasova,6,2
15,1,9:19.0,,T. Prince misses 3-pt jump shot from 22 ft,6,2
16,1,9:16.0,,Offensive rebound by E. İlyasova,6,2
17,1,9:15.0,,E. İlyasova makes 3-pt jump shot from 25 ft,6,5
18,1,8:51.0,D. Howard misses 2-pt jump shot from 13 ft,,6,5
19,1,8:50.0,Offensive rebound by Team,,6,5
20,1,8:44.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by K. Walker),,8,5
21,1,8:20.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Prince),8,7
22,1,8:20.0,Violation by D. Howard (def goaltending),,8,7
23,1,8:05.0,Shooting foul by M. Plumlee (drawn by D. Howard),,8,7
24,1,8:05.0,D. Howard makes free throw 1 of 2,,9,7
25,1,8:05.0,D. Howard makes free throw 2 of 2,,10,7
26,1,7:58.0,,D. Schröder makes 2-pt jump shot from 10 ft (assist by M. Plumlee),10,9
27,1,7:40.0,N. Batum makes 3-pt jump shot from 24 ft,,13,9
28,1,7:40.0,Shooting foul by K. Bazemore (drawn by N. Batum),,13,9
29,1,7:40.0,N. Batum makes free throw 1 of 1,,14,9
30,1,7:30.0,,K. Bazemore misses 2-pt jump shot from 17 ft,14,9
31,1,7:27.0,,Offensive rebound by M. Plumlee,14,9
32,1,7:26.0,,Turnover by M. Plumlee (lost ball; steal by N. Batum),14,9
33,1,7:21.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,16,9
34,1,7:21.0,,Atlanta full timeout,16,9
35,1,7:21.0,,M. Belinelli enters the game for T. Prince,16,9
36,1,7:13.0,,K. Bazemore makes 2-pt layup from 2 ft (assist by E. İlyasova),16,11
37,1,6:58.0,K. Walker makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,19,11
38,1,6:45.0,,D. Schröder misses 2-pt jump shot from 11 ft,19,11
39,1,6:41.0,Defensive rebound by F. Kaminsky,,19,11
40,1,6:35.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by N. Batum),,21,11
41,1,6:11.0,,Shooting foul by D. Howard (drawn by K. Bazemore),21,11
42,1,6:11.0,,K. Bazemore makes free throw 1 of 2,21,12
43,1,6:11.0,,D. Dedmon enters the game for M. Plumlee,21,12
44,1,6:11.0,,K. Bazemore makes free throw 2 of 2,21,13
45,1,5:59.0,M. Kidd-Gilchrist makes 2-pt jump shot from 13 ft (assist by N. Batum),,23,13
46,1,5:37.0,,Personal foul by M. Kidd-Gilchrist (drawn by K. Bazemore),23,13
47,1,5:37.0,T. Graham enters the game for F. Kaminsky,,23,13
48,1,5:28.0,,E. İlyasova misses 3-pt jump shot from 25 ft,23,13
49,1,5:25.0,Defensive rebound by D. Howard,,23,13
50,1,5:17.0,Turnover by K. Walker (bad pass; steal by M. Belinelli),,23,13
51,1,5:08.0,,M. Belinelli misses 2-pt jump shot from 17 ft,23,13
52,1,5:06.0,Defensive rebound by D. Howard,,23,13
53,1,4:51.0,N. Batum misses 3-pt jump shot from 24 ft,,23,13
54,1,4:47.0,,Defensive rebound by D. Schröder,23,13
55,1,4:43.0,,D. Dedmon makes 2-pt layup from 1 ft (assist by D. Schröder),23,15
56,1,4:24.0,Shooting foul by D. Dedmon (drawn by T. Graham),,23,15
57,1,4:24.0,T. Graham makes free throw 1 of 2,,24,15
58,1,4:24.0,,T. Prince enters the game for E. İlyasova,24,15
59,1,4:24.0,,J. Collins enters the game for K. Bazemore,24,15
60,1,4:24.0,T. Graham makes free throw 2 of 2,,25,15
61,1,4:06.0,,D. Schröder misses 3-pt jump shot from 23 ft,25,15
62,1,4:04.0,Defensive rebound by Team,,25,15
63,1,3:51.0,J. Lamb enters the game for M. Kidd-Gilchrist,,25,15
