,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:42.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Wiggins,0,0
2,1,11:16.0,,A. Wiggins misses 2-pt jump shot from 7 ft,0,0
3,1,11:13.0,,Offensive rebound by K. Towns,0,0
4,1,11:12.0,,K. Towns makes 2-pt layup from 1 ft,0,2
5,1,10:58.0,Shooting foul by A. Wiggins (drawn by G. Antetokounmpo),,0,2
6,1,10:58.0,G. Antetokounmpo makes free throw 1 of 2,,1,2
7,1,10:58.0,G. Antetokounmpo makes free throw 2 of 2,,2,2
8,1,10:48.0,,J. Butler makes 2-pt jump shot from 20 ft (assist by K. Towns),2,4
9,1,10:36.0,T. Snell misses 3-pt jump shot from 23 ft,,2,4
10,1,10:33.0,,Defensive rebound by T. Gibson,2,4
11,1,10:24.0,,K. Towns misses 3-pt jump shot from 25 ft,2,4
12,1,10:24.0,Defensive rebound by T. Snell,,2,4
13,1,10:09.0,Turnover by K. Middleton (bad pass; steal by J. Teague),,2,4
14,1,9:55.0,,J. Butler misses 3-pt jump shot from 24 ft,2,4
15,1,9:53.0,,Offensive rebound by K. Towns,2,4
16,1,9:52.0,,K. Towns makes 2-pt layup at rim,2,6
17,1,9:41.0,Offensive foul by G. Antetokounmpo (drawn by J. Butler),,2,6
18,1,9:41.0,Turnover by G. Antetokounmpo (offensive foul),,2,6
19,1,9:27.0,,Shooting foul by K. Middleton (drawn by A. Wiggins),2,6
20,1,9:27.0,,A. Wiggins makes free throw 1 of 2,2,7
21,1,9:27.0,,A. Wiggins misses free throw 2 of 2,2,7
22,1,9:25.0,Defensive rebound by J. Henson,,2,7
23,1,9:07.0,M. Brogdon makes 2-pt layup from 2 ft,,4,7
24,1,9:00.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),4,9
25,1,8:42.0,K. Middleton misses 2-pt jump shot from 17 ft,,4,9
26,1,8:35.0,Offensive rebound by J. Henson,,4,9
27,1,8:35.0,J. Henson makes 2-pt layup at rim,,6,9
28,1,8:29.0,,K. Towns misses 2-pt jump shot from 16 ft,6,9
29,1,8:27.0,Defensive rebound by K. Middleton,,6,9
30,1,8:22.0,K. Middleton makes 2-pt jump shot from 13 ft,,8,9
31,1,8:02.0,,T. Gibson makes 2-pt layup at rim,8,11
32,1,7:49.0,M. Brogdon misses 2-pt layup from 6 ft,,8,11
33,1,7:44.0,,Defensive rebound by J. Butler,8,11
