,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:31.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,0,0
1,1,11:28.0,Offensive rebound by J. Allen,,0,0
2,1,11:27.0,J. Allen makes 2-pt layup from 1 ft,,2,0
3,1,11:06.0,,N. Batum misses 2-pt jump shot from 18 ft,2,0
4,1,11:04.0,Defensive rebound by J. Allen,,2,0
5,1,10:59.0,D. Carroll misses 3-pt jump shot from 25 ft,,2,0
6,1,10:55.0,,Defensive rebound by M. Kidd-Gilchrist,2,0
7,1,10:44.0,,N. Batum misses 2-pt jump shot from 10 ft,2,0
8,1,10:42.0,Defensive rebound by J. Allen,,2,0
9,1,10:18.0,D. Carroll misses 2-pt jump shot from 18 ft,,2,0
10,1,10:18.0,Offensive rebound by Team,,2,0
11,1,10:18.0,Turnover by Team (shot clock),,2,0
12,1,10:07.0,,D. Howard makes 2-pt layup from 2 ft,2,2
13,1,9:52.0,D. Russell misses 3-pt jump shot from 29 ft,,2,2
14,1,9:48.0,,Defensive rebound by N. Batum,2,2
15,1,9:40.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 13 ft (assist by N. Batum),2,4
16,1,9:30.0,A. Crabbe makes 3-pt jump shot from 29 ft (assist by D. Carroll),,5,4
17,1,9:16.0,,M. Williams misses 3-pt jump shot from 26 ft,5,4
18,1,9:13.0,Defensive rebound by A. Crabbe,,5,4
19,1,9:02.0,A. Crabbe makes 2-pt layup from 1 ft (assist by D. Russell),,7,4
20,1,8:51.0,,Personal foul by S. Dinwiddie (drawn by K. Walker),7,4
21,1,8:44.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 14 ft,7,4
22,1,8:41.0,Defensive rebound by A. Crabbe,,7,4
23,1,8:34.0,J. Allen makes 2-pt layup from 4 ft (assist by D. Carroll),,9,4
24,1,8:34.0,,Violation by D. Howard (def goaltending),9,4
25,1,8:24.0,,N. Batum makes 2-pt jump shot from 9 ft,9,6
26,1,8:05.0,A. Crabbe makes 3-pt jump shot from 25 ft,,12,6
27,1,7:50.0,,D. Howard makes 2-pt hook shot from 2 ft (assist by K. Walker),12,8
28,1,7:50.0,,Shooting foul by J. Allen (drawn by D. Howard),12,8
29,1,7:50.0,,D. Howard makes free throw 1 of 1,12,9
30,1,7:36.0,D. Russell makes 2-pt jump shot from 12 ft,,14,9
31,1,7:23.0,,K. Walker makes 3-pt jump shot from 25 ft,14,12
32,1,7:02.0,D. Carroll makes 2-pt layup from 2 ft (assist by D. Russell),,16,12
33,1,6:45.0,,D. Howard makes 2-pt dunk at rim,16,14
34,1,6:30.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,19,14
35,1,6:10.0,,M. Williams makes 2-pt hook shot from 7 ft,19,16
36,1,5:58.0,S. Dinwiddie makes 2-pt jump shot from 10 ft,,21,16
37,1,5:38.0,,D. Howard misses 2-pt layup from 2 ft,21,16
38,1,5:33.0,,Offensive rebound by N. Batum,21,16
39,1,5:33.0,,N. Batum makes 2-pt layup at rim,21,18
40,1,5:19.0,D. Russell misses 2-pt jump shot from 18 ft,,21,18
41,1,5:14.0,,Defensive rebound by D. Howard,21,18
42,1,5:02.0,,D. Howard makes 2-pt dunk from 1 ft (assist by M. Kidd-Gilchrist),21,20
43,1,5:02.0,Brooklyn full timeout,,21,20
44,1,5:02.0,J. Harris enters the game for J. Allen,,21,20
45,1,5:02.0,D. Cunningham enters the game for D. Russell,,21,20
46,1,4:40.0,J. Harris misses 2-pt jump shot from 14 ft,,21,20
47,1,4:38.0,,Defensive rebound by D. Howard,21,20
48,1,4:32.0,,N. Batum misses 2-pt jump shot from 19 ft,21,20
49,1,4:28.0,Defensive rebound by A. Crabbe,,21,20
50,1,4:21.0,S. Dinwiddie makes 2-pt hook shot from 5 ft,,23,20
51,1,4:09.0,,Offensive foul by M. Kidd-Gilchrist (drawn by J. Harris),23,20
52,1,4:09.0,,Turnover by M. Kidd-Gilchrist (offensive foul),23,20
53,1,4:09.0,R. Hollis-Jefferson enters the game for D. Carroll,,23,20
54,1,4:09.0,C. LeVert enters the game for A. Crabbe,,23,20
55,1,3:59.0,Offensive foul by R. Hollis-Jefferson (drawn by M. Kidd-Gilchrist),,23,20
56,1,3:59.0,Turnover by R. Hollis-Jefferson (offensive foul),,23,20
57,1,3:59.0,,F. Kaminsky enters the game for M. Williams,23,20
58,1,3:59.0,,J. Lamb enters the game for M. Kidd-Gilchrist,23,20
59,1,3:36.0,,D. Howard misses 2-pt jump shot from 12 ft,23,20
60,1,3:34.0,Defensive rebound by C. LeVert,,23,20
61,1,3:28.0,D. Cunningham makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,26,20
62,1,3:14.0,,F. Kaminsky misses 2-pt layup from 1 ft (block by D. Cunningham),26,20
63,1,3:11.0,Defensive rebound by D. Cunningham,,26,20
64,1,3:08.0,J. Harris makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,28,20
