,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA LAKERS_ACTION,TORONTO_SCORE,LA LAKERS_SCORE
0,1,11:38.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,0,0
1,1,11:34.0,Defensive rebound by K. Lowry,,0,0
2,1,11:18.0,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),,2,0
3,1,11:03.0,,B. Ingram misses 3-pt jump shot from 25 ft,2,0
4,1,10:59.0,Defensive rebound by P. Siakam,,2,0
5,1,10:54.0,P. Siakam makes 3-pt jump shot from 24 ft (assist by K. Lowry),,5,0
6,1,10:40.0,,B. Lopez makes 2-pt dunk at rim (assist by B. Ingram),5,2
7,1,10:22.0,Turnover by D. DeRozan (bad pass; steal by L. Ball),,5,2
8,1,10:17.0,,L. Nance makes 2-pt dunk at rim (assist by L. Ball),5,4
9,1,10:03.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by D. DeRozan),,7,4
10,1,9:48.0,,B. Lopez misses 3-pt jump shot from 25 ft,7,4
11,1,9:44.0,Defensive rebound by S. Ibaka,,7,4
12,1,9:32.0,S. Ibaka makes 2-pt jump shot from 11 ft (assist by K. Lowry),,9,4
13,1,9:20.0,,Turnover by B. Ingram (lost ball; steal by K. Lowry),9,4
14,1,9:16.0,N. Powell misses 3-pt jump shot from 25 ft,,9,4
15,1,9:09.0,,Defensive rebound by L. Ball,9,4
16,1,9:05.0,,L. Nance makes 2-pt layup from 1 ft (assist by L. Ball),9,6
17,1,8:51.0,P. Siakam misses 3-pt jump shot from 23 ft,,9,6
18,1,8:48.0,,Defensive rebound by B. Lopez,9,6
19,1,8:34.0,,B. Ingram misses 2-pt jump shot from 13 ft,9,6
20,1,8:28.0,Defensive rebound by P. Siakam,,9,6
21,1,8:14.0,S. Ibaka makes 2-pt jump shot from 12 ft (assist by N. Powell),,11,6
22,1,8:02.0,,Personal foul by P. Siakam (drawn by L. Nance),11,6
23,1,7:53.0,,B. Ingram misses 2-pt jump shot from 9 ft,11,6
24,1,7:48.0,,Offensive rebound by B. Lopez,11,6
25,1,7:46.0,,B. Lopez makes 2-pt hook shot from 4 ft,11,8
26,1,7:42.0,P. Siakam makes 2-pt dunk at rim (assist by D. DeRozan),,13,8
27,1,7:26.0,,L. Ball makes 2-pt layup from 1 ft (assist by B. Lopez),13,10
28,1,7:09.0,Turnover by D. DeRozan (bad pass; steal by L. Nance),,13,10
29,1,7:04.0,,K. Caldwell-Pope makes 2-pt dunk at rim (assist by L. Nance),13,12
30,1,6:39.0,K. Lowry misses 3-pt jump shot from 29 ft,,13,12
31,1,6:35.0,,Defensive rebound by K. Caldwell-Pope,13,12
32,1,6:19.0,,Turnover by B. Lopez (bad pass),13,12
33,1,6:19.0,,LA Lakers full timeout,13,12
34,1,6:00.0,P. Siakam misses 3-pt jump shot from 24 ft,,13,12
35,1,5:56.0,,Defensive rebound by K. Caldwell-Pope,13,12
36,1,5:38.0,,L. Nance makes 2-pt layup from 1 ft,13,14
37,1,5:18.0,D. DeRozan misses 2-pt jump shot from 16 ft,,13,14
38,1,5:14.0,,Defensive rebound by L. Ball,13,14
39,1,5:06.0,,B. Lopez makes 2-pt jump shot from 2 ft (assist by L. Ball),13,16
40,1,4:46.0,N. Powell misses 2-pt layup from 3 ft (block by B. Lopez),,13,16
41,1,4:42.0,,Defensive rebound by K. Caldwell-Pope,13,16
42,1,4:37.0,,L. Ball misses 3-pt jump shot from 25 ft,13,16
43,1,4:33.0,Defensive rebound by P. Siakam,,13,16
44,1,4:22.0,P. Siakam makes 2-pt hook shot from 7 ft (assist by N. Powell),,15,16
45,1,4:06.0,,B. Ingram makes 2-pt jump shot from 15 ft,15,18
46,1,3:58.0,Shooting foul by L. Nance (drawn by D. DeRozan),,15,18
47,1,3:58.0,D. DeRozan misses free throw 1 of 2,,15,18
48,1,3:58.0,Offensive rebound by Team,,15,18
49,1,3:58.0,,J. Clarkson enters the game for B. Ingram,15,18
50,1,3:58.0,,K. Kuzma enters the game for L. Nance,15,18
51,1,3:58.0,C. Miles enters the game for P. Siakam,,15,18
52,1,3:58.0,J. Poeltl enters the game for N. Powell,,15,18
53,1,3:58.0,D. DeRozan makes free throw 2 of 2,,16,18
54,1,3:43.0,,B. Lopez misses 2-pt hook shot from 3 ft,16,18
55,1,3:43.0,Defensive rebound by D. DeRozan,,16,18
56,1,3:33.0,J. Poeltl misses 2-pt hook shot from 9 ft,,16,18
57,1,3:31.0,,Defensive rebound by K. Caldwell-Pope,16,18
58,1,3:27.0,,B. Lopez misses 3-pt jump shot from 24 ft,16,18
59,1,3:21.0,Defensive rebound by J. Poeltl,,16,18
60,1,3:09.0,S. Ibaka misses 3-pt jump shot from 25 ft,,16,18
61,1,3:05.0,,Defensive rebound by K. Caldwell-Pope,16,18
62,1,2:59.0,,B. Lopez makes 2-pt jump shot from 3 ft (assist by K. Caldwell-Pope),16,20
63,1,2:53.0,Toronto full timeout,,16,20
64,1,2:53.0,,J. Randle enters the game for B. Lopez,16,20
65,1,2:53.0,D. Wright enters the game for K. Lowry,,16,20
66,1,2:53.0,O. Anunoby enters the game for S. Ibaka,,16,20
67,1,2:44.0,C. Miles misses 3-pt jump shot from 25 ft,,16,20
68,1,2:40.0,,Defensive rebound by L. Ball,16,20
69,1,2:19.0,,J. Randle makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),16,22
70,1,1:58.0,O. Anunoby misses 2-pt hook shot from 2 ft,,16,22
71,1,1:55.0,,Defensive rebound by K. Kuzma,16,22
72,1,1:49.0,,J. Clarkson misses 3-pt jump shot from 24 ft,16,22
73,1,1:46.0,Defensive rebound by D. DeRozan,,16,22
74,1,1:38.0,O. Anunoby misses 3-pt jump shot from 22 ft,,16,22
75,1,1:36.0,,Defensive rebound by Team,16,22
76,1,1:36.0,,C. Brewer enters the game for K. Caldwell-Pope,16,22
77,1,1:36.0,,J. Hart enters the game for L. Ball,16,22
78,1,1:25.0,,Turnover by J. Clarkson (bad pass; steal by O. Anunoby),16,22
79,1,1:17.0,O. Anunoby misses 2-pt layup from 7 ft,,16,22
80,1,1:12.0,,Defensive rebound by K. Kuzma,16,22
81,1,1:10.0,,Shooting foul by D. Wright (drawn by J. Randle),16,22
82,1,1:10.0,,J. Randle makes free throw 1 of 2,16,23
83,1,1:10.0,F. VanVleet enters the game for D. DeRozan,,16,23
84,1,1:10.0,,J. Randle makes free throw 2 of 2,16,24
85,1,1:01.0,Personal foul by K. Kuzma (drawn by C. Miles),,16,24
86,1,0:57.0,Personal foul by C. Brewer (drawn by C. Miles),,16,24
87,1,0:57.0,C. Miles misses free throw 2 of 2,,16,24
88,1,0:57.0,Offensive rebound by J. Poeltl,,16,24
89,1,0:57.0,C. Miles makes free throw 1 of 2,,17,24
90,1,0:39.0,D. Wright misses 3-pt jump shot from 25 ft,,17,24
91,1,0:37.0,,Defensive rebound by J. Clarkson,17,24
92,1,0:35.0,,J. Clarkson misses 2-pt jump shot from 13 ft,17,24
93,1,0:35.0,,Offensive rebound by K. Kuzma,17,24
94,1,0:32.0,,K. Kuzma makes 2-pt layup at rim,17,26
95,1,0:30.0,Turnover by F. VanVleet (out of bounds lost ball),,17,26
96,1,0:14.0,,Turnover by J. Clarkson (traveling),17,26
97,1,0:00.0,F. VanVleet makes 2-pt layup from 1 ft,,19,26
98,2,11:39.0,C. Miles misses 3-pt jump shot from 24 ft,,19,26
99,2,11:36.0,,Defensive rebound by J. Hart,19,26
100,2,11:32.0,,J. Hart makes 2-pt dunk at rim,19,28
101,2,11:15.0,D. Wright misses 3-pt jump shot from 24 ft,,19,28
102,2,11:11.0,,Defensive rebound by J. Randle,19,28
103,2,11:08.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by J. Randle),19,31
104,2,11:00.0,Toronto full timeout,,19,31
105,2,10:48.0,D. Wright makes 2-pt layup from 1 ft (assist by F. VanVleet),,21,31
106,2,10:26.0,,J. Clarkson misses 3-pt jump shot from 26 ft,21,31
107,2,10:22.0,,Offensive rebound by C. Brewer,21,31
108,2,10:20.0,,C. Brewer misses 2-pt layup from 2 ft (block by C. Miles),21,31
109,2,10:20.0,Defensive rebound by D. Wright,,21,31
110,2,10:13.0,C. Miles misses 2-pt jump shot from 4 ft (block by J. Hart),,21,31
111,2,10:13.0,,Defensive rebound by J. Randle,21,31
112,2,10:03.0,,Shooting foul by J. Poeltl (drawn by J. Randle),21,31
113,2,10:03.0,,J. Randle makes free throw 1 of 2,21,32
114,2,10:03.0,,J. Randle misses free throw 2 of 2,21,32
115,2,9:59.0,Defensive rebound by O. Anunoby,,21,32
116,2,9:51.0,Offensive foul by F. VanVleet (drawn by C. Brewer),,21,32
117,2,9:51.0,Turnover by F. VanVleet (offensive foul),,21,32
118,2,9:41.0,,Turnover by J. Clarkson (lost ball; steal by J. Poeltl),21,32
119,2,9:41.0,,Loose ball foul by J. Clarkson (drawn by O. Anunoby),21,32
120,2,9:24.0,F. VanVleet misses 2-pt layup from 3 ft,,21,32
121,2,9:22.0,,Defensive rebound by J. Randle,21,32
122,2,9:19.0,,Turnover by J. Randle (lost ball; steal by C. Miles),21,32
123,2,9:15.0,J. Poeltl makes 2-pt dunk at rim (assist by F. VanVleet),,23,32
124,2,9:15.0,Shooting foul by J. Hart (drawn by J. Poeltl),,23,32
125,2,9:15.0,,LA Lakers full timeout,23,32
126,2,9:15.0,,L. Ball enters the game for J. Clarkson,23,32
127,2,9:15.0,K. Lowry enters the game for D. Wright,,23,32
128,2,9:15.0,J. Poeltl makes free throw 1 of 1,,24,32
129,2,8:57.0,,Turnover by L. Ball (bad pass),24,32
