,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CLEVELAND_ACTION,MINNESOTA_SCORE,CLEVELAND_SCORE
0,1,11:43.0,A. Wiggins misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,Offensive rebound by T. Gibson,,0,0
2,1,11:33.0,T. Gibson misses 2-pt layup at rim,,0,0
3,1,11:32.0,,Defensive rebound by I. Thomas,0,0
4,1,11:31.0,,T. Thompson misses 2-pt dunk at rim,0,0
5,1,11:31.0,Defensive rebound by A. Wiggins,,0,0
6,1,11:20.0,T. Gibson misses 2-pt jump shot from 8 ft,,0,0
7,1,11:20.0,,Defensive rebound by L. James,0,0
8,1,10:58.0,,J. Crowder makes 2-pt jump shot from 20 ft (assist by T. Thompson),0,2
9,1,10:35.0,A. Wiggins makes 2-pt jump shot from 7 ft,,2,2
10,1,10:19.0,,L. James misses 2-pt jump shot from 22 ft,2,2
11,1,10:16.0,Defensive rebound by K. Towns,,2,2
12,1,10:06.0,K. Towns misses 2-pt jump shot from 6 ft,,2,2
13,1,10:03.0,Offensive rebound by T. Gibson,,2,2
14,1,10:01.0,T. Gibson makes 2-pt layup at rim,,4,2
15,1,9:44.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by I. Thomas),4,5
16,1,9:28.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by J. Butler),,7,5
17,1,9:11.0,,I. Thomas makes 2-pt layup from 1 ft (assist by T. Thompson),7,7
18,1,8:51.0,J. Teague misses 3-pt jump shot from 24 ft,,7,7
19,1,8:47.0,,Defensive rebound by J. Crowder,7,7
20,1,8:41.0,,I. Thomas misses 3-pt jump shot from 29 ft (block by T. Gibson),7,7
21,1,8:35.0,Defensive rebound by J. Butler,,7,7
22,1,8:32.0,Turnover by J. Butler (bad pass; steal by T. Thompson),,7,7
23,1,8:29.0,,T. Thompson makes 2-pt dunk from 1 ft,7,9
24,1,8:29.0,Minnesota full timeout,,7,9
25,1,8:13.0,J. Teague makes 3-pt jump shot from 25 ft (assist by A. Wiggins),,10,9
26,1,7:57.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),10,12
27,1,7:37.0,A. Wiggins misses 3-pt jump shot from 26 ft,,10,12
28,1,7:35.0,,Defensive rebound by L. James,10,12
29,1,7:32.0,,Turnover by L. James (out of bounds lost ball),10,12
30,1,7:13.0,Turnover by A. Wiggins (bad pass; steal by L. James),,10,12
31,1,7:09.0,,Shooting foul by K. Towns (drawn by L. James),10,12
32,1,7:09.0,,L. James misses free throw 1 of 2,10,12
33,1,7:09.0,,Offensive rebound by Team,10,12
34,1,7:09.0,,L. James misses free throw 2 of 2,10,12
35,1,7:05.0,Defensive rebound by K. Towns,,10,12
36,1,6:57.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),,13,12
37,1,6:33.0,,I. Thomas misses 3-pt jump shot from 27 ft (block by K. Towns),13,12
38,1,6:30.0,Defensive rebound by T. Gibson,,13,12
39,1,6:24.0,J. Teague makes 2-pt jump shot from 10 ft (assist by T. Gibson),,15,12
40,1,6:01.0,,L. James makes 2-pt layup at rim,15,14
41,1,5:49.0,Personal foul by J. Crowder (drawn by T. Gibson),,15,14
42,1,5:35.0,Turnover by Team (shot clock),,15,14
43,1,5:25.0,Offensive charge foul by L. James (drawn by K. Towns),,15,14
44,1,5:25.0,,Turnover by L. James (offensive foul),15,14
45,1,5:15.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Butler),,18,14
46,1,4:53.0,,L. James makes 2-pt layup at rim (assist by J. Crowder),18,16
47,1,4:44.0,Offensive foul by K. Towns (drawn by J. Crowder),,18,16
48,1,4:44.0,Turnover by K. Towns (offensive foul),,18,16
49,1,4:44.0,G. Dieng enters the game for K. Towns,,18,16
50,1,4:34.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by I. Thomas),18,19
51,1,4:19.0,J. Butler makes 3-pt jump shot from 25 ft,,21,19
52,1,4:10.0,,J. Smith makes 2-pt jump shot from 17 ft,21,21
53,1,3:51.0,G. Dieng misses 2-pt jump shot from 21 ft,,21,21
54,1,3:48.0,,Defensive rebound by L. James,21,21
55,1,3:45.0,,Turnover by L. James (bad pass; steal by G. Dieng),21,21
56,1,3:42.0,J. Butler makes 2-pt layup at rim,,23,21
57,1,3:42.0,,Cleveland full timeout,23,21
58,1,3:42.0,J. Crawford enters the game for J. Butler,,23,21
59,1,3:42.0,,C. Frye enters the game for T. Thompson,23,21
60,1,3:42.0,,J. Green enters the game for L. James,23,21
61,1,3:25.0,,C. Frye makes 2-pt dunk at rim (assist by J. Crowder),23,23
62,1,3:01.0,Personal foul by I. Thomas (drawn by J. Teague),,23,23
63,1,3:01.0,N. Bjelica enters the game for T. Gibson,,23,23
64,1,2:48.0,J. Teague misses 2-pt jump shot from 6 ft,,23,23
65,1,2:45.0,,Defensive rebound by C. Frye,23,23
66,1,2:38.0,,C. Frye misses 3-pt jump shot from 25 ft,23,23
67,1,2:38.0,,Offensive rebound by C. Frye,23,23
68,1,2:35.0,,Personal foul by J. Crawford (drawn by C. Frye),23,23
69,1,2:24.0,,J. Crowder misses 3-pt jump shot from 23 ft,23,23
70,1,2:24.0,Defensive rebound by N. Bjelica,,23,23
71,1,2:07.0,J. Crawford makes 2-pt jump shot from 18 ft,,25,23
72,1,1:54.0,,I. Thomas misses 2-pt jump shot from 9 ft,25,23
73,1,1:54.0,Defensive rebound by G. Dieng,,25,23
74,1,1:48.0,,C. Osman enters the game for J. Smith,25,23
75,1,1:34.0,J. Crawford misses 2-pt jump shot from 15 ft,,25,23
76,1,1:31.0,,Defensive rebound by C. Osman,25,23
77,1,1:28.0,,Shooting foul by N. Bjelica (drawn by J. Crowder),25,23
78,1,1:28.0,,J. Crowder makes free throw 1 of 2,25,24
79,1,1:28.0,,D. Rose enters the game for I. Thomas,25,24
80,1,1:28.0,T. Jones enters the game for J. Teague,,25,24
81,1,1:28.0,,J. Crowder misses free throw 2 of 2,25,24
82,1,1:26.0,Defensive rebound by G. Dieng,,25,24
83,1,1:09.0,A. Wiggins misses 2-pt jump shot from 14 ft,,25,24
84,1,1:06.0,,Defensive rebound by J. Crowder,25,24
85,1,1:00.0,,J. Crowder misses 2-pt layup from 2 ft,25,24
86,1,0:57.0,,Offensive rebound by J. Green,25,24
87,1,0:57.0,,J. Green makes 2-pt layup at rim,25,26
88,1,0:50.0,J. Crawford makes 2-pt jump shot from 18 ft,,27,26
89,1,0:40.0,,D. Rose makes 2-pt jump shot from 4 ft,27,28
90,1,0:32.0,Turnover by A. Wiggins (traveling),,27,28
91,1,0:32.0,,K. Korver enters the game for J. Crowder,27,28
92,1,0:13.0,,C. Osman makes 3-pt jump shot from 25 ft (assist by D. Rose),27,31
93,1,0:05.0,Personal foul by J. Green (drawn by J. Crawford),,27,31
94,1,0:03.0,J. Crawford makes 2-pt jump shot from 16 ft (assist by T. Jones),,29,31
95,1,0:01.0,,Turnover by C. Frye (bad pass; steal by T. Jones),29,31
96,2,11:47.0,,C. Frye misses 2-pt jump shot from 14 ft,29,31
97,2,11:44.0,Defensive rebound by N. Bjelica,,29,31
98,2,11:34.0,Shooting foul by C. Osman (drawn by G. Dieng),,29,31
99,2,11:34.0,G. Dieng makes free throw 1 of 2,,30,31
100,2,11:34.0,G. Dieng makes free throw 2 of 2,,31,31
101,2,11:18.0,,Shooting foul by A. Wiggins (drawn by C. Osman),31,31
102,2,11:18.0,,C. Osman misses free throw 1 of 2,31,31
103,2,11:18.0,,Offensive rebound by Team,31,31
104,2,11:18.0,,L. James enters the game for C. Frye,31,31
105,2,11:18.0,J. Butler enters the game for A. Wiggins,,31,31
106,2,11:18.0,,C. Osman makes free throw 2 of 2,31,32
107,2,11:10.0,G. Dieng makes 2-pt jump shot from 11 ft (assist by T. Jones),,33,32
108,2,10:59.0,,J. Green makes 2-pt dunk from 1 ft (assist by L. James),33,34
109,2,10:48.0,G. Dieng makes 2-pt dunk from 1 ft (assist by T. Jones),,35,34
110,2,10:37.0,,D. Rose misses 2-pt jump shot from 12 ft,35,34
111,2,10:34.0,Defensive rebound by N. Bjelica,,35,34
112,2,10:30.0,J. Crawford makes 3-pt jump shot from 24 ft (assist by T. Jones),,38,34
113,2,10:13.0,,L. James makes 2-pt jump shot from 7 ft (assist by K. Korver),38,36
114,2,9:49.0,T. Jones misses 3-pt jump shot from 22 ft,,38,36
115,2,9:46.0,,Defensive rebound by L. James,38,36
116,2,9:26.0,,D. Rose misses 2-pt jump shot from 10 ft,38,36
117,2,9:25.0,,Offensive rebound by L. James,38,36
118,2,9:25.0,,Personal foul by G. Dieng (drawn by L. James),38,36
119,2,9:20.0,,K. Korver makes 2-pt layup from 1 ft (assist by D. Rose),38,38
120,2,9:11.0,Shooting foul by J. Green (drawn by J. Butler),,38,38
121,2,9:11.0,J. Butler makes free throw 1 of 2,,39,38
122,2,9:11.0,J. Butler makes free throw 2 of 2,,40,38
123,2,8:56.0,,K. Korver makes 3-pt jump shot from 22 ft (assist by D. Rose),40,41
124,2,8:34.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by N. Bjelica),,42,41
125,2,8:19.0,,L. James makes 2-pt dunk from 1 ft,42,43
126,2,8:02.0,N. Bjelica misses 3-pt jump shot from 31 ft,,42,43
127,2,8:00.0,,Defensive rebound by J. Green,42,43
128,2,7:57.0,,Shooting foul by J. Butler (drawn by J. Green),42,43
129,2,7:57.0,,J. Green misses free throw 1 of 2,42,43
130,2,7:57.0,,Offensive rebound by Team,42,43
131,2,7:57.0,,J. Green makes free throw 2 of 2,42,44
132,2,7:37.0,J. Crawford misses 2-pt jump shot from 17 ft,,42,44
133,2,7:34.0,,Defensive rebound by L. James,42,44
134,2,7:18.0,,C. Osman misses 3-pt jump shot from 30 ft,42,44
135,2,7:15.0,Defensive rebound by G. Dieng,,42,44
136,2,7:09.0,J. Butler makes 3-pt jump shot from 24 ft,,45,44
137,2,6:55.0,,Shooting foul by G. Dieng (drawn by D. Rose),45,44
138,2,6:55.0,,Cleveland full timeout,45,44
139,2,6:55.0,,J. Smith enters the game for C. Osman,45,44
140,2,6:55.0,K. Towns enters the game for T. Jones,,45,44
141,2,6:55.0,J. Teague enters the game for G. Dieng,,45,44
142,2,6:55.0,,D. Rose makes free throw 1 of 2,45,45
143,2,6:55.0,,D. Rose misses free throw 2 of 2,45,45
144,2,6:53.0,Defensive rebound by N. Bjelica,,45,45
145,2,6:34.0,Turnover by J. Crawford (out of bounds lost ball),,45,45
146,2,6:16.0,,L. James makes 2-pt layup from 1 ft,45,47
147,2,6:08.0,N. Bjelica misses 3-pt jump shot from 25 ft,,45,47
148,2,6:05.0,,Defensive rebound by J. Green,45,47
149,2,6:02.0,Offensive charge foul by J. Green (drawn by K. Towns),,45,47
150,2,6:02.0,,Turnover by J. Green (offensive foul),45,47
151,2,6:02.0,,I. Thomas enters the game for D. Rose,45,47
152,2,6:02.0,,T. Thompson enters the game for K. Korver,45,47
153,2,6:02.0,,J. Crowder enters the game for J. Green,45,47
154,2,6:02.0,T. Gibson enters the game for N. Bjelica,,45,47
155,2,5:44.0,T. Gibson makes 2-pt jump shot from 4 ft (assist by J. Butler),,47,47
156,2,5:26.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by I. Thomas),47,50
157,2,5:04.0,J. Butler makes 2-pt layup at rim (assist by J. Teague),,49,50
158,2,4:49.0,Violation by K. Towns (kicked ball),,49,50
159,2,4:41.0,,T. Thompson makes 2-pt layup from 2 ft (assist by I. Thomas),49,52
160,2,4:41.0,,Shooting foul by J. Teague (drawn by T. Thompson),49,52
161,2,4:41.0,,T. Thompson makes free throw 1 of 1,49,53
162,2,4:31.0,J. Teague misses 2-pt jump shot from 1 ft,,49,53
163,2,4:28.0,,Defensive rebound by T. Thompson,49,53
164,2,4:24.0,,L. James misses 2-pt jump shot from 23 ft,49,53
165,2,4:21.0,Defensive rebound by J. Butler,,49,53
166,2,4:17.0,J. Crawford misses 3-pt jump shot from 27 ft,,49,53
167,2,4:12.0,,Defensive rebound by I. Thomas,49,53
168,2,4:08.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by L. James),49,56
169,2,3:44.0,K. Towns makes 3-pt jump shot from 23 ft (assist by J. Teague),,52,56
170,2,3:32.0,,I. Thomas misses 2-pt jump shot from 17 ft,52,56
171,2,3:31.0,,Offensive rebound by Team,52,56
172,2,3:31.0,Loose ball foul by T. Gibson (drawn by T. Thompson),,52,56
173,2,3:31.0,,T. Thompson makes free throw 1 of 2,52,57
174,2,3:31.0,A. Wiggins enters the game for J. Crawford,,52,57
175,2,3:31.0,,T. Thompson misses free throw 2 of 2,52,57
176,2,3:28.0,Defensive rebound by J. Teague,,52,57
177,2,3:21.0,Turnover by K. Towns (bad pass),,52,57
178,2,3:09.0,,J. Smith misses 2-pt jump shot from 11 ft,52,57
179,2,3:07.0,Defensive rebound by K. Towns,,52,57
180,2,3:03.0,J. Teague makes 2-pt layup from 1 ft,,54,57
181,2,2:46.0,,J. Smith makes 3-pt jump shot from 28 ft (assist by I. Thomas),54,60
182,2,2:32.0,K. Towns makes 2-pt layup from 2 ft (assist by J. Teague),,56,60
183,2,2:20.0,,T. Thompson makes 2-pt layup from 1 ft (assist by I. Thomas),56,62
184,2,2:07.0,T. Gibson makes 2-pt layup at rim (assist by J. Teague),,58,62
185,2,2:07.0,Shooting foul by J. Crowder (drawn by T. Gibson),,58,62
186,2,2:07.0,Minnesota full timeout,,58,62
187,2,2:07.0,T. Gibson makes free throw 1 of 1,,59,62
188,2,1:45.0,,L. James misses 2-pt jump shot from 20 ft,59,62
189,2,1:42.0,Defensive rebound by J. Butler,,59,62
190,2,1:31.0,K. Towns makes 2-pt layup at rim,,61,62
191,2,1:15.0,,Turnover by I. Thomas (out of bounds lost ball),61,62
192,2,1:04.0,Personal foul by J. Smith (drawn by A. Wiggins),,61,62
193,2,1:04.0,,C. Frye enters the game for J. Crowder,61,62
194,2,0:52.0,J. Teague makes 3-pt jump shot from 26 ft,,64,62
195,2,0:40.0,,J. Smith misses 3-pt jump shot from 25 ft,64,62
196,2,0:38.0,Defensive rebound by K. Towns,,64,62
197,2,0:25.0,Shooting foul by T. Thompson (drawn by K. Towns),,64,62
198,2,0:25.0,K. Towns makes free throw 1 of 2,,65,62
199,2,0:25.0,K. Towns makes free throw 2 of 2,,66,62
200,2,0:05.0,,L. James makes 2-pt layup from 1 ft,66,64
