,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MIAMI_ACTION,LA CLIPPERS_SCORE,MIAMI_SCORE
0,1,11:40.0,Turnover by W. Johnson (out of bounds lost ball),,0,0
1,1,11:21.0,,J. Johnson makes 2-pt layup from 1 ft,0,2
2,1,11:21.0,,Shooting foul by D. Jordan (drawn by J. Johnson),0,2
3,1,11:21.0,,J. Johnson makes free throw 1 of 1,0,3
4,1,11:14.0,W. Johnson misses 2-pt layup from 1 ft (block by D. Waiters),,0,3
5,1,11:10.0,,Defensive rebound by J. Johnson,0,3
6,1,11:05.0,,D. Waiters makes 2-pt layup from 1 ft,0,5
7,1,10:52.0,L. Williams misses 3-pt jump shot from 26 ft,,0,5
8,1,10:46.0,Offensive rebound by D. Jordan,,0,5
9,1,10:44.0,D. Jordan makes 2-pt dunk from 1 ft (assist by W. Johnson),,2,5
10,1,10:23.0,,K. Olynyk misses 2-pt jump shot from 16 ft (block by J. Wilson),2,5
11,1,10:22.0,,Offensive rebound by Team,2,5
12,1,10:14.0,,J. Johnson misses 3-pt jump shot from 24 ft,2,5
13,1,10:11.0,Defensive rebound by J. Wilson,,2,5
14,1,10:05.0,W. Johnson misses 3-pt jump shot from 22 ft,,2,5
15,1,10:02.0,,Defensive rebound by G. Dragić,2,5
16,1,9:53.0,,G. Dragić misses 2-pt jump shot from 15 ft,2,5
17,1,9:51.0,Defensive rebound by D. Jordan,,2,5
18,1,9:47.0,Personal foul by K. Olynyk (drawn by L. Williams),,2,5
19,1,9:47.0,Offensive foul by L. Williams (drawn by J. Richardson),,2,5
20,1,9:47.0,Turnover by L. Williams (offensive foul),,2,5
21,1,9:22.0,,K. Olynyk misses 2-pt jump shot from 13 ft,2,5
22,1,9:19.0,Defensive rebound by D. Jordan,,2,5
23,1,9:10.0,W. Johnson makes 2-pt dunk at rim,,4,5
24,1,8:57.0,,Turnover by J. Richardson (bad pass),4,5
25,1,8:46.0,M. Teodosić misses 2-pt layup from 2 ft (block by G. Dragić),,4,5
26,1,8:42.0,,Defensive rebound by J. Johnson,4,5
27,1,8:39.0,,Turnover by J. Johnson (bad pass; steal by W. Johnson),4,5
28,1,8:35.0,M. Teodosić misses 3-pt jump shot from 27 ft,,4,5
29,1,8:30.0,,Defensive rebound by K. Olynyk,4,5
30,1,8:16.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Johnson),4,8
31,1,8:01.0,L. Williams misses 2-pt layup from 1 ft (block by J. Richardson),,4,8
32,1,7:56.0,,Defensive rebound by D. Waiters,4,8
33,1,7:56.0,,Shooting foul by J. Wilson (drawn by D. Waiters),4,8
34,1,7:56.0,,D. Waiters makes free throw 1 of 2,4,9
35,1,7:56.0,S. Dekker enters the game for J. Wilson,,4,9
36,1,7:56.0,,D. Waiters makes free throw 2 of 2,4,10
37,1,7:37.0,Turnover by L. Williams (bad pass; steal by K. Olynyk),,4,10
38,1,7:28.0,,J. Johnson misses 3-pt jump shot from 24 ft,4,10
39,1,7:25.0,Defensive rebound by S. Dekker,,4,10
40,1,7:16.0,D. Jordan misses 2-pt hook shot from 4 ft,,4,10
41,1,7:14.0,,Defensive rebound by J. Johnson,4,10
42,1,7:02.0,,K. Olynyk misses 3-pt jump shot from 23 ft,4,10
43,1,6:59.0,Defensive rebound by S. Dekker,,4,10
44,1,6:51.0,D. Jordan makes 2-pt layup from 1 ft (assist by L. Williams),,6,10
45,1,6:40.0,,G. Dragić makes 2-pt layup from 1 ft,6,12
46,1,6:40.0,,Shooting foul by W. Johnson (drawn by G. Dragić),6,12
47,1,6:40.0,,Miami full timeout,6,12
48,1,6:40.0,J. Evans enters the game for M. Teodosić,,6,12
49,1,6:40.0,,G. Dragić makes free throw 1 of 1,6,13
50,1,6:17.0,J. Evans misses 2-pt jump shot from 5 ft,,6,13
51,1,6:16.0,,Defensive rebound by G. Dragić,6,13
52,1,6:15.0,,Personal foul by J. Evans (drawn by G. Dragić),6,13
53,1,6:15.0,,B. Adebayo enters the game for J. Johnson,6,13
54,1,6:00.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by G. Dragić),6,15
55,1,5:49.0,L. Williams misses 2-pt jump shot from 15 ft,,6,15
56,1,5:47.0,Offensive rebound by D. Jordan,,6,15
57,1,5:47.0,D. Jordan makes 2-pt dunk at rim,,8,15
58,1,5:32.0,,G. Dragić makes 3-pt jump shot from 25 ft (assist by D. Waiters),8,18
59,1,5:15.0,S. Dekker misses 3-pt jump shot from 24 ft,,8,18
60,1,5:12.0,,Defensive rebound by D. Waiters,8,18
61,1,5:05.0,,G. Dragić misses 3-pt jump shot from 26 ft,8,18
62,1,5:03.0,Defensive rebound by S. Dekker,,8,18
63,1,4:41.0,J. Evans makes 3-pt jump shot from 26 ft,,11,18
64,1,4:22.0,,Shooting foul by J. Evans (drawn by G. Dragić),11,18
65,1,4:22.0,,G. Dragić misses free throw 1 of 2,11,18
66,1,4:22.0,,Offensive rebound by Team,11,18
67,1,4:22.0,,T. Johnson enters the game for J. Richardson,11,18
68,1,4:22.0,C. Williams enters the game for W. Johnson,,11,18
69,1,4:22.0,,G. Dragić misses free throw 2 of 2,11,18
70,1,4:19.0,Defensive rebound by D. Jordan,,11,18
71,1,3:58.0,Turnover by Team (shot clock),,11,18
72,1,3:49.0,,T. Johnson misses 2-pt jump shot from 21 ft,11,18
73,1,3:48.0,Defensive rebound by D. Jordan,,11,18
74,1,3:35.0,C. Williams makes 2-pt jump shot from 16 ft,,13,18
75,1,3:32.0,,Personal foul by C. Williams (drawn by D. Waiters),13,18
76,1,3:32.0,,D. Waiters misses free throw 1 of 2,13,18
77,1,3:32.0,,Offensive rebound by Team,13,18
78,1,3:32.0,,D. Waiters makes free throw 2 of 2,13,19
79,1,3:15.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,15,19
80,1,2:51.0,,D. Waiters misses 3-pt jump shot from 22 ft,15,19
81,1,2:47.0,Defensive rebound by S. Dekker,,15,19
82,1,2:42.0,L. Williams misses 2-pt jump shot from 7 ft,,15,19
83,1,2:41.0,Offensive rebound by Team,,15,19
84,1,2:41.0,,Loose ball foul by G. Dragić (drawn by D. Jordan),15,19
85,1,2:41.0,LA Clippers full timeout,,15,19
86,1,2:41.0,,W. Ellington enters the game for D. Waiters,15,19
87,1,2:30.0,Turnover by L. Williams (bad pass; steal by K. Olynyk),,15,19
88,1,2:23.0,,B. Adebayo misses 2-pt layup from 1 ft,15,19
89,1,2:21.0,,Offensive rebound by B. Adebayo,15,19
90,1,2:19.0,,W. Ellington makes 3-pt jump shot from 25 ft (assist by B. Adebayo),15,22
91,1,1:56.0,L. Williams misses 3-pt jump shot from 25 ft,,15,22
92,1,1:53.0,,Defensive rebound by K. Olynyk,15,22
93,1,1:37.0,,T. Johnson misses 3-pt jump shot from 23 ft,15,22
94,1,1:35.0,Defensive rebound by D. Jordan,,15,22
95,1,1:22.0,Shooting foul by G. Dragić (drawn by D. Jordan),,15,22
96,1,1:22.0,D. Jordan misses free throw 1 of 2,,15,22
97,1,1:22.0,Offensive rebound by Team,,15,22
98,1,1:22.0,,J. Mickey enters the game for K. Olynyk,15,22
99,1,1:22.0,S. Thornwell enters the game for L. Williams,,15,22
100,1,1:22.0,D. Jordan misses free throw 2 of 2,,15,22
101,1,1:22.0,,J. Richardson enters the game for G. Dragić,15,22
102,1,1:14.0,,Offensive rebound by W. Ellington,15,22
103,1,1:00.0,,J. Richardson makes 2-pt layup from 4 ft,15,24
104,1,0:43.0,J. Evans makes 2-pt layup from 1 ft,,17,24
105,1,0:31.0,,W. Ellington misses 3-pt jump shot from 26 ft,17,24
106,1,0:28.0,Defensive rebound by D. Jordan,,17,24
107,1,0:08.0,C. Williams misses 3-pt jump shot from 25 ft,,17,24
108,1,0:04.0,,Defensive rebound by Team,17,24
109,1,0:04.0,M. Harrell enters the game for D. Jordan,,17,24
110,1,0:04.0,W. Johnson enters the game for J. Evans,,17,24
111,1,0:00.0,,T. Johnson misses 3-pt jump shot from 28 ft,17,24
112,1,0:00.0,,Offensive rebound by Team,17,24
113,2,11:41.0,,J. Richardson misses 3-pt jump shot from 24 ft,17,24
114,2,11:40.0,,Offensive rebound by Team,17,24
115,2,11:36.0,,W. Ellington misses 3-pt jump shot from 24 ft,17,24
116,2,11:33.0,,Offensive rebound by B. Adebayo,17,24
