,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:39.0,J. Randle misses 2-pt layup from 1 ft (block by J. Green),,0,0
1,1,11:39.0,Offensive rebound by Team,,0,0
2,1,11:35.0,L. Ball misses 3-pt jump shot from 26 ft,,0,0
3,1,11:31.0,,Defensive rebound by J. Martin,0,0
4,1,11:10.0,,A. Harrison misses 2-pt layup from 1 ft (block by B. Lopez),0,0
5,1,11:10.0,,Offensive rebound by A. Harrison,0,0
6,1,11:10.0,,Turnover by Team (shot clock),0,0
7,1,10:52.0,K. Kuzma misses 2-pt jump shot from 12 ft (block by J. Martin),,0,0
8,1,10:52.0,Offensive rebound by Team,,0,0
9,1,10:46.0,B. Lopez makes 2-pt hook shot from 5 ft (assist by L. Ball),,2,0
10,1,10:33.0,,A. Harrison makes 2-pt layup at rim,2,2
11,1,10:20.0,L. Ball misses 3-pt jump shot from 25 ft,,2,2
12,1,10:18.0,,Defensive rebound by J. Green,2,2
13,1,10:08.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by A. Harrison),2,4
14,1,9:48.0,Turnover by B. Lopez (lost ball; steal by M. Gasol),,2,4
15,1,9:44.0,,J. Martin makes 2-pt layup from 1 ft (assist by M. Gasol),2,6
16,1,9:28.0,Shooting foul by J. Green (drawn by J. Randle),,2,6
17,1,9:28.0,J. Randle misses free throw 1 of 2,,2,6
18,1,9:28.0,Offensive rebound by Team,,2,6
19,1,9:28.0,J. Randle makes free throw 2 of 2,,3,6
20,1,9:13.0,,D. Brooks makes 2-pt layup at rim,3,8
21,1,9:02.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,3,8
22,1,8:59.0,,Defensive rebound by J. Green,3,8
23,1,8:48.0,,M. Gasol makes 2-pt dunk from 1 ft (assist by A. Harrison),3,10
24,1,8:33.0,,Offensive charge foul by K. Kuzma (drawn by M. Gasol),3,10
25,1,8:33.0,Turnover by K. Kuzma (offensive foul),,3,10
26,1,8:17.0,,M. Gasol misses 2-pt jump shot from 22 ft,3,10
27,1,8:15.0,Defensive rebound by J. Randle,,3,10
