,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:41.0,,Turnover by C. McCollum (bad pass; steal by T. Ariza),0,0
1,1,11:41.0,Personal foul by D. Lillard (drawn by T. Ariza),,0,0
2,1,11:29.0,Shooting foul by A. Aminu (drawn by J. Harden),,0,0
3,1,11:29.0,J. Harden makes free throw 1 of 2,,1,0
4,1,11:29.0,J. Harden makes free throw 2 of 2,,2,0
5,1,11:20.0,,D. Lillard makes 3-pt jump shot from 24 ft (assist by M. Leonard),2,3
6,1,11:00.0,J. Harden misses 2-pt hook shot from 6 ft,,2,3
7,1,10:55.0,Offensive rebound by J. Harden,,2,3
8,1,10:55.0,J. Harden misses 2-pt layup at rim,,2,3
9,1,10:55.0,,Defensive rebound by E. Turner,2,3
10,1,10:41.0,,Turnover by D. Lillard (bad pass; steal by C. Capela),2,3
11,1,10:27.0,C. Capela makes 2-pt layup from 1 ft (assist by C. Paul),,4,3
12,1,10:13.0,,D. Lillard makes 3-pt jump shot from 26 ft,4,6
13,1,9:59.0,C. Paul misses 3-pt jump shot from 25 ft,,4,6
14,1,9:56.0,,Defensive rebound by C. McCollum,4,6
15,1,9:53.0,,C. McCollum makes 2-pt layup from 1 ft,4,8
16,1,9:43.0,T. Ariza misses 3-pt jump shot from 26 ft,,4,8
17,1,9:43.0,Offensive rebound by Team,,4,8
18,1,9:39.0,Personal foul by D. Lillard (drawn by C. Paul),,4,8
19,1,9:27.0,J. Harden makes 3-pt jump shot from 24 ft (assist by C. Paul),,7,8
20,1,9:15.0,,M. Leonard makes 2-pt layup at rim (assist by D. Lillard),7,10
21,1,9:15.0,,Shooting foul by C. Paul (drawn by M. Leonard),7,10
22,1,9:15.0,,M. Leonard makes free throw 1 of 1,7,11
23,1,9:03.0,J. Harden makes 2-pt jump shot from 9 ft,,9,11
24,1,8:54.0,,C. McCollum misses 2-pt jump shot from 17 ft,9,11
25,1,8:51.0,Defensive rebound by J. Harden,,9,11
26,1,8:39.0,C. Paul makes 2-pt jump shot from 14 ft,,11,11
27,1,8:20.0,,D. Lillard makes 3-pt jump shot from 25 ft,11,14
28,1,8:02.0,J. Harden makes 3-pt jump shot from 25 ft,,14,14
29,1,7:52.0,,D. Lillard misses 3-pt jump shot from 27 ft,14,14
30,1,7:49.0,Defensive rebound by R. Anderson,,14,14
31,1,7:30.0,J. Harden makes 2-pt layup from 1 ft,,16,14
32,1,7:16.0,,A. Aminu makes 3-pt jump shot from 26 ft (assist by C. McCollum),16,17
33,1,7:04.0,Turnover by C. Paul (bad pass; steal by E. Turner),,16,17
34,1,6:59.0,,D. Lillard makes 3-pt jump shot from 25 ft (assist by E. Turner),16,20
35,1,6:39.0,Offensive foul by C. Paul (drawn by D. Lillard),,16,20
36,1,6:39.0,Turnover by C. Paul (offensive foul),,16,20
37,1,6:39.0,,Portland full timeout,16,20
38,1,6:39.0,E. Gordon enters the game for C. Paul,,16,20
39,1,6:25.0,,E. Turner makes 2-pt jump shot from 11 ft,16,22
40,1,6:04.0,C. Capela makes 2-pt dunk from 2 ft (assist by J. Harden),,18,22
41,1,5:50.0,,A. Aminu misses 2-pt jump shot from 17 ft,18,22
42,1,5:47.0,Defensive rebound by C. Capela,,18,22
43,1,5:34.0,R. Anderson misses 2-pt layup from 2 ft (block by A. Aminu),,18,22
44,1,5:33.0,Offensive rebound by C. Capela,,18,22
45,1,5:31.0,C. Capela makes 2-pt layup at rim,,20,22
46,1,5:12.0,,E. Turner misses 2-pt jump shot from 15 ft,20,22
47,1,5:10.0,,Offensive rebound by M. Leonard,20,22
48,1,5:04.0,,M. Leonard makes 2-pt jump shot from 21 ft,20,24
49,1,4:50.0,J. Harden misses 2-pt jump shot from 3 ft,,20,24
50,1,4:49.0,,Defensive rebound by M. Leonard,20,24
51,1,4:47.0,,Z. Collins enters the game for D. Lillard,20,24
52,1,4:47.0,,P. Connaughton enters the game for A. Aminu,20,24
53,1,4:47.0,N. Hilário enters the game for T. Ariza,,20,24
54,1,4:47.0,L. Mbah a Moute enters the game for C. Capela,,20,24
55,1,4:47.0,P. Tucker enters the game for R. Anderson,,20,24
56,1,4:33.0,,P. Connaughton misses 3-pt jump shot from 25 ft (block by L. Mbah a Moute),20,24
57,1,4:30.0,Defensive rebound by P. Tucker,,20,24
58,1,4:26.0,Shooting foul by M. Leonard (drawn by J. Harden),,20,24
59,1,4:26.0,J. Harden makes free throw 1 of 2,,21,24
60,1,4:26.0,,E. Davis enters the game for M. Leonard,21,24
61,1,4:26.0,J. Harden makes free throw 2 of 2,,22,24
62,1,4:16.0,,C. McCollum makes 3-pt jump shot from 26 ft,22,27
63,1,4:00.0,N. Hilário makes 2-pt dunk from 1 ft (assist by J. Harden),,24,27
64,1,3:47.0,,Shooting foul by E. Gordon (drawn by C. McCollum),24,27
65,1,3:47.0,,C. McCollum makes free throw 1 of 2,24,28
66,1,3:47.0,,C. McCollum makes free throw 2 of 2,24,29
67,1,3:35.0,N. Hilário makes 2-pt hook shot from 3 ft,,26,29
68,1,3:25.0,,Shooting foul by E. Gordon (drawn by E. Davis),26,29
69,1,3:25.0,,E. Davis misses free throw 1 of 2,26,29
70,1,3:25.0,,Offensive rebound by Team,26,29
71,1,3:25.0,,E. Davis misses free throw 2 of 2,26,29
72,1,3:22.0,,Offensive rebound by Z. Collins,26,29
73,1,3:19.0,,E. Davis makes 2-pt dunk at rim (assist by Z. Collins),26,31
74,1,3:03.0,J. Harden misses 2-pt layup from 2 ft,,26,31
75,1,3:01.0,,Defensive rebound by E. Turner,26,31
76,1,2:52.0,,C. McCollum misses 3-pt jump shot from 24 ft,26,31
77,1,2:50.0,Defensive rebound by L. Mbah a Moute,,26,31
78,1,2:40.0,N. Hilário misses 2-pt jump shot from 19 ft,,26,31
79,1,2:38.0,,Defensive rebound by E. Davis,26,31
80,1,2:22.0,,P. Connaughton makes 2-pt layup at rim (assist by C. McCollum),26,33
81,1,2:09.0,L. Mbah a Moute misses 2-pt layup from 1 ft (block by E. Davis),,26,33
82,1,2:07.0,Offensive rebound by E. Gordon,,26,33
83,1,2:07.0,Shooting foul by P. Connaughton (drawn by E. Gordon),,26,33
84,1,2:07.0,Houston full timeout,,26,33
85,1,2:07.0,,J. Layman enters the game for E. Turner,26,33
86,1,2:07.0,E. Gordon makes free throw 1 of 2,,27,33
87,1,2:07.0,E. Gordon makes free throw 2 of 2,,28,33
88,1,1:46.0,,Z. Collins misses 3-pt jump shot from 27 ft,28,33
89,1,1:41.0,,Offensive rebound by E. Davis,28,33
90,1,1:30.0,,Z. Collins misses 2-pt layup from 1 ft,28,33
91,1,1:27.0,Defensive rebound by J. Harden,,28,33
92,1,1:21.0,J. Harden makes 3-pt jump shot from 25 ft,,31,33
93,1,1:00.0,,C. McCollum makes 2-pt jump shot from 20 ft,31,35
94,1,0:48.0,P. Tucker misses 3-pt jump shot from 23 ft,,31,35
95,1,0:44.0,,Defensive rebound by E. Davis,31,35
96,1,0:41.0,,Turnover by C. McCollum (lost ball; steal by J. Harden),31,35
97,1,0:35.0,J. Harden misses 2-pt layup from 1 ft,,31,35
98,1,0:34.0,,Defensive rebound by E. Davis,31,35
99,1,0:29.0,,C. McCollum makes 2-pt layup from 1 ft,31,37
100,1,0:04.0,J. Harden misses 3-pt jump shot from 26 ft,,31,37
101,1,0:04.0,,Defensive rebound by Team,31,37
102,1,0:04.0,,D. Lillard enters the game for E. Davis,31,37
103,1,0:02.0,,Personal take foul by L. Mbah a Moute (drawn by D. Lillard),31,37
104,1,0:00.0,,Z. Collins misses 2-pt hook shot from 4 ft,31,37
105,1,0:00.0,,Offensive rebound by Team,31,37
106,2,11:54.0,R. Anderson misses 3-pt jump shot from 28 ft,,31,37
107,2,11:50.0,,Defensive rebound by J. Layman,31,37
108,2,11:45.0,,Turnover by D. Lillard (step out of bounds),31,37
109,2,11:37.0,C. Paul makes 2-pt layup from 1 ft,,33,37
110,2,11:11.0,,P. Connaughton misses 3-pt jump shot from 26 ft,33,37
111,2,11:10.0,,Offensive rebound by E. Davis,33,37
112,2,11:08.0,,E. Davis makes 2-pt layup from 1 ft,33,39
113,2,10:57.0,T. Ariza misses 2-pt layup at rim,,33,39
114,2,10:53.0,Offensive rebound by T. Ariza,,33,39
115,2,10:53.0,T. Ariza makes 2-pt layup at rim,,35,39
116,2,10:43.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by D. Lillard),35,41
117,2,10:26.0,C. Paul makes 3-pt jump shot from 26 ft (assist by R. Anderson),,38,41
118,2,10:05.0,,Z. Collins makes 3-pt jump shot from 24 ft (assist by D. Lillard),38,44
119,2,9:49.0,Shooting foul by J. Layman (drawn by E. Gordon),,38,44
120,2,9:49.0,E. Gordon makes free throw 1 of 2,,39,44
121,2,9:49.0,,M. Leonard enters the game for Z. Collins,39,44
122,2,9:49.0,,N. Vonleh enters the game for E. Davis,39,44
123,2,9:49.0,E. Gordon misses free throw 2 of 2,,39,44
124,2,9:44.0,,Defensive rebound by J. Layman,39,44
125,2,9:28.0,,P. Connaughton makes 2-pt jump shot from 3 ft,39,46
126,2,9:15.0,Personal foul by J. Layman (drawn by E. Gordon),,39,46
127,2,9:15.0,C. Capela enters the game for L. Mbah a Moute,,39,46
128,2,9:03.0,C. Paul misses 3-pt jump shot from 25 ft,,39,46
129,2,9:02.0,,Defensive rebound by Team,39,46
130,2,8:47.0,,Turnover by M. Leonard (lost ball; steal by T. Ariza),39,46
131,2,8:43.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by C. Paul),,42,46
132,2,8:26.0,,P. Connaughton makes 2-pt dunk at rim (assist by N. Vonleh),42,48
133,2,8:16.0,,Offensive charge foul by R. Anderson (drawn by P. Connaughton),42,48
134,2,8:16.0,Turnover by R. Anderson (offensive foul),,42,48
135,2,8:04.0,,J. Layman misses 2-pt jump shot from 11 ft,42,48
136,2,8:01.0,Defensive rebound by C. Capela,,42,48
137,2,7:49.0,Offensive foul by R. Anderson (drawn by N. Vonleh),,42,48
138,2,7:49.0,Turnover by R. Anderson (offensive foul),,42,48
139,2,7:49.0,P. Tucker enters the game for R. Anderson,,42,48
140,2,7:35.0,,D. Lillard makes 2-pt jump shot from 20 ft,42,50
141,2,7:21.0,T. Ariza misses 2-pt layup from 1 ft,,42,50
142,2,7:18.0,,Defensive rebound by D. Lillard,42,50
143,2,7:15.0,,P. Connaughton misses 3-pt jump shot from 24 ft,42,50
144,2,7:13.0,Defensive rebound by C. Capela,,42,50
145,2,7:07.0,Shooting foul by J. Layman (drawn by C. Paul),,42,50
146,2,7:07.0,C. Paul makes free throw 1 of 2,,43,50
147,2,7:07.0,C. Paul makes free throw 2 of 2,,44,50
148,2,6:47.0,,D. Lillard misses 3-pt jump shot from 29 ft,44,50
149,2,6:46.0,,Offensive rebound by Team,44,50
150,2,6:46.0,,Portland full timeout,44,50
151,2,6:46.0,,E. Turner enters the game for J. Layman,44,50
152,2,6:46.0,J. Harden enters the game for E. Gordon,,44,50
153,2,6:31.0,,Shooting foul by C. Capela (drawn by D. Lillard),44,50
154,2,6:31.0,,D. Lillard makes free throw 1 of 2,44,51
155,2,6:31.0,,D. Lillard makes free throw 2 of 2,44,52
156,2,6:22.0,Personal foul by E. Turner (drawn by J. Harden),,44,52
157,2,6:16.0,J. Harden misses 2-pt jump shot from 7 ft,,44,52
158,2,6:14.0,,Defensive rebound by P. Connaughton,44,52
159,2,6:00.0,,M. Leonard makes 2-pt jump shot from 10 ft (assist by D. Lillard),44,54
160,2,5:46.0,C. Paul makes 2-pt jump shot from 5 ft,,46,54
161,2,5:37.0,,D. Lillard makes 3-pt jump shot from 24 ft,46,57
162,2,5:26.0,Shooting foul by M. Leonard (drawn by C. Capela),,46,57
163,2,5:26.0,C. Capela misses free throw 1 of 2,,46,57
164,2,5:26.0,Offensive rebound by Team,,46,57
165,2,5:26.0,,A. Aminu enters the game for P. Connaughton,46,57
166,2,5:26.0,,C. McCollum enters the game for N. Vonleh,46,57
167,2,5:26.0,C. Capela makes free throw 2 of 2,,47,57
168,2,5:13.0,,Personal foul by T. Ariza (drawn by M. Leonard),47,57
169,2,5:01.0,,C. McCollum misses 3-pt jump shot from 25 ft,47,57
170,2,5:00.0,Defensive rebound by Team,,47,57
171,2,4:52.0,C. Paul makes 2-pt jump shot from 10 ft,,49,57
172,2,4:36.0,,E. Turner misses 2-pt jump shot from 9 ft,49,57
173,2,4:31.0,Defensive rebound by C. Capela,,49,57
174,2,4:24.0,J. Harden makes 2-pt layup at rim,,51,57
175,2,4:24.0,Shooting foul by M. Leonard (drawn by J. Harden),,51,57
176,2,4:24.0,J. Harden makes free throw 1 of 1,,52,57
177,2,4:11.0,,C. McCollum misses 3-pt jump shot from 24 ft,52,57
178,2,4:08.0,Defensive rebound by C. Capela,,52,57
179,2,4:02.0,Shooting foul by E. Turner (drawn by J. Harden),,52,57
180,2,4:02.0,J. Harden makes free throw 1 of 2,,53,57
181,2,4:02.0,,Z. Collins enters the game for M. Leonard,53,57
182,2,4:02.0,E. Gordon enters the game for T. Ariza,,53,57
183,2,4:02.0,L. Mbah a Moute enters the game for C. Paul,,53,57
184,2,4:02.0,J. Harden makes free throw 2 of 2,,54,57
185,2,3:44.0,,Turnover by C. McCollum (bad pass; steal by J. Harden),54,57
186,2,3:38.0,J. Harden makes 2-pt layup from 1 ft (assist by C. Capela),,56,57
187,2,3:20.0,,D. Lillard makes 3-pt jump shot from 28 ft,56,60
188,2,3:11.0,Turnover by J. Harden (out of bounds lost ball),,56,60
189,2,2:58.0,,D. Lillard misses 3-pt jump shot from 28 ft,56,60
190,2,2:55.0,,Offensive rebound by A. Aminu,56,60
191,2,2:52.0,,D. Lillard misses 3-pt jump shot from 24 ft,56,60
