,QUARTER,TIME_REMAINING,TORONTO_ACTION,LA CLIPPERS_ACTION,TORONTO_SCORE,LA CLIPPERS_SCORE
0,1,11:38.0,S. Ibaka misses 2-pt jump shot from 16 ft,,0,0
1,1,11:34.0,,Defensive rebound by J. Wilson,0,0
2,1,11:19.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by D. Jordan),0,3
3,1,10:57.0,Shooting foul by W. Johnson (drawn by J. Valančiūnas),,0,3
4,1,10:57.0,J. Valančiūnas makes free throw 1 of 2,,1,3
5,1,10:57.0,J. Valančiūnas makes free throw 2 of 2,,2,3
6,1,10:42.0,,M. Teodosić misses 3-pt jump shot from 26 ft,2,3
7,1,10:40.0,Defensive rebound by D. DeRozan,,2,3
8,1,10:31.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by S. Ibaka),,4,3
9,1,10:15.0,,W. Johnson misses 2-pt jump shot from 13 ft,4,3
10,1,10:10.0,Defensive rebound by J. Valančiūnas,,4,3
11,1,10:07.0,Shooting foul by A. Rivers (drawn by D. DeRozan),,4,3
12,1,10:07.0,D. DeRozan makes free throw 1 of 2,,5,3
13,1,10:07.0,D. DeRozan makes free throw 2 of 2,,6,3
14,1,9:53.0,,Turnover by A. Rivers (bad pass),6,3
15,1,9:46.0,S. Ibaka misses 3-pt jump shot from 24 ft,,6,3
16,1,9:43.0,,Defensive rebound by A. Rivers,6,3
17,1,9:29.0,,Turnover by D. Jordan (bad pass; steal by K. Lowry),6,3
18,1,9:21.0,Turnover by K. Lowry (bad pass; steal by A. Rivers),,6,3
19,1,9:17.0,,J. Wilson misses 3-pt jump shot from 26 ft,6,3
20,1,9:11.0,Defensive rebound by S. Ibaka,,6,3
21,1,8:57.0,J. Valančiūnas makes 2-pt jump shot from 15 ft,,8,3
22,1,8:49.0,,Personal foul by J. Valančiūnas (drawn by D. Jordan),8,3
23,1,8:44.0,,M. Teodosić makes 2-pt jump shot from 17 ft,8,5
24,1,8:32.0,O. Anunoby misses 2-pt layup from 1 ft,,8,5
25,1,8:30.0,,Defensive rebound by D. Jordan,8,5
26,1,8:26.0,,A. Rivers misses 3-pt jump shot from 26 ft,8,5
27,1,8:21.0,Defensive rebound by S. Ibaka,,8,5
28,1,8:13.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by D. DeRozan),,10,5
29,1,7:58.0,,D. Jordan misses 2-pt layup at rim,10,5
30,1,7:56.0,Defensive rebound by J. Valančiūnas,,10,5
31,1,7:47.0,S. Ibaka misses 3-pt jump shot from 26 ft,,10,5
32,1,7:43.0,Offensive rebound by O. Anunoby,,10,5
33,1,7:37.0,Turnover by D. DeRozan (out of bounds lost ball),,10,5
34,1,7:37.0,,L. Williams enters the game for M. Teodosić,10,5
35,1,7:23.0,,A. Rivers misses 2-pt layup from 2 ft,10,5
36,1,7:20.0,Defensive rebound by J. Valančiūnas,,10,5
37,1,7:14.0,K. Lowry misses 3-pt jump shot from 26 ft,,10,5
38,1,7:10.0,,Defensive rebound by D. Jordan,10,5
39,1,7:02.0,,W. Johnson misses 2-pt jump shot from 13 ft,10,5
40,1,6:59.0,Defensive rebound by D. DeRozan,,10,5
41,1,6:51.0,J. Valančiūnas makes 2-pt jump shot from 9 ft (assist by D. DeRozan),,12,5
42,1,6:49.0,,LA Clippers full timeout,12,5
43,1,6:37.0,,D. Jordan misses 2-pt hook shot from 4 ft,12,5
44,1,6:35.0,Defensive rebound by O. Anunoby,,12,5
45,1,6:28.0,K. Lowry misses 2-pt layup from 1 ft (block by D. Jordan),,12,5
46,1,6:27.0,,Defensive rebound by J. Wilson,12,5
47,1,6:23.0,,W. Johnson makes 2-pt dunk from 1 ft (assist by L. Williams),12,7
48,1,6:10.0,S. Ibaka misses 2-pt jump shot from 15 ft,,12,7
49,1,6:07.0,,Defensive rebound by L. Williams,12,7
50,1,6:02.0,,A. Rivers misses 3-pt jump shot from 24 ft,12,7
51,1,5:59.0,Defensive rebound by Team,,12,7
52,1,5:59.0,,S. Dekker enters the game for J. Wilson,12,7
53,1,5:39.0,J. Valančiūnas makes 2-pt jump shot from 16 ft,,14,7
54,1,5:28.0,,L. Williams misses 2-pt jump shot from 2 ft,14,7
55,1,5:28.0,,Offensive rebound by Team,14,7
56,1,5:18.0,,S. Dekker misses 3-pt jump shot from 27 ft,14,7
57,1,5:16.0,Defensive rebound by K. Lowry,,14,7
58,1,5:15.0,Turnover by K. Lowry (bad pass; steal by S. Dekker),,14,7
59,1,5:09.0,,L. Williams misses 3-pt jump shot from 26 ft,14,7
60,1,5:05.0,Defensive rebound by J. Valančiūnas,,14,7
61,1,4:47.0,Shooting foul by D. Jordan (drawn by J. Valančiūnas),,14,7
62,1,4:47.0,J. Valančiūnas makes free throw 1 of 2,,15,7
63,1,4:47.0,,S. Thornwell enters the game for W. Johnson,15,7
64,1,4:47.0,P. Siakam enters the game for S. Ibaka,,15,7
65,1,4:47.0,J. Valančiūnas makes free throw 2 of 2,,16,7
66,1,4:32.0,,S. Dekker misses 2-pt layup from 2 ft,16,7
67,1,4:30.0,Defensive rebound by J. Valančiūnas,,16,7
68,1,4:26.0,O. Anunoby makes 3-pt jump shot from 22 ft (assist by D. DeRozan),,19,7
69,1,4:06.0,,L. Williams misses 2-pt layup from 2 ft,19,7
70,1,4:01.0,,Offensive rebound by L. Williams,19,7
71,1,4:01.0,,L. Williams makes 2-pt layup at rim,19,9
72,1,3:56.0,D. DeRozan makes 2-pt layup from 1 ft (assist by P. Siakam),,21,9
73,1,3:33.0,,L. Williams makes 3-pt jump shot from 26 ft,21,12
74,1,3:21.0,Shooting foul by S. Dekker (drawn by D. DeRozan),,21,12
75,1,3:21.0,D. DeRozan makes free throw 1 of 2,,22,12
76,1,3:21.0,,M. Harrell enters the game for D. Jordan,22,12
77,1,3:21.0,C. Miles enters the game for O. Anunoby,,22,12
78,1,3:21.0,J. Poeltl enters the game for J. Valančiūnas,,22,12
79,1,3:21.0,D. DeRozan makes free throw 2 of 2,,23,12
80,1,3:04.0,,S. Dekker makes 2-pt layup from 2 ft,23,14
81,1,3:04.0,,Shooting foul by P. Siakam (drawn by S. Dekker),23,14
82,1,3:04.0,Toronto full timeout,,23,14
83,1,3:04.0,,J. Evans enters the game for A. Rivers,23,14
84,1,3:04.0,F. VanVleet enters the game for K. Lowry,,23,14
85,1,3:04.0,,S. Dekker makes free throw 1 of 1,23,15
86,1,2:48.0,D. DeRozan makes 2-pt jump shot from 6 ft,,25,15
87,1,2:36.0,,M. Harrell makes 2-pt layup from 3 ft (assist by J. Evans),25,17
88,1,2:15.0,F. VanVleet misses 2-pt layup from 3 ft (block by S. Thornwell),,25,17
89,1,2:12.0,,Defensive rebound by S. Thornwell,25,17
90,1,2:01.0,,M. Harrell misses 2-pt hook shot from 9 ft,25,17
91,1,1:56.0,Defensive rebound by P. Siakam,,25,17
92,1,1:48.0,P. Siakam misses 3-pt jump shot from 25 ft,,25,17
93,1,1:44.0,,Defensive rebound by J. Evans,25,17
94,1,1:40.0,,S. Dekker misses 2-pt layup from 2 ft,25,17
95,1,1:37.0,Defensive rebound by F. VanVleet,,25,17
96,1,1:28.0,C. Miles makes 3-pt jump shot from 25 ft (assist by P. Siakam),,28,17
97,1,1:13.0,,Turnover by M. Harrell (bad pass; steal by P. Siakam),28,17
98,1,0:56.0,C. Miles makes 2-pt layup from 1 ft (assist by D. DeRozan),,30,17
99,1,0:37.0,,S. Dekker makes 2-pt layup from 1 ft (assist by L. Williams),30,19
100,1,0:27.0,D. DeRozan misses 2-pt layup from 1 ft,,30,19
101,1,0:25.0,,Defensive rebound by S. Dekker,30,19
102,1,0:09.0,,Personal take foul by P. Siakam (drawn by S. Thornwell),30,19
103,1,0:09.0,N. Powell enters the game for D. DeRozan,,30,19
104,1,0:04.0,,L. Williams misses 2-pt jump shot from 6 ft,30,19
105,1,0:00.0,Defensive rebound by N. Powell,,30,19
106,2,11:45.0,,J. Evans misses 2-pt layup from 2 ft (block by J. Poeltl),30,19
107,2,11:41.0,Defensive rebound by C. Miles,,30,19
108,2,11:23.0,C. Miles misses 2-pt layup from 2 ft,,30,19
109,2,11:20.0,,Defensive rebound by S. Thornwell,30,19
110,2,11:17.0,,Personal foul by P. Siakam (drawn by L. Williams),30,19
111,2,11:17.0,O. Anunoby enters the game for P. Siakam,,30,19
112,2,11:10.0,,Turnover by J. Evans (bad pass; steal by O. Anunoby),30,19
113,2,11:06.0,N. Powell makes 2-pt layup from 1 ft (assist by C. Miles),,32,19
114,2,10:55.0,,Shooting foul by J. Poeltl (drawn by M. Harrell),32,19
115,2,10:55.0,,M. Harrell makes free throw 1 of 2,32,20
116,2,10:55.0,,M. Harrell makes free throw 2 of 2,32,21
117,2,10:39.0,,Offensive charge foul by O. Anunoby (drawn by M. Harrell),32,21
118,2,10:39.0,Turnover by O. Anunoby (offensive foul),,32,21
119,2,10:26.0,,L. Williams misses 2-pt layup from 1 ft,32,21
120,2,10:24.0,,Offensive rebound by M. Harrell,32,21
121,2,10:21.0,,M. Harrell makes 2-pt dunk from 1 ft,32,23
122,2,10:07.0,F. VanVleet misses 3-pt jump shot from 23 ft,,32,23
123,2,10:05.0,,Defensive rebound by M. Harrell,32,23
124,2,9:59.0,,M. Harrell makes 2-pt jump shot from 6 ft (assist by S. Thornwell),32,25
125,2,9:59.0,,Shooting foul by J. Poeltl (drawn by M. Harrell),32,25
126,2,9:59.0,,M. Harrell makes free throw 1 of 1,32,26
127,2,9:44.0,C. Miles misses 2-pt jump shot from 22 ft (block by S. Thornwell),,32,26
128,2,9:39.0,,Defensive rebound by S. Dekker,32,26
129,2,9:34.0,,Shooting foul by J. Poeltl (drawn by M. Harrell),32,26
130,2,9:34.0,,M. Harrell makes free throw 1 of 2,32,27
131,2,9:34.0,S. Ibaka enters the game for J. Poeltl,,32,27
132,2,9:34.0,,M. Harrell makes free throw 2 of 2,32,28
133,2,9:14.0,C. Miles makes 3-pt jump shot from 25 ft,,35,28
134,2,8:48.0,,L. Williams misses 2-pt layup from 3 ft,35,28
135,2,8:44.0,,Offensive rebound by S. Dekker,35,28
136,2,8:44.0,,S. Dekker makes 2-pt layup at rim,35,30
137,2,8:44.0,Personal take foul by L. Williams (drawn by F. VanVleet),,35,30
138,2,8:44.0,Toronto full timeout,,35,30
139,2,8:29.0,F. VanVleet misses 3-pt jump shot from 27 ft,,35,30
140,2,8:25.0,,Defensive rebound by S. Thornwell,35,30
141,2,8:14.0,,M. Harrell makes 2-pt layup from 2 ft,35,32
142,2,8:00.0,S. Ibaka misses 2-pt layup from 2 ft,,35,32
143,2,7:57.0,,Defensive rebound by S. Thornwell,35,32
144,2,7:53.0,,S. Dekker misses 2-pt dunk from 1 ft (block by S. Ibaka),35,32
145,2,7:49.0,Defensive rebound by N. Powell,,35,32
146,2,7:46.0,S. Ibaka makes 2-pt dunk from 2 ft (assist by N. Powell),,37,32
147,2,7:19.0,,Turnover by J. Evans (out of bounds lost ball),37,32
148,2,7:19.0,,M. Teodosić enters the game for J. Evans,37,32
149,2,7:19.0,,W. Johnson enters the game for S. Dekker,37,32
150,2,7:04.0,N. Powell misses 3-pt jump shot from 23 ft,,37,32
151,2,7:01.0,,Defensive rebound by M. Teodosić,37,32
152,2,6:43.0,,M. Harrell makes 2-pt hook shot from 1 ft,37,34
153,2,6:31.0,S. Ibaka misses 3-pt jump shot from 25 ft,,37,34
154,2,6:29.0,,Defensive rebound by W. Johnson,37,34
155,2,6:24.0,,Turnover by W. Johnson (bad pass; steal by C. Miles),37,34
156,2,6:20.0,C. Miles makes 2-pt layup at rim,,39,34
157,2,5:59.0,,M. Teodosić misses 3-pt jump shot from 26 ft,39,34
158,2,5:57.0,Defensive rebound by F. VanVleet,,39,34
159,2,5:54.0,N. Powell misses 3-pt jump shot from 26 ft,,39,34
160,2,5:49.0,,Defensive rebound by W. Johnson,39,34
161,2,5:43.0,,W. Johnson misses 3-pt jump shot from 25 ft,39,34
162,2,5:40.0,Defensive rebound by S. Ibaka,,39,34
163,2,5:35.0,F. VanVleet makes 2-pt layup from 1 ft,,41,34
164,2,5:34.0,,LA Clippers full timeout,41,34
165,2,5:34.0,,A. Rivers enters the game for S. Thornwell,41,34
166,2,5:34.0,,D. Jordan enters the game for M. Harrell,41,34
167,2,5:34.0,D. DeRozan enters the game for C. Miles,,41,34
168,2,5:34.0,J. Valančiūnas enters the game for O. Anunoby,,41,34
169,2,5:34.0,K. Lowry enters the game for F. VanVleet,,41,34
170,2,5:20.0,,M. Teodosić makes 2-pt jump shot from 17 ft (assist by D. Jordan),41,36
171,2,5:06.0,K. Lowry misses 3-pt jump shot from 23 ft,,41,36
172,2,5:02.0,,Defensive rebound by M. Teodosić,41,36
173,2,4:58.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),41,38
174,2,4:47.0,Shooting foul by W. Johnson (drawn by S. Ibaka),,41,38
175,2,4:47.0,S. Ibaka misses free throw 1 of 2,,41,38
176,2,4:47.0,Offensive rebound by Team,,41,38
177,2,4:47.0,,C. Williams enters the game for L. Williams,41,38
178,2,4:47.0,S. Ibaka makes free throw 2 of 2,,42,38
179,2,4:31.0,,A. Rivers makes 2-pt layup from 1 ft,42,40
180,2,4:22.0,Personal take foul by M. Teodosić (drawn by N. Powell),,42,40
181,2,4:11.0,N. Powell misses 3-pt jump shot from 24 ft,,42,40
182,2,4:06.0,,Defensive rebound by D. Jordan,42,40
183,2,3:59.0,,D. Jordan makes 2-pt layup from 1 ft (assist by A. Rivers),42,42
184,2,3:40.0,O. Anunoby enters the game for N. Powell,,42,42
185,2,3:37.0,Shooting foul by M. Teodosić (drawn by D. DeRozan),,42,42
186,2,3:37.0,D. DeRozan misses free throw 1 of 2,,42,42
187,2,3:37.0,Offensive rebound by Team,,42,42
188,2,3:37.0,D. DeRozan makes free throw 2 of 2,,43,42
189,2,3:26.0,,M. Teodosić misses 3-pt jump shot from 26 ft,43,42
190,2,3:26.0,Defensive rebound by Team,,43,42
191,2,3:14.0,K. Lowry misses 3-pt jump shot from 23 ft,,43,42
192,2,3:12.0,,Defensive rebound by M. Teodosić,43,42
193,2,2:58.0,,A. Rivers misses 3-pt jump shot from 23 ft,43,42
194,2,2:55.0,Defensive rebound by D. DeRozan,,43,42
195,2,2:43.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,46,42
196,2,2:24.0,,Shooting foul by J. Valančiūnas (drawn by W. Johnson),46,42
197,2,2:24.0,,W. Johnson makes free throw 1 of 2,46,43
198,2,2:24.0,,W. Johnson makes free throw 2 of 2,46,44
199,2,2:12.0,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by D. DeRozan),,48,44
200,2,2:02.0,,Shooting foul by O. Anunoby (drawn by A. Rivers),48,44
201,2,2:02.0,,A. Rivers misses free throw 1 of 2,48,44
202,2,2:02.0,,Offensive rebound by Team,48,44
203,2,2:02.0,L. Brown enters the game for O. Anunoby,,48,44
204,2,2:02.0,,A. Rivers misses free throw 2 of 2,48,44
205,2,2:02.0,,L. Williams enters the game for M. Teodosić,48,44
206,2,1:59.0,Defensive rebound by S. Ibaka,,48,44
207,2,1:49.0,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),,50,44
208,2,1:32.0,,Turnover by D. Jordan (lost ball; steal by L. Brown),50,44
209,2,1:25.0,K. Lowry misses 3-pt jump shot from 25 ft,,50,44
210,2,1:23.0,,Defensive rebound by W. Johnson,50,44
211,2,1:17.0,,D. Jordan makes 2-pt dunk at rim (assist by L. Williams),50,46
212,2,0:57.0,Turnover by S. Ibaka (bad pass; steal by L. Williams),,50,46
213,2,0:51.0,,C. Williams misses 2-pt layup from 1 ft (block by S. Ibaka),50,46
214,2,0:47.0,,Offensive rebound by C. Williams,50,46
215,2,0:47.0,,L. Williams makes 3-pt jump shot from 26 ft (assist by C. Williams),50,49
216,2,0:27.0,S. Ibaka makes 3-pt jump shot from 23 ft (assist by K. Lowry),,53,49
217,2,0:11.0,,Personal foul by J. Valančiūnas (drawn by D. Jordan),53,49
218,2,0:11.0,,D. Jordan makes free throw 1 of 2,53,50
219,2,0:11.0,,M. Harrell enters the game for W. Johnson,53,50
220,2,0:11.0,,S. Thornwell enters the game for L. Williams,53,50
221,2,0:11.0,,D. Jordan makes free throw 2 of 2,53,51
222,2,0:00.0,D. DeRozan misses 2-pt jump shot from 16 ft,,53,51
223,2,0:00.0,Offensive rebound by Team,,53,51
224,3,11:50.0,,J. Wilson misses 3-pt jump shot from 25 ft,53,51
225,3,11:45.0,,Offensive rebound by M. Teodosić,53,51
226,3,11:43.0,,W. Johnson misses 3-pt jump shot from 27 ft,53,51
227,3,11:40.0,Defensive rebound by Team,,53,51
228,3,11:16.0,O. Anunoby misses 3-pt jump shot from 25 ft,,53,51
229,3,11:12.0,,Defensive rebound by D. Jordan,53,51
230,3,10:54.0,,M. Teodosić misses 3-pt jump shot from 24 ft,53,51
231,3,10:51.0,Defensive rebound by K. Lowry,,53,51
232,3,10:36.0,J. Valančiūnas misses 2-pt hook shot from 5 ft,,53,51
233,3,10:33.0,,Defensive rebound by W. Johnson,53,51
234,3,10:20.0,,Shooting foul by D. DeRozan (drawn by M. Teodosić),53,51
235,3,10:20.0,,M. Teodosić makes free throw 1 of 2,53,52
236,3,10:20.0,,M. Teodosić makes free throw 2 of 2,53,53
237,3,10:07.0,J. Valančiūnas misses 2-pt hook shot from 7 ft,,53,53
