,QUARTER,TIME_REMAINING,DETROIT_ACTION,NEW ORLEANS_ACTION,DETROIT_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,A. Bradley misses 3-pt jump shot from 23 ft,,0,0
1,1,11:39.0,,Defensive rebound by R. Rondo,0,0
2,1,11:36.0,,J. Holiday makes 2-pt layup from 1 ft (assist by R. Rondo),0,2
3,1,11:36.0,,Shooting foul by I. Smith (drawn by J. Holiday),0,2
4,1,11:36.0,,J. Holiday makes free throw 1 of 1,0,3
5,1,11:22.0,Shooting foul by R. Rondo (drawn by A. Drummond),,0,3
6,1,11:22.0,A. Drummond misses free throw 1 of 2,,0,3
7,1,11:22.0,Offensive rebound by Team,,0,3
8,1,11:22.0,A. Drummond misses free throw 2 of 2,,0,3
9,1,11:19.0,,Defensive rebound by D. Cousins,0,3
10,1,11:15.0,,R. Rondo misses 2-pt layup from 1 ft,0,3
11,1,11:12.0,Defensive rebound by A. Drummond,,0,3
12,1,11:10.0,Turnover by A. Drummond (bad pass; steal by D. Cousins),,0,3
13,1,11:05.0,,J. Holiday misses 2-pt layup from 1 ft,0,3
14,1,11:02.0,Defensive rebound by I. Smith,,0,3
15,1,10:59.0,A. Bradley misses 3-pt jump shot from 25 ft,,0,3
16,1,10:59.0,,Defensive rebound by A. Davis,0,3
17,1,10:51.0,,D. Cousins misses 3-pt jump shot from 25 ft,0,3
18,1,10:46.0,Defensive rebound by A. Bradley,,0,3
19,1,10:42.0,Turnover by I. Smith (bad pass; steal by D. Cousins),,0,3
20,1,10:37.0,,E. Moore makes 2-pt layup at rim (assist by A. Davis),0,5
21,1,10:23.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Bradley),,3,5
22,1,10:11.0,,A. Davis makes 2-pt hook shot from 5 ft (assist by R. Rondo),3,7
23,1,9:53.0,A. Drummond makes 2-pt layup from 1 ft (assist by A. Bradley),,5,7
24,1,9:43.0,,A. Davis misses 2-pt jump shot from 9 ft,5,7
25,1,9:39.0,Defensive rebound by A. Drummond,,5,7
26,1,9:19.0,I. Smith makes 2-pt jump shot from 15 ft (assist by A. Drummond),,7,7
27,1,9:06.0,,Turnover by J. Holiday (bad pass; steal by A. Drummond),7,7
28,1,9:01.0,I. Smith misses 2-pt layup from 4 ft (block by J. Holiday),,7,7
29,1,8:57.0,,Defensive rebound by R. Rondo,7,7
30,1,8:54.0,,A. Davis makes 2-pt layup at rim (assist by R. Rondo),7,9
31,1,8:36.0,Turnover by A. Drummond (bad pass),,7,9
32,1,8:21.0,,J. Holiday misses 2-pt layup from 1 ft (block by A. Bradley),7,9
33,1,8:21.0,Defensive rebound by R. Bullock,,7,9
34,1,8:12.0,I. Smith makes 2-pt layup from 2 ft,,9,9
35,1,8:00.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Rondo),9,12
36,1,7:45.0,Turnover by A. Bradley (lost ball; steal by R. Rondo),,9,12
37,1,7:42.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),9,14
38,1,7:27.0,A. Drummond makes 2-pt layup from 1 ft (assist by T. Harris),,11,14
