,QUARTER,TIME_REMAINING,BOSTON_ACTION,BROOKLYN_ACTION,BOSTON_SCORE,BROOKLYN_SCORE
0,1,11:47.0,K. Irving misses 2-pt jump shot from 9 ft,,0,0
1,1,11:46.0,,Defensive rebound by R. Hollis-Jefferson,0,0
2,1,11:40.0,,R. Hollis-Jefferson makes 2-pt layup from 2 ft,0,2
3,1,11:23.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by M. Morris),,3,2
4,1,11:04.0,,Personal foul by J. Brown (drawn by A. Crabbe),3,2
5,1,10:58.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,3,2
6,1,10:58.0,Defensive rebound by J. Brown,,3,2
7,1,10:38.0,A. Horford makes 2-pt hook shot from 11 ft,,5,2
8,1,10:20.0,,T. Booker makes 2-pt jump shot from 4 ft (assist by S. Dinwiddie),5,4
9,1,10:03.0,K. Irving misses 3-pt jump shot from 24 ft,,5,4
10,1,10:03.0,,Defensive rebound by T. Booker,5,4
11,1,9:42.0,,T. Booker misses 2-pt hook shot from 7 ft,5,4
12,1,9:39.0,Defensive rebound by M. Morris,,5,4
13,1,9:29.0,J. Tatum makes 2-pt layup from 3 ft,,7,4
14,1,9:10.0,,D. Carroll misses 2-pt hook shot from 4 ft,7,4
15,1,9:08.0,Defensive rebound by A. Horford,,7,4
16,1,8:57.0,J. Brown makes 2-pt jump shot from 11 ft,,9,4
17,1,8:40.0,,R. Hollis-Jefferson misses 2-pt jump shot from 21 ft,9,4
18,1,8:40.0,Defensive rebound by Team,,9,4
19,1,8:25.0,M. Morris makes 2-pt jump shot from 15 ft,,11,4
20,1,8:03.0,,D. Carroll misses 3-pt jump shot from 25 ft,11,4
21,1,7:59.0,Defensive rebound by M. Morris,,11,4
22,1,7:53.0,K. Irving makes 3-pt jump shot from 25 ft (assist by A. Horford),,14,4
23,1,7:53.0,,Brooklyn full timeout,14,4
24,1,7:31.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,14,4
25,1,7:27.0,Defensive rebound by M. Morris,,14,4
26,1,7:15.0,J. Tatum makes 3-pt jump shot from 22 ft (assist by K. Irving),,17,4
27,1,7:00.0,,T. Booker makes 2-pt layup from 2 ft (assist by S. Dinwiddie),17,6
28,1,6:47.0,M. Morris misses 2-pt jump shot from 16 ft,,17,6
29,1,6:44.0,,Defensive rebound by A. Crabbe,17,6
30,1,6:30.0,,R. Hollis-Jefferson makes 2-pt jump shot from 16 ft (assist by S. Dinwiddie),17,8
31,1,6:12.0,J. Brown misses 3-pt jump shot from 24 ft,,17,8
32,1,6:09.0,,Defensive rebound by D. Carroll,17,8
33,1,6:00.0,,T. Booker misses 2-pt hook shot from 9 ft,17,8
34,1,5:57.0,Defensive rebound by M. Morris,,17,8
35,1,5:53.0,Turnover by K. Irving (discontinued dribble),,17,8
36,1,5:53.0,,Q. Acy enters the game for T. Booker,17,8
37,1,5:53.0,,C. LeVert enters the game for A. Crabbe,17,8
38,1,5:53.0,M. Smart enters the game for M. Morris,,17,8
39,1,5:32.0,,D. Carroll makes 2-pt layup from 3 ft (assist by S. Dinwiddie),17,10
40,1,5:12.0,K. Irving misses 2-pt jump shot from 13 ft,,17,10
41,1,5:07.0,,Defensive rebound by D. Carroll,17,10
42,1,5:06.0,,Shooting foul by J. Brown (drawn by D. Carroll),17,10
43,1,5:06.0,,D. Carroll makes free throw 1 of 2,17,11
44,1,5:06.0,D. Theis enters the game for J. Tatum,,17,11
45,1,5:06.0,,D. Carroll makes free throw 2 of 2,17,12
46,1,4:56.0,D. Theis makes 3-pt jump shot from 25 ft (assist by J. Brown),,20,12
47,1,4:35.0,,Q. Acy misses 2-pt jump shot from 15 ft,20,12
48,1,4:31.0,Defensive rebound by D. Theis,,20,12
49,1,4:19.0,J. Brown misses 3-pt jump shot from 23 ft,,20,12
50,1,4:19.0,,Defensive rebound by S. Dinwiddie,20,12
51,1,4:10.0,,C. LeVert misses 2-pt jump shot from 15 ft,20,12
52,1,4:10.0,Defensive rebound by K. Irving,,20,12
53,1,4:03.0,K. Irving misses 2-pt layup from 3 ft,,20,12
54,1,4:03.0,Offensive rebound by Team,,20,12
55,1,4:01.0,Personal foul by D. Carroll (drawn by D. Theis),,20,12
56,1,4:01.0,,J. Harris enters the game for D. Carroll,20,12
57,1,4:01.0,,T. Mozgov enters the game for R. Hollis-Jefferson,20,12
58,1,4:01.0,T. Rozier enters the game for K. Irving,,20,12
59,1,3:50.0,A. Horford makes 2-pt hook shot from 5 ft,,22,12
60,1,3:40.0,,Turnover by Q. Acy (bad pass; steal by J. Brown),22,12
61,1,3:36.0,J. Brown makes 2-pt dunk from 1 ft,,24,12
62,1,3:36.0,,Brooklyn full timeout,24,12
63,1,3:20.0,,T. Mozgov makes 2-pt dunk at rim (assist by Q. Acy),24,14
64,1,3:06.0,D. Theis misses 3-pt jump shot from 24 ft,,24,14
65,1,3:03.0,,Defensive rebound by S. Dinwiddie,24,14
66,1,2:49.0,,C. LeVert makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie),24,17
67,1,2:32.0,J. Brown makes 3-pt jump shot from 25 ft (assist by A. Horford),,27,17
68,1,2:12.0,,C. LeVert makes 2-pt jump shot from 7 ft,27,19
