,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHOENIX_ACTION,DETROIT_SCORE,PHOENIX_SCORE
0,1,11:47.0,B. Griffin makes 2-pt dunk at rim (assist by R. Bullock),,2,0
1,1,11:24.0,,Turnover by J. Jackson (out of bounds lost ball),2,0
2,1,11:17.0,Personal foul by T. Daniels (drawn by R. Bullock),,2,0
3,1,11:09.0,A. Drummond misses 2-pt layup from 1 ft,,2,0
4,1,11:07.0,,Defensive rebound by D. Bender,2,0
5,1,11:03.0,,J. Jackson makes 2-pt layup at rim,2,2
6,1,10:50.0,R. Jackson misses 2-pt jump shot from 18 ft,,2,2
7,1,10:48.0,,Defensive rebound by J. Jackson,2,2
8,1,10:39.0,,J. Jackson misses 2-pt jump shot from 6 ft,2,2
9,1,10:35.0,,Offensive rebound by A. Len,2,2
10,1,10:35.0,,A. Len makes 2-pt layup at rim,2,4
11,1,10:21.0,B. Griffin misses 3-pt jump shot from 24 ft,,2,4
12,1,10:17.0,Offensive rebound by A. Drummond,,2,4
13,1,10:16.0,A. Drummond misses 2-pt layup from 2 ft,,2,4
14,1,10:15.0,,Defensive rebound by E. Payton,2,4
15,1,10:04.0,,Turnover by D. Bender (bad pass; steal by S. Johnson),2,4
16,1,10:01.0,S. Johnson misses 2-pt dunk from 1 ft (block by D. Bender),,2,4
17,1,9:57.0,,Defensive rebound by J. Jackson,2,4
18,1,9:53.0,,J. Jackson makes 2-pt layup at rim,2,6
19,1,9:43.0,R. Bullock makes 3-pt jump shot from 24 ft,,5,6
20,1,9:33.0,,Turnover by E. Payton (bad pass),5,6
21,1,9:19.0,R. Bullock misses 2-pt jump shot from 6 ft (block by A. Len),,5,6
22,1,9:19.0,,Defensive rebound by A. Len,5,6
23,1,9:19.0,Loose ball foul by A. Drummond (drawn by A. Len),,5,6
24,1,9:04.0,,D. Bender misses 2-pt layup from 3 ft,5,6
25,1,8:59.0,,Offensive rebound by J. Jackson,5,6
26,1,8:59.0,,Shooting foul by R. Bullock (drawn by J. Jackson),5,6
27,1,8:59.0,,J. Jackson misses free throw 1 of 2,5,6
28,1,8:59.0,,Offensive rebound by Team,5,6
29,1,8:59.0,,J. Jackson misses free throw 2 of 2,5,6
30,1,8:58.0,Defensive rebound by Team,,5,6
31,1,8:47.0,B. Griffin misses 3-pt jump shot from 25 ft,,5,6
32,1,8:43.0,,Defensive rebound by A. Len,5,6
33,1,8:33.0,,T. Daniels makes 2-pt jump shot from 16 ft (assist by A. Len),5,8
34,1,8:17.0,B. Griffin makes 2-pt hook shot from 4 ft,,7,8
35,1,8:01.0,,E. Payton misses 3-pt jump shot from 25 ft,7,8
36,1,7:56.0,Defensive rebound by B. Griffin,,7,8
37,1,7:49.0,Turnover by R. Bullock (bad pass),,7,8
38,1,7:49.0,I. Smith enters the game for R. Jackson,,7,8
39,1,7:38.0,,J. Jackson misses 2-pt layup from 2 ft (block by A. Drummond),7,8
40,1,7:38.0,,Offensive rebound by Team,7,8
41,1,7:34.0,,T. Daniels makes 2-pt jump shot from 13 ft (assist by D. Bender),7,10
42,1,7:13.0,S. Johnson misses 3-pt jump shot from 25 ft,,7,10
43,1,7:11.0,,Defensive rebound by D. Bender,7,10
44,1,7:05.0,,T. Daniels makes 3-pt jump shot from 24 ft (assist by E. Payton),7,13
45,1,6:57.0,Detroit full timeout,,7,13
46,1,6:46.0,A. Drummond misses 2-pt dunk at rim,,7,13
47,1,6:44.0,,Defensive rebound by E. Payton,7,13
48,1,6:35.0,,D. Bender misses 3-pt jump shot from 25 ft,7,13
49,1,6:31.0,Defensive rebound by B. Griffin,,7,13
50,1,6:10.0,Turnover by A. Drummond (bad pass; steal by J. Jackson),,7,13
51,1,6:06.0,,Shooting foul by I. Smith (drawn by J. Jackson),7,13
52,1,6:06.0,,J. Jackson misses free throw 1 of 2,7,13
53,1,6:06.0,,Offensive rebound by Team,7,13
54,1,6:06.0,,M. Chriss enters the game for A. Len,7,13
55,1,6:06.0,,J. Jackson makes free throw 2 of 2,7,14
56,1,5:56.0,Shooting block foul by T. Daniels (drawn by R. Bullock),,7,14
57,1,5:56.0,R. Bullock makes free throw 1 of 2,,8,14
58,1,5:56.0,,D. Reed enters the game for T. Daniels,8,14
59,1,5:56.0,A. Tolliver enters the game for A. Drummond,,8,14
60,1,5:56.0,R. Bullock makes free throw 2 of 2,,9,14
61,1,5:38.0,,J. Jackson misses 2-pt jump shot from 20 ft,9,14
62,1,5:34.0,,Offensive rebound by D. Reed,9,14
63,1,5:32.0,,Shooting foul by R. Bullock (drawn by E. Payton),9,14
64,1,5:32.0,,E. Payton misses free throw 1 of 2,9,14
65,1,5:32.0,,Offensive rebound by Team,9,14
66,1,5:32.0,L. Kennard enters the game for R. Bullock,,9,14
67,1,5:32.0,,E. Payton misses free throw 2 of 2,9,14
68,1,5:30.0,Defensive rebound by A. Tolliver,,9,14
69,1,5:09.0,B. Griffin makes 3-pt jump shot from 26 ft,,12,14
70,1,4:59.0,,E. Payton misses 2-pt jump shot from 9 ft,12,14
71,1,4:55.0,,Offensive rebound by M. Chriss,12,14
72,1,4:48.0,,D. Bender misses 3-pt jump shot from 25 ft,12,14
73,1,4:45.0,Defensive rebound by L. Kennard,,12,14
74,1,4:38.0,L. Kennard makes 2-pt jump shot from 19 ft,,14,14
75,1,4:21.0,,D. Reed misses 3-pt jump shot from 26 ft,14,14
76,1,4:18.0,Defensive rebound by S. Johnson,,14,14
77,1,4:14.0,S. Johnson misses 2-pt jump shot from 17 ft,,14,14
78,1,4:08.0,,Defensive rebound by J. Jackson,14,14
79,1,4:02.0,,D. Bender misses 3-pt jump shot from 26 ft,14,14
80,1,3:58.0,,Offensive rebound by J. Jackson,14,14
81,1,3:56.0,,J. Jackson misses 2-pt layup from 1 ft,14,14
82,1,3:54.0,Defensive rebound by S. Johnson,,14,14
83,1,3:51.0,L. Kennard misses 3-pt jump shot from 25 ft,,14,14
84,1,3:48.0,,Defensive rebound by D. Reed,14,14
85,1,3:44.0,,J. Jackson misses 3-pt jump shot from 25 ft,14,14
86,1,3:40.0,,Offensive rebound by D. Bender,14,14
87,1,3:37.0,,M. Chriss misses 3-pt jump shot from 25 ft,14,14
88,1,3:37.0,Defensive rebound by S. Johnson,,14,14
89,1,3:24.0,Def 3 sec tech foul by E. Payton,,14,14
90,1,3:24.0,L. Kennard makes technical free throw,,15,14
91,1,3:16.0,I. Smith makes 2-pt jump shot from 18 ft,,17,14
92,1,3:14.0,,Phoenix full timeout,17,14
93,1,3:14.0,,J. Dudley enters the game for E. Payton,17,14
94,1,3:14.0,,S. Harrison enters the game for D. Bender,17,14
95,1,3:14.0,A. Drummond enters the game for B. Griffin,,17,14
96,1,3:02.0,,Offensive foul by M. Chriss (drawn by I. Smith),17,14
97,1,3:02.0,,Turnover by M. Chriss (offensive foul),17,14
98,1,2:41.0,S. Johnson misses 3-pt jump shot from 22 ft,,17,14
99,1,2:38.0,,Defensive rebound by M. Chriss,17,14
100,1,2:33.0,,Turnover by D. Reed (lost ball; steal by S. Johnson),17,14
101,1,2:26.0,A. Tolliver misses 3-pt jump shot from 25 ft,,17,14
102,1,2:22.0,Offensive rebound by I. Smith,,17,14
103,1,2:18.0,L. Kennard misses 2-pt layup from 1 ft,,17,14
104,1,2:16.0,,Defensive rebound by J. Jackson,17,14
105,1,2:11.0,,J. Jackson makes 2-pt layup from 5 ft,17,16
106,1,2:00.0,S. Johnson misses 2-pt layup from 2 ft,,17,16
107,1,1:58.0,,Defensive rebound by M. Chriss,17,16
108,1,1:50.0,,S. Harrison misses 3-pt jump shot from 24 ft,17,16
109,1,1:45.0,Defensive rebound by L. Kennard,,17,16
110,1,1:27.0,A. Drummond misses 2-pt hook shot from 4 ft (block by M. Chriss),,17,16
111,1,1:25.0,,Defensive rebound by D. Reed,17,16
112,1,1:18.0,,Turnover by J. Dudley (bad pass; steal by S. Johnson),17,16
113,1,0:59.0,Shooting foul by M. Chriss (drawn by A. Drummond),,17,16
114,1,0:59.0,A. Drummond makes free throw 1 of 2,,18,16
115,1,0:59.0,,A. Len enters the game for M. Chriss,18,16
116,1,0:59.0,,T. Ulis enters the game for J. Jackson,18,16
117,1,0:59.0,J. Ennis enters the game for S. Johnson,,18,16
118,1,0:59.0,A. Drummond makes free throw 2 of 2,,19,16
119,1,0:42.0,,J. Dudley misses 2-pt jump shot from 20 ft,19,16
120,1,0:39.0,Defensive rebound by J. Ennis,,19,16
121,1,0:28.0,I. Smith misses 2-pt jump shot from 20 ft,,19,16
122,1,0:25.0,,Defensive rebound by S. Harrison,19,16
123,1,0:06.0,,T. Ulis misses 3-pt jump shot from 26 ft,19,16
124,1,0:04.0,,Offensive rebound by A. Len,19,16
125,1,0:04.0,,A. Len makes 2-pt layup at rim,19,18
126,1,0:04.0,,Shooting foul by A. Drummond (drawn by A. Len),19,18
