,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MILWAUKEE_ACTION,WASHINGTON_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,M. Morris makes 2-pt jump shot from 9 ft (assist by B. Beal),,2,0
1,1,11:29.0,,T. Snell makes 2-pt jump shot from 19 ft (assist by G. Antetokounmpo),2,2
2,1,11:14.0,O. Porter misses 3-pt jump shot from 23 ft,,2,2
3,1,11:11.0,,Defensive rebound by G. Antetokounmpo,2,2
4,1,11:05.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,2,2
5,1,11:03.0,Defensive rebound by O. Porter,,2,2
6,1,10:54.0,O. Porter misses 2-pt layup from 2 ft (block by G. Antetokounmpo),,2,2
7,1,10:54.0,,Defensive rebound by G. Antetokounmpo,2,2
8,1,10:47.0,,E. Bledsoe misses 2-pt layup at rim,2,2
9,1,10:47.0,Defensive rebound by J. Wall,,2,2
10,1,10:34.0,Shooting foul by T. Snell (drawn by B. Beal),,2,2
11,1,10:34.0,B. Beal misses free throw 1 of 2,,2,2
12,1,10:34.0,Offensive rebound by Team,,2,2
13,1,10:34.0,B. Beal makes free throw 2 of 2,,3,2
14,1,10:19.0,,J. Henson makes 2-pt layup at rim (assist by E. Bledsoe),3,4
15,1,10:09.0,J. Wall misses 3-pt jump shot from 26 ft,,3,4
16,1,10:03.0,,Defensive rebound by G. Antetokounmpo,3,4
17,1,10:00.0,,G. Antetokounmpo makes 2-pt jump shot from 7 ft,3,6
18,1,10:00.0,,Shooting foul by M. Morris (drawn by G. Antetokounmpo),3,6
19,1,10:00.0,,G. Antetokounmpo makes free throw 1 of 1,3,7
20,1,9:44.0,Turnover by B. Beal (bad pass; steal by E. Bledsoe),,3,7
21,1,9:39.0,,Turnover by K. Middleton (bad pass; steal by B. Beal),3,7
22,1,9:22.0,Personal foul by K. Middleton (drawn by M. Gortat),,3,7
23,1,9:09.0,J. Wall misses 2-pt jump shot from 21 ft,,3,7
24,1,9:07.0,Offensive rebound by M. Gortat,,3,7
25,1,9:00.0,M. Gortat misses 2-pt hook shot from 14 ft,,3,7
26,1,8:57.0,,Defensive rebound by K. Middleton,3,7
27,1,8:50.0,,K. Middleton misses 2-pt jump shot from 11 ft,3,7
28,1,8:49.0,Defensive rebound by O. Porter,,3,7
29,1,8:44.0,B. Beal makes 2-pt layup from 1 ft,,5,7
30,1,8:26.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,5,7
31,1,8:25.0,Defensive rebound by M. Gortat,,5,7
32,1,8:07.0,B. Beal misses 3-pt jump shot from 26 ft,,5,7
33,1,8:07.0,Offensive rebound by O. Porter,,5,7
34,1,8:02.0,O. Porter makes 2-pt jump shot from 15 ft,,7,7
35,1,7:49.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,7,7
36,1,7:49.0,Defensive rebound by M. Morris,,7,7
37,1,7:38.0,B. Beal makes 2-pt layup at rim (assist by J. Wall),,9,7
38,1,7:16.0,,Turnover by K. Middleton (bad pass; steal by O. Porter),9,7
39,1,7:10.0,J. Wall misses 3-pt jump shot from 27 ft,,9,7
40,1,7:06.0,,Defensive rebound by J. Henson,9,7
41,1,7:02.0,,Turnover by E. Bledsoe (lost ball; steal by O. Porter),9,7
42,1,6:54.0,Turnover by O. Porter (bad pass; steal by T. Snell),,9,7
43,1,6:46.0,,K. Middleton misses 3-pt jump shot from 26 ft,9,7
44,1,6:44.0,Defensive rebound by M. Gortat,,9,7
45,1,6:30.0,B. Beal makes 2-pt jump shot from 4 ft (assist by J. Wall),,11,7
46,1,6:30.0,,Milwaukee full timeout,11,7
47,1,6:30.0,,M. Brogdon enters the game for E. Bledsoe,11,7
48,1,6:18.0,,Turnover by J. Henson (turnover),11,7
49,1,5:54.0,M. Gortat misses 2-pt layup from 15 ft,,11,7
50,1,5:53.0,,Defensive rebound by G. Antetokounmpo,11,7
51,1,5:39.0,,M. Brogdon misses 2-pt layup from 4 ft,11,7
52,1,5:39.0,,Offensive rebound by J. Henson,11,7
53,1,5:35.0,,J. Henson misses 2-pt layup from 3 ft,11,7
54,1,5:35.0,Defensive rebound by M. Gortat,,11,7
55,1,5:25.0,Personal foul by G. Antetokounmpo (drawn by M. Morris),,11,7
56,1,5:25.0,,D. Liggins enters the game for K. Middleton,11,7
57,1,5:15.0,M. Morris misses 2-pt layup from 3 ft,,11,7
58,1,5:09.0,Offensive rebound by M. Morris,,11,7
59,1,5:09.0,M. Morris makes 2-pt layup at rim,,13,7
60,1,5:02.0,,T. Snell misses 3-pt jump shot from 24 ft,13,7
61,1,4:59.0,Defensive rebound by M. Morris,,13,7
62,1,4:48.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,15,7
63,1,4:22.0,,M. Brogdon misses 2-pt jump shot from 12 ft,15,7
64,1,4:21.0,Defensive rebound by M. Gortat,,15,7
65,1,4:07.0,J. Wall makes 2-pt jump shot from 20 ft,,17,7
66,1,3:44.0,,G. Antetokounmpo makes 2-pt layup at rim,17,9
67,1,3:44.0,,Shooting foul by M. Morris (drawn by G. Antetokounmpo),17,9
68,1,3:44.0,,T. Maker enters the game for J. Henson,17,9
69,1,3:44.0,T. Frazier enters the game for J. Wall,,17,9
70,1,3:44.0,K. Oubre enters the game for M. Morris,,17,9
71,1,3:44.0,,G. Antetokounmpo makes free throw 1 of 1,17,10
72,1,3:22.0,O. Porter makes 3-pt jump shot from 23 ft (assist by T. Frazier),,20,10
73,1,3:10.0,,Personal foul by O. Porter (drawn by G. Antetokounmpo),20,10
74,1,3:02.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft,20,12
75,1,2:48.0,M. Gortat misses 2-pt hook shot from 3 ft,,20,12
76,1,2:46.0,,Defensive rebound by T. Snell,20,12
77,1,2:38.0,,T. Snell makes 2-pt jump shot from 19 ft (assist by M. Brogdon),20,14
78,1,2:36.0,Washington full timeout,,20,14
79,1,2:36.0,,E. Bledsoe enters the game for T. Snell,20,14
80,1,2:36.0,J. Meeks enters the game for B. Beal,,20,14
81,1,2:20.0,O. Porter makes 2-pt jump shot from 17 ft (assist by T. Frazier),,22,14
82,1,1:55.0,,D. Liggins makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),22,17
83,1,1:32.0,K. Oubre makes 3-pt jump shot from 26 ft,,25,17
84,1,1:10.0,,D. Liggins misses 2-pt layup from 3 ft,25,17
85,1,1:07.0,Defensive rebound by T. Frazier,,25,17
86,1,1:03.0,K. Oubre misses 3-pt jump shot from 26 ft,,25,17
87,1,0:58.0,Offensive rebound by M. Gortat,,25,17
88,1,0:50.0,M. Gortat makes 2-pt hook shot from 4 ft (assist by O. Porter),,27,17
89,1,0:30.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,27,17
90,1,0:26.0,Defensive rebound by J. Meeks,,27,17
91,1,0:24.0,J. Meeks misses 2-pt layup at rim,,27,17
92,1,0:24.0,,Defensive rebound by M. Brogdon,27,17
93,1,0:00.0,,T. Maker makes 2-pt jump shot from 17 ft (assist by D. Liggins),27,19
94,2,11:44.0,,D. Liggins misses 3-pt jump shot from 25 ft,27,19
95,2,11:44.0,Defensive rebound by Team,,27,19
96,2,11:24.0,Turnover by O. Porter (bad pass; steal by E. Bledsoe),,27,19
97,2,11:24.0,,Personal foul by J. Meeks (drawn by D. Liggins),27,19
98,2,11:06.0,,D. Liggins makes 3-pt jump shot from 23 ft,27,22
99,2,10:41.0,Turnover by T. Frazier (traveling),,27,22
100,2,10:26.0,,K. Middleton misses 2-pt layup from 2 ft,27,22
101,2,10:24.0,Defensive rebound by I. Mahinmi,,27,22
102,2,10:06.0,O. Porter misses 3-pt jump shot from 25 ft,,27,22
103,2,10:01.0,Offensive rebound by K. Oubre,,27,22
104,2,10:00.0,K. Oubre makes 2-pt layup from 1 ft,,29,22
105,2,9:52.0,,Shooting foul by T. Frazier (drawn by E. Bledsoe),29,22
106,2,9:52.0,,E. Bledsoe misses free throw 1 of 2,29,22
107,2,9:52.0,,Offensive rebound by Team,29,22
108,2,9:52.0,,E. Bledsoe makes free throw 2 of 2,29,23
109,2,9:43.0,Offensive foul by I. Mahinmi (drawn by D. Liggins),,29,23
110,2,9:43.0,Turnover by I. Mahinmi (offensive foul),,29,23
111,2,9:28.0,,G. Payton makes 2-pt layup from 1 ft (assist by T. Maker),29,25
112,2,8:58.0,O. Porter makes 3-pt jump shot from 28 ft (assist by I. Mahinmi),,32,25
113,2,8:49.0,,E. Bledsoe misses 2-pt jump shot from 20 ft,32,25
114,2,8:44.0,Defensive rebound by O. Porter,,32,25
115,2,8:27.0,O. Porter misses 3-pt jump shot from 25 ft,,32,25
116,2,8:25.0,,Defensive rebound by K. Middleton,32,25
117,2,8:03.0,,G. Payton misses 3-pt jump shot from 28 ft,32,25
118,2,8:02.0,Defensive rebound by K. Oubre,,32,25
119,2,7:43.0,Turnover by T. Frazier (bad pass; steal by E. Bledsoe),,32,25
