,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,LA LAKERS_ACTION,CHARLOTTE_SCORE,LA LAKERS_SCORE
0,1,11:48.0,Turnover by D. Howard (traveling),,0,0
1,1,11:34.0,,L. Ball misses 3-pt jump shot from 23 ft,0,0
2,1,11:32.0,Defensive rebound by M. Kidd-Gilchrist,,0,0
3,1,11:25.0,K. Walker misses 3-pt jump shot from 25 ft,,0,0
4,1,11:22.0,,Defensive rebound by L. Ball,0,0
5,1,11:14.0,,B. Ingram misses 2-pt jump shot from 10 ft,0,0
6,1,11:09.0,Defensive rebound by M. Williams,,0,0
7,1,11:02.0,Turnover by D. Howard (step out of bounds),,0,0
8,1,10:52.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,0,0
9,1,10:47.0,,Offensive rebound by J. Randle,0,0
10,1,10:44.0,,J. Randle makes 2-pt jump shot from 8 ft,0,2
11,1,10:27.0,M. Kidd-Gilchrist makes 2-pt hook shot from 7 ft,,2,2
12,1,10:08.0,,Turnover by J. Randle (lost ball; steal by M. Kidd-Gilchrist),2,2
13,1,10:03.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by N. Batum),,4,2
14,1,9:51.0,,B. Ingram makes 2-pt jump shot from 16 ft (assist by J. Randle),4,4
15,1,9:29.0,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,7,4
16,1,9:16.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by L. Ball),7,7
17,1,9:01.0,D. Howard makes 2-pt layup from 2 ft (assist by N. Batum),,9,7
18,1,9:01.0,Shooting foul by K. Caldwell-Pope (drawn by D. Howard),,9,7
19,1,9:01.0,D. Howard makes free throw 1 of 1,,10,7
20,1,8:51.0,,J. Randle makes 2-pt jump shot from 8 ft (assist by B. Lopez),10,9
21,1,8:31.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,13,9
22,1,8:14.0,,J. Randle misses 2-pt layup from 2 ft,13,9
23,1,8:10.0,Defensive rebound by M. Kidd-Gilchrist,,13,9
24,1,8:07.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),,15,9
