,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:42.0,P. Gasol makes 2-pt jump shot from 13 ft,,2,0
1,1,11:23.0,,E. Turner makes 2-pt jump shot from 8 ft,2,2
2,1,11:09.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by B. Forbes),,4,2
3,1,10:52.0,,C. McCollum misses 2-pt jump shot from 13 ft,4,2
4,1,10:49.0,,Offensive rebound by J. Nurkić,4,2
5,1,10:43.0,,J. Nurkić misses 2-pt hook shot from 4 ft,4,2
6,1,10:40.0,Defensive rebound by D. Murray,,4,2
7,1,10:35.0,D. Murray misses 2-pt jump shot from 3 ft,,4,2
8,1,10:34.0,,Defensive rebound by J. Nurkić,4,2
9,1,10:24.0,,A. Aminu misses 2-pt jump shot from 16 ft,4,2
10,1,10:24.0,,Offensive rebound by Team,4,2
11,1,10:24.0,Loose ball foul by L. Aldridge (drawn by J. Nurkić),,4,2
12,1,10:19.0,,E. Turner makes 2-pt jump shot from 15 ft,4,4
13,1,10:02.0,L. Aldridge makes 2-pt jump shot from 8 ft,,6,4
14,1,9:48.0,,E. Turner misses 2-pt jump shot from 14 ft,6,4
15,1,9:45.0,Defensive rebound by P. Gasol,,6,4
16,1,9:36.0,P. Gasol misses 3-pt jump shot from 24 ft,,6,4
17,1,9:35.0,,Defensive rebound by A. Aminu,6,4
18,1,9:19.0,,A. Aminu misses 2-pt hook shot from 9 ft,6,4
19,1,9:16.0,Defensive rebound by D. Murray,,6,4
20,1,9:10.0,P. Gasol misses 2-pt jump shot from 11 ft,,6,4
21,1,9:07.0,,Defensive rebound by C. McCollum,6,4
22,1,8:58.0,,C. McCollum misses 2-pt jump shot from 17 ft,6,4
23,1,8:56.0,Defensive rebound by D. Green,,6,4
24,1,8:48.0,L. Aldridge misses 3-pt jump shot from 24 ft,,6,4
25,1,8:46.0,,Defensive rebound by D. Lillard,6,4
26,1,8:42.0,,C. McCollum misses 2-pt layup from 1 ft,6,4
27,1,8:39.0,Defensive rebound by D. Murray,,6,4
28,1,8:32.0,D. Murray misses 2-pt jump shot from 11 ft,,6,4
29,1,8:25.0,Offensive rebound by P. Gasol,,6,4
30,1,8:25.0,P. Gasol misses 2-pt layup at rim,,6,4
31,1,8:24.0,,Defensive rebound by A. Aminu,6,4
32,1,8:15.0,,Turnover by J. Nurkić (traveling),6,4
33,1,7:56.0,L. Aldridge makes 2-pt jump shot from 11 ft (assist by P. Gasol),,8,4
34,1,7:39.0,,J. Nurkić makes 2-pt jump shot from 4 ft (assist by D. Lillard),8,6
35,1,7:19.0,D. Murray makes 2-pt layup at rim (assist by P. Gasol),,10,6
36,1,7:05.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),10,8
37,1,7:05.0,San Antonio full timeout,,10,8
38,1,6:51.0,B. Forbes misses 3-pt jump shot from 24 ft,,10,8
39,1,6:49.0,,Defensive rebound by A. Aminu,10,8
40,1,6:41.0,,D. Lillard misses 2-pt jump shot from 14 ft,10,8
41,1,6:38.0,Defensive rebound by D. Green,,10,8
42,1,6:32.0,L. Aldridge makes 2-pt layup at rim (assist by P. Gasol),,12,8
43,1,6:12.0,,E. Turner makes 2-pt jump shot from 15 ft,12,10
44,1,5:53.0,D. Murray misses 2-pt jump shot from 17 ft,,12,10
45,1,5:50.0,Offensive rebound by P. Gasol,,12,10
46,1,5:46.0,D. Green misses 2-pt jump shot from 17 ft,,12,10
47,1,5:43.0,Offensive rebound by L. Aldridge,,12,10
48,1,5:36.0,D. Murray misses 2-pt jump shot from 13 ft,,12,10
49,1,5:33.0,,Defensive rebound by J. Nurkić,12,10
50,1,5:24.0,,A. Aminu misses 2-pt jump shot from 7 ft,12,10
51,1,5:22.0,Defensive rebound by P. Gasol,,12,10
52,1,5:12.0,Turnover by D. Murray (lost ball; steal by D. Lillard),,12,10
53,1,5:08.0,,D. Lillard makes 2-pt layup from 1 ft (assist by A. Aminu),12,12
54,1,4:46.0,B. Forbes makes 2-pt jump shot from 16 ft,,14,12
55,1,4:35.0,Violation by L. Aldridge (kicked ball),,14,12
56,1,4:35.0,,E. Davis enters the game for E. Turner,14,12
57,1,4:35.0,,Z. Collins enters the game for J. Nurkić,14,12
58,1,4:35.0,R. Gay enters the game for B. Forbes,,14,12
59,1,4:35.0,K. Anderson enters the game for P. Gasol,,14,12
60,1,4:35.0,P. Mills enters the game for D. Green,,14,12
61,1,4:35.0,M. Ginóbili enters the game for D. Murray,,14,12
62,1,4:25.0,,C. McCollum misses 3-pt jump shot from 25 ft,14,12
63,1,4:21.0,Defensive rebound by L. Aldridge,,14,12
64,1,4:11.0,L. Aldridge misses 2-pt jump shot from 17 ft,,14,12
65,1,4:08.0,,Defensive rebound by E. Davis,14,12
66,1,4:01.0,,D. Lillard misses 2-pt layup from 1 ft,14,12
67,1,4:01.0,Defensive rebound by Team,,14,12
