,QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,,A. Davis misses 2-pt jump shot from 10 ft,0,0
1,1,11:37.0,Defensive rebound by A. Horford,,0,0
2,1,11:17.0,J. Tatum misses 2-pt jump shot from 15 ft,,0,0
3,1,11:13.0,Offensive rebound by A. Horford,,0,0
4,1,11:12.0,T. Rozier makes 3-pt jump shot from 22 ft (assist by A. Horford),,3,0
5,1,10:51.0,,Turnover by E. Moore (bad pass; steal by J. Tatum),3,0
6,1,10:47.0,J. Tatum makes 2-pt layup from 1 ft,,5,0
7,1,10:47.0,Shooting foul by J. Holiday (drawn by J. Tatum),,5,0
8,1,10:47.0,J. Tatum makes free throw 1 of 1,,6,0
9,1,10:36.0,,R. Rondo misses 2-pt jump shot from 8 ft,6,0
10,1,10:32.0,Defensive rebound by T. Rozier,,6,0
11,1,10:16.0,M. Morris makes 2-pt jump shot from 8 ft,,8,0
12,1,10:02.0,,E. Moore misses 3-pt jump shot from 25 ft,8,0
13,1,9:58.0,Defensive rebound by A. Baynes,,8,0
14,1,9:52.0,T. Rozier misses 3-pt jump shot from 27 ft,,8,0
15,1,9:49.0,,Defensive rebound by Team,8,0
16,1,9:30.0,,A. Davis misses 2-pt jump shot from 18 ft,8,0
17,1,9:26.0,Defensive rebound by J. Tatum,,8,0
18,1,9:17.0,A. Horford misses 2-pt jump shot from 13 ft,,8,0
19,1,9:14.0,,Defensive rebound by Team,8,0
20,1,9:14.0,Loose ball foul by A. Baynes (drawn by E. Okafor),,8,0
21,1,9:00.0,,E. Moore misses 2-pt layup from 5 ft,8,0
22,1,8:59.0,Defensive rebound by A. Baynes,,8,0
23,1,8:49.0,T. Rozier misses 3-pt jump shot from 22 ft,,8,0
24,1,8:47.0,,Defensive rebound by E. Okafor,8,0
25,1,8:35.0,,R. Rondo makes 2-pt layup from 1 ft (assist by A. Davis),8,2
26,1,8:15.0,J. Tatum misses 2-pt layup from 2 ft (block by E. Okafor),,8,2
27,1,8:15.0,Offensive rebound by Team,,8,2
28,1,8:11.0,A. Baynes misses 2-pt dunk from 2 ft,,8,2
29,1,8:11.0,,Defensive rebound by A. Davis,8,2
30,1,8:00.0,,Personal foul by J. Tatum (drawn by A. Davis),8,2
31,1,7:46.0,,A. Davis makes 2-pt jump shot from 14 ft (assist by R. Rondo),8,4
32,1,7:28.0,J. Tatum makes 2-pt layup from 3 ft (assist by A. Baynes),,10,4
33,1,7:20.0,,R. Rondo misses 2-pt layup from 2 ft (block by A. Baynes),10,4
34,1,7:17.0,,Offensive rebound by R. Rondo,10,4
35,1,7:17.0,,Personal block foul by A. Baynes (drawn by R. Rondo),10,4
36,1,7:17.0,G. Monroe enters the game for A. Baynes,,10,4
37,1,7:09.0,,A. Davis makes 2-pt jump shot from 8 ft,10,6
38,1,6:58.0,A. Horford misses 3-pt jump shot from 26 ft,,10,6
39,1,6:53.0,,Defensive rebound by J. Holiday,10,6
40,1,6:44.0,,A. Davis makes 2-pt dunk at rim (assist by R. Rondo),10,8
41,1,6:28.0,Turnover by G. Monroe (bad pass; steal by A. Davis),,10,8
42,1,6:23.0,,Turnover by A. Davis (lost ball; steal by T. Rozier),10,8
43,1,6:18.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by T. Rozier),,13,8
44,1,6:07.0,,E. Okafor makes 2-pt dunk at rim (assist by J. Holiday),13,10
45,1,5:45.0,G. Monroe makes 2-pt hook shot from 3 ft,,15,10
46,1,5:36.0,,Turnover by R. Rondo (bad pass; steal by M. Morris),15,10
47,1,5:20.0,G. Monroe misses 2-pt layup from 3 ft,,15,10
48,1,5:18.0,,Defensive rebound by A. Davis,15,10
49,1,5:06.0,,A. Davis misses 3-pt jump shot from 25 ft,15,10
50,1,5:02.0,,Offensive rebound by E. Okafor,15,10
51,1,4:56.0,,J. Holiday misses 3-pt jump shot from 22 ft,15,10
52,1,4:55.0,Defensive rebound by T. Rozier,,15,10
53,1,4:55.0,Boston full timeout,,15,10
54,1,4:55.0,,I. Clark enters the game for J. Holiday,15,10
55,1,4:55.0,,N. Mirotić enters the game for E. Okafor,15,10
56,1,4:55.0,,S. Hill enters the game for E. Moore,15,10
