,QUARTER,TIME_REMAINING,INDIANA_ACTION,DALLAS_ACTION,INDIANA_SCORE,DALLAS_SCORE
0,1,11:42.0,,H. Barnes makes 2-pt dunk from 1 ft,0,2
1,1,11:42.0,,Shooting foul by V. Oladipo (drawn by H. Barnes),0,2
2,1,11:42.0,,H. Barnes misses free throw 1 of 1,0,2
3,1,11:39.0,Defensive rebound by M. Turner,,0,2
4,1,11:25.0,M. Turner makes 2-pt jump shot from 9 ft,,2,2
5,1,11:11.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,2,2
6,1,11:09.0,Defensive rebound by M. Turner,,2,2
7,1,11:05.0,V. Oladipo makes 2-pt jump shot from 19 ft,,4,2
8,1,10:42.0,,D. Powell misses 2-pt layup from 1 ft,4,2
9,1,10:41.0,Defensive rebound by M. Turner,,4,2
10,1,10:38.0,Turnover by V. Oladipo (lost ball; steal by W. Matthews),,4,2
11,1,10:18.0,,D. Powell misses 2-pt jump shot from 1 ft (block by M. Turner),4,2
12,1,10:17.0,Defensive rebound by T. Young,,4,2
13,1,10:13.0,Turnover by T. Young (bad pass; steal by D. Smith),,4,2
14,1,10:03.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,4,2
15,1,10:00.0,Defensive rebound by M. Turner,,4,2
16,1,9:47.0,M. Turner misses 2-pt jump shot from 19 ft,,4,2
17,1,9:45.0,,Defensive rebound by D. Nowitzki,4,2
18,1,9:36.0,,D. Smith makes 2-pt jump shot from 19 ft,4,4
19,1,9:17.0,V. Oladipo makes 2-pt jump shot from 22 ft (assist by M. Turner),,6,4
20,1,9:06.0,,Shooting foul by C. Joseph (drawn by D. Smith),6,4
21,1,9:06.0,,D. Smith makes free throw 1 of 2,6,5
22,1,9:06.0,,D. Smith makes free throw 2 of 2,6,6
23,1,8:56.0,T. Young misses 3-pt jump shot from 25 ft,,6,6
24,1,8:53.0,,Defensive rebound by D. Smith,6,6
25,1,8:42.0,,W. Matthews makes 3-pt jump shot from 28 ft (assist by D. Powell),6,9
26,1,8:17.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,6,9
27,1,8:14.0,,Defensive rebound by D. Smith,6,9
28,1,8:05.0,,H. Barnes misses 2-pt layup at rim (block by M. Turner),6,9
29,1,8:02.0,,Offensive rebound by H. Barnes,6,9
30,1,7:59.0,,D. Smith misses 3-pt jump shot from 25 ft,6,9
31,1,7:55.0,Defensive rebound by B. Bogdanović,,6,9
32,1,7:41.0,T. Young misses 2-pt hook shot from 2 ft,,6,9
33,1,7:39.0,,Defensive rebound by D. Powell,6,9
34,1,7:35.0,,M. Kleber enters the game for D. Nowitzki,6,9
35,1,7:33.0,,M. Kleber misses 2-pt jump shot from 16 ft,6,9
36,1,7:30.0,Defensive rebound by V. Oladipo,,6,9
37,1,7:25.0,M. Turner makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,9,9
38,1,7:10.0,,M. Kleber misses 3-pt jump shot from 25 ft,9,9
39,1,7:10.0,,Offensive rebound by W. Matthews,9,9
40,1,7:07.0,,Dallas full timeout,9,9
41,1,6:50.0,,Personal foul by V. Oladipo (drawn by M. Kleber),9,9
42,1,6:50.0,G. Robinson enters the game for V. Oladipo,,9,9
43,1,6:36.0,,W. Matthews makes 2-pt jump shot from 8 ft,9,11
44,1,6:24.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,9,11
45,1,6:24.0,,Defensive rebound by D. Powell,9,11
46,1,6:11.0,,Turnover by H. Barnes (bad pass; steal by T. Young),9,11
47,1,6:03.0,T. Young misses 3-pt jump shot from 23 ft,,9,11
48,1,6:01.0,,Defensive rebound by D. Smith,9,11
49,1,5:56.0,,D. Smith misses 2-pt jump shot from 22 ft,9,11
50,1,5:53.0,Defensive rebound by T. Young,,9,11
51,1,5:47.0,B. Bogdanović makes 2-pt hook shot from 5 ft,,11,11
52,1,5:47.0,Shooting foul by D. Powell (drawn by B. Bogdanović),,11,11
53,1,5:47.0,,Y. Ferrell enters the game for D. Powell,11,11
54,1,5:47.0,B. Bogdanović makes free throw 1 of 1,,12,11
55,1,5:29.0,,H. Barnes misses 2-pt jump shot from 13 ft,12,11
56,1,5:25.0,,Offensive rebound by M. Kleber,12,11
57,1,5:23.0,,W. Matthews misses 3-pt jump shot from 25 ft,12,11
58,1,5:19.0,Defensive rebound by C. Joseph,,12,11
59,1,5:07.0,M. Turner makes 2-pt hook shot from 7 ft (assist by G. Robinson),,14,11
60,1,4:43.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,14,11
61,1,4:40.0,Defensive rebound by T. Young,,14,11
62,1,4:33.0,C. Joseph misses 2-pt jump shot from 19 ft,,14,11
63,1,4:30.0,Offensive rebound by B. Bogdanović,,14,11
64,1,4:24.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,14,11
65,1,4:17.0,Offensive rebound by M. Turner,,14,11
66,1,4:17.0,M. Turner misses 2-pt layup at rim,,14,11
67,1,4:15.0,Offensive rebound by B. Bogdanović,,14,11
68,1,4:15.0,B. Bogdanović misses 2-pt layup at rim,,14,11
69,1,4:13.0,Offensive rebound by M. Turner,,14,11
70,1,4:13.0,M. Turner makes 2-pt layup at rim,,16,11
71,1,4:02.0,,Turnover by W. Matthews (bad pass),16,11
72,1,4:02.0,D. Sabonis enters the game for M. Turner,,16,11
73,1,4:02.0,L. Stephenson enters the game for B. Bogdanović,,16,11
74,1,3:48.0,T. Young misses 2-pt layup from 1 ft,,16,11
75,1,3:48.0,,Defensive rebound by Team,16,11
76,1,3:25.0,,D. Smith makes 3-pt jump shot from 25 ft,16,14
77,1,3:20.0,Indiana full timeout,,16,14
78,1,3:20.0,,J. Barea enters the game for D. Smith,16,14
79,1,3:20.0,J. Young enters the game for C. Joseph,,16,14
80,1,3:03.0,G. Robinson makes 2-pt jump shot from 8 ft,,18,14
81,1,3:03.0,Shooting foul by M. Kleber (drawn by G. Robinson),,18,14
82,1,3:03.0,,D. McDermott enters the game for W. Matthews,18,14
83,1,3:03.0,,D. Powell enters the game for H. Barnes,18,14
84,1,3:03.0,,D. Nowitzki enters the game for M. Kleber,18,14
85,1,3:03.0,G. Robinson makes free throw 1 of 1,,19,14
86,1,2:48.0,,D. Powell misses 2-pt layup from 3 ft,19,14
87,1,2:45.0,Defensive rebound by T. Young,,19,14
88,1,2:38.0,L. Stephenson misses 3-pt jump shot from 24 ft,,19,14
89,1,2:36.0,,Defensive rebound by D. Powell,19,14
90,1,2:26.0,,J. Barea makes 2-pt jump shot from 10 ft,19,16
91,1,2:04.0,G. Robinson makes 2-pt jump shot from 11 ft (assist by J. Young),,21,16
92,1,1:45.0,,Y. Ferrell makes 2-pt jump shot from 6 ft (assist by D. Nowitzki),21,18
93,1,1:24.0,D. Sabonis makes 2-pt hook shot from 1 ft,,23,18
94,1,1:03.0,,Y. Ferrell makes 2-pt jump shot from 14 ft,23,20
95,1,0:53.0,J. Young misses 3-pt jump shot from 22 ft,,23,20
96,1,0:51.0,,Defensive rebound by D. Nowitzki,23,20
97,1,0:35.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,23,20
98,1,0:32.0,Defensive rebound by T. Young,,23,20
99,1,0:28.0,J. Young misses 2-pt jump shot from 12 ft,,23,20
100,1,0:25.0,,Defensive rebound by D. Powell,23,20
101,1,0:05.0,,D. McDermott makes 3-pt jump shot from 26 ft (assist by J. Barea),23,23
102,1,0:00.0,J. Young misses 2-pt jump shot from 15 ft,,23,23
103,1,0:00.0,Offensive rebound by Team,,23,23
104,2,11:40.0,,Loose ball foul by D. McDermott (drawn by L. Stephenson),23,23
105,2,11:38.0,D. Sabonis misses 2-pt jump shot from 12 ft,,23,23
106,2,11:38.0,Offensive rebound by Team,,23,23
107,2,11:27.0,B. Bogdanović makes 2-pt jump shot at rim (assist by C. Joseph),,25,23
108,2,11:04.0,,J. Barea misses 2-pt hook shot from 3 ft,25,23
109,2,11:02.0,Defensive rebound by L. Stephenson,,25,23
110,2,10:56.0,L. Stephenson makes 2-pt jump shot from 14 ft,,27,23
111,2,10:44.0,,J. Barea makes 2-pt layup from 3 ft,27,25
112,2,10:37.0,C. Joseph misses 2-pt jump shot from 19 ft,,27,25
113,2,10:37.0,,Defensive rebound by D. Powell,27,25
114,2,10:30.0,,J. Barea makes 3-pt jump shot from 25 ft,27,28
115,2,10:11.0,G. Robinson misses 3-pt jump shot from 24 ft,,27,28
116,2,10:11.0,,Defensive rebound by D. Powell,27,28
117,2,10:03.0,,Y. Ferrell misses 3-pt jump shot from 25 ft,27,28
118,2,10:01.0,Defensive rebound by L. Stephenson,,27,28
119,2,9:58.0,Personal foul by J. Barea (drawn by L. Stephenson),,27,28
120,2,9:58.0,V. Oladipo enters the game for G. Robinson,,27,28
121,2,9:51.0,C. Joseph misses 2-pt jump shot from 19 ft,,27,28
122,2,9:48.0,,Defensive rebound by D. McDermott,27,28
123,2,9:28.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,27,28
124,2,9:25.0,Defensive rebound by C. Joseph,,27,28
125,2,9:21.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,27,28
126,2,9:18.0,,Defensive rebound by D. Powell,27,28
127,2,9:07.0,,J. Barea misses 3-pt jump shot from 26 ft,27,28
128,2,9:05.0,Defensive rebound by B. Bogdanović,,27,28
129,2,9:05.0,Personal take foul by D. Nowitzki (drawn by B. Bogdanović),,27,28
130,2,9:05.0,M. Turner enters the game for B. Bogdanović,,27,28
131,2,8:55.0,L. Stephenson makes 2-pt jump shot from 18 ft,,29,28
132,2,8:37.0,,Personal foul by L. Stephenson (drawn by J. Barea),29,28
133,2,8:34.0,,D. McDermott makes 2-pt dunk from 1 ft (assist by J. Barea),29,30
134,2,8:34.0,,Shooting foul by D. Sabonis (drawn by D. McDermott),29,30
135,2,8:34.0,,D. McDermott makes free throw 1 of 1,29,31
136,2,8:19.0,V. Oladipo makes 2-pt jump shot from 14 ft,,31,31
137,2,8:09.0,,Personal foul by D. Sabonis (drawn by D. Nowitzki),31,31
138,2,8:03.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,31,31
139,2,7:59.0,Defensive rebound by M. Turner,,31,31
140,2,7:49.0,L. Stephenson misses 3-pt jump shot from 24 ft,,31,31
141,2,7:48.0,,Defensive rebound by Team,31,31
142,2,7:48.0,Loose ball foul by D. Sabonis (drawn by D. Nowitzki),,31,31
143,2,7:48.0,T. Young enters the game for D. Sabonis,,31,31
144,2,7:30.0,,D. McDermott misses 2-pt jump shot from 3 ft,31,31
145,2,7:27.0,Defensive rebound by T. Young,,31,31
146,2,7:18.0,M. Turner makes 2-pt jump shot from 10 ft (assist by L. Stephenson),,33,31
147,2,7:16.0,,Dallas full timeout,33,31
148,2,7:16.0,,D. Smith enters the game for Y. Ferrell,33,31
149,2,7:02.0,,D. Smith makes 2-pt jump shot from 3 ft,33,33
150,2,6:41.0,L. Stephenson misses 2-pt layup from 1 ft,,33,33
151,2,6:41.0,Offensive rebound by Team,,33,33
152,2,6:41.0,,W. Matthews enters the game for D. Powell,33,33
153,2,6:41.0,,H. Barnes enters the game for D. McDermott,33,33
154,2,6:41.0,,S. Mejri enters the game for D. Nowitzki,33,33
155,2,6:32.0,L. Stephenson misses 2-pt jump shot from 17 ft,,33,33
156,2,6:28.0,Offensive rebound by L. Stephenson,,33,33
157,2,6:27.0,L. Stephenson misses 2-pt jump shot from 5 ft,,33,33
158,2,6:27.0,,Defensive rebound by S. Mejri,33,33
159,2,6:15.0,,J. Barea makes 3-pt jump shot from 26 ft (assist by D. Smith),33,36
160,2,6:03.0,Shooting foul by H. Barnes (drawn by T. Young),,33,36
161,2,6:03.0,T. Young makes free throw 1 of 2,,34,36
162,2,6:03.0,B. Bogdanović enters the game for L. Stephenson,,34,36
163,2,6:03.0,T. Young misses free throw 2 of 2,,34,36
164,2,6:00.0,,Defensive rebound by J. Barea,34,36
