,QUARTER,TIME_REMAINING,NEW YORK_ACTION,ATLANTA_ACTION,NEW YORK_SCORE,ATLANTA_SCORE
0,1,11:42.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by D. Dedmon,0,0
2,1,11:21.0,,D. Dedmon misses 2-pt layup from 3 ft (block by K. O'Quinn),0,0
3,1,11:20.0,,Offensive rebound by D. Dedmon,0,0
4,1,11:18.0,,D. Schröder makes 2-pt jump shot from 12 ft (assist by K. Bazemore),0,2
5,1,11:11.0,Turnover by K. O'Quinn (traveling),,0,2
6,1,11:03.0,,Offensive foul by D. Dedmon (drawn by K. Porziņģis),0,2
7,1,11:03.0,,Turnover by D. Dedmon (offensive foul),0,2
8,1,10:51.0,Turnover by T. Hardaway (lost ball; steal by K. Bazemore),,0,2
9,1,10:45.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),0,4
10,1,10:34.0,J. Jack makes 2-pt jump shot from 9 ft,,2,4
11,1,10:34.0,Shooting foul by K. Bazemore (drawn by J. Jack),,2,4
12,1,10:34.0,J. Jack makes free throw 1 of 1,,3,4
13,1,10:25.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by K. Bazemore),3,7
14,1,10:03.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Jack),,6,7
15,1,9:48.0,,T. Prince misses 3-pt jump shot from 25 ft,6,7
16,1,9:45.0,Defensive rebound by C. Lee,,6,7
17,1,9:38.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by J. Jack),,9,7
18,1,9:26.0,,Turnover by T. Prince (traveling),9,7
19,1,9:13.0,Shooting foul by J. Collins (drawn by C. Lee),,9,7
20,1,9:13.0,C. Lee makes free throw 1 of 2,,10,7
21,1,9:13.0,C. Lee makes free throw 2 of 2,,11,7
22,1,8:57.0,,D. Schröder makes 2-pt layup from 1 ft,11,9
23,1,8:45.0,T. Hardaway makes 2-pt jump shot from 21 ft,,13,9
24,1,8:33.0,,D. Schröder misses 2-pt jump shot from 17 ft,13,9
25,1,8:28.0,Defensive rebound by K. O'Quinn,,13,9
26,1,8:17.0,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by T. Hardaway),,15,9
27,1,8:03.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by D. Schröder),15,12
28,1,7:54.0,Personal foul by D. Schröder (drawn by J. Jack),,15,12
29,1,7:54.0,,E. İlyasova enters the game for D. Dedmon,15,12
30,1,7:50.0,Turnover by J. Jack (traveling),,15,12
31,1,7:38.0,,K. Bazemore misses 2-pt jump shot from 21 ft,15,12
32,1,7:32.0,Defensive rebound by J. Jack,,15,12
33,1,7:25.0,C. Lee makes 2-pt jump shot from 3 ft,,17,12
34,1,7:14.0,,Turnover by K. Bazemore (bad pass),17,12
35,1,6:59.0,C. Lee makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,20,12
36,1,6:58.0,,Atlanta full timeout,20,12
37,1,6:38.0,,E. İlyasova misses 3-pt jump shot from 22 ft,20,12
38,1,6:38.0,Defensive rebound by Team,,20,12
39,1,6:27.0,Offensive foul by K. O'Quinn (drawn by E. İlyasova),,20,12
40,1,6:27.0,Turnover by K. O'Quinn (offensive foul),,20,12
41,1,6:27.0,,M. Belinelli enters the game for K. Bazemore,20,12
42,1,6:10.0,,E. İlyasova misses 3-pt jump shot from 24 ft,20,12
43,1,6:02.0,,Offensive rebound by T. Prince,20,12
44,1,6:02.0,,T. Prince misses 2-pt layup at rim,20,12
45,1,6:02.0,,Offensive rebound by T. Prince,20,12
46,1,6:00.0,,T. Prince makes 2-pt layup at rim,20,14
47,1,5:53.0,K. Porziņģis makes 2-pt jump shot from 12 ft,,22,14
48,1,5:40.0,,M. Belinelli misses 2-pt jump shot from 15 ft,22,14
49,1,5:36.0,,Offensive rebound by M. Belinelli,22,14
