,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
0,1,11:46.0,,Personal foul by R. Westbrook (drawn by G. Antetokounmpo),0,0
1,1,11:31.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),0,2
2,1,11:06.0,Turnover by S. Adams (lost ball; steal by K. Middleton),,0,2
3,1,11:03.0,,T. Snell misses 2-pt layup from 1 ft,0,2
4,1,10:59.0,,Offensive rebound by K. Middleton,0,2
5,1,10:59.0,,K. Middleton misses 2-pt layup at rim,0,2
6,1,10:59.0,Defensive rebound by S. Adams,,0,2
7,1,10:59.0,Personal foul by M. Brogdon (drawn by R. Westbrook),,0,2
8,1,10:49.0,R. Westbrook makes 2-pt jump shot from 13 ft,,2,2
9,1,10:35.0,,T. Maker makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),2,4
10,1,10:20.0,R. Westbrook misses 2-pt jump shot from 14 ft,,2,4
11,1,10:18.0,,Defensive rebound by M. Brogdon,2,4
12,1,10:13.0,,Shooting foul by S. Adams (drawn by G. Antetokounmpo),2,4
13,1,10:13.0,,G. Antetokounmpo makes free throw 1 of 2,2,5
14,1,10:13.0,,G. Antetokounmpo makes free throw 2 of 2,2,6
15,1,9:56.0,P. George makes 2-pt jump shot from 16 ft,,4,6
16,1,9:50.0,,Personal foul by A. Roberson (drawn by G. Antetokounmpo),4,6
17,1,9:44.0,,Turnover by K. Middleton (lost ball; steal by P. George),4,6
18,1,9:40.0,P. George misses 2-pt layup from 1 ft,,4,6
19,1,9:37.0,,Defensive rebound by K. Middleton,4,6
20,1,9:34.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Brogdon),4,8
21,1,9:12.0,A. Roberson misses 3-pt jump shot from 29 ft,,4,8
22,1,9:08.0,Offensive rebound by S. Adams,,4,8
23,1,9:06.0,S. Adams makes 2-pt dunk from 1 ft,,6,8
24,1,8:51.0,,K. Middleton misses 2-pt jump shot from 17 ft,6,8
25,1,8:48.0,Defensive rebound by P. George,,6,8
26,1,8:43.0,P. George misses 2-pt jump shot from 19 ft,,6,8
27,1,8:38.0,,Defensive rebound by G. Antetokounmpo,6,8
28,1,8:27.0,,M. Brogdon misses 3-pt jump shot from 26 ft,6,8
29,1,8:24.0,Defensive rebound by C. Anthony,,6,8
30,1,8:13.0,C. Anthony misses 3-pt jump shot from 26 ft,,6,8
31,1,8:09.0,Offensive rebound by A. Roberson,,6,8
32,1,8:03.0,C. Anthony misses 2-pt jump shot from 17 ft,,6,8
33,1,8:01.0,Offensive rebound by S. Adams,,6,8
34,1,8:00.0,S. Adams makes 2-pt dunk from 1 ft,,8,8
35,1,7:34.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,8,8
36,1,7:34.0,,Turnover by Team (shot clock),8,8
37,1,7:33.0,,Offensive rebound by Team,8,8
38,1,7:21.0,Turnover by P. George (offensive foul),,8,8
39,1,7:11.0,Offensive charge foul by G. Antetokounmpo (drawn by A. Roberson),,8,8
40,1,7:11.0,,Turnover by G. Antetokounmpo (offensive foul),8,8
41,1,7:05.0,Shooting foul by M. Brogdon (drawn by R. Westbrook),,8,8
42,1,7:05.0,R. Westbrook misses free throw 1 of 2,,8,8
43,1,7:05.0,Offensive rebound by Team,,8,8
44,1,7:05.0,,M. Dellavedova enters the game for M. Brogdon,8,8
45,1,7:05.0,R. Westbrook makes free throw 2 of 2,,9,8
46,1,6:44.0,,G. Antetokounmpo misses 2-pt jump shot from 14 ft,9,8
47,1,6:41.0,Defensive rebound by C. Anthony,,9,8
48,1,6:29.0,C. Anthony makes 2-pt jump shot from 19 ft,,11,8
49,1,6:10.0,,T. Maker misses 2-pt layup from 3 ft,11,8
50,1,6:07.0,Defensive rebound by C. Anthony,,11,8
51,1,6:04.0,S. Adams misses 2-pt dunk from 2 ft,,11,8
52,1,6:01.0,,Defensive rebound by G. Antetokounmpo,11,8
53,1,5:58.0,,K. Middleton misses 3-pt jump shot from 26 ft,11,8
54,1,5:54.0,Defensive rebound by C. Anthony,,11,8
55,1,5:48.0,R. Westbrook makes 2-pt jump shot from 18 ft,,13,8
56,1,5:47.0,,Milwaukee full timeout,13,8
57,1,5:47.0,,M. Teletović enters the game for T. Maker,13,8
58,1,5:47.0,,J. Henson enters the game for G. Antetokounmpo,13,8
59,1,5:47.0,J. Grant enters the game for C. Anthony,,13,8
60,1,5:24.0,Á. Abrines enters the game for A. Roberson,,13,8
61,1,5:15.0,S. Adams makes 2-pt dunk at rim,,20,12
62,1,4:55.0,,Turnover by M. Dellavedova (lost ball; steal by S. Adams),20,12
63,1,4:48.0,P. George makes 3-pt jump shot from 27 ft (assist by R. Westbrook),,16,8
64,1,4:32.0,,M. Teletović misses 3-pt jump shot from 26 ft,16,8
65,1,4:27.0,Defensive rebound by S. Adams,,16,8
66,1,4:16.0,P. George makes 2-pt jump shot from 19 ft,,18,8
67,1,4:01.0,,K. Middleton misses 2-pt jump shot from 19 ft,18,8
68,1,3:58.0,Defensive rebound by S. Adams,,18,8
69,1,3:54.0,R. Westbrook misses 3-pt jump shot from 28 ft,,18,8
70,1,3:51.0,,Defensive rebound by K. Middleton,18,8
71,1,3:46.0,,K. Middleton misses 2-pt layup at rim,18,8
72,1,3:43.0,Defensive rebound by R. Westbrook,,18,8
73,1,3:27.0,Á. Abrines misses 2-pt dunk from 1 ft,,18,8
74,1,3:22.0,,Defensive rebound by T. Snell,18,8
75,1,3:20.0,,M. Dellavedova makes 2-pt jump shot from 19 ft (assist by T. Snell),18,10
76,1,2:57.0,P. George misses 2-pt jump shot from 14 ft,,18,10
77,1,2:54.0,,Defensive rebound by T. Snell,18,10
78,1,2:50.0,,T. Snell makes 2-pt layup from 1 ft,18,12
79,1,2:50.0,Oklahoma City full timeout,,18,12
80,1,2:50.0,,G. Antetokounmpo enters the game for T. Snell,18,12
81,1,2:50.0,,R. Vaughn enters the game for K. Middleton,18,12
82,1,2:50.0,P. Patterson enters the game for R. Westbrook,,18,12
83,1,2:50.0,R. Felton enters the game for S. Adams,,18,12
84,1,2:43.0,Technical foul by Team,,18,12
85,1,2:43.0,,M. Dellavedova makes technical free throw,20,13
86,1,2:27.0,R. Felton misses 2-pt jump shot from 17 ft,,20,13
87,1,2:25.0,Offensive rebound by J. Grant,,20,13
88,1,2:25.0,Shooting foul by M. Teletović (drawn by J. Grant),,20,13
89,1,2:25.0,J. Grant makes free throw 1 of 2,,21,13
90,1,2:25.0,J. Grant makes free throw 2 of 2,,22,13
91,1,1:59.0,,R. Vaughn misses 3-pt jump shot from 25 ft,22,13
92,1,1:59.0,Defensive rebound by Team,,22,13
93,1,1:59.0,C. Anthony enters the game for P. George,,22,13
94,1,1:45.0,J. Grant misses 3-pt jump shot from 26 ft,,22,13
95,1,1:41.0,,Defensive rebound by G. Antetokounmpo,22,13
96,1,1:32.0,,G. Antetokounmpo makes 2-pt jump shot from 16 ft,22,15
97,1,1:18.0,C. Anthony makes 2-pt layup from 1 ft,,24,15
98,1,1:18.0,Shooting foul by G. Antetokounmpo (drawn by C. Anthony),,24,15
99,1,1:18.0,C. Anthony makes free throw 1 of 1,,25,15
100,1,1:10.0,,Turnover by M. Dellavedova (bad pass),25,15
101,1,1:01.0,Personal foul by M. Teletović (drawn by C. Anthony),,25,15
102,1,1:01.0,C. Anthony misses free throw 1 of 2,,25,15
103,1,1:01.0,Offensive rebound by Team,,25,15
104,1,1:01.0,C. Anthony makes free throw 2 of 2,,26,15
105,1,0:56.0,,Shooting foul by Á. Abrines (drawn by G. Antetokounmpo),26,15
106,1,0:56.0,,G. Antetokounmpo makes free throw 1 of 2,26,16
107,1,0:56.0,,G. Antetokounmpo makes free throw 2 of 2,26,17
108,1,0:46.0,R. Felton makes 3-pt jump shot from 27 ft (assist by J. Grant),,29,17
109,1,0:37.0,,M. Teletović makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),29,20
110,1,0:24.0,C. Anthony makes 2-pt jump shot from 15 ft,,31,20
111,1,0:11.0,,Def 3 sec tech foul by R. Felton,31,20
112,1,0:11.0,,M. Dellavedova makes free throw 1 of 1,31,21
113,1,0:11.0,A. Roberson enters the game for Á. Abrines,,31,21
114,1,0:01.0,,G. Antetokounmpo makes 2-pt hook shot from 2 ft,31,23
115,2,11:49.0,C. Anthony misses 2-pt jump shot from 15 ft (block by J. Henson),,31,23
116,2,11:47.0,Offensive rebound by Team,,31,23
117,2,11:41.0,,Offensive charge foul by A. Roberson (drawn by M. Teletović),31,23
