,QUARTER,TIME_REMAINING,INDIANA_ACTION,LA LAKERS_ACTION,INDIANA_SCORE,LA LAKERS_SCORE
0,1,11:37.0,,J. Randle misses 2-pt jump shot from 19 ft,0,0
1,1,11:33.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:20.0,B. Bogdanović misses 2-pt hook shot from 4 ft,,0,0
3,1,11:17.0,Offensive rebound by B. Bogdanović,,0,0
4,1,11:11.0,T. Young makes 2-pt jump shot from 18 ft (assist by D. Collison),,2,0
5,1,10:55.0,,T. Ennis makes 2-pt layup from 2 ft,2,2
6,1,10:39.0,D. Sabonis misses 2-pt jump shot from 20 ft,,2,2
7,1,10:37.0,,Defensive rebound by Team,2,2
8,1,10:37.0,Loose ball foul by T. Young (drawn by T. Ennis),,2,2
9,1,10:20.0,,J. Randle misses 2-pt jump shot from 5 ft,2,2
10,1,10:18.0,Defensive rebound by D. Sabonis,,2,2
11,1,10:10.0,D. Sabonis misses 3-pt jump shot from 26 ft,,2,2
12,1,10:07.0,,Defensive rebound by K. Kuzma,2,2
13,1,10:01.0,,J. Randle makes 2-pt layup from 1 ft (assist by K. Kuzma),2,4
14,1,9:36.0,T. Young makes 2-pt jump shot from 21 ft,,4,4
15,1,9:19.0,,C. Brewer misses 2-pt layup from 2 ft,4,4
16,1,9:17.0,Defensive rebound by T. Young,,4,4
17,1,9:14.0,T. Young makes 2-pt jump shot from 3 ft,,6,4
18,1,9:01.0,,T. Ennis misses 2-pt jump shot from 3 ft (block by D. Collison),6,4
19,1,8:58.0,Defensive rebound by D. Collison,,6,4
20,1,8:54.0,V. Oladipo misses 2-pt jump shot from 18 ft,,6,4
21,1,8:51.0,,Defensive rebound by J. Randle,6,4
22,1,8:39.0,,J. Hart makes 2-pt layup from 2 ft (assist by J. Randle),6,6
23,1,8:30.0,V. Oladipo misses 2-pt layup from 1 ft,,6,6
24,1,8:28.0,,Defensive rebound by J. Randle,6,6
25,1,8:24.0,,Shooting foul by D. Sabonis (drawn by T. Ennis),6,6
26,1,8:24.0,,T. Ennis misses free throw 1 of 2,6,6
27,1,8:24.0,,Offensive rebound by Team,6,6
28,1,8:24.0,,T. Ennis misses free throw 2 of 2,6,6
29,1,8:22.0,Defensive rebound by D. Sabonis,,6,6
30,1,8:03.0,D. Sabonis misses 2-pt hook shot from 2 ft,,6,6
31,1,8:02.0,,Defensive rebound by J. Randle,6,6
32,1,7:54.0,,K. Kuzma misses 2-pt jump shot from 12 ft,6,6
33,1,7:52.0,Defensive rebound by D. Sabonis,,6,6
34,1,7:40.0,V. Oladipo misses 2-pt jump shot from 18 ft,,6,6
35,1,7:36.0,,Defensive rebound by C. Brewer,6,6
36,1,7:17.0,,J. Randle misses 2-pt jump shot from 7 ft (block by D. Sabonis),6,6
37,1,7:16.0,,Offensive rebound by C. Brewer,6,6
38,1,7:16.0,,C. Brewer misses 3-pt jump shot from 25 ft,6,6
39,1,7:15.0,,Offensive rebound by Team,6,6
40,1,7:15.0,,Turnover by Team (shot clock),6,6
41,1,7:01.0,T. Young misses 2-pt jump shot from 7 ft (block by K. Kuzma),,6,6
42,1,7:01.0,,Defensive rebound by C. Brewer,6,6
43,1,6:53.0,,T. Ennis makes 2-pt layup from 1 ft,6,8
44,1,6:36.0,D. Collison misses 2-pt jump shot from 13 ft,,6,8
45,1,6:36.0,Offensive rebound by D. Sabonis,,6,8
46,1,6:28.0,T. Young misses 3-pt jump shot from 26 ft,,6,8
47,1,6:25.0,,Defensive rebound by J. Hart,6,8
48,1,6:17.0,,K. Kuzma misses 3-pt jump shot from 26 ft,6,8
49,1,6:17.0,Defensive rebound by V. Oladipo,,6,8
50,1,6:05.0,D. Collison misses 2-pt layup from 1 ft (block by J. Randle),,6,8
51,1,6:02.0,,Defensive rebound by J. Hart,6,8
52,1,5:59.0,Offensive charge foul by K. Kuzma (drawn by V. Oladipo),,6,8
53,1,5:59.0,,Turnover by K. Kuzma (offensive foul),6,8
54,1,5:59.0,,LA Lakers full timeout,6,8
55,1,5:47.0,Turnover by B. Bogdanović (lost ball; steal by C. Brewer),,6,8
56,1,5:43.0,,Turnover by C. Brewer (bad pass; steal by V. Oladipo),6,8
57,1,5:39.0,V. Oladipo makes 2-pt layup at rim,,8,8
58,1,5:27.0,,K. Kuzma misses 2-pt jump shot from 16 ft,8,8
59,1,5:24.0,Defensive rebound by D. Collison,,8,8
60,1,5:18.0,D. Collison misses 2-pt jump shot from 16 ft,,8,8
61,1,5:15.0,Offensive rebound by D. Sabonis,,8,8
62,1,5:02.0,D. Collison misses 3-pt jump shot from 26 ft,,8,8
63,1,4:58.0,Offensive rebound by T. Young,,8,8
64,1,4:52.0,T. Young makes 2-pt layup from 1 ft,,10,8
65,1,4:52.0,,Violation by J. Randle (def goaltending),10,8
66,1,4:41.0,,J. Randle misses 2-pt jump shot from 2 ft,10,8
67,1,4:39.0,Defensive rebound by D. Sabonis,,10,8
68,1,4:38.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,13,8
69,1,4:38.0,,LA Lakers full timeout,13,8
70,1,4:38.0,,J. Clarkson enters the game for C. Brewer,13,8
71,1,4:38.0,,L. Nance enters the game for J. Randle,13,8
72,1,4:38.0,C. Joseph enters the game for B. Bogdanović,,13,8
73,1,4:29.0,,J. Clarkson makes 2-pt layup from 2 ft (assist by T. Ennis),13,10
74,1,4:04.0,D. Collison makes 2-pt jump shot from 21 ft,,15,10
75,1,3:45.0,,L. Nance makes 2-pt jump shot from 16 ft (assist by T. Ennis),15,12
76,1,3:37.0,V. Oladipo makes 3-pt jump shot from 25 ft,,18,12
77,1,3:23.0,,K. Kuzma misses 3-pt jump shot from 25 ft,18,12
78,1,3:21.0,Defensive rebound by D. Sabonis,,18,12
79,1,3:16.0,Shooting foul by T. Ennis (drawn by D. Sabonis),,18,12
80,1,3:16.0,D. Sabonis misses free throw 1 of 2,,18,12
81,1,3:16.0,Offensive rebound by Team,,18,12
82,1,3:16.0,,B. Lopez enters the game for K. Kuzma,18,12
83,1,3:16.0,,A. Caruso enters the game for T. Ennis,18,12
84,1,3:16.0,L. Stephenson enters the game for D. Collison,,18,12
85,1,3:16.0,D. Sabonis makes free throw 2 of 2,,19,12
86,1,3:07.0,,Turnover by J. Clarkson (out of bounds lost ball),19,12
87,1,3:07.0,A. Jefferson enters the game for D. Sabonis,,19,12
88,1,3:07.0,T. Leaf enters the game for T. Young,,19,12
89,1,2:45.0,L. Stephenson misses 2-pt jump shot from 2 ft,,19,12
90,1,2:43.0,,Defensive rebound by L. Nance,19,12
91,1,2:33.0,,Shooting foul by A. Jefferson (drawn by L. Nance),19,12
92,1,2:33.0,,L. Nance misses free throw 1 of 2,19,12
93,1,2:33.0,,Offensive rebound by Team,19,12
94,1,2:33.0,,C. Brewer enters the game for J. Hart,19,12
95,1,2:33.0,,L. Nance misses free throw 2 of 2,19,12
96,1,2:30.0,Defensive rebound by A. Jefferson,,19,12
97,1,2:09.0,C. Joseph makes 2-pt layup from 1 ft,,21,12
98,1,1:57.0,,A. Caruso misses 3-pt jump shot from 25 ft,21,12
99,1,1:52.0,,Offensive rebound by L. Nance,21,12
100,1,1:48.0,,J. Clarkson misses 2-pt jump shot from 3 ft,21,12
101,1,1:46.0,Defensive rebound by A. Jefferson,,21,12
102,1,1:38.0,L. Stephenson misses 2-pt layup from 2 ft (block by L. Nance),,21,12
103,1,1:35.0,,Defensive rebound by A. Caruso,21,12
104,1,1:35.0,,J. Clarkson makes 2-pt layup from 2 ft,21,14
105,1,1:35.0,,Shooting foul by V. Oladipo (drawn by J. Clarkson),21,14
106,1,1:35.0,J. Young enters the game for V. Oladipo,,21,14
107,1,1:35.0,,J. Clarkson misses free throw 1 of 1,21,14
108,1,1:32.0,Defensive rebound by A. Jefferson,,21,14
109,1,1:15.0,A. Jefferson makes 2-pt layup from 2 ft,,23,14
110,1,0:59.0,,B. Lopez makes 2-pt hook shot from 10 ft,23,16
111,1,0:40.0,C. Joseph makes 2-pt jump shot from 9 ft (assist by A. Jefferson),,25,16
112,1,0:23.0,,J. Clarkson misses 3-pt jump shot from 26 ft,25,16
113,1,0:18.0,,Offensive rebound by C. Brewer,25,16
114,1,0:02.0,,J. Clarkson makes 2-pt hook shot from 2 ft,25,18
115,1,0:00.0,L. Stephenson misses 3-pt jump shot from 34 ft,,25,18
116,1,0:00.0,Offensive rebound by Team,,25,18
117,2,11:44.0,L. Stephenson misses 2-pt layup from 2 ft,,25,18
118,2,11:42.0,,Defensive rebound by L. Nance,25,18
119,2,11:38.0,,L. Nance makes 2-pt dunk from 1 ft (assist by A. Caruso),25,20
120,2,11:15.0,Personal foul by C. Brewer (drawn by T. Leaf),,25,20
121,2,11:00.0,T. Leaf misses 3-pt jump shot from 25 ft,,25,20
122,2,10:57.0,,Defensive rebound by C. Brewer,25,20
123,2,10:53.0,,L. Nance makes 2-pt dunk at rim (assist by J. Clarkson),25,22
124,2,10:33.0,L. Stephenson misses 2-pt jump shot from 15 ft,,25,22
125,2,10:30.0,,Defensive rebound by B. Lopez,25,22
126,2,10:18.0,,B. Lopez misses 3-pt jump shot from 26 ft,25,22
127,2,10:15.0,Defensive rebound by L. Stephenson,,25,22
128,2,10:08.0,L. Stephenson misses 2-pt jump shot from 17 ft,,25,22
129,2,10:06.0,,Defensive rebound by J. Clarkson,25,22
130,2,9:56.0,,J. Clarkson misses 2-pt jump shot from 8 ft,25,22
131,2,9:51.0,Defensive rebound by A. Jefferson,,25,22
132,2,9:49.0,C. Joseph makes 2-pt layup from 2 ft,,27,22
133,2,9:42.0,,J. Clarkson makes 2-pt layup from 1 ft,27,24
134,2,9:23.0,J. Young misses 2-pt layup from 2 ft,,27,24
135,2,9:21.0,,Defensive rebound by B. Lopez,27,24
136,2,9:16.0,D. Sabonis enters the game for A. Jefferson,,27,24
137,2,9:03.0,,B. Lopez misses 3-pt jump shot from 26 ft,27,24
138,2,9:02.0,Defensive rebound by L. Stephenson,,27,24
139,2,8:49.0,Turnover by J. Young (bad pass; steal by A. Caruso),,27,24
140,2,8:46.0,,J. Clarkson makes 2-pt layup from 1 ft (assist by A. Caruso),27,26
141,2,8:38.0,Indiana full timeout,,27,26
142,2,8:38.0,T. Young enters the game for L. Stephenson,,27,26
143,2,8:38.0,D. Collison enters the game for J. Young,,27,26
144,2,8:38.0,B. Bogdanović enters the game for T. Leaf,,27,26
145,2,8:20.0,T. Young misses 3-pt jump shot from 24 ft,,27,26
146,2,8:16.0,,Defensive rebound by C. Brewer,27,26
147,2,7:55.0,,C. Brewer makes 2-pt hook shot from 4 ft,27,28
