,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
0,1,11:45.0,L. Markkanen misses 2-pt jump shot from 11 ft,,0,0
1,1,11:38.0,,Defensive rebound by O. Casspi,0,0
2,1,11:28.0,,J. Bell makes 2-pt layup from 1 ft (assist by S. Curry),0,2
3,1,11:19.0,Turnover by K. Dunn (bad pass; steal by S. Curry),,0,2
4,1,11:13.0,,Turnover by K. Thompson (bad pass),0,2
5,1,10:59.0,Personal foul by J. Bell (drawn by L. Markkanen),,0,2
6,1,10:54.0,L. Markkanen misses 3-pt jump shot from 26 ft,,0,2
7,1,10:49.0,,Defensive rebound by O. Casspi,0,2
8,1,10:35.0,,S. Curry makes 2-pt layup from 2 ft (assist by Z. Pachulia),0,4
9,1,10:15.0,K. Dunn makes 2-pt hook shot from 9 ft (assist by J. Holiday),,2,4
10,1,10:01.0,,K. Thompson makes 2-pt jump shot from 20 ft (assist by O. Casspi),2,6
11,1,9:46.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by D. Valentine),,5,6
12,1,9:24.0,,O. Casspi misses 2-pt layup from 2 ft,5,6
13,1,9:16.0,,Offensive rebound by Z. Pachulia,5,6
14,1,9:16.0,,Z. Pachulia makes 2-pt layup at rim,5,8
15,1,9:11.0,Turnover by L. Markkanen (bad pass; steal by Z. Pachulia),,5,8
16,1,9:07.0,,J. Bell makes 2-pt dunk from 1 ft (assist by Z. Pachulia),5,10
17,1,9:07.0,Chicago full timeout,,5,10
18,1,8:58.0,L. Markkanen misses 2-pt layup from 3 ft,,5,10
19,1,8:51.0,Offensive rebound by R. Lopez,,5,10
20,1,8:51.0,R. Lopez makes 2-pt layup at rim,,7,10
21,1,8:43.0,,Z. Pachulia makes 2-pt jump shot from 18 ft,7,12
22,1,8:27.0,D. Valentine makes 3-pt jump shot from 22 ft (assist by J. Holiday),,10,12
23,1,8:14.0,,Turnover by S. Curry (bad pass; steal by L. Markkanen),10,12
24,1,8:08.0,D. Valentine misses 3-pt jump shot from 26 ft,,10,12
25,1,8:02.0,,Defensive rebound by S. Curry,10,12
26,1,7:58.0,,K. Thompson makes 2-pt jump shot from 19 ft (assist by J. Bell),10,14
27,1,7:44.0,R. Lopez misses 2-pt jump shot from 11 ft,,10,14
28,1,7:41.0,,Defensive rebound by S. Curry,10,14
29,1,7:38.0,,S. Curry misses 3-pt jump shot from 25 ft,10,14
30,1,7:36.0,Defensive rebound by Team,,10,14
31,1,7:26.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by R. Lopez),,13,14
32,1,7:09.0,,Turnover by K. Thompson (bad pass; steal by J. Holiday),13,14
33,1,7:01.0,D. Valentine makes 2-pt jump shot from 5 ft,,15,14
34,1,6:46.0,,O. Casspi misses 2-pt hook shot from 3 ft,15,14
35,1,6:43.0,Defensive rebound by R. Lopez,,15,14
36,1,6:41.0,K. Dunn misses 2-pt layup from 2 ft (block by J. Bell),,15,14
37,1,6:41.0,Offensive rebound by Team,,15,14
38,1,6:39.0,Shooting foul by S. Curry (drawn by J. Holiday),,15,14
39,1,6:39.0,J. Holiday misses free throw 1 of 2,,15,14
40,1,6:39.0,Offensive rebound by Team,,15,14
41,1,6:39.0,J. Holiday makes free throw 2 of 2,,16,14
42,1,6:26.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),16,17
43,1,6:14.0,Shooting foul by S. Curry (drawn by K. Dunn),,16,17
44,1,6:14.0,K. Dunn makes free throw 2 of 2,,17,17
45,1,6:14.0,K. Dunn makes free throw 1 of 2,,18,17
46,1,6:14.0,,Q. Cook enters the game for S. Curry,18,17
47,1,5:55.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by O. Casspi),18,19
48,1,5:55.0,,Shooting foul by L. Markkanen (drawn by Z. Pachulia),18,19
49,1,5:55.0,,Z. Pachulia makes free throw 1 of 1,18,20
50,1,5:33.0,Turnover by K. Dunn (bad pass; steal by J. Bell),,18,20
51,1,5:21.0,,K. Thompson misses 3-pt jump shot from 26 ft,18,20
52,1,5:17.0,Defensive rebound by L. Markkanen,,18,20
53,1,5:11.0,D. Valentine makes 3-pt jump shot from 29 ft,,21,20
54,1,4:59.0,,Golden State full timeout,21,20
55,1,4:59.0,,A. Iguodala enters the game for O. Casspi,21,20
56,1,4:59.0,,J. McGee enters the game for Z. Pachulia,21,20
57,1,4:45.0,,K. Thompson makes 2-pt layup from 2 ft,21,22
58,1,4:34.0,Personal foul by A. Iguodala (drawn by L. Markkanen),,21,22
59,1,4:34.0,J. Grant enters the game for K. Dunn,,21,22
60,1,4:29.0,D. Valentine makes 2-pt jump shot from 12 ft (assist by J. Grant),,23,22
61,1,4:18.0,Offensive charge foul by J. Bell (drawn by J. Holiday),,23,22
62,1,4:18.0,,Turnover by J. Bell (offensive foul),23,22
63,1,4:05.0,L. Markkanen misses 3-pt jump shot from 25 ft,,23,22
64,1,4:01.0,,Defensive rebound by Q. Cook,23,22
65,1,3:55.0,,K. Thompson misses 2-pt layup from 2 ft,23,22
66,1,3:49.0,Defensive rebound by R. Lopez,,23,22
67,1,3:43.0,R. Lopez misses 2-pt hook shot from 5 ft (block by J. Bell),,23,22
68,1,3:41.0,Offensive rebound by J. Grant,,23,22
69,1,3:41.0,Personal foul by J. Bell (drawn by J. Holiday),,23,22
70,1,3:41.0,J. Holiday misses free throw 1 of 2,,23,22
71,1,3:41.0,Offensive rebound by Team,,23,22
72,1,3:41.0,,O. Casspi enters the game for J. Bell,23,22
73,1,3:41.0,B. Portis enters the game for L. Markkanen,,23,22
74,1,3:41.0,J. Holiday makes free throw 2 of 2,,24,22
75,1,3:23.0,,Q. Cook misses 3-pt jump shot from 22 ft,24,22
76,1,3:19.0,Defensive rebound by B. Portis,,24,22
77,1,3:14.0,D. Valentine misses 2-pt jump shot from 18 ft,,24,22
78,1,3:08.0,,Defensive rebound by K. Thompson,24,22
79,1,3:06.0,,Personal foul by D. Valentine (drawn by J. McGee),24,22
80,1,3:06.0,A. Blakeney enters the game for J. Holiday,,24,22
81,1,2:56.0,,J. McGee misses 2-pt jump shot from 14 ft,24,22
82,1,2:53.0,Defensive rebound by B. Portis,,24,22
83,1,2:45.0,A. Blakeney makes 2-pt jump shot from 15 ft,,26,22
84,1,2:22.0,,K. Thompson makes 3-pt jump shot from 28 ft (assist by Q. Cook),26,25
85,1,2:02.0,Turnover by J. Grant (bad pass; steal by O. Casspi),,26,25
86,1,1:57.0,,Q. Cook makes 2-pt layup from 2 ft (assist by O. Casspi),26,27
87,1,1:39.0,B. Portis makes 2-pt layup from 3 ft (assist by D. Valentine),,28,27
88,1,1:39.0,,Violation by J. McGee (def goaltending),28,27
89,1,1:22.0,,J. McGee misses 2-pt jump shot from 14 ft,28,27
90,1,1:19.0,Defensive rebound by B. Portis,,28,27
91,1,1:04.0,R. Lopez misses 2-pt jump shot from 12 ft,,28,27
92,1,1:02.0,,Defensive rebound by A. Iguodala,28,27
93,1,0:55.0,,O. Casspi misses 3-pt jump shot from 26 ft,28,27
94,1,0:53.0,Defensive rebound by D. Valentine,,28,27
95,1,0:40.0,A. Blakeney misses 2-pt jump shot from 7 ft (block by K. Thompson),,28,27
96,1,0:39.0,Offensive rebound by R. Lopez,,28,27
97,1,0:37.0,R. Lopez makes 2-pt hook shot from 8 ft,,30,27
98,1,0:27.0,,J. McGee makes 2-pt hook shot from 6 ft (assist by Q. Cook),30,29
99,1,0:24.0,J. Grant makes 2-pt layup from 1 ft,,32,29
100,1,0:04.0,,A. Iguodala misses 2-pt jump shot from 11 ft,32,29
101,1,0:01.0,Defensive rebound by R. Lopez,,32,29
102,2,11:41.0,,K. Looney makes 2-pt dunk from 1 ft (assist by S. Curry),32,31
103,2,11:41.0,,Shooting foul by K. Dunn (drawn by K. Looney),32,31
104,2,11:41.0,,K. Looney makes free throw 1 of 1,32,32
105,2,11:33.0,A. Blakeney misses 2-pt jump shot from 18 ft,,32,32
106,2,11:30.0,,Defensive rebound by D. West,32,32
107,2,11:23.0,,Shooting foul by A. Blakeney (drawn by S. Curry),32,32
108,2,11:23.0,,S. Curry makes free throw 1 of 3,32,33
109,2,11:23.0,,S. Curry makes free throw 2 of 3,32,34
110,2,11:23.0,,S. Curry makes free throw 3 of 3,32,35
111,2,11:07.0,Turnover by C. Felício (bad pass; steal by A. Iguodala),,32,35
112,2,10:47.0,,S. Curry makes 2-pt jump shot from 16 ft,32,37
113,2,10:47.0,Chicago full timeout,,32,37
114,2,10:38.0,B. Portis makes 3-pt jump shot from 25 ft (assist by K. Dunn),,35,37
115,2,10:16.0,,Turnover by A. Iguodala (bad pass; steal by B. Portis),35,37
116,2,10:10.0,J. Grant makes 3-pt jump shot from 22 ft (assist by A. Blakeney),,38,37
117,2,9:59.0,,A. Iguodala makes 2-pt dunk from 3 ft (assist by D. West),38,39
118,2,9:59.0,,Shooting foul by J. Grant (drawn by A. Iguodala),38,39
119,2,9:59.0,,A. Iguodala makes free throw 1 of 1,38,40
120,2,9:48.0,A. Blakeney makes 2-pt jump shot from 10 ft (assist by C. Felício),,40,40
121,2,9:33.0,,S. Livingston misses 2-pt jump shot from 7 ft,40,40
122,2,9:29.0,Defensive rebound by Team,,40,40
123,2,9:28.0,Personal foul by D. West (drawn by J. Grant),,40,40
124,2,9:22.0,B. Portis misses 2-pt layup from 3 ft,,40,40
125,2,9:22.0,,Defensive rebound by Team,40,40
126,2,9:22.0,Loose ball foul by C. Felício (drawn by D. West),,40,40
127,2,9:02.0,,A. Iguodala makes 2-pt jump shot from 13 ft,40,42
128,2,8:46.0,B. Portis misses 3-pt jump shot from 24 ft,,40,42
129,2,8:43.0,,Defensive rebound by S. Curry,40,42
130,2,8:38.0,,D. West makes 2-pt jump shot from 19 ft (assist by S. Curry),40,44
131,2,8:25.0,Turnover by A. Blakeney (step out of bounds),,40,44
132,2,8:16.0,,S. Curry misses 3-pt jump shot from 30 ft,40,44
133,2,8:13.0,Defensive rebound by B. Portis,,40,44
134,2,8:10.0,J. Grant makes 2-pt layup from 2 ft,,42,44
135,2,8:10.0,Shooting foul by K. Looney (drawn by J. Grant),,42,44
136,2,8:10.0,L. Markkanen enters the game for C. Felício,,42,44
137,2,8:10.0,J. Grant makes free throw 1 of 1,,43,44
138,2,7:55.0,,Turnover by S. Livingston (lost ball; steal by A. Blakeney),43,44
139,2,7:51.0,A. Blakeney misses 2-pt layup from 4 ft (block by D. West),,43,44
140,2,7:50.0,Offensive rebound by Team,,43,44
141,2,7:34.0,K. Dunn misses 2-pt jump shot from 17 ft,,43,44
142,2,7:30.0,,Defensive rebound by K. Looney,43,44
143,2,7:25.0,,S. Curry makes 2-pt layup from 1 ft (assist by A. Iguodala),43,46
144,2,7:10.0,J. Holiday enters the game for A. Blakeney,,43,46
145,2,7:07.0,J. Holiday misses 3-pt jump shot from 25 ft,,43,46
146,2,7:02.0,,Defensive rebound by D. West,43,46
147,2,6:54.0,,S. Curry makes 3-pt jump shot from 22 ft (assist by S. Livingston),43,49
148,2,6:41.0,L. Markkanen misses 2-pt jump shot from 13 ft,,43,49
149,2,6:36.0,,Defensive rebound by S. Curry,43,49
150,2,6:31.0,,S. Curry makes 3-pt jump shot from 28 ft,43,52
151,2,6:31.0,Chicago full timeout,,43,52
152,2,6:31.0,R. Lopez enters the game for J. Grant,,43,52
153,2,6:31.0,D. Valentine enters the game for B. Portis,,43,52
154,2,6:16.0,L. Markkanen misses 2-pt jump shot from 10 ft,,43,52
155,2,6:11.0,Offensive rebound by D. Valentine,,43,52
156,2,6:04.0,D. Valentine misses 3-pt jump shot from 22 ft,,43,52
157,2,6:01.0,,Defensive rebound by K. Looney,43,52
158,2,5:56.0,,S. Curry misses 3-pt jump shot from 26 ft,43,52
159,2,5:50.0,Defensive rebound by D. Valentine,,43,52
160,2,5:32.0,K. Dunn misses 2-pt jump shot from 12 ft,,43,52
161,2,5:28.0,,Defensive rebound by D. West,43,52
162,2,5:17.0,,K. Looney makes 2-pt dunk from 1 ft (assist by S. Livingston),43,54
163,2,5:09.0,Turnover by K. Dunn (bad pass),,43,54
164,2,4:57.0,,S. Livingston misses 2-pt layup from 1 ft (block by L. Markkanen),43,54
165,2,4:51.0,Defensive rebound by L. Markkanen,,43,54
166,2,4:49.0,Turnover by J. Holiday (bad pass; steal by S. Curry),,43,54
167,2,4:48.0,,Shooting foul by D. Valentine (drawn by S. Curry),43,54
168,2,4:48.0,,S. Curry makes free throw 1 of 2,43,55
169,2,4:48.0,,Z. Pachulia enters the game for D. West,43,55
170,2,4:48.0,,N. Young enters the game for A. Iguodala,43,55
171,2,4:48.0,J. Grant enters the game for K. Dunn,,43,55
172,2,4:48.0,,S. Curry makes free throw 2 of 2,43,56
173,2,4:40.0,L. Markkanen misses 3-pt jump shot from 25 ft,,43,56
174,2,4:35.0,,Defensive rebound by N. Young,43,56
175,2,4:28.0,,N. Young misses 2-pt jump shot from 19 ft,43,56
176,2,4:25.0,,Offensive rebound by K. Looney,43,56
177,2,4:23.0,,K. Looney misses 2-pt hook shot from 6 ft,43,56
178,2,4:19.0,Defensive rebound by L. Markkanen,,43,56
179,2,4:17.0,,Offensive charge foul by D. Valentine (drawn by N. Young),43,56
180,2,4:17.0,Turnover by D. Valentine (offensive foul),,43,56
181,2,4:17.0,,J. Bell enters the game for K. Looney,43,56
182,2,4:17.0,,K. Thompson enters the game for S. Livingston,43,56
183,2,4:17.0,P. Zipser enters the game for D. Valentine,,43,56
184,2,4:01.0,,S. Curry makes 2-pt layup from 1 ft,43,58
185,2,3:44.0,J. Holiday makes 3-pt jump shot from 25 ft (assist by R. Lopez),,46,58
186,2,3:34.0,,Personal foul by J. Grant (drawn by S. Curry),46,58
187,2,3:34.0,,Golden State full timeout,46,58
188,2,3:34.0,K. Dunn enters the game for J. Grant,,46,58
189,2,3:34.0,,S. Curry makes free throw 1 of 2,46,59
190,2,3:34.0,,S. Curry makes free throw 2 of 2,46,60
191,2,3:24.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),,49,60
