,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DETROIT_ACTION,MILWAUKEE_SCORE,DETROIT_SCORE
0,1,12:00.0,,Loose ball foul by A. Drummond (drawn by J. Henson),0,0
1,1,11:46.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Harris),,0,0
2,1,11:34.0,,S. Johnson misses 3-pt jump shot from 27 ft,0,0
3,1,11:29.0,Defensive rebound by J. Henson,,0,0
4,1,11:13.0,K. Middleton misses 3-pt jump shot from 25 ft,,0,0
5,1,11:10.0,,Defensive rebound by R. Jackson,0,0
6,1,10:52.0,,R. Jackson misses 3-pt jump shot from 28 ft,0,0
7,1,10:47.0,Defensive rebound by J. Henson,,0,0
8,1,10:40.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by M. Brogdon),,2,0
9,1,10:23.0,,Turnover by A. Bradley (bad pass),2,0
10,1,10:12.0,T. Snell makes 2-pt layup at rim (assist by K. Middleton),,4,0
11,1,9:48.0,,T. Harris misses 2-pt jump shot from 10 ft,4,0
12,1,9:48.0,Defensive rebound by J. Henson,,4,0
13,1,9:34.0,J. Henson makes 2-pt hook shot from 5 ft (assist by M. Brogdon),,6,0
14,1,9:20.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by R. Jackson),6,3
15,1,9:02.0,G. Antetokounmpo makes 2-pt jump shot from 8 ft (assist by M. Brogdon),,8,3
16,1,8:40.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by S. Johnson),8,6
17,1,8:27.0,M. Brogdon makes 3-pt jump shot from 26 ft,,11,6
18,1,8:06.0,,A. Bradley misses 3-pt jump shot from 22 ft,11,6
19,1,8:04.0,Defensive rebound by T. Snell,,11,6
20,1,7:53.0,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,13,6
21,1,7:45.0,,Detroit full timeout,13,6
22,1,7:38.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by R. Jackson),13,9
23,1,7:13.0,M. Brogdon misses 3-pt jump shot from 26 ft,,13,9
24,1,7:10.0,Offensive rebound by G. Antetokounmpo,,13,9
25,1,7:08.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,15,9
26,1,6:44.0,,T. Harris misses 2-pt layup from 1 ft (block by T. Snell),15,9
27,1,6:42.0,Defensive rebound by T. Snell,,15,9
28,1,6:42.0,Personal foul by A. Drummond (drawn by G. Antetokounmpo),,15,9
29,1,6:42.0,,E. Moreland enters the game for A. Drummond,15,9
30,1,6:42.0,D. Liggins enters the game for T. Snell,,15,9
31,1,6:30.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by K. Middleton),,18,9
32,1,6:07.0,,Shooting foul by D. Liggins (drawn by A. Bradley),18,9
33,1,6:07.0,,A. Bradley makes free throw 1 of 3,18,10
34,1,6:07.0,,A. Bradley makes free throw 2 of 3,18,11
35,1,6:07.0,,A. Bradley makes free throw 3 of 3,18,12
36,1,5:56.0,G. Antetokounmpo makes 2-pt jump shot from 18 ft (assist by M. Brogdon),,20,12
37,1,5:37.0,,Turnover by A. Bradley (bad pass),20,12
38,1,5:25.0,G. Antetokounmpo misses 2-pt jump shot from 11 ft,,20,12
39,1,5:22.0,,Defensive rebound by T. Harris,20,12
40,1,5:02.0,,T. Harris makes 2-pt layup from 1 ft,20,14
41,1,4:49.0,G. Antetokounmpo misses 2-pt jump shot from 12 ft,,20,14
42,1,4:46.0,,Defensive rebound by E. Moreland,20,14
43,1,4:43.0,,Turnover by R. Jackson (bad pass),20,14
44,1,4:23.0,K. Middleton misses 2-pt jump shot from 20 ft,,20,14
45,1,4:20.0,,Defensive rebound by S. Johnson,20,14
46,1,4:11.0,,R. Jackson makes 2-pt layup from 6 ft,20,16
47,1,4:01.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by J. Henson),,22,16
48,1,3:46.0,,S. Johnson misses 3-pt jump shot from 23 ft (block by G. Antetokounmpo),22,16
49,1,3:41.0,Defensive rebound by J. Henson,,22,16
50,1,3:38.0,T. Maker enters the game for M. Brogdon,,22,16
51,1,3:38.0,M. Dellavedova enters the game for J. Henson,,22,16
52,1,3:32.0,K. Middleton misses 2-pt layup from 8 ft,,22,16
53,1,3:31.0,,Defensive rebound by E. Moreland,22,16
