,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
0,1,11:41.0,,R. Jackson misses 2-pt jump shot from 7 ft,0,0
1,1,11:40.0,,Offensive rebound by R. Jackson,0,0
2,1,11:38.0,,Shooting foul by D. Dedmon (drawn by A. Drummond),0,0
3,1,11:38.0,,A. Drummond makes free throw 1 of 2,0,1
4,1,11:38.0,,A. Drummond misses free throw 2 of 2,0,1
5,1,11:36.0,Defensive rebound by D. Dedmon,,0,1
6,1,11:20.0,K. Bazemore makes 2-pt layup from 2 ft (assist by L. Babbitt),,2,1
7,1,11:20.0,Shooting foul by A. Drummond (drawn by K. Bazemore),,2,1
8,1,11:20.0,K. Bazemore makes free throw 1 of 1,,3,1
9,1,11:05.0,,A. Bradley makes 2-pt jump shot from 7 ft (assist by A. Drummond),3,3
10,1,10:49.0,D. Schröder makes 2-pt layup from 3 ft,,5,3
11,1,10:32.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Drummond),5,6
12,1,10:19.0,Turnover by K. Bazemore (bad pass),,5,6
13,1,10:05.0,,Turnover by A. Bradley (bad pass; steal by D. Dedmon),5,6
14,1,9:56.0,T. Prince makes 2-pt layup from 7 ft,,7,6
15,1,9:43.0,,R. Bullock misses 3-pt jump shot from 23 ft,7,6
16,1,9:41.0,Defensive rebound by D. Dedmon,,7,6
17,1,9:24.0,Personal foul by R. Jackson (drawn by T. Prince),,7,6
18,1,9:17.0,K. Bazemore misses 2-pt jump shot from 12 ft,,7,6
19,1,9:13.0,Offensive rebound by T. Prince,,7,6
20,1,8:59.0,K. Bazemore misses 3-pt jump shot from 23 ft,,7,6
21,1,8:55.0,Offensive rebound by L. Babbitt,,7,6
22,1,8:53.0,D. Schröder misses 3-pt jump shot from 25 ft,,7,6
23,1,8:51.0,,Defensive rebound by R. Jackson,7,6
24,1,8:40.0,,Shooting foul by L. Babbitt (drawn by A. Drummond),7,6
25,1,8:40.0,,A. Drummond makes free throw 1 of 2,7,7
26,1,8:40.0,,A. Drummond misses free throw 2 of 2,7,7
27,1,8:38.0,Defensive rebound by D. Dedmon,,7,7
28,1,8:27.0,Personal foul by A. Bradley (drawn by D. Schröder),,7,7
