,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
0,1,11:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,0,0
1,1,11:44.0,Defensive rebound by J. Tatum,,0,0
2,1,11:35.0,K. Irving misses 3-pt jump shot from 23 ft,,0,0
3,1,11:35.0,,Defensive rebound by K. Caldwell-Pope,0,0
4,1,11:18.0,,B. Ingram makes 2-pt jump shot from 17 ft (assist by T. Ennis),0,2
5,1,10:57.0,J. Brown misses 2-pt jump shot from 20 ft,,0,2
6,1,10:54.0,,Defensive rebound by T. Ennis,0,2
7,1,10:47.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,0,2
8,1,10:44.0,Defensive rebound by J. Brown,,0,2
9,1,10:30.0,Personal foul by T. Ennis (drawn by K. Irving),,0,2
10,1,10:21.0,J. Brown makes 2-pt dunk from 3 ft (assist by K. Irving),,2,2
11,1,10:05.0,,B. Lopez misses 3-pt jump shot from 27 ft,2,2
12,1,10:04.0,,Offensive rebound by Team,2,2
13,1,10:04.0,Loose ball foul by J. Tatum (drawn by J. Randle),,2,2
14,1,9:54.0,,B. Lopez misses 3-pt jump shot from 25 ft,2,2
15,1,9:51.0,Defensive rebound by J. Tatum,,2,2
16,1,9:41.0,J. Brown misses 2-pt jump shot from 14 ft,,2,2
17,1,9:38.0,,Defensive rebound by J. Randle,2,2
18,1,9:31.0,,J. Randle misses 2-pt layup from 2 ft (block by A. Horford),2,2
19,1,9:28.0,Defensive rebound by A. Horford,,2,2
20,1,9:21.0,K. Irving makes 2-pt jump shot from 5 ft,,4,2
21,1,9:05.0,,B. Lopez makes 2-pt hook shot from 5 ft,4,4
22,1,8:46.0,Personal foul by T. Ennis (drawn by K. Irving),,4,4
23,1,8:36.0,K. Irving misses 3-pt jump shot from 17 ft,,4,4
24,1,8:33.0,,Defensive rebound by B. Ingram,4,4
25,1,8:20.0,,B. Lopez makes 2-pt layup from 1 ft (assist by B. Ingram),4,6
26,1,8:06.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Brown),,7,6
27,1,7:52.0,,Personal foul by A. Baynes (drawn by B. Lopez),7,6
28,1,7:41.0,,B. Lopez misses 3-pt jump shot from 27 ft,7,6
29,1,7:39.0,Defensive rebound by A. Horford,,7,6
30,1,7:37.0,Personal foul by B. Lopez (drawn by A. Baynes),,7,6
31,1,7:27.0,A. Baynes misses 2-pt hook shot from 4 ft,,7,6
32,1,7:23.0,,Defensive rebound by J. Randle,7,6
33,1,7:17.0,,Turnover by B. Ingram (bad pass),7,6
34,1,7:04.0,K. Irving misses 3-pt jump shot from 27 ft,,7,6
35,1,7:02.0,,Defensive rebound by B. Ingram,7,6
36,1,6:58.0,,B. Ingram misses 3-pt jump shot from 26 ft,7,6
37,1,6:56.0,Defensive rebound by A. Horford,,7,6
38,1,6:47.0,J. Brown makes 3-pt jump shot from 26 ft (assist by A. Horford),,10,6
39,1,6:38.0,,T. Ennis misses 2-pt layup from 3 ft (block by A. Baynes),10,6
40,1,6:38.0,,Offensive rebound by Team,10,6
41,1,6:38.0,,LA Lakers full timeout,10,6
42,1,6:38.0,,J. Clarkson enters the game for K. Caldwell-Pope,10,6
43,1,6:38.0,,A. Caruso enters the game for T. Ennis,10,6
44,1,6:32.0,,B. Ingram misses 2-pt jump shot from 14 ft,10,6
45,1,6:30.0,Defensive rebound by A. Baynes,,10,6
46,1,6:26.0,J. Tatum misses 2-pt layup from 2 ft,,10,6
47,1,6:22.0,,Defensive rebound by J. Randle,10,6
48,1,6:11.0,,Shooting foul by A. Horford (drawn by B. Lopez),10,6
49,1,6:11.0,,B. Lopez misses free throw 1 of 2,10,6
50,1,6:11.0,,Offensive rebound by Team,10,6
51,1,6:11.0,,B. Lopez makes free throw 2 of 2,10,7
52,1,5:55.0,Turnover by A. Baynes (out of bounds lost ball),,10,7
53,1,5:36.0,,Shooting foul by J. Tatum (drawn by B. Ingram),10,7
54,1,5:36.0,,B. Ingram misses free throw 1 of 2,10,7
55,1,5:36.0,,Offensive rebound by Team,10,7
56,1,5:36.0,,K. Kuzma enters the game for B. Lopez,10,7
57,1,5:36.0,M. Morris enters the game for J. Tatum,,10,7
58,1,5:36.0,M. Smart enters the game for A. Baynes,,10,7
59,1,5:36.0,,B. Ingram makes free throw 2 of 2,10,8
60,1,5:19.0,M. Morris misses 2-pt jump shot from 14 ft,,10,8
61,1,5:16.0,,Defensive rebound by B. Ingram,10,8
62,1,4:57.0,,K. Kuzma misses 3-pt jump shot from 26 ft,10,8
63,1,4:57.0,,Offensive rebound by J. Randle,10,8
64,1,4:39.0,,Turnover by J. Clarkson (lost ball; steal by J. Brown),10,8
65,1,4:29.0,M. Morris makes 2-pt jump shot from 10 ft,,12,8
66,1,4:15.0,,A. Caruso misses 2-pt jump shot from 16 ft,12,8
67,1,4:11.0,Defensive rebound by K. Irving,,12,8
