,QUARTER,TIME_REMAINING,DENVER_ACTION,PORTLAND_ACTION,DENVER_SCORE,PORTLAND_SCORE
0,1,11:46.0,,J. Nurkić misses 2-pt layup from 2 ft,0,0
1,1,11:43.0,,Offensive rebound by J. Nurkić,0,0
2,1,11:42.0,,Turnover by J. Nurkić (bad pass; steal by W. Barton),0,0
3,1,11:25.0,N. Jokić misses 2-pt hook shot from 5 ft,,0,0
4,1,11:23.0,,Defensive rebound by D. Lillard,0,0
5,1,11:13.0,,Turnover by J. Nurkić (bad pass; steal by W. Chandler),0,0
6,1,11:07.0,W. Barton makes 3-pt jump shot from 22 ft (assist by W. Chandler),,3,0
7,1,10:46.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by C. Swanigan),3,3
8,1,10:26.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,5,3
9,1,10:11.0,,D. Lillard misses 3-pt jump shot from 24 ft,5,3
10,1,10:07.0,Defensive rebound by N. Jokić,,5,3
11,1,10:02.0,W. Barton misses 2-pt layup at rim (block by C. Swanigan),,5,3
12,1,10:02.0,Offensive rebound by Team,,5,3
13,1,9:53.0,W. Chandler makes 2-pt jump shot from 20 ft,,7,3
14,1,9:33.0,,C. Swanigan makes 2-pt layup at rim (assist by J. Nurkić),7,5
15,1,9:14.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by W. Chandler),,10,5
16,1,9:02.0,,Turnover by D. Lillard (bad pass; steal by N. Jokić),10,5
17,1,8:59.0,W. Barton makes 2-pt layup at rim (assist by N. Jokić),,12,5
18,1,8:36.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by D. Lillard),12,7
19,1,8:15.0,P. Millsap misses 2-pt jump shot from 3 ft,,12,7
20,1,8:13.0,,Defensive rebound by M. Harkless,12,7
21,1,8:07.0,,Shooting foul by N. Jokić (drawn by J. Nurkić),12,7
22,1,8:07.0,,J. Nurkić makes free throw 1 of 2,12,8
23,1,8:07.0,,J. Nurkić makes free throw 2 of 2,12,9
24,1,7:56.0,Turnover by J. Murray (bad pass; steal by C. McCollum),,12,9
25,1,7:52.0,,C. McCollum makes 2-pt layup at rim,12,11
26,1,7:34.0,J. Murray makes 2-pt jump shot from 21 ft,,14,11
27,1,7:16.0,,Turnover by C. Swanigan (turnover; steal by P. Millsap),14,11
28,1,7:07.0,Turnover by N. Jokić (bad pass; steal by D. Lillard),,14,11
29,1,6:58.0,,M. Harkless misses 3-pt jump shot from 23 ft,14,11
30,1,6:58.0,Defensive rebound by Team,,14,11
31,1,6:58.0,,Portland full timeout,14,11
32,1,6:41.0,P. Millsap misses 2-pt jump shot from 9 ft,,14,11
33,1,6:37.0,,Defensive rebound by J. Nurkić,14,11
34,1,6:25.0,,Shooting foul by P. Millsap (drawn by C. Swanigan),14,11
35,1,6:25.0,,C. Swanigan makes free throw 1 of 2,14,12
36,1,6:25.0,,C. Swanigan makes free throw 2 of 2,14,13
37,1,6:16.0,J. Murray makes 2-pt layup from 1 ft,,16,13
38,1,6:11.0,,Turnover by C. McCollum (traveling),16,13
39,1,6:02.0,Turnover by J. Murray (bad pass; steal by D. Lillard),,16,13
40,1,5:57.0,,M. Harkless makes 2-pt layup from 1 ft (assist by D. Lillard),16,15
41,1,5:43.0,W. Barton misses 2-pt layup from 1 ft,,16,15
42,1,5:43.0,E. Mudiay enters the game for W. Chandler,,16,15
43,1,5:43.0,,E. Turner enters the game for M. Harkless,16,15
44,1,5:41.0,,Offensive rebound by Team,16,15
45,1,5:32.0,,Loose ball foul by C. Swanigan (drawn by P. Millsap),16,15
46,1,5:32.0,M. Plumlee enters the game for N. Jokić,,16,15
47,1,5:31.0,,J. Nurkić misses 2-pt jump shot from 8 ft,16,15
48,1,5:31.0,Defensive rebound by Team,,16,15
49,1,5:15.0,J. Murray misses 3-pt jump shot from 28 ft,,16,15
50,1,5:11.0,,Defensive rebound by D. Lillard,16,15
51,1,5:04.0,,C. Swanigan makes 2-pt layup from 1 ft (assist by D. Lillard),16,17
52,1,4:50.0,J. Murray misses 2-pt layup from 3 ft (block by C. Swanigan),,16,17
53,1,4:48.0,Offensive rebound by J. Murray,,16,17
54,1,4:39.0,Turnover by P. Millsap (lost ball; steal by C. McCollum),,16,17
55,1,4:39.0,,Personal foul by P. Millsap (drawn by D. Lillard),16,17
56,1,4:39.0,N. Jokić enters the game for P. Millsap,,16,17
57,1,4:33.0,,D. Lillard misses 3-pt jump shot from 25 ft,16,17
58,1,4:30.0,Defensive rebound by N. Jokić,,16,17
59,1,4:22.0,E. Mudiay misses 2-pt jump shot from 15 ft,,16,17
60,1,4:21.0,Offensive rebound by Team,,16,17
61,1,4:21.0,,Loose ball foul by C. Swanigan (drawn by N. Jokić),16,17
62,1,4:21.0,,N. Vonleh enters the game for C. Swanigan,16,17
63,1,4:17.0,M. Plumlee misses 2-pt jump shot from 15 ft,,16,17
64,1,4:14.0,,Defensive rebound by N. Vonleh,16,17
65,1,4:02.0,,E. Turner makes 2-pt jump shot from 6 ft,16,19
66,1,3:44.0,N. Jokić misses 3-pt jump shot from 25 ft,,16,19
67,1,3:41.0,,Defensive rebound by J. Nurkić,16,19
68,1,3:32.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),16,21
69,1,3:32.0,Denver full timeout,,16,21
70,1,3:32.0,W. Chandler enters the game for J. Murray,,16,21
71,1,3:19.0,Turnover by N. Jokić (bad pass; steal by N. Vonleh),,16,21
72,1,3:11.0,,J. Nurkić makes 2-pt jump shot from 1 ft (assist by D. Lillard),16,23
73,1,3:00.0,N. Jokić misses 2-pt jump shot from 4 ft,,16,23
74,1,2:58.0,,Defensive rebound by E. Turner,16,23
75,1,2:56.0,,Turnover by E. Turner (palming),16,23
76,1,2:56.0,,E. Davis enters the game for J. Nurkić,16,23
