,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:45.0,J. Redick misses 3-pt jump shot from 26 ft,,0,0
1,1,11:44.0,,Defensive rebound by G. Dragić,0,0
2,1,11:34.0,,T. Johnson makes 3-pt jump shot from 22 ft (assist by J. Johnson),0,3
3,1,11:18.0,B. Simmons misses 2-pt layup at rim (block by H. Whiteside),,0,3
4,1,11:15.0,Offensive rebound by D. Šarić,,0,3
5,1,11:14.0,D. Šarić misses 2-pt jump shot from 17 ft,,0,3
6,1,11:12.0,,Defensive rebound by G. Dragić,0,3
7,1,11:11.0,,Turnover by J. Richardson (step out of bounds),0,3
8,1,10:52.0,J. Redick makes 2-pt layup from 3 ft (assist by R. Covington),,2,3
9,1,10:26.0,,T. Johnson makes 3-pt jump shot from 23 ft (assist by J. Johnson),2,6
10,1,10:10.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Embiid),,4,6
11,1,9:57.0,,Turnover by J. Richardson (lost ball; steal by R. Covington),4,6
12,1,9:54.0,Shooting foul by J. Johnson (drawn by J. Embiid),,4,6
13,1,9:54.0,J. Embiid makes free throw 1 of 2,,5,6
14,1,9:54.0,J. Embiid makes free throw 2 of 2,,6,6
15,1,9:38.0,,J. Johnson misses 2-pt jump shot from 5 ft (block by J. Embiid),6,6
16,1,9:37.0,Defensive rebound by B. Simmons,,6,6
17,1,9:31.0,D. Šarić misses 2-pt layup at rim,,6,6
18,1,9:28.0,,Defensive rebound by J. Johnson,6,6
19,1,9:25.0,,Turnover by J. Richardson (traveling),6,6
20,1,9:08.0,J. Redick misses 3-pt jump shot from 25 ft,,6,6
21,1,9:07.0,,Defensive rebound by H. Whiteside,6,6
22,1,8:58.0,,G. Dragić misses 3-pt jump shot from 24 ft,6,6
23,1,8:57.0,Defensive rebound by B. Simmons,,6,6
24,1,8:54.0,Personal foul by J. Richardson (drawn by B. Simmons),,6,6
25,1,8:36.0,J. Embiid misses 2-pt jump shot from 15 ft,,6,6
26,1,8:35.0,Offensive rebound by D. Šarić,,6,6
27,1,8:29.0,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),,8,6
28,1,8:22.0,,Personal foul by J. Embiid (drawn by H. Whiteside),8,6
29,1,8:05.0,,J. Johnson misses 2-pt layup from 3 ft,8,6
30,1,8:04.0,Defensive rebound by B. Simmons,,8,6
31,1,7:56.0,Shooting foul by H. Whiteside (drawn by J. Embiid),,8,6
32,1,7:56.0,J. Embiid makes free throw 1 of 2,,9,6
33,1,7:56.0,J. Embiid makes free throw 2 of 2,,10,6
34,1,7:44.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by G. Dragić),10,9
35,1,7:42.0,Philadelphia full timeout,,10,9
36,1,7:42.0,A. Johnson enters the game for J. Embiid,,10,9
37,1,7:34.0,B. Simmons misses 2-pt layup from 2 ft,,10,9
38,1,7:33.0,Offensive rebound by B. Simmons,,10,9
39,1,7:32.0,B. Simmons misses 2-pt layup from 1 ft,,10,9
40,1,7:31.0,,Defensive rebound by H. Whiteside,10,9
41,1,7:16.0,Violation by B. Simmons (kicked ball),,10,9
42,1,7:05.0,,T. Johnson makes 2-pt jump shot from 20 ft (assist by G. Dragić),10,11
43,1,6:46.0,Personal foul by H. Whiteside (drawn by A. Johnson),,10,11
44,1,6:46.0,,K. Olynyk enters the game for H. Whiteside,10,11
45,1,6:46.0,M. Belinelli enters the game for J. Redick,,10,11
46,1,6:35.0,Shooting foul by G. Dragić (drawn by R. Covington),,10,11
47,1,6:35.0,R. Covington misses free throw 1 of 3,,10,11
48,1,6:35.0,Offensive rebound by Team,,10,11
49,1,6:35.0,R. Covington makes free throw 2 of 3,,11,11
50,1,6:35.0,R. Covington makes free throw 3 of 3,,12,11
51,1,6:32.0,,G. Dragić makes 2-pt layup from 2 ft (assist by K. Olynyk),12,13
52,1,6:32.0,,Shooting foul by R. Covington (drawn by G. Dragić),12,13
53,1,6:32.0,,G. Dragić makes free throw 1 of 1,12,14
54,1,6:21.0,D. Šarić misses 2-pt jump shot from 17 ft,,12,14
55,1,6:19.0,,Defensive rebound by K. Olynyk,12,14
56,1,6:16.0,,J. Johnson makes 2-pt dunk from 1 ft (assist by G. Dragić),12,16
57,1,6:03.0,R. Covington makes 3-pt jump shot from 26 ft,,15,16
58,1,5:37.0,,G. Dragić misses 2-pt layup from 1 ft,15,16
59,1,5:36.0,Defensive rebound by R. Covington,,15,16
60,1,5:25.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by B. Simmons),,17,16
61,1,5:18.0,,Miami full timeout,17,16
62,1,5:07.0,,Shooting foul by D. Šarić (drawn by G. Dragić),17,16
63,1,5:07.0,,G. Dragić makes free throw 1 of 2,17,17
64,1,5:07.0,,J. Winslow enters the game for J. Richardson,17,17
65,1,5:07.0,,G. Dragić makes free throw 2 of 2,17,18
66,1,4:57.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by B. Simmons),,20,18
67,1,4:57.0,Shooting foul by T. Johnson (drawn by M. Belinelli),,20,18
68,1,4:57.0,,W. Ellington enters the game for T. Johnson,20,18
69,1,4:57.0,J. Redick enters the game for D. Šarić,,20,18
70,1,4:57.0,E. İlyasova enters the game for R. Covington,,20,18
71,1,4:57.0,M. Belinelli makes free throw 1 of 1,,21,18
72,1,4:41.0,,W. Ellington misses 2-pt layup from 2 ft,21,18
73,1,4:38.0,Defensive rebound by B. Simmons,,21,18
74,1,4:34.0,E. İlyasova misses 3-pt jump shot from 24 ft,,21,18
75,1,4:31.0,,Defensive rebound by W. Ellington,21,18
76,1,4:15.0,,W. Ellington misses 3-pt jump shot from 22 ft,21,18
77,1,4:12.0,Defensive rebound by M. Belinelli,,21,18
