,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
0,1,11:39.0,,J. Randle misses 2-pt jump shot from 20 ft (block by A. Gordon),0,0
1,1,11:35.0,Defensive rebound by D. Augustin,,0,0
2,1,11:32.0,N. Vučević misses 3-pt jump shot from 26 ft,,0,0
3,1,11:32.0,,Defensive rebound by K. Caldwell-Pope,0,0
4,1,11:25.0,,Personal foul by N. Vučević (drawn by B. Lopez),0,0
5,1,11:18.0,,L. Ball misses 3-pt jump shot from 27 ft,0,0
6,1,11:17.0,Defensive rebound by N. Vučević,,0,0
7,1,11:12.0,D. Augustin misses 2-pt layup from 2 ft (block by K. Kuzma),,0,0
8,1,11:12.0,,Defensive rebound by L. Ball,0,0
9,1,11:00.0,,B. Lopez makes 2-pt hook shot from 8 ft,0,2
10,1,10:38.0,A. Gordon misses 2-pt jump shot from 19 ft,,0,2
11,1,10:38.0,,Defensive rebound by J. Randle,0,2
12,1,10:28.0,,K. Kuzma makes 3-pt jump shot from 23 ft (assist by J. Randle),0,5
13,1,10:08.0,N. Vučević makes 2-pt jump shot from 17 ft,,2,5
14,1,9:51.0,,B. Lopez misses 2-pt jump shot from 16 ft,2,5
15,1,9:48.0,Defensive rebound by A. Gordon,,2,5
16,1,9:44.0,A. Gordon misses 2-pt jump shot from 7 ft,,2,5
17,1,9:42.0,Offensive rebound by A. Gordon,,2,5
18,1,9:28.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by E. Fournier),,5,5
19,1,9:14.0,,Offensive foul by J. Randle (drawn by A. Gordon),5,5
20,1,9:14.0,,Turnover by J. Randle (offensive foul),5,5
21,1,8:58.0,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),,7,5
22,1,8:46.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),7,7
23,1,8:32.0,N. Vučević misses 2-pt jump shot from 11 ft,,7,7
24,1,8:30.0,,Defensive rebound by L. Ball,7,7
25,1,8:26.0,,K. Kuzma misses 3-pt jump shot from 22 ft,7,7
26,1,8:24.0,Defensive rebound by N. Vučević,,7,7
27,1,8:10.0,A. Gordon makes 2-pt dunk at rim (assist by N. Vučević),,9,7
28,1,7:58.0,,Personal foul by A. Gordon (drawn by J. Randle),9,7
29,1,7:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,9,7
30,1,7:45.0,Defensive rebound by A. Gordon,,9,7
31,1,7:38.0,A. Gordon misses 3-pt jump shot from 26 ft,,9,7
32,1,7:35.0,,Defensive rebound by L. Ball,9,7
33,1,7:33.0,,Personal foul by J. Simmons (drawn by K. Caldwell-Pope),9,7
34,1,7:29.0,,Turnover by B. Lopez (bad pass; steal by J. Simmons),9,7
35,1,7:27.0,Shooting foul by L. Ball (drawn by J. Simmons),,9,7
36,1,7:27.0,J. Simmons misses free throw 1 of 2,,9,7
