,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:37.0,,M. Hezonja misses 3-pt jump shot from 25 ft,0,0
1,1,11:33.0,Defensive rebound by D. Schröder,,0,0
2,1,11:22.0,E. İlyasova makes 2-pt layup from 4 ft (assist by K. Bazemore),,2,0
3,1,11:14.0,,D. Augustin misses 3-pt jump shot from 26 ft,2,0
4,1,11:10.0,Defensive rebound by K. Bazemore,,2,0
5,1,11:05.0,Turnover by E. İlyasova (traveling),,2,0
6,1,10:56.0,,Personal block foul by K. Bazemore (drawn by E. Fournier),2,0
7,1,10:49.0,,Turnover by M. Hezonja (out of bounds lost ball),2,0
8,1,10:37.0,D. Schröder makes 3-pt jump shot from 25 ft,,5,0
9,1,10:21.0,,M. Hezonja misses 3-pt jump shot from 26 ft,5,0
10,1,10:18.0,Defensive rebound by D. Schröder,,5,0
11,1,10:05.0,T. Prince misses 3-pt jump shot from 26 ft,,5,0
12,1,10:02.0,,Defensive rebound by D. Augustin,5,0
13,1,9:55.0,,E. Fournier makes 2-pt jump shot from 7 ft (assist by D. Augustin),5,2
14,1,9:39.0,Turnover by T. Prince (lost ball; steal by M. Hezonja),,5,2
15,1,9:37.0,,Shooting foul by D. Schröder (drawn by M. Hezonja),5,2
16,1,9:37.0,,M. Hezonja makes free throw 1 of 2,5,3
17,1,9:37.0,,M. Hezonja makes free throw 2 of 2,5,4
18,1,9:26.0,K. Bazemore misses 3-pt jump shot from 27 ft,,5,4
19,1,9:20.0,,Defensive rebound by M. Hezonja,5,4
20,1,9:10.0,,B. Biyombo makes 2-pt dunk from 2 ft (assist by J. Simmons),5,6
21,1,8:55.0,D. Schröder makes 3-pt jump shot from 26 ft (assist by M. Plumlee),,8,6
22,1,8:41.0,,D. Augustin makes 2-pt layup from 2 ft,8,8
23,1,8:33.0,Shooting foul by D. Augustin (drawn by D. Schröder),,8,8
24,1,8:33.0,D. Schröder makes free throw 1 of 2,,9,8
25,1,8:33.0,D. Schröder makes free throw 2 of 2,,10,8
26,1,8:21.0,,J. Simmons makes 2-pt jump shot from 8 ft,10,10
27,1,8:05.0,K. Bazemore misses 2-pt jump shot from 9 ft,,10,10
28,1,8:02.0,,Defensive rebound by E. Fournier,10,10
29,1,7:54.0,,B. Biyombo makes 2-pt dunk from 1 ft (assist by E. Fournier),10,12
30,1,7:54.0,Atlanta full timeout,,10,12
31,1,7:41.0,Turnover by K. Bazemore (bad pass; steal by M. Hezonja),,10,12
32,1,7:38.0,,Shooting foul by E. İlyasova (drawn by M. Hezonja),10,12
33,1,7:38.0,,M. Hezonja makes free throw 1 of 2,10,13
34,1,7:38.0,,M. Hezonja misses free throw 2 of 2,10,13
35,1,7:35.0,Defensive rebound by E. İlyasova,,10,13
36,1,7:23.0,Turnover by D. Schröder (bad pass; steal by B. Biyombo),,10,13
37,1,7:15.0,,B. Biyombo misses 2-pt layup from 3 ft,10,13
38,1,7:13.0,Defensive rebound by D. Schröder,,10,13
39,1,7:09.0,D. Schröder misses 2-pt jump shot from 5 ft,,10,13
40,1,7:08.0,,Defensive rebound by Team,10,13
41,1,6:52.0,,J. Simmons misses 2-pt layup from 3 ft,10,13
42,1,6:50.0,Defensive rebound by M. Plumlee,,10,13
43,1,6:41.0,E. İlyasova makes 2-pt layup from 2 ft (assist by T. Prince),,12,13
44,1,6:31.0,,J. Simmons misses 2-pt jump shot from 16 ft,12,13
45,1,6:28.0,Defensive rebound by E. İlyasova,,12,13
46,1,6:15.0,T. Prince misses 3-pt jump shot from 22 ft,,12,13
47,1,6:14.0,,Defensive rebound by Team,12,13
48,1,6:14.0,T. Dorsey enters the game for T. Prince,,12,13
49,1,5:58.0,,J. Simmons makes 2-pt jump shot from 7 ft,12,15
50,1,5:42.0,Personal foul by J. Simmons (drawn by T. Dorsey),,12,15
51,1,5:36.0,K. Bazemore misses 2-pt layup from 5 ft,,12,15
52,1,5:33.0,,Defensive rebound by M. Hezonja,12,15
53,1,5:31.0,,Shooting foul by M. Plumlee (drawn by E. Fournier),12,15
54,1,5:31.0,,E. Fournier makes free throw 1 of 2,12,16
55,1,5:31.0,M. Delaney enters the game for E. İlyasova,,12,16
56,1,5:31.0,D. Dedmon enters the game for M. Plumlee,,12,16
57,1,5:31.0,J. Collins enters the game for K. Bazemore,,12,16
58,1,5:31.0,,E. Fournier makes free throw 2 of 2,12,17
59,1,5:20.0,T. Dorsey misses 3-pt jump shot from 27 ft,,12,17
60,1,5:17.0,,Defensive rebound by B. Biyombo,12,17
61,1,5:06.0,,E. Fournier misses 2-pt jump shot from 8 ft,12,17
62,1,5:03.0,Defensive rebound by T. Dorsey,,12,17
63,1,4:59.0,D. Schröder misses 2-pt jump shot from 11 ft,,12,17
64,1,4:57.0,,Defensive rebound by B. Biyombo,12,17
65,1,4:51.0,,Shooting foul by D. Schröder (drawn by D. Augustin),12,17
66,1,4:51.0,,D. Augustin makes free throw 1 of 2,12,18
67,1,4:51.0,,D. Augustin makes free throw 2 of 2,12,19
68,1,4:39.0,D. Dedmon misses 2-pt jump shot from 7 ft,,12,19
69,1,4:36.0,,Defensive rebound by M. Hezonja,12,19
70,1,4:28.0,,D. Augustin misses 2-pt layup from 8 ft,12,19
71,1,4:26.0,,Offensive rebound by B. Biyombo,12,19
72,1,4:13.0,,B. Biyombo makes 2-pt hook shot from 5 ft (assist by M. Hezonja),12,21
73,1,3:55.0,M. Delaney makes 3-pt jump shot from 23 ft (assist by D. Schröder),,15,21
74,1,3:39.0,,B. Biyombo misses 2-pt layup from 5 ft (block by J. Collins),15,21
75,1,3:39.0,Defensive rebound by T. Dorsey,,15,21
76,1,3:39.0,Personal foul by D. Augustin (drawn by T. Dorsey),,15,21
77,1,3:39.0,,M. Speights enters the game for M. Hezonja,15,21
78,1,3:39.0,,S. Mack enters the game for D. Augustin,15,21
79,1,3:39.0,T. Prince enters the game for D. Schröder,,15,21
80,1,3:21.0,Turnover by T. Prince (bad pass),,15,21
81,1,3:21.0,,Orlando full timeout,15,21
82,1,3:21.0,,W. Iwundu enters the game for J. Simmons,15,21
83,1,3:02.0,,E. Fournier misses 2-pt jump shot from 9 ft,15,21
84,1,2:59.0,Defensive rebound by J. Collins,,15,21
85,1,2:50.0,Personal foul by W. Iwundu (drawn by T. Dorsey),,15,21
86,1,2:42.0,J. Collins misses 2-pt layup from 8 ft (block by M. Speights),,15,21
87,1,2:42.0,,Defensive rebound by Team,15,21
88,1,2:33.0,,M. Speights misses 3-pt jump shot from 25 ft,15,21
89,1,2:30.0,Defensive rebound by J. Collins,,15,21
90,1,2:21.0,J. Collins misses 2-pt layup from 7 ft (block by M. Speights),,15,21
91,1,2:17.0,,Defensive rebound by B. Biyombo,15,21
92,1,2:15.0,,M. Speights makes 3-pt jump shot from 26 ft (assist by S. Mack),15,24
93,1,1:50.0,D. Dedmon makes 3-pt jump shot from 23 ft (assist by T. Prince),,18,24
94,1,1:34.0,,S. Mack misses 2-pt layup from 5 ft,18,24
95,1,1:31.0,Defensive rebound by J. Collins,,18,24
96,1,1:26.0,T. Dorsey makes 3-pt jump shot from 23 ft (assist by T. Prince),,21,24
97,1,1:09.0,,Shooting foul by D. Dedmon (drawn by E. Fournier),21,24
98,1,1:09.0,,E. Fournier makes free throw 1 of 2,21,25
99,1,1:09.0,,K. Birch enters the game for B. Biyombo,21,25
100,1,1:09.0,,E. Fournier makes free throw 2 of 2,21,26
101,1,0:56.0,D. Dedmon misses 3-pt jump shot from 26 ft,,21,26
102,1,0:45.0,,Defensive rebound by M. Speights,21,26
103,1,0:42.0,,W. Iwundu misses 3-pt jump shot from 26 ft,21,26
104,1,0:39.0,Defensive rebound by J. Collins,,21,26
105,1,0:29.0,T. Dorsey makes 2-pt jump shot from 18 ft,,23,26
106,1,0:08.0,,E. Fournier misses 2-pt layup from 5 ft,23,26
107,1,0:06.0,Defensive rebound by J. Collins,,23,26
108,1,0:02.0,T. Prince misses 3-pt jump shot from 23 ft,,23,26
109,1,0:00.0,Offensive rebound by Team,,23,26
110,1,0:00.0,J. Collins misses 2-pt jump shot from 14 ft,,23,26
111,1,0:00.0,Offensive rebound by Team,,23,26
112,2,11:46.0,J. Collins misses 2-pt dunk from 3 ft,,23,26
113,2,11:43.0,,Defensive rebound by K. Birch,23,26
114,2,11:22.0,,S. Mack makes 2-pt layup from 3 ft,23,28
115,2,11:09.0,M. Muscala makes 2-pt jump shot from 16 ft (assist by T. Prince),,25,28
116,2,11:00.0,,S. Mack makes 2-pt jump shot from 6 ft,25,30
117,2,11:00.0,,Shooting foul by I. Taylor (drawn by S. Mack),25,30
