,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA LAKERS_ACTION,SAN ANTONIO_SCORE,LA LAKERS_SCORE
0,1,11:49.0,,Offensive foul by J. Randle (drawn by K. Anderson),0,0
1,1,11:49.0,,Turnover by J. Randle (offensive foul),0,0
2,1,11:39.0,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Gasol),,2,0
3,1,11:17.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by J. Randle),2,2
4,1,11:02.0,P. Gasol misses 2-pt jump shot from 20 ft,,2,2
5,1,11:00.0,,Defensive rebound by J. Randle,2,2
6,1,10:52.0,,J. Randle makes 2-pt layup from 1 ft,2,4
7,1,10:29.0,K. Anderson makes 2-pt layup from 2 ft,,4,4
8,1,10:13.0,,K. Kuzma misses 2-pt jump shot from 19 ft,4,4
9,1,10:11.0,Defensive rebound by L. Aldridge,,4,4
10,1,9:56.0,P. Mills makes 2-pt jump shot from 18 ft,,6,4
11,1,9:47.0,,Turnover by A. Caruso (bad pass; steal by D. Murray),6,4
12,1,9:40.0,L. Aldridge misses 3-pt jump shot from 26 ft,,6,4
13,1,9:36.0,,Defensive rebound by B. Lopez,6,4
14,1,9:28.0,,J. Randle misses 2-pt layup from 3 ft,6,4
15,1,9:25.0,Defensive rebound by K. Anderson,,6,4
16,1,9:16.0,P. Mills misses 2-pt jump shot from 22 ft,,6,4
17,1,9:10.0,,Defensive rebound by J. Randle,6,4
18,1,8:56.0,,Shooting foul by P. Gasol (drawn by B. Lopez),6,4
19,1,8:56.0,,B. Lopez makes free throw 1 of 2,6,5
20,1,8:56.0,,B. Lopez makes free throw 2 of 2,6,6
21,1,8:41.0,L. Aldridge makes 2-pt layup from 2 ft (assist by P. Mills),,8,6
22,1,8:28.0,,K. Kuzma misses 3-pt jump shot from 25 ft,8,6
23,1,8:26.0,Defensive rebound by P. Gasol,,8,6
24,1,8:14.0,L. Aldridge misses 2-pt jump shot from 19 ft,,8,6
25,1,8:09.0,Offensive rebound by K. Anderson,,8,6
26,1,8:09.0,K. Anderson misses 2-pt layup from 2 ft,,8,6
27,1,8:02.0,Offensive rebound by P. Gasol,,8,6
28,1,8:01.0,P. Gasol makes 2-pt jump shot from 14 ft,,10,6
29,1,7:48.0,,B. Lopez misses 2-pt hook shot from 9 ft,10,6
30,1,7:46.0,Defensive rebound by D. Murray,,10,6
31,1,7:45.0,Turnover by D. Murray (bad pass),,10,6
32,1,7:30.0,,J. Randle makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),10,8
33,1,7:15.0,P. Gasol makes 2-pt jump shot from 14 ft (assist by D. Murray),,12,8
34,1,7:14.0,,LA Lakers full timeout,12,8
35,1,6:57.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),12,10
36,1,6:42.0,D. Murray misses 2-pt jump shot from 14 ft,,12,10
37,1,6:40.0,,Defensive rebound by J. Randle,12,10
38,1,6:35.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by J. Randle),12,12
39,1,6:12.0,P. Gasol misses 3-pt jump shot from 23 ft,,12,12
40,1,6:09.0,,Defensive rebound by A. Caruso,12,12
41,1,6:04.0,,K. Kuzma makes 3-pt jump shot from 24 ft (assist by J. Randle),12,15
42,1,5:38.0,P. Gasol makes 3-pt jump shot from 27 ft (assist by L. Aldridge),,15,15
43,1,5:19.0,,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,15,15
44,1,5:17.0,Defensive rebound by D. Murray,,15,15
45,1,5:09.0,K. Anderson makes 2-pt dunk from 2 ft (assist by D. Murray),,17,15
46,1,4:58.0,,J. Randle misses 2-pt jump shot from 15 ft,17,15
47,1,4:56.0,Defensive rebound by P. Gasol,,17,15
48,1,4:52.0,Shooting foul by B. Lopez (drawn by D. Murray),,17,15
49,1,4:52.0,D. Murray makes free throw 1 of 2,,18,15
50,1,4:52.0,,I. Zubac enters the game for B. Lopez,18,15
51,1,4:52.0,,T. Ennis enters the game for A. Caruso,18,15
52,1,4:52.0,B. Forbes enters the game for K. Anderson,,18,15
53,1,4:52.0,R. Gay enters the game for P. Gasol,,18,15
54,1,4:52.0,D. Green enters the game for P. Mills,,18,15
55,1,4:52.0,D. Murray makes free throw 2 of 2,,19,15
56,1,4:26.0,,I. Zubac misses 2-pt jump shot from 9 ft,19,15
57,1,4:24.0,Defensive rebound by B. Forbes,,19,15
58,1,4:10.0,B. Forbes makes 2-pt jump shot from 6 ft (assist by D. Green),,21,15
59,1,3:53.0,,J. Randle misses 2-pt hook shot from 5 ft,21,15
60,1,3:50.0,Defensive rebound by L. Aldridge,,21,15
61,1,3:36.0,L. Aldridge makes 2-pt jump shot from 2 ft,,23,15
62,1,3:36.0,,LA Lakers full timeout,23,15
63,1,3:36.0,,C. Frye enters the game for K. Caldwell-Pope,23,15
64,1,3:36.0,,J. Hart enters the game for J. Randle,23,15
65,1,3:36.0,T. Parker enters the game for D. Murray,,23,15
66,1,3:36.0,P. Gasol enters the game for L. Aldridge,,23,15
67,1,3:19.0,,K. Kuzma makes 2-pt hook shot from 5 ft,23,17
68,1,3:03.0,R. Gay makes 2-pt dunk from 1 ft,,25,17
69,1,2:57.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by T. Ennis),25,20
70,1,2:43.0,Shooting foul by I. Zubac (drawn by P. Gasol),,25,20
71,1,2:43.0,P. Gasol makes free throw 1 of 2,,26,20
72,1,2:43.0,P. Gasol makes free throw 2 of 2,,27,20
73,1,2:29.0,Violation by P. Gasol (kicked ball),,27,20
74,1,2:17.0,,C. Frye makes 2-pt hook shot from 2 ft,27,22
75,1,2:01.0,R. Gay makes 3-pt jump shot from 23 ft (assist by D. Green),,30,22
76,1,1:42.0,,C. Frye makes 2-pt jump shot from 15 ft (assist by T. Ennis),30,24
77,1,1:38.0,San Antonio full timeout,,30,24
78,1,1:23.0,B. Forbes misses 2-pt layup from 3 ft,,30,24
79,1,1:23.0,,Defensive rebound by J. Hart,30,24
80,1,1:18.0,,Shooting foul by T. Parker (drawn by J. Hart),30,24
81,1,1:18.0,,J. Hart makes free throw 1 of 2,30,25
82,1,1:18.0,,J. Hart misses free throw 2 of 2,30,25
83,1,1:14.0,Defensive rebound by P. Gasol,,30,25
84,1,1:06.0,T. Parker misses 2-pt layup from 1 ft (block by I. Zubac),,30,25
85,1,1:03.0,,Defensive rebound by J. Hart,30,25
86,1,0:56.0,,K. Kuzma makes 2-pt hook shot from 2 ft,30,27
87,1,0:41.0,Turnover by P. Gasol (bad pass; steal by K. Kuzma),,30,27
88,1,0:37.0,,I. Zubac makes 2-pt layup from 2 ft (assist by K. Kuzma),30,29
89,1,0:29.0,T. Parker misses 2-pt layup from 1 ft,,30,29
90,1,0:26.0,Offensive rebound by P. Gasol,,30,29
91,1,0:24.0,R. Gay misses 3-pt jump shot from 25 ft,,30,29
92,1,0:22.0,Offensive rebound by P. Gasol,,30,29
93,1,0:20.0,P. Gasol misses 2-pt layup from 2 ft,,30,29
94,1,0:18.0,,Defensive rebound by I. Zubac,30,29
95,1,0:04.0,,K. Kuzma misses 3-pt jump shot from 26 ft,30,29
96,1,0:01.0,Defensive rebound by R. Gay,,30,29
97,1,0:00.0,R. Gay misses 3-pt jump shot from 50 ft,,30,29
98,1,0:00.0,Offensive rebound by Team,,30,29
99,2,11:40.0,D. Green misses 2-pt hook shot from 3 ft,,30,29
100,2,11:39.0,,Defensive rebound by I. Zubac,30,29
101,2,11:39.0,,Personal foul by D. Green (drawn by I. Zubac),30,29
102,2,11:21.0,,J. Hart misses 2-pt jump shot from 12 ft,30,29
103,2,11:18.0,Defensive rebound by P. Gasol,,30,29
104,2,11:04.0,Personal foul by I. Zubac (drawn by P. Gasol),,30,29
105,2,11:04.0,K. Anderson enters the game for T. Parker,,30,29
106,2,11:04.0,D. Murray enters the game for D. Green,,30,29
107,2,10:54.0,P. Gasol misses 2-pt layup at rim,,30,29
108,2,10:53.0,,Defensive rebound by J. Hart,30,29
109,2,10:48.0,,T. Ennis makes 3-pt jump shot from 27 ft (assist by I. Zubac),30,32
110,2,10:30.0,B. Forbes misses 2-pt jump shot from 5 ft,,30,32
111,2,10:30.0,Offensive rebound by Team,,30,32
112,2,10:30.0,,Loose ball foul by T. Ennis (drawn by P. Gasol),30,32
113,2,10:30.0,L. Aldridge enters the game for P. Gasol,,30,32
114,2,10:23.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by B. Forbes),,32,32
115,2,9:58.0,,I. Zubac makes 2-pt hook shot from 11 ft,32,34
116,2,9:40.0,Shooting foul by C. Frye (drawn by D. Murray),,32,34
117,2,9:40.0,D. Murray makes free throw 1 of 2,,33,34
118,2,9:40.0,P. Mills enters the game for B. Forbes,,33,34
119,2,9:40.0,D. Bertāns enters the game for R. Gay,,33,34
120,2,9:40.0,D. Murray makes free throw 2 of 2,,34,34
121,2,9:26.0,,C. Frye makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),34,37
122,2,9:05.0,K. Anderson makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,37,37
123,2,8:53.0,,T. Ennis misses 2-pt layup from 2 ft,37,37
124,2,8:51.0,Defensive rebound by D. Murray,,37,37
125,2,8:47.0,K. Anderson misses 3-pt jump shot from 24 ft,,37,37
126,2,8:43.0,,Defensive rebound by J. Hart,37,37
127,2,8:38.0,,I. Zubac makes 2-pt dunk at rim (assist by K. Caldwell-Pope),37,39
128,2,8:20.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. Murray),,40,39
129,2,8:03.0,,J. Hart misses 3-pt jump shot from 27 ft,40,39
130,2,8:00.0,Defensive rebound by D. Murray,,40,39
131,2,7:48.0,Turnover by D. Murray (step out of bounds),,40,39
132,2,7:33.0,,Personal foul by P. Mills (drawn by K. Caldwell-Pope),40,39
133,2,7:22.0,,C. Frye makes 2-pt jump shot from 15 ft (assist by T. Ennis),40,41
134,2,7:07.0,L. Aldridge makes 2-pt layup from 1 ft (assist by P. Mills),,42,41
135,2,7:07.0,Shooting block foul by J. Hart (drawn by L. Aldridge),,42,41
136,2,7:07.0,,B. Lopez enters the game for I. Zubac,42,41
137,2,7:07.0,L. Aldridge misses free throw 1 of 1,,42,41
138,2,7:07.0,,Defensive rebound by C. Frye,42,41
139,2,6:57.0,,K. Caldwell-Pope makes 2-pt dunk from 1 ft (assist by T. Ennis),42,43
140,2,6:37.0,Turnover by D. Murray (bad pass; steal by T. Ennis),,42,43
141,2,6:28.0,,Turnover by T. Ennis (out of bounds lost ball),42,43
142,2,6:28.0,,LA Lakers full timeout,42,43
143,2,6:28.0,,J. Randle enters the game for T. Ennis,42,43
144,2,6:28.0,,K. Kuzma enters the game for C. Frye,42,43
145,2,6:09.0,P. Mills misses 2-pt jump shot from 18 ft,,42,43
146,2,6:06.0,,Defensive rebound by J. Hart,42,43
147,2,5:50.0,,J. Randle makes 2-pt jump shot from 3 ft (assist by K. Caldwell-Pope),42,45
148,2,5:36.0,P. Mills makes 3-pt jump shot from 22 ft (assist by D. Bertāns),,45,45
149,2,5:24.0,,Turnover by K. Kuzma (bad pass),45,45
150,2,5:24.0,P. Gasol enters the game for D. Bertāns,,45,45
151,2,5:06.0,D. Murray makes 2-pt jump shot from 8 ft (assist by L. Aldridge),,47,45
