,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CLEVELAND_ACTION,MEMPHIS_SCORE,CLEVELAND_SCORE
0,1,11:36.0,M. Gasol makes 2-pt jump shot from 11 ft (assist by B. McLemore),,2,0
1,1,11:19.0,,K. Love makes 2-pt hook shot from 6 ft (assist by L. James),2,2
2,1,11:05.0,T. Evans makes 3-pt jump shot from 26 ft,,5,2
3,1,10:45.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),5,5
4,1,10:45.0,,Shooting foul by B. McLemore (drawn by K. Love),5,5
5,1,10:45.0,,K. Love makes free throw 1 of 1,5,6
6,1,10:28.0,T. Evans makes 3-pt jump shot from 27 ft (assist by M. Gasol),,8,6
7,1,10:08.0,,K. Love misses 2-pt jump shot from 12 ft,8,6
8,1,10:08.0,Defensive rebound by D. Brooks,,8,6
9,1,10:01.0,B. McLemore makes 2-pt layup from 5 ft (assist by T. Evans),,10,6
10,1,9:39.0,,J. Smith makes 3-pt jump shot from 23 ft (assist by K. Love),10,9
11,1,9:19.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by B. McLemore),,12,9
12,1,9:05.0,,Personal foul by D. Brooks (drawn by L. James),12,9
13,1,8:57.0,,Turnover by L. James (bad pass),12,9
14,1,8:46.0,T. Evans misses 2-pt layup from 3 ft (block by L. James),,12,9
15,1,8:46.0,Offensive rebound by Team,,12,9
16,1,8:31.0,J. Green misses 2-pt layup from 2 ft,,12,9
17,1,8:28.0,Offensive rebound by J. Green,,12,9
18,1,8:26.0,J. Green makes 2-pt dunk at rim,,14,9
19,1,8:10.0,,L. James misses 3-pt jump shot from 24 ft,14,9
20,1,8:07.0,Defensive rebound by J. Green,,14,9
21,1,8:00.0,T. Evans makes 2-pt jump shot from 20 ft,,16,9
22,1,7:57.0,,Cleveland full timeout,16,9
23,1,7:33.0,,Turnover by Team (shot clock),16,9
24,1,7:18.0,Turnover by M. Gasol (bad pass; steal by J. Crowder),,16,9
25,1,7:16.0,,Shooting foul by M. Gasol (drawn by J. Crowder),16,9
26,1,7:16.0,,J. Crowder makes free throw 1 of 2,16,10
27,1,7:16.0,J. Martin enters the game for J. Green,,16,10
28,1,7:16.0,,J. Crowder makes free throw 2 of 2,16,11
29,1,7:04.0,Personal foul by K. Love (drawn by M. Gasol),,16,11
30,1,7:00.0,D. Brooks makes 2-pt dunk at rim (assist by M. Gasol),,18,11
31,1,6:42.0,,J. Calderón misses 3-pt jump shot from 25 ft,18,11
32,1,6:38.0,Defensive rebound by B. McLemore,,18,11
33,1,6:27.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by B. McLemore),,20,11
34,1,6:09.0,,K. Love misses 2-pt jump shot from 6 ft,20,11
35,1,6:06.0,Defensive rebound by M. Gasol,,20,11
36,1,6:00.0,T. Evans misses 2-pt layup from 2 ft,,20,11
37,1,6:00.0,,Defensive rebound by Team,20,11
38,1,5:59.0,M. Chalmers enters the game for B. McLemore,,20,11
39,1,5:59.0,J. Ennis enters the game for D. Brooks,,20,11
40,1,5:39.0,,J. Smith misses 2-pt jump shot from 5 ft,20,11
41,1,5:34.0,Defensive rebound by T. Evans,,20,11
42,1,5:28.0,J. Martin misses 3-pt jump shot from 23 ft,,20,11
43,1,5:23.0,,Defensive rebound by K. Love,20,11
44,1,5:13.0,,L. James makes 2-pt layup from 1 ft,20,13
45,1,4:54.0,M. Gasol makes 2-pt jump shot from 12 ft,,22,13
46,1,4:39.0,,J. Crowder misses 3-pt jump shot from 26 ft,22,13
47,1,4:36.0,Defensive rebound by J. Martin,,22,13
48,1,4:26.0,M. Gasol makes 2-pt jump shot from 19 ft (assist by T. Evans),,24,13
49,1,4:24.0,,Cleveland full timeout,24,13
50,1,4:24.0,,D. Wade enters the game for J. Calderón,24,13
51,1,4:24.0,J. Green enters the game for M. Gasol,,24,13
52,1,4:07.0,,K. Love makes 2-pt hook shot from 6 ft (assist by L. James),24,15
53,1,3:46.0,J. Green makes 2-pt jump shot from 19 ft (assist by T. Evans),,26,15
54,1,3:31.0,,Shooting foul by J. Martin (drawn by D. Wade),26,15
55,1,3:31.0,,J. Green enters the game for K. Love,26,15
56,1,3:31.0,,D. Wade makes free throw 1 of 2,26,16
