,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PORTLAND_ACTION,MILWAUKEE_SCORE,PORTLAND_SCORE
0,1,11:46.0,Turnover by J. Henson (bad pass; steal by J. Nurkić),,0,0
1,1,11:36.0,,C. McCollum misses 2-pt jump shot from 16 ft,0,0
2,1,11:33.0,,Offensive rebound by J. Nurkić,0,0
3,1,11:31.0,,J. Nurkić makes 2-pt layup from 2 ft,0,2
4,1,11:15.0,Personal foul by D. Lillard (drawn by E. Bledsoe),,0,2
5,1,11:12.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,0,2
6,1,11:09.0,,Defensive rebound by J. Nurkić,0,2
7,1,11:02.0,,P. Connaughton misses 2-pt layup from 1 ft,0,2
8,1,11:00.0,,Offensive rebound by J. Nurkić,0,2
9,1,10:55.0,,J. Nurkić misses 2-pt hook shot from 4 ft,0,2
10,1,10:55.0,Defensive rebound by Team,,0,2
11,1,10:42.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,0,2
12,1,10:40.0,,Defensive rebound by J. Nurkić,0,2
13,1,10:32.0,,Shooting foul by J. Henson (drawn by N. Vonleh),0,2
14,1,10:32.0,,N. Vonleh makes free throw 1 of 2,0,3
15,1,10:32.0,,N. Vonleh makes free throw 2 of 2,0,4
16,1,10:20.0,K. Middleton makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,2,4
17,1,10:03.0,,J. Nurkić misses 2-pt layup from 3 ft,2,4
18,1,10:03.0,Defensive rebound by G. Antetokounmpo,,2,4
19,1,9:48.0,K. Middleton makes 2-pt jump shot from 15 ft,,4,4
20,1,9:30.0,,J. Nurkić makes 2-pt hook shot from 2 ft (assist by D. Lillard),4,6
21,1,9:16.0,E. Bledsoe makes 2-pt layup from 1 ft,,6,6
22,1,9:04.0,,N. Vonleh misses 2-pt dunk from 1 ft (block by G. Antetokounmpo),6,6
23,1,9:04.0,,Offensive rebound by Team,6,6
24,1,8:50.0,,Turnover by D. Lillard (lost ball; steal by K. Middleton),6,6
25,1,8:45.0,T. Snell makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),,8,6
26,1,8:29.0,,P. Connaughton misses 2-pt layup from 1 ft,8,6
27,1,8:27.0,Defensive rebound by K. Middleton,,8,6
28,1,8:22.0,K. Middleton makes 3-pt jump shot from 24 ft,,11,6
29,1,8:06.0,,J. Nurkić misses 2-pt hook shot from 1 ft,11,6
30,1,8:03.0,,Offensive rebound by J. Nurkić,11,6
31,1,8:03.0,,J. Nurkić makes 2-pt layup at rim,11,8
32,1,7:55.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,11,8
33,1,7:53.0,,Defensive rebound by C. McCollum,11,8
34,1,7:49.0,,D. Lillard misses 3-pt jump shot from 26 ft,11,8
35,1,7:46.0,Defensive rebound by K. Middleton,,11,8
36,1,7:35.0,E. Bledsoe makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo),,14,8
37,1,7:14.0,,C. McCollum misses 2-pt layup from 2 ft,14,8
38,1,7:12.0,Defensive rebound by Team,,14,8
39,1,6:52.0,K. Middleton misses 2-pt jump shot from 14 ft,,14,8
40,1,6:47.0,,Defensive rebound by J. Nurkić,14,8
41,1,6:36.0,,D. Lillard makes 2-pt jump shot from 11 ft (assist by C. McCollum),14,10
42,1,6:36.0,Milwaukee full timeout,,14,10
43,1,6:23.0,E. Bledsoe makes 2-pt jump shot from 7 ft,,16,10
44,1,6:08.0,,Turnover by J. Nurkić (bad pass),16,10
45,1,5:54.0,E. Bledsoe misses 2-pt jump shot from 18 ft,,16,10
46,1,5:52.0,,Defensive rebound by N. Vonleh,16,10
47,1,5:49.0,,Personal foul by J. Henson (drawn by J. Nurkić),16,10
48,1,5:49.0,,M. Harkless enters the game for P. Connaughton,16,10
49,1,5:49.0,,A. Aminu enters the game for N. Vonleh,16,10
50,1,5:49.0,T. Maker enters the game for K. Middleton,,16,10
51,1,5:49.0,J. Terry enters the game for J. Henson,,16,10
52,1,5:36.0,,J. Nurkić makes 2-pt hook shot from 4 ft (assist by D. Lillard),16,12
53,1,5:15.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),,18,12
54,1,5:03.0,,M. Harkless misses 2-pt dunk from 1 ft,18,12
55,1,5:01.0,Defensive rebound by T. Snell,,18,12
56,1,4:50.0,G. Antetokounmpo misses 2-pt hook shot from 1 ft,,18,12
57,1,4:49.0,,Defensive rebound by J. Nurkić,18,12
58,1,4:44.0,,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard),18,14
59,1,4:44.0,,Shooting foul by G. Antetokounmpo (drawn by J. Nurkić),18,14
60,1,4:44.0,,E. Turner enters the game for C. McCollum,18,14
61,1,4:44.0,M. Brogdon enters the game for E. Bledsoe,,18,14
62,1,4:44.0,,J. Nurkić makes free throw 1 of 1,18,15
63,1,4:32.0,T. Snell misses 3-pt jump shot from 22 ft,,18,15
64,1,4:30.0,,Defensive rebound by A. Aminu,18,15
65,1,4:24.0,,A. Aminu misses 3-pt jump shot from 25 ft,18,15
66,1,4:20.0,Defensive rebound by T. Maker,,18,15
67,1,4:16.0,Shooting foul by M. Harkless (drawn by G. Antetokounmpo),,18,15
68,1,4:16.0,G. Antetokounmpo makes free throw 1 of 2,,19,15
69,1,4:16.0,G. Antetokounmpo makes free throw 2 of 2,,20,15
70,1,3:56.0,,E. Turner misses 3-pt jump shot from 24 ft,20,15
71,1,3:56.0,,Offensive rebound by Team,20,15
72,1,3:56.0,Technical foul by T. Maker,,20,15
73,1,3:56.0,,J. Nurkić makes flagrant free throw 2 of 2,20,16
74,1,3:56.0,,J. Nurkić misses flagrant free throw 1 of 2,20,16
75,1,3:56.0,,Offensive rebound by Team,20,16
76,1,3:55.0,,E. Davis enters the game for J. Nurkić,20,16
77,1,3:40.0,,M. Harkless makes 3-pt jump shot from 26 ft (assist by E. Turner),20,19
78,1,3:17.0,G. Antetokounmpo makes 2-pt dunk at rim,,22,19
79,1,2:50.0,,Turnover by A. Aminu (lost ball; steal by T. Maker),22,19
80,1,2:38.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by M. Harkless),,22,19
81,1,2:36.0,,Portland full timeout,22,19
82,1,2:36.0,Defensive rebound by Team,,22,19
83,1,2:24.0,M. Brogdon makes 2-pt jump shot from 21 ft,,24,19
84,1,2:15.0,,C. McCollum enters the game for D. Lillard,24,19
85,1,2:10.0,,C. McCollum misses 3-pt jump shot from 25 ft,24,19
86,1,2:07.0,Defensive rebound by G. Antetokounmpo,,24,19
87,1,1:58.0,M. Brogdon makes 2-pt layup from 1 ft,,26,19
88,1,1:46.0,,Turnover by C. McCollum (bad pass),26,19
89,1,1:46.0,D. Liggins enters the game for G. Antetokounmpo,,26,19
90,1,1:46.0,K. Middleton enters the game for T. Snell,,26,19
91,1,1:33.0,M. Brogdon misses 3-pt jump shot from 25 ft,,26,19
92,1,1:30.0,,Defensive rebound by E. Turner,26,19
93,1,1:28.0,,Personal foul by M. Brogdon (drawn by E. Turner),26,19
94,1,1:28.0,,E. Turner makes free throw 1 of 2,26,20
95,1,1:28.0,,E. Turner makes free throw 2 of 2,26,21
96,1,1:14.0,J. Terry makes 2-pt jump shot from 17 ft (assist by K. Middleton),,28,21
97,1,0:55.0,,Turnover by E. Turner (lost ball; steal by T. Maker),28,21
98,1,0:40.0,D. Liggins misses 2-pt jump shot from 22 ft,,28,21
99,1,0:37.0,,Defensive rebound by A. Aminu,28,21
100,1,0:30.0,,M. Harkless misses 3-pt jump shot from 23 ft,28,21
101,1,0:28.0,Defensive rebound by D. Liggins,,28,21
102,1,0:08.0,K. Middleton makes 2-pt jump shot from 9 ft,,30,21
103,1,0:02.0,,Turnover by A. Aminu (out of bounds lost ball),30,21
104,1,0:00.0,K. Middleton makes 3-pt jump shot from 27 ft,,33,21
105,2,11:43.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by C. McCollum),33,24
106,2,11:20.0,T. Maker misses 2-pt dunk from 1 ft,,33,24
107,2,11:18.0,,Defensive rebound by A. Aminu,33,24
108,2,11:12.0,,C. McCollum misses 2-pt jump shot from 20 ft,33,24
109,2,11:04.0,Defensive rebound by T. Maker,,33,24
110,2,10:46.0,J. Terry misses 3-pt jump shot from 24 ft,,33,24
111,2,10:44.0,,Defensive rebound by E. Turner,33,24
112,2,10:37.0,,A. Aminu makes 3-pt jump shot from 24 ft (assist by E. Turner),33,27
113,2,10:17.0,K. Middleton misses 2-pt jump shot from 19 ft,,33,27
114,2,10:14.0,,Defensive rebound by S. Napier,33,27
115,2,10:05.0,,E. Turner makes 2-pt jump shot from 10 ft,33,29
116,2,10:05.0,Milwaukee full timeout,,33,29
117,2,10:05.0,J. Henson enters the game for T. Maker,,33,29
118,2,9:51.0,Turnover by J. Terry (bad pass; steal by S. Napier),,33,29
119,2,9:31.0,,C. McCollum misses 2-pt jump shot from 20 ft,33,29
120,2,9:28.0,,Offensive rebound by E. Davis,33,29
121,2,9:28.0,,E. Davis makes 2-pt layup at rim,33,31
122,2,9:15.0,M. Brogdon misses 2-pt jump shot from 13 ft,,33,31
123,2,9:11.0,Offensive rebound by J. Henson,,33,31
124,2,8:59.0,J. Terry makes 2-pt jump shot from 14 ft (assist by M. Brogdon),,35,31
125,2,8:35.0,,C. McCollum misses 2-pt jump shot from 6 ft,35,31
126,2,8:33.0,Defensive rebound by J. Henson,,35,31
127,2,8:26.0,K. Middleton makes 2-pt jump shot from 16 ft,,37,31
128,2,8:03.0,,S. Napier misses 3-pt jump shot from 28 ft,37,31
129,2,8:01.0,Defensive rebound by J. Henson,,37,31
130,2,7:54.0,J. Henson makes 2-pt layup at rim (assist by M. Brogdon),,39,31
131,2,7:54.0,Shooting foul by E. Davis (drawn by J. Henson),,39,31
132,2,7:54.0,,D. Lillard enters the game for C. McCollum,39,31
133,2,7:54.0,,J. Nurkić enters the game for E. Davis,39,31
134,2,7:54.0,E. Bledsoe enters the game for J. Terry,,39,31
135,2,7:54.0,J. Henson makes free throw 1 of 1,,40,31
136,2,7:47.0,,Personal foul by E. Bledsoe (drawn by S. Napier),40,31
137,2,7:47.0,,N. Vonleh enters the game for A. Aminu,40,31
138,2,7:41.0,,S. Napier misses 2-pt jump shot from 21 ft (block by E. Bledsoe),40,31
139,2,7:37.0,Defensive rebound by J. Henson,,40,31
140,2,7:27.0,M. Brogdon misses 3-pt jump shot from 22 ft,,40,31
141,2,7:25.0,,Defensive rebound by D. Lillard,40,31
142,2,7:16.0,,E. Turner makes 2-pt layup from 1 ft,40,33
143,2,7:02.0,Offensive foul by K. Middleton (drawn by S. Napier),,40,33
144,2,7:02.0,Turnover by K. Middleton (offensive foul),,40,33
145,2,7:02.0,G. Antetokounmpo enters the game for K. Middleton,,40,33
146,2,6:59.0,,Turnover by J. Nurkić (bad pass),40,33
147,2,6:49.0,E. Bledsoe makes 2-pt layup from 1 ft (assist by M. Brogdon),,42,33
148,2,6:34.0,,Turnover by D. Lillard (bad pass; steal by G. Antetokounmpo),42,33
149,2,6:29.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by D. Liggins),,44,33
150,2,6:29.0,,Portland full timeout,44,33
151,2,6:29.0,,C. McCollum enters the game for S. Napier,44,33
152,2,6:15.0,,N. Vonleh misses 2-pt layup from 2 ft,44,33
153,2,6:12.0,,Offensive rebound by J. Nurkić,44,33
154,2,6:12.0,,J. Nurkić misses 2-pt layup at rim,44,33
155,2,6:11.0,Defensive rebound by E. Bledsoe,,44,33
156,2,6:05.0,M. Brogdon misses 3-pt jump shot from 25 ft,,44,33
157,2,6:02.0,,Defensive rebound by D. Lillard,44,33
158,2,5:48.0,,E. Turner misses 2-pt jump shot from 13 ft,44,33
159,2,5:44.0,Defensive rebound by J. Henson,,44,33
160,2,5:28.0,G. Antetokounmpo misses 2-pt jump shot from 1 ft,,44,33
161,2,5:27.0,Offensive rebound by J. Henson,,44,33
162,2,5:24.0,J. Henson makes 2-pt jump shot from 1 ft,,46,33
163,2,5:05.0,,J. Nurkić makes 2-pt dunk at rim (assist by C. McCollum),46,35
164,2,4:41.0,J. Henson misses 2-pt hook shot from 5 ft,,46,35
165,2,4:39.0,,Defensive rebound by N. Vonleh,46,35
