,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:51.0,,D. Howard makes 2-pt dunk from 1 ft (assist by K. Walker),0,2
1,1,11:24.0,D. DeRozan misses 2-pt jump shot from 14 ft,,0,2
2,1,11:20.0,,Defensive rebound by D. Howard,0,2
3,1,11:15.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by N. Batum),0,5
4,1,10:51.0,K. Lowry misses 3-pt jump shot from 23 ft,,0,5
5,1,10:48.0,,Defensive rebound by D. Howard,0,5
6,1,10:40.0,,K. Walker makes 3-pt jump shot from 24 ft,0,8
7,1,10:29.0,Personal foul by N. Batum (drawn by K. Lowry),,0,8
8,1,10:25.0,J. Valančiūnas misses 2-pt jump shot from 15 ft,,0,8
9,1,10:22.0,,Defensive rebound by D. Howard,0,8
10,1,10:17.0,,Personal foul by O. Anunoby (drawn by N. Batum),0,8
11,1,10:09.0,,M. Kidd-Gilchrist makes 2-pt jump shot from 15 ft (assist by K. Walker),0,10
12,1,10:01.0,Toronto full timeout,,0,10
13,1,9:41.0,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,2,10
14,1,9:29.0,,D. Howard makes 2-pt dunk from 2 ft (assist by K. Walker),2,12
15,1,9:15.0,D. DeRozan misses 3-pt jump shot from 25 ft,,2,12
16,1,9:10.0,,Defensive rebound by D. Howard,2,12
17,1,9:04.0,,K. Walker misses 2-pt jump shot from 16 ft,2,12
18,1,9:01.0,Defensive rebound by J. Valančiūnas,,2,12
19,1,8:57.0,Shooting foul by K. Walker (drawn by J. Valančiūnas),,2,12
20,1,8:57.0,J. Valančiūnas makes free throw 1 of 2,,3,12
21,1,8:57.0,J. Valančiūnas misses free throw 2 of 2,,3,12
22,1,8:52.0,,Defensive rebound by M. Kidd-Gilchrist,3,12
23,1,8:39.0,,N. Batum misses 2-pt jump shot from 14 ft,3,12
24,1,8:34.0,Defensive rebound by O. Anunoby,,3,12
25,1,8:25.0,J. Valančiūnas makes 2-pt dunk from 1 ft (assist by K. Lowry),,5,12
26,1,8:02.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by M. Williams),5,14
27,1,7:47.0,K. Lowry makes 3-pt jump shot from 22 ft (assist by J. Valančiūnas),,8,14
28,1,7:31.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft,8,14
29,1,7:29.0,Defensive rebound by J. Valančiūnas,,8,14
30,1,7:19.0,D. DeRozan makes 2-pt layup from 1 ft (assist by K. Lowry),,10,14
31,1,7:07.0,,Personal foul by S. Ibaka (drawn by D. Howard),10,14
32,1,7:02.0,,N. Batum misses 3-pt jump shot from 25 ft,10,14
33,1,6:59.0,Defensive rebound by D. DeRozan,,10,14
34,1,6:46.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,10,14
35,1,6:43.0,,Defensive rebound by D. Howard,10,14
36,1,6:34.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 4 ft,10,14
37,1,6:31.0,,Offensive rebound by D. Howard,10,14
38,1,6:31.0,,D. Howard misses 2-pt layup at rim,10,14
39,1,6:30.0,Defensive rebound by K. Lowry,,10,14
40,1,6:26.0,D. DeRozan makes 2-pt layup at rim (assist by K. Lowry),,12,14
41,1,6:14.0,,K. Walker misses 2-pt jump shot from 13 ft,12,14
42,1,6:14.0,Defensive rebound by Team,,12,14
43,1,6:14.0,,Loose ball foul by D. Howard (drawn by K. Lowry),12,14
44,1,6:14.0,,T. Graham enters the game for M. Kidd-Gilchrist,12,14
45,1,6:00.0,K. Lowry misses 3-pt jump shot from 26 ft,,12,14
46,1,5:57.0,,Defensive rebound by D. Howard,12,14
47,1,5:52.0,,D. Howard makes 2-pt layup from 1 ft (assist by N. Batum),12,16
48,1,5:52.0,,Shooting foul by J. Valančiūnas (drawn by D. Howard),12,16
49,1,5:52.0,,D. Howard makes free throw 1 of 1,12,17
50,1,5:36.0,D. DeRozan makes 2-pt layup from 1 ft,,14,17
51,1,5:25.0,,Turnover by K. Walker (bad pass),14,17
52,1,5:14.0,J. Valančiūnas misses 2-pt jump shot from 9 ft,,14,17
53,1,5:11.0,,Defensive rebound by D. Howard,14,17
54,1,5:07.0,,K. Walker makes 2-pt jump shot from 14 ft,14,19
55,1,4:52.0,J. Valančiūnas makes 2-pt dunk at rim (assist by D. DeRozan),,16,19
56,1,4:37.0,,N. Batum misses 2-pt jump shot from 14 ft,16,19
57,1,4:33.0,Defensive rebound by S. Ibaka,,16,19
58,1,4:19.0,D. DeRozan misses 2-pt layup at rim,,16,19
59,1,4:19.0,,Defensive rebound by M. Williams,16,19
