,QUARTER,TIME_REMAINING,TORONTO_ACTION,INDIANA_ACTION,TORONTO_SCORE,INDIANA_SCORE
0,1,11:45.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,3,0
1,1,11:33.0,,Turnover by D. Collison (bad pass; steal by S. Ibaka),3,0
2,1,11:30.0,S. Ibaka makes 2-pt dunk at rim,,5,0
3,1,11:08.0,,D. Collison makes 3-pt jump shot from 26 ft (assist by M. Turner),5,3
4,1,10:54.0,Turnover by D. DeRozan (bad pass; steal by T. Young),,5,3
5,1,10:50.0,,D. Collison makes 2-pt layup at rim (assist by T. Young),5,5
6,1,10:38.0,Offensive foul by S. Ibaka (drawn by T. Young),,5,5
7,1,10:38.0,Turnover by S. Ibaka (offensive foul),,5,5
8,1,10:20.0,,D. Collison makes 2-pt layup at rim (assist by T. Young),5,7
9,1,10:10.0,O. Anunoby misses 3-pt jump shot from 24 ft,,5,7
10,1,10:07.0,,Defensive rebound by D. Collison,5,7
11,1,10:02.0,,M. Turner makes 3-pt jump shot from 23 ft (assist by D. Collison),5,10
12,1,9:39.0,S. Ibaka misses 3-pt jump shot from 25 ft,,5,10
13,1,9:36.0,,Defensive rebound by M. Turner,5,10
14,1,9:32.0,,V. Oladipo makes 2-pt layup from 1 ft,5,12
15,1,9:24.0,Toronto full timeout,,5,12
16,1,9:09.0,O. Anunoby makes 2-pt jump shot from 3 ft,,7,12
17,1,9:00.0,,Personal foul by K. Lowry (drawn by B. Bogdanović),7,12
18,1,8:53.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,7,12
19,1,8:49.0,Defensive rebound by J. Valančiūnas,,7,12
20,1,8:43.0,S. Ibaka makes 2-pt hook shot from 5 ft (assist by K. Lowry),,9,12
21,1,8:27.0,,T. Young misses 2-pt hook shot from 8 ft,9,12
22,1,8:25.0,Defensive rebound by S. Ibaka,,9,12
23,1,8:20.0,Shooting foul by B. Bogdanović (drawn by D. DeRozan),,9,12
24,1,8:20.0,D. DeRozan misses free throw 1 of 2,,9,12
25,1,8:20.0,Offensive rebound by Team,,9,12
26,1,8:20.0,D. DeRozan makes free throw 2 of 2,,10,12
27,1,8:06.0,,M. Turner misses 3-pt jump shot from 23 ft,10,12
28,1,8:02.0,Defensive rebound by S. Ibaka,,10,12
29,1,7:43.0,Shooting foul by M. Turner (drawn by J. Valančiūnas),,10,12
30,1,7:43.0,J. Valančiūnas makes free throw 1 of 2,,11,12
31,1,7:43.0,J. Valančiūnas makes free throw 2 of 2,,12,12
32,1,7:30.0,,D. Collison makes 2-pt jump shot from 16 ft,12,14
33,1,7:13.0,O. Anunoby makes 2-pt layup from 1 ft (assist by S. Ibaka),,14,14
34,1,6:57.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,14,14
35,1,6:53.0,Defensive rebound by K. Lowry,,14,14
36,1,6:49.0,D. DeRozan misses 3-pt jump shot from 22 ft,,14,14
37,1,6:45.0,,Defensive rebound by M. Turner,14,14
38,1,6:42.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by D. Collison),14,17
39,1,6:25.0,Turnover by D. DeRozan (bad pass; steal by T. Young),,14,17
40,1,6:16.0,,M. Turner misses 2-pt layup from 1 ft,14,17
41,1,6:16.0,,Offensive rebound by T. Young,14,17
42,1,6:04.0,,T. Young makes 3-pt jump shot from 28 ft (assist by V. Oladipo),14,20
43,1,5:47.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,,14,20
44,1,5:45.0,,Defensive rebound by T. Young,14,20
45,1,5:42.0,,B. Bogdanović misses 2-pt layup from 1 ft,14,20
46,1,5:39.0,,Offensive rebound by M. Turner,14,20
47,1,5:38.0,,D. Collison makes 3-pt jump shot from 25 ft (assist by M. Turner),14,23
48,1,5:28.0,Turnover by S. Ibaka (traveling),,14,23
49,1,5:28.0,P. Siakam enters the game for J. Valančiūnas,,14,23
50,1,5:11.0,,Personal foul by O. Anunoby (drawn by V. Oladipo),14,23
51,1,5:11.0,N. Powell enters the game for O. Anunoby,,14,23
52,1,5:04.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),14,25
53,1,4:42.0,S. Ibaka misses 2-pt layup at rim (block by M. Turner),,14,25
54,1,4:39.0,,Defensive rebound by M. Turner,14,25
55,1,4:28.0,,T. Young misses 2-pt layup at rim,14,25
56,1,4:27.0,,Offensive rebound by Team,14,25
57,1,4:22.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Collison),14,27
58,1,4:04.0,P. Siakam misses 3-pt jump shot from 22 ft,,14,27
59,1,4:01.0,,Defensive rebound by D. Collison,14,27
60,1,3:58.0,,V. Oladipo misses 2-pt layup at rim,14,27
61,1,3:53.0,Defensive rebound by P. Siakam,,14,27
62,1,3:52.0,Personal foul by M. Turner (drawn by D. DeRozan),,14,27
63,1,3:52.0,,D. Sabonis enters the game for D. Collison,14,27
64,1,3:52.0,,C. Joseph enters the game for M. Turner,14,27
65,1,3:52.0,J. Poeltl enters the game for S. Ibaka,,14,27
66,1,3:36.0,N. Powell misses 3-pt jump shot from 24 ft,,14,27
67,1,3:34.0,,Defensive rebound by Team,14,27
68,1,3:14.0,,C. Joseph misses 2-pt layup at rim (block by P. Siakam),14,27
69,1,3:12.0,,Offensive rebound by T. Young,14,27
70,1,3:11.0,,D. Sabonis misses 3-pt jump shot from 28 ft,14,27
71,1,3:07.0,Defensive rebound by K. Lowry,,14,27
72,1,3:02.0,Shooting foul by C. Joseph (drawn by K. Lowry),,14,27
73,1,3:02.0,K. Lowry makes free throw 1 of 2,,15,27
74,1,3:02.0,K. Lowry makes free throw 2 of 2,,16,27
75,1,2:59.0,,Indiana full timeout,16,27
76,1,2:59.0,F. VanVleet enters the game for K. Lowry,,16,27
77,1,2:52.0,,Shooting foul by N. Powell (drawn by B. Bogdanović),16,27
78,1,2:52.0,,B. Bogdanović makes free throw 1 of 2,16,28
79,1,2:52.0,,L. Stephenson enters the game for V. Oladipo,16,28
80,1,2:52.0,,B. Bogdanović misses free throw 2 of 2,16,28
81,1,2:50.0,Defensive rebound by N. Powell,,16,28
82,1,2:33.0,D. DeRozan makes 2-pt jump shot from 10 ft,,18,28
83,1,2:17.0,,D. Sabonis misses 2-pt hook shot from 6 ft,18,28
84,1,2:15.0,Defensive rebound by P. Siakam,,18,28
85,1,2:07.0,Personal foul by L. Stephenson (drawn by F. VanVleet),,18,28
86,1,2:07.0,F. VanVleet misses free throw 1 of 2,,18,28
87,1,2:07.0,Offensive rebound by Team,,18,28
88,1,2:07.0,,T. Leaf enters the game for T. Young,18,28
89,1,2:07.0,F. VanVleet makes free throw 2 of 2,,19,28
90,1,1:54.0,,B. Bogdanović misses 2-pt dunk from 1 ft (block by J. Poeltl),19,28
91,1,1:50.0,,Offensive rebound by T. Leaf,19,28
92,1,1:48.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,19,28
93,1,1:44.0,Defensive rebound by F. VanVleet,,19,28
94,1,1:40.0,F. VanVleet makes 2-pt layup at rim,,21,28
95,1,1:28.0,,Shooting foul by F. VanVleet (drawn by D. Sabonis),21,28
96,1,1:28.0,,D. Sabonis makes free throw 1 of 2,21,29
97,1,1:28.0,,D. Sabonis misses free throw 2 of 2,21,29
98,1,1:25.0,Defensive rebound by P. Siakam,,21,29
99,1,1:12.0,N. Powell makes 2-pt layup from 1 ft,,23,29
100,1,0:57.0,,D. Sabonis misses 2-pt jump shot from 20 ft,23,29
