,QUARTER,TIME_REMAINING,MIAMI_ACTION,ORLANDO_ACTION,MIAMI_SCORE,ORLANDO_SCORE
0,1,11:46.0,K. Olynyk misses 3-pt jump shot from 22 ft,,0,0
1,1,11:36.0,,Defensive rebound by T. Ross,0,0
2,1,11:29.0,,T. Ross misses 3-pt jump shot from 27 ft,0,0
3,1,11:27.0,Defensive rebound by H. Whiteside,,0,0
4,1,11:19.0,G. Dragić misses 2-pt jump shot from 15 ft,,0,0
5,1,11:10.0,Offensive rebound by H. Whiteside,,0,0
6,1,11:10.0,H. Whiteside misses 2-pt layup at rim,,0,0
7,1,11:10.0,,Defensive rebound by N. Vučević,0,0
8,1,11:10.0,,Personal foul by K. Olynyk (drawn by E. Payton),0,0
9,1,11:09.0,,Turnover by T. Ross (bad pass),0,0
10,1,10:56.0,H. Whiteside misses 2-pt jump shot from 6 ft,,0,0
11,1,10:52.0,Offensive rebound by H. Whiteside,,0,0
12,1,10:50.0,G. Dragić makes 2-pt jump shot from 22 ft (assist by H. Whiteside),,2,0
13,1,10:42.0,,N. Vučević misses 3-pt jump shot from 26 ft,2,0
14,1,10:42.0,Defensive rebound by H. Whiteside,,2,0
15,1,10:32.0,D. Waiters makes 2-pt layup from 1 ft,,4,0
16,1,10:16.0,,E. Fournier misses 2-pt jump shot from 6 ft (block by J. Richardson),4,0
17,1,10:16.0,,Offensive rebound by Team,4,0
18,1,10:10.0,,E. Fournier makes 2-pt hook shot from 7 ft (assist by E. Payton),4,2
19,1,9:55.0,K. Olynyk misses 2-pt layup from 3 ft,,4,2
20,1,9:53.0,,Defensive rebound by A. Gordon,4,2
21,1,9:48.0,,A. Gordon misses 2-pt layup from 3 ft,4,2
22,1,9:45.0,Defensive rebound by H. Whiteside,,4,2
23,1,9:43.0,K. Olynyk makes 2-pt layup from 2 ft (assist by G. Dragić),,6,2
24,1,9:29.0,,N. Vučević makes 2-pt dunk at rim (assist by T. Ross),6,4
25,1,9:04.0,D. Waiters misses 2-pt hook shot from 7 ft (block by A. Gordon),,6,4
26,1,9:00.0,,Defensive rebound by E. Payton,6,4
27,1,8:58.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by E. Payton),6,6
28,1,8:41.0,H. Whiteside makes 2-pt hook shot from 5 ft (assist by J. Richardson),,8,6
29,1,8:24.0,,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),8,8
30,1,8:10.0,Shooting foul by E. Payton (drawn by G. Dragić),,8,8
31,1,8:10.0,G. Dragić makes free throw 1 of 2,,9,8
32,1,8:10.0,G. Dragić makes free throw 2 of 2,,10,8
33,1,8:01.0,,E. Payton makes 2-pt jump shot from 11 ft,10,10
34,1,7:49.0,H. Whiteside makes 2-pt layup from 2 ft (assist by G. Dragić),,12,10
35,1,7:39.0,,T. Ross makes 2-pt jump shot from 22 ft (assist by E. Payton),12,12
36,1,7:26.0,G. Dragić misses 2-pt layup from 4 ft (block by A. Gordon),,12,12
37,1,7:22.0,,Defensive rebound by A. Gordon,12,12
38,1,7:17.0,,Turnover by E. Payton (bad pass; steal by D. Waiters),12,12
39,1,7:13.0,K. Olynyk misses 2-pt layup from 1 ft (block by N. Vučević),,12,12
40,1,7:09.0,,Defensive rebound by N. Vučević,12,12
41,1,7:07.0,,A. Gordon makes 3-pt jump shot from 26 ft,12,15
42,1,6:46.0,Shooting foul by A. Gordon (drawn by K. Olynyk),,12,15
43,1,6:46.0,,Orlando full timeout,12,15
44,1,6:46.0,K. Olynyk makes free throw 1 of 2,,13,15
45,1,6:46.0,K. Olynyk makes free throw 2 of 2,,14,15
46,1,6:34.0,,A. Gordon misses 2-pt jump shot from 18 ft,14,15
47,1,6:31.0,Defensive rebound by G. Dragić,,14,15
48,1,6:13.0,K. Olynyk makes 3-pt jump shot from 23 ft (assist by D. Waiters),,17,15
49,1,5:48.0,,N. Vučević misses 3-pt jump shot from 26 ft,17,15
50,1,5:47.0,Defensive rebound by Team,,17,15
51,1,5:47.0,T. Johnson enters the game for J. Richardson,,17,15
52,1,5:47.0,J. Johnson enters the game for K. Olynyk,,17,15
53,1,5:32.0,T. Johnson misses 3-pt jump shot from 25 ft,,17,15
54,1,5:30.0,Offensive rebound by Team,,17,15
