,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ATLANTA_ACTION,PHILADELPHIA_SCORE,ATLANTA_SCORE
0,1,11:47.0,J. Redick makes 2-pt jump shot from 17 ft,,2,0
1,1,11:21.0,,I. Taylor misses 2-pt jump shot from 3 ft,2,0
2,1,11:16.0,Defensive rebound by B. Simmons,,2,0
3,1,11:14.0,R. Covington makes 2-pt layup from 1 ft (assist by B. Simmons),,4,0
4,1,10:56.0,,D. Lee misses 2-pt layup from 3 ft,4,0
5,1,10:55.0,,Offensive rebound by J. Collins,4,0
6,1,10:49.0,,T. Prince misses 3-pt jump shot from 25 ft,4,0
7,1,10:45.0,Defensive rebound by J. Redick,,4,0
8,1,10:41.0,J. Redick misses 3-pt jump shot from 25 ft,,4,0
9,1,10:38.0,,Defensive rebound by D. Lee,4,0
10,1,10:30.0,,D. Lee misses 3-pt jump shot from 24 ft,4,0
11,1,10:27.0,Defensive rebound by B. Simmons,,4,0
12,1,10:19.0,Turnover by B. Simmons (bad pass),,4,0
13,1,10:06.0,,T. Prince makes 2-pt jump shot from 8 ft (assist by J. Collins),4,2
14,1,9:56.0,D. Šarić misses 3-pt jump shot from 25 ft,,4,2
15,1,9:53.0,,Defensive rebound by D. Dedmon,4,2
16,1,9:48.0,,T. Prince misses 3-pt jump shot from 27 ft,4,2
17,1,9:45.0,Defensive rebound by Team,,4,2
18,1,9:29.0,B. Simmons misses 2-pt jump shot from 8 ft,,4,2
19,1,9:24.0,Offensive rebound by A. Johnson,,4,2
20,1,9:23.0,R. Covington misses 3-pt jump shot from 25 ft,,4,2
21,1,9:20.0,,Defensive rebound by J. Collins,4,2
22,1,9:16.0,,D. Lee makes 2-pt layup from 2 ft,4,4
23,1,9:16.0,,Shooting foul by D. Šarić (drawn by D. Lee),4,4
24,1,9:16.0,,D. Lee makes free throw 1 of 1,4,5
25,1,9:05.0,J. Redick makes 2-pt layup from 1 ft (assist by B. Simmons),,6,5
26,1,9:05.0,Shooting foul by J. Collins (drawn by J. Redick),,6,5
27,1,9:05.0,J. Redick makes free throw 1 of 1,,7,5
28,1,8:54.0,,I. Taylor makes 2-pt layup from 1 ft,7,7
29,1,8:54.0,Philadelphia full timeout,,7,7
30,1,8:46.0,B. Simmons misses 2-pt layup from 1 ft (block by D. Dedmon),,7,7
31,1,8:42.0,,Defensive rebound by T. Prince,7,7
32,1,8:34.0,,D. Lee misses 3-pt jump shot from 23 ft,7,7
33,1,8:31.0,Defensive rebound by B. Simmons,,7,7
34,1,8:27.0,Turnover by D. Šarić (step out of bounds),,7,7
35,1,8:09.0,,D. Dedmon makes 3-pt jump shot from 25 ft (assist by I. Taylor),7,10
36,1,7:54.0,Turnover by D. Šarić (bad pass; steal by D. Lee),,7,10
37,1,7:49.0,,T. Prince misses 3-pt jump shot from 24 ft,7,10
38,1,7:46.0,Defensive rebound by A. Johnson,,7,10
39,1,7:43.0,R. Covington misses 3-pt jump shot from 23 ft,,7,10
40,1,7:37.0,,Defensive rebound by D. Dedmon,7,10
41,1,7:24.0,,D. Lee misses 2-pt layup from 3 ft,7,10
42,1,7:22.0,Defensive rebound by A. Johnson,,7,10
43,1,7:16.0,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),,9,10
44,1,7:02.0,,T. Prince makes 2-pt jump shot from 21 ft (assist by J. Collins),9,12
45,1,6:57.0,B. Simmons makes 2-pt layup from 1 ft,,11,12
46,1,6:57.0,Shooting foul by T. Prince (drawn by B. Simmons),,11,12
47,1,6:57.0,,M. Muscala enters the game for J. Collins,11,12
48,1,6:57.0,,T. Dorsey enters the game for I. Taylor,11,12
49,1,6:57.0,E. İlyasova enters the game for R. Covington,,11,12
50,1,6:57.0,R. Holmes enters the game for D. Šarić,,11,12
51,1,6:57.0,T. McConnell enters the game for A. Johnson,,11,12
52,1,6:57.0,M. Belinelli enters the game for J. Redick,,11,12
53,1,6:57.0,B. Simmons makes free throw 1 of 1,,12,12
54,1,6:43.0,,D. Dedmon misses 2-pt jump shot from 12 ft,12,12
55,1,6:39.0,,Offensive rebound by D. Dedmon,12,12
56,1,6:38.0,,D. Dedmon misses 2-pt layup from 4 ft (block by B. Simmons),12,12
57,1,6:38.0,Defensive rebound by E. İlyasova,,12,12
58,1,6:33.0,Turnover by B. Simmons (lost ball; steal by T. Prince),,12,12
59,1,6:25.0,,T. Prince misses 2-pt layup from 2 ft,12,12
60,1,6:21.0,Defensive rebound by R. Holmes,,12,12
61,1,6:16.0,B. Simmons makes 2-pt dunk at rim (assist by T. McConnell),,14,12
62,1,6:16.0,,Atlanta full timeout,14,12
63,1,6:04.0,,Personal foul by T. McConnell (drawn by T. Prince),14,12
64,1,6:03.0,,Personal foul by B. Simmons (drawn by D. Dedmon),14,12
65,1,5:54.0,,T. Prince makes 2-pt jump shot from 13 ft,14,14
66,1,5:41.0,M. Belinelli misses 2-pt jump shot from 21 ft,,14,14
67,1,5:38.0,,Defensive rebound by M. Muscala,14,14
68,1,5:30.0,,T. Prince misses 2-pt jump shot from 11 ft (block by E. İlyasova),14,14
69,1,5:25.0,Defensive rebound by E. İlyasova,,14,14
70,1,5:21.0,E. İlyasova misses 3-pt jump shot from 24 ft,,14,14
71,1,5:17.0,,Defensive rebound by D. Lee,14,14
72,1,5:10.0,,Personal foul by M. Belinelli (drawn by D. Lee),14,14
73,1,5:00.0,,T. Prince makes 2-pt jump shot from 11 ft,14,16
74,1,4:51.0,E. İlyasova makes 2-pt layup from 1 ft (assist by B. Simmons),,16,16
75,1,4:40.0,,D. Dedmon misses 2-pt jump shot from 12 ft (block by R. Holmes),16,16
76,1,4:38.0,,Offensive rebound by T. Prince,16,16
77,1,4:35.0,,D. Lee makes 2-pt layup from 2 ft (assist by T. Prince),16,18
78,1,4:27.0,E. İlyasova makes 3-pt jump shot from 25 ft (assist by B. Simmons),,19,18
79,1,4:10.0,,D. Lee makes 2-pt layup from 12 ft (assist by T. Prince),19,20
80,1,3:51.0,E. İlyasova makes 2-pt jump shot from 14 ft (assist by M. Belinelli),,21,20
81,1,3:32.0,,T. Prince makes 2-pt dunk from 1 ft,21,22
82,1,3:20.0,B. Simmons misses 2-pt jump shot from 15 ft,,21,22
83,1,3:16.0,,Defensive rebound by D. Dedmon,21,22
84,1,3:13.0,,T. Dorsey misses 3-pt jump shot from 24 ft,21,22
85,1,3:09.0,Defensive rebound by B. Simmons,,21,22
86,1,3:06.0,M. Belinelli misses 3-pt jump shot from 25 ft,,21,22
87,1,3:01.0,Offensive rebound by R. Holmes,,21,22
88,1,2:55.0,B. Simmons makes 2-pt jump shot from 12 ft (assist by E. İlyasova),,23,22
89,1,2:37.0,,M. Muscala misses 3-pt jump shot from 25 ft,23,22
90,1,2:34.0,Defensive rebound by E. İlyasova,,23,22
91,1,2:24.0,E. İlyasova makes 2-pt jump shot from 1 ft (assist by B. Simmons),,25,22
92,1,2:20.0,,Atlanta full timeout,25,22
93,1,2:20.0,,M. Plumlee enters the game for D. Lee,25,22
94,1,2:20.0,,A. White enters the game for T. Prince,25,22
95,1,2:20.0,,I. Taylor enters the game for D. Dedmon,25,22
96,1,2:20.0,J. Redick enters the game for B. Simmons,,25,22
97,1,2:20.0,R. Covington enters the game for R. Holmes,,25,22
98,1,2:20.0,D. Šarić enters the game for T. McConnell,,25,22
99,1,2:20.0,M. Fultz enters the game for M. Belinelli,,25,22
100,1,2:02.0,,T. Dorsey misses 3-pt jump shot from 25 ft,25,22
101,1,1:59.0,Defensive rebound by E. İlyasova,,25,22
102,1,1:49.0,Shooting foul by T. Dorsey (drawn by E. İlyasova),,25,22
103,1,1:49.0,E. İlyasova makes free throw 1 of 2,,26,22
104,1,1:49.0,E. İlyasova makes free throw 2 of 2,,27,22
105,1,1:36.0,,A. White makes 3-pt jump shot from 25 ft (assist by I. Taylor),27,25
106,1,1:26.0,R. Covington misses 3-pt jump shot from 24 ft,,27,25
107,1,1:23.0,,Defensive rebound by T. Dorsey,27,25
108,1,1:19.0,,T. Dorsey misses 2-pt layup from 1 ft,27,25
109,1,1:18.0,,Offensive rebound by M. Plumlee,27,25
110,1,1:10.0,,M. Muscala misses 3-pt jump shot from 22 ft,27,25
111,1,1:07.0,Defensive rebound by E. İlyasova,,27,25
112,1,0:59.0,E. İlyasova misses 2-pt jump shot from 15 ft,,27,25
113,1,0:58.0,,Defensive rebound by Team,27,25
114,1,0:44.0,Offensive charge foul by I. Taylor (drawn by E. İlyasova),,27,25
115,1,0:44.0,,Turnover by I. Taylor (offensive foul),27,25
116,1,0:36.0,Shooting foul by T. Dorsey (drawn by J. Redick),,27,25
117,1,0:36.0,J. Redick makes free throw 1 of 2,,28,25
118,1,0:36.0,J. Redick misses free throw 2 of 2,,28,25
119,1,0:33.0,,Defensive rebound by A. White,28,25
120,1,0:25.0,,I. Taylor misses 2-pt jump shot from 8 ft,28,25
121,1,0:24.0,,Offensive rebound by M. Plumlee,28,25
122,1,0:24.0,,M. Plumlee makes 2-pt dunk at rim,28,27
123,1,0:01.0,M. Fultz makes 2-pt layup from 1 ft (assist by J. Redick),,30,27
124,1,0:00.0,,T. Dorsey misses 3-pt jump shot from 52 ft,30,27
125,1,0:00.0,,Offensive rebound by Team,30,27
126,2,11:39.0,,I. Taylor misses 2-pt layup from 1 ft,30,27
127,2,11:34.0,,Offensive rebound by J. Collins,30,27
128,2,11:32.0,,Turnover by A. White (bad pass; steal by R. Covington),30,27
129,2,11:26.0,Turnover by J. Redick (bad pass; steal by A. White),,30,27
130,2,11:24.0,,Personal foul by E. İlyasova (drawn by M. Plumlee),30,27
131,2,11:13.0,,Turnover by J. Collins (bad pass; steal by E. İlyasova),30,27
132,2,11:04.0,M. Fultz misses 2-pt layup from 1 ft (block by J. Collins),,30,27
133,2,11:00.0,,Defensive rebound by D. Lee,30,27
134,2,10:58.0,,A. White misses 3-pt jump shot from 24 ft,30,27
135,2,10:56.0,Defensive rebound by Team,,30,27
136,2,10:43.0,D. Šarić misses 2-pt layup from 2 ft (block by J. Collins),,30,27
137,2,10:42.0,Offensive rebound by Team,,30,27
138,2,10:40.0,R. Covington misses 3-pt jump shot from 24 ft,,30,27
139,2,10:36.0,,Defensive rebound by M. Plumlee,30,27
140,2,10:28.0,,M. Plumlee makes 2-pt dunk at rim (assist by I. Taylor),30,29
141,2,10:16.0,Personal foul by J. Collins (drawn by E. İlyasova),,30,29
142,2,10:16.0,A. Johnson enters the game for E. İlyasova,,30,29
143,2,10:10.0,J. Redick misses 2-pt jump shot from 20 ft,,30,29
144,2,10:06.0,,Defensive rebound by A. White,30,29
145,2,10:02.0,,D. Lee misses 2-pt jump shot from 4 ft,30,29
146,2,9:58.0,Defensive rebound by A. Johnson,,30,29
147,2,9:54.0,D. Šarić misses 3-pt jump shot from 24 ft,,30,29
148,2,9:49.0,,Defensive rebound by A. White,30,29
149,2,9:38.0,,Personal foul by R. Covington (drawn by I. Taylor),30,29
150,2,9:38.0,,D. Dedmon enters the game for M. Plumlee,30,29
151,2,9:38.0,M. Belinelli enters the game for J. Redick,,30,29
152,2,9:29.0,,A. White misses 3-pt jump shot from 24 ft,30,29
153,2,9:25.0,Defensive rebound by D. Šarić,,30,29
154,2,9:19.0,M. Fultz misses 2-pt jump shot from 21 ft,,30,29
155,2,9:14.0,,Defensive rebound by D. Dedmon,30,29
156,2,9:07.0,,A. White misses 2-pt layup from 2 ft,30,29
157,2,9:05.0,,Offensive rebound by D. Dedmon,30,29
158,2,9:01.0,,A. White misses 3-pt jump shot from 23 ft,30,29
159,2,9:01.0,Defensive rebound by A. Johnson,,30,29
160,2,8:48.0,R. Covington misses 3-pt jump shot from 25 ft,,30,29
161,2,8:45.0,,Defensive rebound by J. Collins,30,29
162,2,8:33.0,,Turnover by J. Collins (lost ball; steal by M. Fultz),30,29
163,2,8:29.0,M. Fultz makes 2-pt dunk at rim (assist by A. Johnson),,32,29
164,2,8:27.0,,Atlanta full timeout,32,29
165,2,8:27.0,,T. Dorsey enters the game for A. White,32,29
166,2,8:27.0,,T. Prince enters the game for I. Taylor,32,29
167,2,8:27.0,B. Simmons enters the game for M. Fultz,,32,29
168,2,8:15.0,,D. Dedmon makes 2-pt dunk at rim (assist by J. Collins),32,31
169,2,8:15.0,,Shooting foul by A. Johnson (drawn by D. Dedmon),32,31
170,2,8:15.0,,D. Dedmon makes free throw 1 of 1,32,32
171,2,8:01.0,D. Šarić misses 3-pt jump shot from 25 ft,,32,32
172,2,7:56.0,Offensive rebound by A. Johnson,,32,32
173,2,7:54.0,R. Covington misses 3-pt jump shot from 24 ft,,32,32
174,2,7:51.0,,Defensive rebound by D. Dedmon,32,32
175,2,7:44.0,,T. Prince misses 3-pt jump shot from 26 ft,32,32
176,2,7:42.0,Defensive rebound by D. Šarić,,32,32
177,2,7:28.0,Turnover by D. Šarić (bad pass; steal by D. Dedmon),,32,32
178,2,7:16.0,,J. Collins misses 2-pt jump shot from 10 ft (block by B. Simmons),32,32
179,2,7:13.0,Defensive rebound by B. Simmons,,32,32
180,2,7:06.0,M. Belinelli misses 3-pt jump shot from 25 ft,,32,32
181,2,7:01.0,,Defensive rebound by D. Dedmon,32,32
182,2,6:57.0,,Turnover by T. Dorsey (bad pass),32,32
183,2,6:44.0,M. Belinelli makes 2-pt jump shot from 15 ft (assist by D. Šarić),,34,32
