,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,PHOENIX_ACTION,PHILADELPHIA_SCORE,PHOENIX_SCORE
0,1,11:44.0,D. Šarić makes 2-pt layup at rim,,2,0
1,1,11:24.0,,D. Booker misses 2-pt jump shot from 22 ft,2,0
2,1,11:20.0,,Offensive rebound by T. Chandler,2,0
3,1,11:20.0,,T. Chandler makes 2-pt layup at rim,2,2
4,1,11:04.0,J. Embiid misses 2-pt jump shot from 18 ft,,2,2
5,1,11:02.0,,Defensive rebound by M. Chriss,2,2
6,1,10:42.0,,Turnover by M. Chriss (bad pass),2,2
7,1,10:34.0,Personal foul by T. Warren (drawn by B. Simmons),,2,2
8,1,10:24.0,D. Šarić misses 2-pt jump shot from 21 ft,,2,2
9,1,10:20.0,,Defensive rebound by T. Chandler,2,2
10,1,10:17.0,,T. Warren makes 2-pt dunk at rim (assist by D. Booker),2,4
11,1,10:08.0,B. Simmons makes 2-pt dunk at rim,,4,4
12,1,9:56.0,,Personal foul by J. Redick (drawn by D. Booker),4,4
13,1,9:53.0,,Turnover by T. Warren (bad pass; steal by B. Simmons),4,4
14,1,9:46.0,R. Covington makes 3-pt jump shot from 23 ft (assist by B. Simmons),,7,4
15,1,9:31.0,,Turnover by M. Chriss (bad pass; steal by J. Embiid),7,4
16,1,9:26.0,J. Embiid misses 3-pt jump shot from 24 ft,,7,4
17,1,9:22.0,Offensive rebound by D. Šarić,,7,4
18,1,9:22.0,D. Šarić makes 2-pt layup at rim,,9,4
19,1,9:07.0,,T. Ulis misses 2-pt jump shot from 13 ft,9,4
20,1,9:04.0,Defensive rebound by B. Simmons,,9,4
21,1,8:59.0,Personal block foul by M. Chriss (drawn by D. Šarić),,9,4
22,1,8:53.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,12,4
23,1,8:51.0,,Phoenix full timeout,12,4
24,1,8:36.0,,Turnover by D. Booker (bad pass; steal by D. Šarić),12,4
25,1,8:31.0,B. Simmons misses 2-pt layup from 1 ft (block by M. Chriss),,12,4
26,1,8:28.0,,Defensive rebound by D. Booker,12,4
27,1,8:27.0,Offensive charge foul by D. Booker (drawn by J. Redick),,12,4
28,1,8:27.0,,Turnover by D. Booker (offensive foul),12,4
29,1,8:12.0,J. Embiid makes 2-pt jump shot from 16 ft,,14,4
30,1,7:46.0,,T. Ulis misses 2-pt jump shot from 6 ft (block by J. Embiid),14,4
31,1,7:43.0,Defensive rebound by J. Redick,,14,4
32,1,7:39.0,R. Covington misses 3-pt jump shot from 24 ft,,14,4
33,1,7:37.0,Offensive rebound by D. Šarić,,14,4
34,1,7:34.0,B. Simmons makes 2-pt layup at rim (assist by D. Šarić),,16,4
35,1,7:11.0,,T. Warren makes 2-pt jump shot from 12 ft,16,6
36,1,7:04.0,J. Redick misses 2-pt jump shot from 22 ft,,16,6
37,1,7:04.0,,Defensive rebound by T. Warren,16,6
38,1,6:58.0,,M. Chriss makes 2-pt jump shot from 11 ft (assist by T. Warren),16,8
39,1,6:58.0,,Shooting block foul by B. Simmons (drawn by M. Chriss),16,8
40,1,6:58.0,,A. Len enters the game for T. Chandler,16,8
41,1,6:58.0,,I. Canaan enters the game for T. Ulis,16,8
42,1,6:58.0,A. Johnson enters the game for J. Embiid,,16,8
43,1,6:58.0,T. McConnell enters the game for J. Redick,,16,8
44,1,6:58.0,,M. Chriss makes free throw 1 of 1,16,9
45,1,6:49.0,D. Šarić makes 2-pt dunk from 1 ft (assist by A. Johnson),,18,9
46,1,6:32.0,,D. Booker misses 2-pt jump shot from 3 ft,18,9
47,1,6:32.0,,Offensive rebound by Team,18,9
48,1,6:32.0,,D. Bender enters the game for M. Chriss,18,9
49,1,6:18.0,,Shooting foul by A. Johnson (drawn by A. Len),18,9
50,1,6:18.0,,A. Len makes free throw 1 of 2,18,10
51,1,6:18.0,J. Bayless enters the game for D. Šarić,,18,10
52,1,6:18.0,,A. Len makes free throw 2 of 2,18,11
53,1,6:10.0,Turnover by B. Simmons (lost ball; steal by T. Warren),,18,11
54,1,6:08.0,,Shooting foul by B. Simmons (drawn by T. Warren),18,11
55,1,6:08.0,,T. Warren makes free throw 1 of 2,18,12
56,1,6:08.0,,T. Warren makes free throw 2 of 2,18,13
57,1,5:58.0,J. Bayless misses 2-pt jump shot from 17 ft,,18,13
58,1,5:54.0,,Defensive rebound by T. Warren,18,13
59,1,5:51.0,,Shooting foul by R. Covington (drawn by T. Warren),18,13
60,1,5:51.0,,T. Warren makes free throw 1 of 2,18,14
61,1,5:51.0,,T. Warren misses free throw 2 of 2,18,14
62,1,5:49.0,Defensive rebound by B. Simmons,,18,14
63,1,5:41.0,A. Johnson makes 2-pt layup from 1 ft,,20,14
64,1,5:27.0,,D. Booker makes 2-pt jump shot from 13 ft,20,16
65,1,5:15.0,R. Covington makes 2-pt jump shot from 19 ft (assist by B. Simmons),,22,16
66,1,4:58.0,,T. Warren makes 2-pt jump shot from 12 ft,22,18
67,1,4:47.0,R. Covington misses 3-pt jump shot from 26 ft,,22,18
68,1,4:45.0,,Defensive rebound by I. Canaan,22,18
69,1,4:35.0,,T. Warren makes 2-pt jump shot from 10 ft (assist by D. Bender),22,20
70,1,4:34.0,Philadelphia full timeout,,22,20
71,1,4:34.0,,J. Jackson enters the game for T. Warren,22,20
72,1,4:34.0,J. Redick enters the game for A. Johnson,,22,20
73,1,4:34.0,T. Booker enters the game for B. Simmons,,22,20
74,1,4:34.0,J. Embiid enters the game for R. Covington,,22,20
75,1,4:17.0,J. Embiid makes 2-pt jump shot from 13 ft (assist by J. Bayless),,24,20
76,1,3:48.0,,J. Jackson misses 2-pt layup from 1 ft,24,20
77,1,3:43.0,,Offensive rebound by J. Jackson,24,20
78,1,3:43.0,,J. Jackson misses 2-pt layup at rim,24,20
79,1,3:43.0,Defensive rebound by T. McConnell,,24,20
80,1,3:36.0,T. McConnell makes 2-pt jump shot from 10 ft,,26,20
81,1,3:18.0,,J. Jackson misses 3-pt jump shot from 23 ft,26,20
