,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:44.0,,B. Ingram misses 2-pt jump shot from 14 ft,0,0
1,1,11:39.0,,Offensive rebound by B. Lopez,0,0
2,1,11:38.0,,B. Lopez makes 2-pt layup from 2 ft,0,2
3,1,11:16.0,T. Ulis misses 3-pt jump shot from 26 ft,,0,2
4,1,11:11.0,Offensive rebound by T. Warren,,0,2
5,1,11:01.0,G. Monroe misses 2-pt jump shot from 5 ft,,0,2
6,1,10:58.0,,Defensive rebound by B. Ingram,0,2
7,1,10:53.0,,B. Ingram makes 2-pt layup at rim,0,4
8,1,10:33.0,D. Booker misses 2-pt jump shot from 17 ft,,0,4
9,1,10:30.0,,Defensive rebound by B. Ingram,0,4
10,1,10:15.0,,Turnover by B. Ingram (lost ball; steal by T. Warren),0,4
11,1,10:11.0,T. Warren makes 2-pt dunk from 2 ft (assist by T. Ulis),,2,4
12,1,9:55.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by K. Caldwell-Pope),2,6
13,1,9:37.0,M. Chriss makes 2-pt hook shot from 4 ft,,4,6
14,1,9:26.0,,K. Kuzma misses 2-pt jump shot from 11 ft,4,6
15,1,9:25.0,Defensive rebound by T. Ulis,,4,6
16,1,9:25.0,Personal foul by L. Ball (drawn by T. Ulis),,4,6
17,1,9:13.0,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Ulis),,7,6
18,1,8:56.0,,Shooting foul by T. Warren (drawn by B. Lopez),7,6
19,1,8:56.0,,B. Lopez misses free throw 1 of 2,7,6
20,1,8:56.0,,Offensive rebound by Team,7,6
21,1,8:56.0,,B. Lopez makes free throw 2 of 2,7,7
22,1,8:42.0,Turnover by D. Booker (bad pass; steal by L. Ball),,7,7
23,1,8:34.0,,B. Ingram makes 2-pt layup from 1 ft,7,9
24,1,8:22.0,D. Booker makes 3-pt jump shot from 23 ft (assist by T. Ulis),,10,9
25,1,8:11.0,,K. Kuzma misses 2-pt hook shot from 10 ft,10,9
26,1,8:08.0,Defensive rebound by D. Booker,,10,9
27,1,8:06.0,Turnover by D. Booker (lost ball; steal by L. Ball),,10,9
28,1,8:03.0,,Turnover by K. Caldwell-Pope (bad pass),10,9
29,1,7:51.0,D. Booker makes 2-pt layup from 2 ft (assist by G. Monroe),,12,9
30,1,7:39.0,,B. Ingram makes 2-pt dunk from 2 ft (assist by B. Lopez),12,11
31,1,7:20.0,T. Ulis makes 3-pt jump shot from 23 ft (assist by D. Booker),,15,11
32,1,7:03.0,,B. Ingram misses 2-pt layup from 1 ft,15,11
33,1,6:59.0,,Offensive rebound by B. Ingram,15,11
34,1,6:59.0,,B. Ingram misses 2-pt layup at rim,15,11
35,1,6:59.0,Defensive rebound by M. Chriss,,15,11
36,1,6:49.0,Turnover by T. Warren (out of bounds lost ball),,15,11
37,1,6:49.0,,LA Lakers full timeout,15,11
38,1,6:39.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by B. Lopez),15,13
39,1,6:14.0,Turnover by Team (shot clock),,15,13
40,1,6:01.0,A. Len enters the game for T. Warren,,15,13
41,1,6:01.0,J. Jackson enters the game for G. Monroe,,15,13
42,1,5:55.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by B. Ingram),15,16
43,1,5:39.0,J. Jackson makes 2-pt jump shot from 18 ft (assist by A. Len),,17,16
44,1,5:26.0,,Turnover by K. Kuzma (bad pass; steal by M. Chriss),17,16
45,1,5:22.0,A. Len makes 2-pt dunk from 2 ft (assist by T. Ulis),,19,16
46,1,5:07.0,,K. Caldwell-Pope misses 2-pt jump shot from 13 ft,19,16
47,1,5:05.0,Defensive rebound by J. Jackson,,19,16
48,1,4:59.0,A. Len makes 2-pt dunk from 1 ft (assist by D. Booker),,21,16
49,1,4:50.0,,K. Kuzma misses 3-pt jump shot from 25 ft,21,16
50,1,4:47.0,,Offensive rebound by Team,21,16
51,1,4:44.0,,Personal foul by M. Chriss (drawn by B. Ingram),21,16
52,1,4:40.0,,B. Lopez makes 2-pt jump shot from 10 ft (assist by B. Ingram),21,18
53,1,4:29.0,T. Ulis misses 2-pt jump shot from 14 ft,,21,18
54,1,4:27.0,,Defensive rebound by B. Lopez,21,18
55,1,4:22.0,,Turnover by B. Ingram (bad pass; steal by J. Jackson),21,18
56,1,4:19.0,D. Booker misses 3-pt jump shot from 26 ft (block by K. Caldwell-Pope),,21,18
57,1,4:18.0,,Defensive rebound by K. Caldwell-Pope,21,18
58,1,4:18.0,,Personal foul by A. Len (drawn by K. Caldwell-Pope),21,18
59,1,4:05.0,,L. Ball misses 2-pt jump shot from 17 ft,21,18
60,1,4:03.0,Defensive rebound by A. Len,,21,18
61,1,3:52.0,J. Jackson misses 2-pt jump shot from 13 ft,,21,18
62,1,3:50.0,,Defensive rebound by K. Kuzma,21,18
63,1,3:47.0,,B. Ingram makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),21,20
64,1,3:47.0,,Shooting foul by J. Jackson (drawn by B. Ingram),21,20
65,1,3:47.0,M. James enters the game for T. Ulis,,21,20
66,1,3:47.0,,B. Ingram makes free throw 1 of 1,21,21
67,1,3:35.0,D. Booker makes 3-pt jump shot from 27 ft (assist by M. James),,24,21
68,1,3:21.0,,B. Ingram makes 2-pt layup from 3 ft,24,23
69,1,3:01.0,Turnover by M. Chriss (out of bounds lost ball),,24,23
70,1,3:01.0,,J. Randle enters the game for K. Kuzma,24,23
71,1,3:01.0,,J. Clarkson enters the game for L. Ball,24,23
72,1,3:01.0,D. Bender enters the game for M. Chriss,,24,23
73,1,2:44.0,,B. Lopez misses 3-pt jump shot from 25 ft,24,23
74,1,2:39.0,Defensive rebound by D. Bender,,24,23
75,1,2:25.0,A. Len misses 2-pt layup from 1 ft,,24,23
76,1,2:21.0,,Defensive rebound by B. Lopez,24,23
77,1,2:17.0,,J. Randle misses 2-pt jump shot from 2 ft (block by J. Jackson),24,23
78,1,2:15.0,Defensive rebound by A. Len,,24,23
79,1,2:03.0,Phoenix full timeout,,24,23
80,1,2:03.0,,C. Brewer enters the game for B. Lopez,24,23
81,1,1:59.0,D. Booker misses 2-pt jump shot from 5 ft,,24,23
82,1,1:55.0,Offensive rebound by A. Len,,24,23
83,1,1:54.0,A. Len misses 2-pt layup from 3 ft (block by B. Ingram),,24,23
84,1,1:50.0,,Defensive rebound by J. Clarkson,24,23
85,1,1:41.0,,J. Randle makes 2-pt layup from 2 ft (assist by B. Ingram),24,25
86,1,1:21.0,J. Jackson makes 2-pt hook shot from 13 ft,,26,25
87,1,1:21.0,Shooting foul by B. Ingram (drawn by J. Jackson),,26,25
88,1,1:21.0,T. Daniels enters the game for D. Booker,,26,25
89,1,1:21.0,J. Jackson makes free throw 1 of 1,,27,25
90,1,0:58.0,,J. Clarkson misses 3-pt jump shot from 26 ft,27,25
91,1,0:56.0,Defensive rebound by D. Bender,,27,25
92,1,0:35.0,D. Bender misses 2-pt jump shot from 16 ft,,27,25
93,1,0:32.0,,Defensive rebound by B. Ingram,27,25
94,1,0:30.0,,Shooting foul by J. Jackson (drawn by B. Ingram),27,25
95,1,0:30.0,,B. Ingram makes free throw 1 of 2,27,26
96,1,0:30.0,T. Warren enters the game for J. Jackson,,27,26
97,1,0:30.0,,B. Ingram misses free throw 2 of 2,27,26
98,1,0:28.0,Defensive rebound by A. Len,,27,26
99,1,0:14.0,T. Warren misses 2-pt jump shot from 11 ft,,27,26
100,1,0:12.0,Offensive rebound by A. Len,,27,26
101,1,0:12.0,A. Len makes 2-pt layup from 1 ft,,29,26
102,1,0:12.0,Shooting foul by B. Ingram (drawn by A. Len),,29,26
103,1,0:12.0,,K. Kuzma enters the game for B. Ingram,29,26
104,1,0:12.0,A. Len misses free throw 1 of 1,,29,26
105,1,0:10.0,,Defensive rebound by J. Randle,29,26
106,1,0:00.0,,J. Randle makes 2-pt jump shot from 6 ft,29,28
107,2,11:50.0,T. Daniels makes 2-pt jump shot from 15 ft (assist by M. James),,31,28
108,2,11:31.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by A. Bogut),31,31
109,2,11:07.0,M. James misses 3-pt jump shot from 27 ft,,31,31
110,2,11:02.0,,Defensive rebound by K. Kuzma,31,31
111,2,10:55.0,,J. Randle misses 2-pt hook shot from 3 ft,31,31
112,2,10:53.0,Defensive rebound by A. Len,,31,31
113,2,10:49.0,T. Daniels misses 3-pt jump shot from 25 ft,,31,31
114,2,10:46.0,,Defensive rebound by A. Bogut,31,31
115,2,10:37.0,,Personal foul by T. Warren (drawn by A. Bogut),31,31
116,2,10:37.0,,T. Ennis enters the game for K. Kuzma,31,31
117,2,10:27.0,,J. Randle misses 2-pt layup from 2 ft (block by A. Len),31,31
118,2,10:27.0,Defensive rebound by T. Daniels,,31,31
119,2,10:13.0,T. Warren makes 2-pt jump shot from 13 ft,,33,31
120,2,9:54.0,,Personal foul by M. James (drawn by A. Bogut),33,31
121,2,9:45.0,,T. Ennis makes 2-pt jump shot from 18 ft,33,33
122,2,9:36.0,M. James makes 2-pt layup from 2 ft,,35,33
123,2,9:21.0,,J. Clarkson makes 2-pt jump shot from 16 ft (assist by J. Randle),35,35
124,2,9:03.0,T. Warren makes 2-pt jump shot from 3 ft (assist by M. James),,37,35
125,2,8:48.0,,J. Randle makes 2-pt layup from 2 ft (assist by A. Bogut),37,37
126,2,8:32.0,D. Bender misses 3-pt jump shot from 26 ft,,37,37
127,2,8:29.0,,Defensive rebound by T. Ennis,37,37
128,2,8:24.0,,J. Randle makes 2-pt dunk from 2 ft (assist by J. Clarkson),37,39
129,2,8:05.0,M. James makes 2-pt jump shot from 13 ft,,39,39
130,2,7:53.0,,Turnover by V. Blue (traveling),39,39
131,2,7:38.0,T. Daniels makes 2-pt jump shot from 19 ft (assist by M. James),,41,39
132,2,7:18.0,,J. Randle misses 3-pt jump shot from 25 ft,41,39
133,2,7:15.0,Defensive rebound by M. James,,41,39
134,2,7:03.0,T. Warren misses 2-pt layup from 2 ft (block by A. Bogut),,41,39
135,2,7:03.0,Offensive rebound by Team,,41,39
136,2,7:03.0,G. Monroe enters the game for A. Len,,41,39
137,2,6:56.0,M. James makes 2-pt layup from 2 ft,,43,39
138,2,6:56.0,Shooting foul by T. Ennis (drawn by M. James),,43,39
139,2,6:56.0,,LA Lakers full timeout,43,39
140,2,6:56.0,,L. Ball enters the game for T. Ennis,43,39
141,2,6:56.0,,K. Kuzma enters the game for V. Blue,43,39
142,2,6:56.0,,B. Ingram enters the game for J. Randle,43,39
143,2,6:56.0,M. James makes free throw 1 of 1,,44,39
144,2,6:43.0,,J. Clarkson makes 2-pt jump shot from 15 ft,44,41
145,2,6:24.0,T. Warren makes 2-pt jump shot from 13 ft (assist by D. Bender),,46,41
146,2,6:16.0,,Turnover by L. Ball (bad pass),46,41
147,2,5:52.0,M. James misses 3-pt jump shot from 25 ft,,46,41
148,2,5:49.0,,Defensive rebound by A. Bogut,46,41
149,2,5:42.0,,Turnover by A. Bogut (bad pass),46,41
150,2,5:25.0,T. Daniels misses 3-pt jump shot from 28 ft,,46,41
151,2,5:21.0,,Defensive rebound by L. Ball,46,41
152,2,5:13.0,,Turnover by B. Ingram (lost ball; steal by T. Daniels),46,41
153,2,5:09.0,Turnover by G. Monroe (out of bounds lost ball),,46,41
154,2,5:09.0,,B. Lopez enters the game for J. Clarkson,46,41
155,2,5:09.0,,K. Caldwell-Pope enters the game for A. Bogut,46,41
156,2,5:09.0,D. Booker enters the game for T. Daniels,,46,41
157,2,5:09.0,T. Ulis enters the game for M. James,,46,41
158,2,4:58.0,,B. Lopez makes 2-pt dunk from 1 ft (assist by L. Ball),46,43
159,2,4:38.0,T. Warren misses 2-pt jump shot from 17 ft (block by B. Ingram),,46,43
160,2,4:37.0,,Defensive rebound by K. Kuzma,46,43
161,2,4:33.0,,Shooting foul by G. Monroe (drawn by K. Kuzma),46,43
162,2,4:33.0,,K. Kuzma makes free throw 1 of 2,46,44
163,2,4:33.0,M. Chriss enters the game for G. Monroe,,46,44
164,2,4:33.0,A. Len enters the game for D. Bender,,46,44
165,2,4:33.0,,K. Kuzma makes free throw 2 of 2,46,45
166,2,4:22.0,D. Booker makes 3-pt jump shot from 22 ft (assist by A. Len),,49,45
167,2,4:10.0,,Turnover by L. Ball (bad pass; steal by T. Ulis),49,45
168,2,4:05.0,Turnover by T. Ulis (bad pass; steal by L. Ball),,49,45
169,2,3:59.0,,K. Kuzma misses 2-pt jump shot from 5 ft,49,45
170,2,3:54.0,Defensive rebound by T. Ulis,,49,45
171,2,3:50.0,D. Booker misses 3-pt jump shot from 27 ft,,49,45
172,2,3:49.0,,Defensive rebound by Team,49,45
173,2,3:34.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by B. Ingram),49,48
174,2,3:21.0,T. Ulis makes 2-pt layup from 3 ft,,51,48
175,2,3:14.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,51,48
176,2,3:13.0,Defensive rebound by A. Len,,51,48
177,2,3:05.0,T. Warren misses 2-pt layup from 1 ft,,51,48
178,2,3:03.0,,Defensive rebound by B. Lopez,51,48
179,2,3:00.0,,L. Ball misses 2-pt layup at rim (block by M. Chriss),51,48
180,2,2:56.0,Defensive rebound by M. Chriss,,51,48
181,2,2:52.0,A. Len makes 2-pt layup at rim (assist by T. Warren),,53,48
182,2,2:31.0,,K. Kuzma misses 3-pt jump shot from 23 ft,53,48
183,2,2:31.0,Defensive rebound by A. Len,,53,48
184,2,2:30.0,T. Ulis misses 2-pt jump shot from 13 ft,,53,48
185,2,2:28.0,Offensive rebound by Team,,53,48
186,2,2:28.0,,Loose ball foul by B. Ingram (drawn by T. Warren),53,48
187,2,2:28.0,Phoenix full timeout,,53,48
188,2,2:28.0,,C. Brewer enters the game for B. Ingram,53,48
