,QUARTER,TIME_REMAINING,DENVER_ACTION,OKLAHOMA CITY_ACTION,DENVER_SCORE,OKLAHOMA CITY_SCORE
0,1,11:39.0,Turnover by G. Harris (bad pass),,0,0
1,1,11:17.0,,A. Roberson misses 2-pt layup at rim,0,0
2,1,11:13.0,Defensive rebound by M. Plumlee,,0,0
3,1,11:09.0,Turnover by M. Plumlee (bad pass; steal by A. Roberson),,0,0
4,1,10:58.0,,D. Johnson makes 2-pt hook shot from 4 ft,0,2
5,1,10:37.0,G. Harris misses 3-pt jump shot from 25 ft,,0,2
6,1,10:35.0,,Defensive rebound by C. Anthony,0,2
7,1,10:26.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),0,4
8,1,10:06.0,J. Murray misses 3-pt jump shot from 25 ft,,0,4
9,1,10:03.0,,Defensive rebound by R. Westbrook,0,4
10,1,9:56.0,,R. Westbrook makes 2-pt jump shot from 17 ft (assist by A. Roberson),0,6
11,1,9:56.0,,Shooting foul by J. Murray (drawn by R. Westbrook),0,6
12,1,9:56.0,,R. Westbrook misses free throw 1 of 1,0,6
13,1,9:54.0,Defensive rebound by M. Plumlee,,0,6
14,1,9:38.0,M. Plumlee misses 2-pt layup from 1 ft (block by P. George),,0,6
15,1,9:34.0,,Defensive rebound by P. George,0,6
16,1,9:28.0,,C. Anthony misses 3-pt jump shot from 25 ft,0,6
17,1,9:24.0,Defensive rebound by W. Chandler,,0,6
18,1,9:02.0,M. Plumlee makes 2-pt hook shot from 5 ft,,2,6
19,1,8:40.0,,R. Westbrook makes 2-pt jump shot from 17 ft,2,8
20,1,8:28.0,Turnover by G. Harris (lost ball; steal by R. Westbrook),,2,8
21,1,8:23.0,,D. Johnson makes 2-pt dunk at rim (assist by R. Westbrook),2,10
22,1,8:23.0,Denver full timeout,,2,10
23,1,8:15.0,T. Craig makes 3-pt jump shot from 25 ft (assist by G. Harris),,5,10
24,1,7:49.0,,C. Anthony makes 2-pt jump shot from 23 ft,5,12
25,1,7:28.0,M. Plumlee misses 2-pt jump shot from 13 ft,,5,12
26,1,7:27.0,,Defensive rebound by R. Westbrook,5,12
27,1,7:17.0,,Personal foul by T. Craig (drawn by D. Johnson),5,12
28,1,7:06.0,,R. Westbrook misses 2-pt jump shot from 18 ft,5,12
29,1,7:02.0,Defensive rebound by M. Plumlee,,5,12
30,1,6:44.0,J. Murray misses 2-pt jump shot from 17 ft,,5,12
31,1,6:41.0,,Defensive rebound by A. Roberson,5,12
32,1,6:35.0,,R. Westbrook misses 2-pt layup at rim,5,12
33,1,6:34.0,Defensive rebound by M. Plumlee,,5,12
34,1,6:30.0,Shooting block foul by A. Roberson (drawn by T. Craig),,5,12
35,1,6:30.0,T. Craig misses free throw 1 of 2,,5,12
36,1,6:30.0,Offensive rebound by Team,,5,12
37,1,6:30.0,T. Craig makes free throw 2 of 2,,6,12
38,1,6:13.0,,P. George misses 2-pt jump shot from 16 ft,6,12
39,1,6:09.0,Defensive rebound by M. Plumlee,,6,12
40,1,5:58.0,W. Chandler misses 2-pt jump shot from 7 ft,,6,12
41,1,5:53.0,Offensive rebound by M. Plumlee,,6,12
42,1,5:53.0,Turnover by M. Plumlee (bad pass; steal by D. Johnson),,6,12
43,1,5:48.0,,D. Johnson makes 2-pt layup at rim (assist by C. Anthony),6,14
44,1,5:33.0,Offensive foul by M. Plumlee (drawn by A. Roberson),,6,14
45,1,5:33.0,Turnover by M. Plumlee (offensive foul),,6,14
46,1,5:33.0,,J. Grant enters the game for D. Johnson,6,14
47,1,5:33.0,,Á. Abrines enters the game for A. Roberson,6,14
48,1,5:33.0,N. Jokić enters the game for T. Craig,,6,14
49,1,5:33.0,W. Barton enters the game for M. Plumlee,,6,14
50,1,5:17.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Westbrook),6,16
51,1,5:11.0,J. Murray misses 2-pt jump shot from 5 ft,,6,16
52,1,5:09.0,Offensive rebound by J. Murray,,6,16
53,1,5:08.0,W. Barton misses 3-pt jump shot from 25 ft,,6,16
54,1,5:08.0,,Defensive rebound by Á. Abrines,6,16
