,QUARTER,TIME_REMAINING,ATLANTA_ACTION,INDIANA_ACTION,ATLANTA_SCORE,INDIANA_SCORE
0,1,11:43.0,,T. Young misses 3-pt jump shot from 26 ft,0,0
1,1,11:40.0,Defensive rebound by D. Schröder,,0,0
2,1,11:25.0,D. Schröder misses 3-pt jump shot from 25 ft,,0,0
3,1,11:23.0,,Defensive rebound by V. Oladipo,0,0
4,1,11:16.0,,V. Oladipo makes 2-pt jump shot from 17 ft,0,2
5,1,10:54.0,Turnover by T. Prince (lost ball; steal by T. Young),,0,2
6,1,10:46.0,,Turnover by C. Joseph (bad pass; steal by T. Prince),0,2
7,1,10:45.0,Turnover by T. Prince (bad pass),,0,2
8,1,10:32.0,,V. Oladipo misses 2-pt jump shot from 18 ft,0,2
9,1,10:29.0,,Offensive rebound by V. Oladipo,0,2
10,1,10:27.0,,T. Young makes 3-pt jump shot from 26 ft (assist by V. Oladipo),0,5
11,1,10:14.0,K. Bazemore makes 2-pt jump shot from 8 ft,,2,5
12,1,10:01.0,,V. Oladipo misses 2-pt layup from 2 ft,2,5
13,1,9:58.0,,Offensive rebound by M. Turner,2,5
14,1,9:55.0,,T. Young makes 2-pt jump shot from 7 ft (assist by M. Turner),2,7
15,1,9:35.0,K. Bazemore misses 2-pt jump shot from 7 ft,,2,7
16,1,9:31.0,,Defensive rebound by T. Young,2,7
17,1,9:27.0,,T. Young misses 2-pt layup from 2 ft (block by J. Collins),2,7
18,1,9:27.0,,Offensive rebound by Team,2,7
19,1,9:24.0,,Turnover by C. Joseph (bad pass; steal by T. Prince),2,7
20,1,9:18.0,J. Collins makes 2-pt jump shot from 5 ft,,4,7
21,1,9:00.0,,C. Joseph makes 2-pt jump shot from 15 ft,4,9
22,1,8:46.0,D. Schröder makes 2-pt layup from 3 ft,,6,9
23,1,8:36.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),6,12
24,1,8:23.0,D. Schröder misses 2-pt jump shot from 13 ft,,6,12
25,1,8:21.0,,Defensive rebound by C. Joseph,6,12
26,1,8:21.0,,Personal block foul by K. Bazemore (drawn by V. Oladipo),6,12
27,1,8:11.0,,T. Young makes 2-pt hook shot from 5 ft,6,14
28,1,7:51.0,Shooting foul by C. Joseph (drawn by D. Schröder),,6,14
29,1,7:51.0,D. Schröder makes free throw 1 of 2,,7,14
30,1,7:51.0,D. Schröder makes free throw 2 of 2,,8,14
31,1,7:37.0,,B. Bogdanović makes 2-pt jump shot from 14 ft,8,16
32,1,7:19.0,K. Bazemore makes 2-pt jump shot from 4 ft,,10,16
33,1,7:07.0,,V. Oladipo misses 2-pt jump shot from 16 ft,10,16
34,1,7:07.0,Defensive rebound by J. Collins,,10,16
35,1,6:50.0,J. Collins misses 2-pt jump shot from 7 ft (block by T. Young),,10,16
36,1,6:49.0,Offensive rebound by J. Collins,,10,16
37,1,6:48.0,J. Collins makes 2-pt jump shot from 10 ft,,12,16
38,1,6:34.0,,M. Turner misses 3-pt jump shot from 27 ft,12,16
39,1,6:31.0,Defensive rebound by K. Bazemore,,12,16
40,1,6:25.0,K. Bazemore makes 2-pt layup at rim,,14,16
41,1,6:25.0,,Violation by M. Turner (def goaltending),14,16
42,1,6:11.0,,Personal foul by T. Prince (drawn by M. Turner),14,16
43,1,6:11.0,,Indiana full timeout,14,16
44,1,6:11.0,M. Plumlee enters the game for K. Bazemore,,14,16
45,1,6:11.0,T. Dorsey enters the game for J. Collins,,14,16
46,1,6:10.0,,Turnover by V. Oladipo (bad pass; steal by D. Schröder),14,16
47,1,6:10.0,,Loose ball foul by C. Joseph (drawn by D. Schröder),14,16
48,1,6:10.0,,J. Young enters the game for C. Joseph,14,16
49,1,5:59.0,T. Prince misses 3-pt jump shot from 28 ft,,14,16
50,1,5:54.0,,Defensive rebound by J. Young,14,16
51,1,5:48.0,,Turnover by B. Bogdanović (out of bounds lost ball),14,16
52,1,5:38.0,T. Dorsey misses 3-pt jump shot from 26 ft,,14,16
53,1,5:34.0,Offensive rebound by T. Prince,,14,16
54,1,5:31.0,M. Plumlee misses 2-pt jump shot from 5 ft,,14,16
55,1,5:29.0,,Defensive rebound by T. Young,14,16
56,1,5:21.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by M. Plumlee),14,16
57,1,5:17.0,Defensive rebound by T. Dorsey,,14,16
58,1,5:17.0,,Offensive charge foul by T. Prince (drawn by T. Young),14,16
59,1,5:17.0,Turnover by T. Prince (offensive foul),,14,16
60,1,5:17.0,M. Muscala enters the game for D. Dedmon,,14,16
61,1,5:10.0,,Personal foul by M. Plumlee (drawn by M. Turner),14,16
62,1,5:06.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,14,16
63,1,4:59.0,,Offensive rebound by B. Bogdanović,14,16
64,1,4:57.0,,B. Bogdanović misses 2-pt jump shot from 20 ft,14,16
65,1,4:55.0,,Offensive rebound by B. Bogdanović,14,16
66,1,4:46.0,,T. Young makes 3-pt jump shot from 22 ft (assist by V. Oladipo),14,19
67,1,4:22.0,T. Prince misses 3-pt jump shot from 31 ft,,14,19
68,1,4:20.0,,Defensive rebound by J. Young,14,19
69,1,4:12.0,,V. Oladipo misses 2-pt jump shot from 19 ft,14,19
70,1,4:09.0,Defensive rebound by T. Prince,,14,19
71,1,3:55.0,Turnover by D. Schröder (bad pass; steal by V. Oladipo),,14,19
72,1,3:51.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by V. Oladipo),14,21
73,1,3:51.0,Atlanta full timeout,,14,21
74,1,3:51.0,,D. Sabonis enters the game for T. Young,14,21
75,1,3:51.0,,G. Robinson enters the game for B. Bogdanović,14,21
76,1,3:51.0,I. Taylor enters the game for T. Prince,,14,21
77,1,3:51.0,D. Bembry enters the game for D. Schröder,,14,21
78,1,3:33.0,Turnover by T. Dorsey (bad pass; steal by V. Oladipo),,14,21
79,1,3:31.0,,Shooting foul by D. Bembry (drawn by V. Oladipo),14,21
80,1,3:31.0,,V. Oladipo makes free throw 1 of 2,14,22
81,1,3:31.0,,V. Oladipo makes free throw 2 of 2,14,23
82,1,3:19.0,T. Dorsey makes 3-pt jump shot from 27 ft (assist by I. Taylor),,17,23
83,1,3:01.0,,M. Turner misses 2-pt jump shot from 19 ft,17,23
84,1,2:57.0,Defensive rebound by M. Muscala,,17,23
85,1,2:52.0,Shooting foul by M. Turner (drawn by D. Bembry),,17,23
86,1,2:52.0,D. Bembry makes free throw 1 of 2,,18,23
87,1,2:52.0,,L. Stephenson enters the game for V. Oladipo,18,23
88,1,2:52.0,D. Bembry misses free throw 2 of 2,,18,23
89,1,2:49.0,,Defensive rebound by M. Turner,18,23
90,1,2:38.0,,G. Robinson misses 2-pt jump shot from 19 ft,18,23
91,1,2:34.0,,Offensive rebound by Team,18,23
92,1,2:28.0,,L. Stephenson misses 3-pt jump shot from 29 ft,18,23
93,1,2:28.0,Defensive rebound by D. Bembry,,18,23
94,1,2:16.0,M. Muscala misses 2-pt jump shot from 8 ft,,18,23
95,1,2:14.0,,Defensive rebound by D. Sabonis,18,23
96,1,2:05.0,,D. Sabonis makes 2-pt jump shot from 15 ft (assist by L. Stephenson),18,25
97,1,1:49.0,Turnover by D. Bembry (bad pass; steal by J. Young),,18,25
98,1,1:46.0,,Turnover by J. Young (lost ball; steal by I. Taylor),18,25
99,1,1:46.0,Personal foul by G. Robinson (drawn by I. Taylor),,18,25
100,1,1:46.0,,B. Bogdanović enters the game for M. Turner,18,25
101,1,1:29.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by I. Taylor),,20,25
102,1,1:11.0,,G. Robinson makes 2-pt jump shot from 20 ft (assist by J. Young),20,27
103,1,0:53.0,T. Dorsey misses 3-pt jump shot from 25 ft,,20,27
104,1,0:51.0,,Defensive rebound by J. Young,20,27
105,1,0:42.0,,L. Stephenson misses 3-pt jump shot from 28 ft,20,27
106,1,0:39.0,Defensive rebound by T. Dorsey,,20,27
107,1,0:33.0,J. Collins enters the game for M. Plumlee,,20,27
108,1,0:29.0,I. Taylor makes 2-pt jump shot from 4 ft,,22,27
109,1,0:09.0,,Turnover by B. Bogdanović (lost ball; steal by T. Dorsey),22,27
110,1,0:01.0,T. Dorsey misses 3-pt jump shot from 27 ft,,22,27
111,1,0:01.0,Offensive rebound by Team,,22,27
112,2,11:42.0,T. Prince makes 2-pt jump shot from 14 ft,,24,27
113,2,11:28.0,,L. Stephenson makes 2-pt jump shot from 19 ft,24,29
114,2,11:06.0,J. Collins makes 2-pt layup from 2 ft (assist by I. Taylor),,26,29
115,2,10:59.0,,L. Stephenson makes 2-pt jump shot from 13 ft,26,31
116,2,10:41.0,T. Prince makes 3-pt jump shot from 23 ft (assist by I. Taylor),,29,31
117,2,10:29.0,,Shooting foul by J. Collins (drawn by D. Sabonis),29,31
118,2,10:29.0,,D. Sabonis makes free throw 1 of 2,29,32
119,2,10:29.0,,D. Sabonis misses free throw 2 of 2,29,32
120,2,10:26.0,Defensive rebound by J. Collins,,29,32
121,2,10:14.0,Turnover by I. Taylor (bad pass),,29,32
122,2,10:04.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by L. Stephenson),29,34
123,2,9:54.0,T. Dorsey misses 2-pt layup from 4 ft,,29,34
124,2,9:51.0,,Defensive rebound by D. Sabonis,29,34
125,2,9:46.0,D. Schröder enters the game for I. Taylor,,29,34
126,2,9:35.0,,L. Stephenson makes 2-pt jump shot from 18 ft (assist by D. Sabonis),29,36
127,2,9:33.0,,Technical foul by L. Stephenson,29,36
128,2,9:33.0,D. Schröder makes technical free throw,,30,36
129,2,9:20.0,T. Prince misses 2-pt layup from 1 ft,,30,36
130,2,9:19.0,,Defensive rebound by D. Sabonis,30,36
131,2,9:12.0,,J. Young makes 3-pt jump shot from 27 ft (assist by L. Stephenson),30,39
132,2,9:08.0,Atlanta full timeout,,30,39
133,2,9:08.0,,T. Young enters the game for B. Bogdanović,30,39
134,2,9:08.0,K. Bazemore enters the game for T. Dorsey,,30,39
135,2,9:08.0,D. Dedmon enters the game for D. Bembry,,30,39
136,2,8:59.0,Personal foul by J. Young (drawn by D. Schröder),,30,39
137,2,8:51.0,Turnover by T. Prince (bad pass; steal by L. Stephenson),,30,39
138,2,8:33.0,,J. Young makes 3-pt jump shot from 26 ft (assist by D. Sabonis),30,42
139,2,8:11.0,T. Prince misses 3-pt jump shot from 24 ft,,30,42
140,2,8:07.0,,Defensive rebound by L. Stephenson,30,42
