,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DENVER_ACTION,NEW ORLEANS_SCORE,DENVER_SCORE
0,1,11:47.0,Shooting foul by J. Murray (drawn by A. Davis),,0,0
1,1,11:47.0,A. Davis misses free throw 1 of 2,,0,0
2,1,11:47.0,Offensive rebound by Team,,0,0
3,1,11:47.0,A. Davis misses free throw 2 of 2,,0,0
4,1,11:44.0,,Defensive rebound by N. Jokić,0,0
5,1,11:28.0,,W. Chandler misses 3-pt jump shot from 25 ft,0,0
6,1,11:21.0,,Offensive rebound by N. Jokić,0,0
7,1,11:18.0,,P. Millsap makes 2-pt hook shot from 7 ft (assist by N. Jokić),0,2
8,1,11:09.0,J. Holiday misses 2-pt jump shot from 15 ft,,0,2
9,1,11:06.0,,Defensive rebound by J. Murray,0,2
10,1,11:01.0,,J. Murray makes 3-pt jump shot from 25 ft,0,5
11,1,10:43.0,R. Rondo makes 2-pt layup from 2 ft,,2,5
12,1,10:37.0,,N. Jokić makes 2-pt layup from 3 ft (assist by P. Millsap),2,7
13,1,10:19.0,D. Cousins makes 2-pt jump shot from 17 ft,,4,7
14,1,10:08.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by J. Murray),4,10
15,1,9:43.0,D. Cousins misses 2-pt hook shot from 4 ft,,4,10
16,1,9:42.0,,Defensive rebound by P. Millsap,4,10
17,1,9:31.0,Offensive charge foul by P. Millsap (drawn by D. Cousins),,4,10
18,1,9:31.0,,Turnover by P. Millsap (offensive foul),4,10
19,1,9:18.0,D. Cunningham misses 3-pt jump shot from 22 ft,,4,10
20,1,9:15.0,,Defensive rebound by P. Millsap,4,10
21,1,9:06.0,,J. Murray makes 2-pt layup from 3 ft (assist by P. Millsap),4,12
22,1,8:57.0,D. Cousins misses 3-pt jump shot from 25 ft,,4,12
23,1,8:53.0,,Defensive rebound by W. Chandler,4,12
24,1,8:49.0,,J. Murray makes 2-pt jump shot from 15 ft,4,14
25,1,8:41.0,New Orleans full timeout,,4,14
26,1,8:28.0,A. Davis misses 2-pt jump shot from 22 ft,,4,14
27,1,8:26.0,,Defensive rebound by N. Jokić,4,14
28,1,8:22.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by P. Millsap),4,17
29,1,8:01.0,J. Holiday misses 3-pt jump shot from 23 ft,,4,17
30,1,8:01.0,,Defensive rebound by N. Jokić,4,17
31,1,7:51.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by W. Chandler),4,20
32,1,7:32.0,R. Rondo misses 3-pt jump shot from 23 ft,,4,20
33,1,7:29.0,,Defensive rebound by W. Chandler,4,20
34,1,7:14.0,,Shooting foul by D. Cunningham (drawn by N. Jokić),4,20
35,1,7:14.0,,N. Jokić makes free throw 1 of 2,4,21
36,1,7:14.0,,N. Jokić makes free throw 2 of 2,4,22
37,1,6:58.0,D. Cousins misses 2-pt jump shot from 19 ft,,4,22
38,1,6:55.0,,Defensive rebound by P. Millsap,4,22
39,1,6:37.0,,P. Millsap makes 3-pt jump shot from 23 ft (assist by N. Jokić),4,25
40,1,6:20.0,Turnover by D. Cousins (bad pass; steal by P. Millsap),,4,25
41,1,6:20.0,,Personal foul by D. Cousins (drawn by N. Jokić),4,25
42,1,6:04.0,,J. Murray misses 3-pt jump shot from 25 ft,4,25
43,1,6:01.0,Defensive rebound by D. Cousins,,4,25
