,QUARTER,TIME_REMAINING,MIAMI_ACTION,BOSTON_ACTION,MIAMI_SCORE,BOSTON_SCORE
0,1,11:39.0,,J. Brown misses 2-pt jump shot from 16 ft,0,0
1,1,11:38.0,Defensive rebound by K. Olynyk,,0,0
2,1,11:23.0,K. Olynyk misses 3-pt jump shot from 26 ft,,0,0
3,1,11:21.0,,Defensive rebound by J. Tatum,0,0
4,1,11:06.0,,A. Horford misses 2-pt layup from 1 ft,0,0
5,1,11:04.0,,Offensive rebound by A. Horford,0,0
6,1,11:04.0,,A. Horford makes 2-pt layup at rim,0,2
7,1,10:51.0,Shooting foul by A. Horford (drawn by T. Johnson),,0,2
8,1,10:51.0,T. Johnson makes free throw 1 of 2,,1,2
9,1,10:51.0,T. Johnson misses free throw 2 of 2,,1,2
10,1,10:49.0,,Defensive rebound by J. Brown,1,2
11,1,10:34.0,,Turnover by K. Irving (bad pass; steal by T. Johnson),1,2
12,1,10:29.0,T. Johnson misses 3-pt jump shot from 26 ft,,1,2
13,1,10:25.0,,Defensive rebound by A. Horford,1,2
14,1,10:09.0,,A. Baynes misses 3-pt jump shot from 22 ft,1,2
15,1,10:05.0,Defensive rebound by J. Richardson,,1,2
16,1,9:55.0,J. Richardson misses 2-pt jump shot from 14 ft,,1,2
17,1,9:51.0,,Defensive rebound by K. Irving,1,2
18,1,9:46.0,,J. Brown misses 2-pt layup at rim,1,2
19,1,9:46.0,,Offensive rebound by Team,1,2
20,1,9:37.0,,J. Tatum makes 2-pt layup at rim,1,4
21,1,9:23.0,Turnover by D. Waiters (bad pass; steal by J. Brown),,1,4
22,1,9:19.0,,J. Brown makes 2-pt layup at rim,1,6
23,1,9:06.0,Personal take foul by J. Brown (drawn by D. Waiters),,1,6
24,1,9:06.0,,M. Smart enters the game for J. Tatum,1,6
25,1,8:58.0,B. Adebayo makes 2-pt layup from 3 ft (assist by J. Richardson),,3,6
26,1,8:41.0,,Turnover by J. Brown (bad pass; steal by T. Johnson),3,6
27,1,8:35.0,J. Richardson misses 2-pt jump shot from 20 ft,,3,6
28,1,8:32.0,,Defensive rebound by A. Horford,3,6
29,1,8:22.0,,Turnover by K. Irving (bad pass),3,6
30,1,8:09.0,D. Waiters makes 2-pt layup from 4 ft,,5,6
31,1,7:52.0,,K. Irving makes 2-pt jump shot from 14 ft,5,8
32,1,7:30.0,B. Adebayo misses 2-pt jump shot from 13 ft,,5,8
33,1,7:27.0,,Defensive rebound by A. Horford,5,8
34,1,7:18.0,,J. Brown makes 3-pt jump shot from 22 ft (assist by K. Irving),5,11
35,1,7:03.0,J. Richardson misses 3-pt jump shot from 23 ft,,5,11
36,1,7:00.0,,Defensive rebound by A. Baynes,5,11
37,1,6:48.0,,A. Horford misses 2-pt layup from 1 ft,5,11
38,1,6:44.0,Defensive rebound by B. Adebayo,,5,11
39,1,6:30.0,D. Waiters misses 3-pt jump shot from 26 ft,,5,11
40,1,6:27.0,,Defensive rebound by J. Brown,5,11
41,1,6:24.0,,K. Irving makes 3-pt jump shot from 28 ft,5,14
42,1,6:15.0,Miami full timeout,,5,14
43,1,6:15.0,W. Ellington enters the game for T. Johnson,,5,14
44,1,6:03.0,W. Ellington misses 3-pt jump shot from 27 ft,,5,14
45,1,6:00.0,,Defensive rebound by K. Irving,5,14
46,1,5:49.0,,Personal foul by W. Ellington (drawn by A. Horford),5,14
47,1,5:46.0,,K. Irving misses 3-pt jump shot from 25 ft,5,14
48,1,5:42.0,Defensive rebound by W. Ellington,,5,14
49,1,5:30.0,Turnover by J. Richardson (bad pass),,5,14
